SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.32639,0.463294,0.3411071803921569,0.013496393142236619,0.33411,0.338128,0.34282,255,11.906066,13.338138,12.323081568627451,0.2362533021880935,12.241737,12.36368,12.4437235,255,0.28553,0.409083,0.2958266352941177,0.014829623092414318,0.288467,0.290358,0.297175,255,0.136058,0.208933,0.14070130588235294,0.008697351550033339,0.13762,0.138309,0.1396935,255,3.909969,4.272241,3.982108525490196,0.055063339702478335,3.929329,3.982117,4.0193245,255,3.909969,4.272241,3.982108525490196,0.055063339702478335,3.929329,3.982117,4.0193245,255,0.025257,0.048275,0.02693690588235294,0.0021566153799470644,0.026239,0.026524,0.026909,255,0.052451,0.086006,0.054462576470588234,0.0031104812062361553,0.053387,0.053759,0.0542805,255,40.125319,50.137055,47.26796527843137,1.7455146261292003,47.605349,47.914034,48.0834045,255,27.239742,37.091666,34.42060302352941,1.7649322612332858,35.0064685,35.117895,35.173887,255,0.02075,0.033254,0.02265456470588235,0.002072166749557094,0.021682,0.022142,0.02263,255,21.759326,23.99932,21.91405043529412,0.16787760425814297,21.857903,21.891245,21.9327875,255,4.873273,13.900388,12.06727223529412,1.780994370291222,12.715688,12.783321,12.8362095,255,0.396884,0.487766,0.4146833372549019,0.013385621332857556,0.4068185,0.411826,0.4169875,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.761088,25.392351,13.254697127635328,0.7031057033712931,12.922005,13.10497,13.2889905,1755,12.412164,24.531646,12.913263029059829,0.6670176045033331,12.5897845,12.774009,12.948385,1755,0.008348,1.435273,0.26368127644824313,0.23381448772472568,0.05487525,0.30262,0.42560925,10530,0.009537,2.958279,0.10477060161443494,0.0861566489323919,0.02718325,0.111577,0.17351275,10530,0.073858,8.972125,1.8581373905982905,1.8957247777825557,0.16959125,1.179681,2.65800325,10530,0.073858,8.972125,1.8581373905982905,1.8957247777825557,0.16959125,1.179681,2.65800325,10530,0.093601,0.779732,0.11445087635327636,0.02194881074604973,0.1008475,0.114186,0.1179745,1755,0.130712,0.258874,0.14746365754985755,0.015404585178974773,0.13637,0.143944,0.147418,1755,23.814415,52.779058,29.00866097037037,2.6412233172429214,27.194999,28.913066,30.67212,1755,10.289024,29.093963,15.140775841595442,2.453451943438414,13.3964915,14.974775,16.793668,1755,0.075037,0.160742,0.08749705014245014,0.011811606469682129,0.0811935,0.084025,0.0879325,1755,9.386428,27.830788,14.257634821652422,2.364932176714652,12.6021125,14.125767,15.895752,1755,0.104279,0.911212,0.27439224957264957,0.10921537457394398,0.2125585,0.250338,0.3054655,1755,0.43651,0.89747,0.5190239806267806,0.034501012967955144,0.4969025,0.517274,0.5386395,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.001932,1.812354,0.093421902,0.11947875436064939,0.0428985,0.0812345,0.1094765,1000,0.194022,0.313459,0.214056335,0.020102260121607596,0.19903525,0.2039325,0.2307875,1000,0.002076,0.018108,0.0027089505,0.0008113412500605094,0.00223775,0.002338,0.00306325,4000,0.004252,0.024354,0.0052788185,0.0012195453966776923,0.004481,0.004653,0.005961,4000,0.01487,0.046142,0.017541338,0.0024615271782484956,0.01570575,0.0165175,0.01882825,4000,0.01487,0.046142,0.017541338,0.0024615271782484956,0.01570575,0.0165175,0.01882825,4000,0.020549,0.04595,0.022984854,0.0028705996430509082,0.021047,0.0213185,0.0248885,1000,0.025847,0.084862,0.028203437999999997,0.0035802193924613056,0.026367,0.026756,0.02971525,1000,0.490451,2.538926,0.590907511,0.152830925693087,0.5054925,0.552622,0.65191,1000,0.090487,0.215542,0.104788694,0.01597401231658358,0.0936005,0.097378,0.11506325,1000,0.025332,0.059566,0.029158019,0.004438719815964847,0.026302,0.026994,0.03145625,1000,0.040916,0.122584,0.047958071000000005,0.00888721058037667,0.0420855,0.0443145,0.0523425,1000,0.006196,0.029204,0.007616266,0.0019068299041194,0.006513,0.006693,0.008162,1000,0.016774,0.054793,0.019520152,0.00325064632848546,0.017415,0.018049,0.0211,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.031157,1.71333,0.094206582,0.11975887359257884,0.042981,0.0808155,0.10993675,1000,0.193111,0.311225,0.21437473,0.020443110110917564,0.1986765,0.204338,0.23096225,1000,0.002035,0.019951,0.00270221125,0.0008132764736689717,0.002234,0.002338,0.003047,4000,0.004198,0.021137,0.0052872200000000005,0.0011989913744894082,0.004485,0.0047165,0.005953,4000,0.014724,0.095142,0.0174861025,0.002923044196551559,0.015551,0.0162795,0.01876775,4000,0.014724,0.095142,0.0174861025,0.002923044196551559,0.015551,0.0162795,0.01876775,4000,0.020505,0.039182,0.02313095,0.0028373791818331225,0.02114075,0.0213965,0.025012,1000,0.025505,0.059898,0.027981531,0.0031833133655106904,0.026169,0.0265695,0.0295175,1000,0.488115,2.429161,0.593230666,0.1530623193594702,0.5053665,0.554631,0.65323825,1000,0.090808,0.212295,0.10546605,0.015830577434935846,0.0940135,0.0977155,0.1168775,1000,0.025307,0.051259,0.029290932000000002,0.004251433104657299,0.02642575,0.0272105,0.03199875,1000,0.041101,0.121199,0.048319689,0.008902688049588112,0.04215725,0.044422,0.054067,1000,0.006117,0.021042,0.007693797,0.001939189670916953,0.00644775,0.0069935,0.00822675,1000,0.016824,0.039239,0.019597198,0.0029386675104196456,0.0174845,0.0181195,0.02128725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.025569,1.744085,0.066924647,0.11689725392249552,0.04224625,0.053857,0.066761,1000,0.195178,0.345081,0.20733241,0.01591482736399927,0.1997345,0.2030315,0.2073395,1000,0.002077,0.021793,0.0026180055000000002,0.0009043335269521694,0.002277,0.002353,0.002975,4000,0.004179,0.02427,0.005085798,0.0012028849187249793,0.00450675,0.004646,0.00586525,4000,0.014718,0.067258,0.016952387750000002,0.002769791449261106,0.015459,0.0160355,0.018333,4000,0.014718,0.067258,0.016952387750000002,0.002769791449261106,0.015459,0.0160355,0.018333,4000,0.020627,0.046339,0.021697377,0.0019664526810658322,0.02110475,0.021244,0.021402,1000,0.025723,0.063043,0.026985798,0.0023593367367114007,0.026213,0.0263785,0.026766,1000,0.5098,2.481496,0.570848473,0.14035855566526492,0.527073,0.5540705,0.5731095,1000,0.103714,0.223173,0.12710994,0.016562255199410493,0.115762,0.12574,0.1318465,1000,0.025454,0.079646,0.027874191,0.0036923236402730195,0.026657,0.027114,0.02760725,1000,0.046707,0.112678,0.050016082999999996,0.0065967132898217574,0.04779675,0.0482365,0.04901475,1000,0.009331,0.078599,0.029921225,0.010709056565467147,0.02113525,0.0310915,0.03618525,1000,0.01698,0.042788,0.018766719,0.002466851043342301,0.017715,0.017953,0.0183705,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036445,1.529095,0.07850094899999999,0.09917389383757401,0.07083975,0.0714935,0.0746665,1000,0.060089,0.161251,0.078526121,0.00875534612076296,0.07752875,0.078252,0.07912025,1000,0.003038,0.024705,0.004308472,0.0011423867205180563,0.004229,0.0043,0.004366,1000,0.006057,0.023817,0.007910915,0.0011855799651541857,0.00781775,0.0079215,0.00803425,1000,0.018711,0.061153,0.025015769,0.0033480008049041744,0.024826,0.0250635,0.0252835,1000,0.018711,0.061153,0.025015769,0.0033480008049041744,0.024826,0.0250635,0.0252835,1000,0.006551,0.057633,0.009845362,0.0024272278848422946,0.009676,0.0098665,0.01007825,1000,0.010133,0.047344,0.012404212999999999,0.002335940398561359,0.01210875,0.012228,0.012343,1000,0.160123,1.80345,0.26634128100000004,0.1096803066087164,0.260151,0.2631775,0.266942,1000,0.012909,0.0899,0.039447812,0.01027614913577338,0.040317,0.0407705,0.0416755,1000,0.002047,0.024711,0.003303319,0.0011034961709217664,0.00312275,0.0032325,0.00332825,1000,0.00726,0.068866,0.017372547,0.004819286698443142,0.01732225,0.017538,0.01773325,1000,0.00193,0.056763,0.016573794000000003,0.006035281361922077,0.01773875,0.0181035,0.0183545,1000,0.000964,0.01144,0.0014586010000000001,0.0006471868538521159,0.001335,0.0013765,0.00142,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036765,1.500748,0.093403626,0.09763565705561737,0.0725945,0.0987955,0.101419,1000,0.060724,0.134173,0.07834621000000001,0.008269452218853435,0.077501,0.078094,0.0790485,1000,0.002952,0.009452,0.004219018,0.0004807639999791998,0.00422075,0.004289,0.00435,1000,0.005987,0.023461,0.007936502,0.0011988621572124128,0.00785775,0.007953,0.008051,1000,0.018127,0.069736,0.024853808,0.003584164262298256,0.024592,0.024842,0.02510225,1000,0.018127,0.069736,0.024853808,0.003584164262298256,0.024592,0.024842,0.02510225,1000,0.006487,0.02774,0.009658127,0.001536311920435105,0.009651,0.009751,0.009869,1000,0.010253,0.035291,0.012354706,0.0017162191047660554,0.012148,0.0122745,0.01239025,1000,0.162467,1.769522,0.270662939,0.10784561903785095,0.24936975,0.280033,0.2842715,1000,0.012941,0.065318,0.029492776999999998,0.006770031677715474,0.027147,0.031228,0.03174425,1000,0.002081,0.021664,0.003194035,0.0007981208992220415,0.00309375,0.0031815,0.003261,1000,0.007249,0.042677,0.016068393,0.0038506357829001434,0.01572,0.0164495,0.016719,1000,0.001936,0.036822,0.007996926,0.0030539618328531875,0.006371,0.0095905,0.00989625,1000,0.001033,0.018661,0.001513068,0.0010604699832508226,0.001306,0.0013735,0.00143,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00611,0.133822,0.007794791000000001,0.009110260645081402,0.006426,0.00655,0.00677275,1000,1.121454,1.278755,1.141104305,0.019659580323902515,1.12911625,1.1366815,1.14316975,1000,0.067335,0.106792,0.06874863099999999,0.003453112374777137,0.06780675,0.0679575,0.06826275,1000,0.037532,0.082793,0.038740213,0.0033435027614211717,0.0379985,0.0382045,0.03837025,1000,0.015235,0.03709,0.016036438,0.0017314760610981604,0.01556775,0.0156925,0.01587325,1000,0.990083,1.147795,1.009410071,0.01727884332268682,0.99882325,1.006237,1.012099,1000,0.002766,0.013469,0.003181487,0.0007348986364329437,0.002962,0.00303,0.0031085,1000,0.011078,0.039233,0.011656129999999999,0.0016693034364967923,0.01131,0.011419,0.011532,1000,1.157168,1.416458,1.179705013,0.02551014346993821,1.16641575,1.173685,1.180643,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000314,0.00089,0.00037580000000000003,5.329146273091029e-05,0.000344,0.000361,0.00039525,1000,2.509486,4.931572,2.5682286000000003,0.18335233921743133,2.520353,2.539502,2.56189475,1000,0.052263,0.097435,0.054337723,0.003680663767620047,0.052569,0.052778,0.056183,1000,0.044491,0.081819,0.046192151,0.002947953716088331,0.04487575,0.045209,0.047484,1000,0.692399,2.093993,0.7113147830000001,0.09509683673202758,0.6974885,0.699592,0.70369825,1000,1.708669,2.706839,1.748919255,0.10293486696170534,1.71674025,1.726944,1.74555125,1000,0.001229,0.002886,0.001436481,0.00013573282447145937,0.001371,0.001417,0.00146925,1000,0.011971,0.022287,0.012473558000000001,0.0007498089947686676,0.01224075,0.012357,0.0125,1000,2.533344,4.990718,2.5940295869999996,0.18570197477063735,2.54582075,2.565,2.58738075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000304,0.000816,0.000368665,5.1798134860243755e-05,0.00034,0.0003575,0.000387,1000,2.620668,4.91424,2.689978441,0.17695068145649093,2.63002875,2.6497445,2.70153725,1000,0.051936,0.111848,0.053494985,0.003637527278629674,0.05232475,0.052641,0.05302125,1000,0.044488,0.083606,0.045819485,0.002760577298279293,0.045001,0.045203,0.0453975,1000,0.691655,1.92233,0.713008114,0.08569208929373237,0.6970315,0.698927,0.7037755,1000,1.819948,2.86102,1.870256288,0.1073676062089728,1.8264685,1.830951,1.887521,1000,0.001273,0.013472,0.001524685,0.0007349370787863406,0.001404,0.001449,0.00150025,1000,0.011855,0.029842,0.012549268,0.0011535501706367176,0.01222975,0.0123765,0.0125465,1000,2.645234,4.968585,2.7161189589999997,0.17921681051602087,2.65588975,2.6751595,2.72818925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
