SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329079,0.436041,0.35962187843137255,0.014468188504742066,0.34892,0.354838,0.3678575,255,11.62041,12.79327,12.102568580392157,0.2204251249864199,11.9383025,12.140478,12.282187,255,0.282219,0.353321,0.30008382352941176,0.014021404775508837,0.289505,0.300046,0.3070795,255,0.136032,0.215561,0.15569680392156862,0.019279123028647076,0.1381115,0.144349,0.172547,255,3.556655,3.888676,3.693209192156863,0.054813007728614874,3.661383,3.696397,3.7202435,255,3.556655,3.888676,3.693209192156863,0.054813007728614874,3.661383,3.696397,3.7202435,255,0.022611,0.046284,0.02517846274509804,0.0030076988411741473,0.023513,0.024291,0.0259775,255,0.052631,0.093481,0.057384211764705886,0.005242274276911825,0.054361,0.055401,0.0591185,255,39.810387,55.42436,47.75557030196078,2.737861397960874,47.4354405,47.814301,48.112109,255,27.166136,42.339389,35.110856898039216,2.7366661740742373,35.067933,35.231807,35.367232,255,0.020026,0.073136,0.021957917647058824,0.004260692552225581,0.020964,0.021342,0.0217445,255,21.741515,28.965205,22.511242729411766,1.8070826401183113,21.8525045,21.896266,21.9848495,255,4.896147,15.302121,12.161331835294119,1.8126575704641579,12.771394,12.865296,12.9652675,255,0.396401,0.477283,0.4135373176470588,0.012406195339943098,0.405494,0.409755,0.4174745,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,9.127831,10.717098,9.418050927065527,0.2156990118375064,9.262527,9.336359,9.5266475,1755,8.821749,10.398851,9.109897213675215,0.21211206652145112,8.9577785,9.027153,9.2191905,1755,0.005051,0.57309,0.17279311215574547,0.16839621534532453,0.02986975,0.117478,0.275458,10530,0.006251,0.304866,0.07443757245963913,0.07150048555389041,0.01338325,0.059132,0.10471275,10530,0.035153,4.102785,1.1480441065527065,1.1834111734843404,0.084492,0.8811555,1.7233375,10530,0.035153,4.102785,1.1480441065527065,1.1834111734843404,0.084492,0.8811555,1.7233375,10530,0.097135,0.216238,0.1084919566951567,0.011213106339936196,0.102406,0.104545,0.109582,1755,0.122292,0.212097,0.13267816866096865,0.01033085625628765,0.127276,0.129291,0.1328775,1755,24.069904,41.891588,30.68705831794872,3.6232295864662825,28.3297295,30.121674,32.5093615,1755,14.394816,32.152717,20.79199056068376,3.6158687716534765,18.469348,20.249427,22.6572175,1755,0.070988,0.162853,0.0804569754985755,0.00891554146286348,0.0760155,0.078637,0.080736,1755,13.592761,30.984136,19.964965979487182,3.5264696810659295,17.702648,19.437523,21.809662,1755,0.099484,0.63978,0.2521779680911681,0.10272043906152618,0.1940455,0.226257,0.278638,1755,0.431656,0.695561,0.49214169116809114,0.030267229370222134,0.472666,0.486337,0.508222,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037572,1.756024,0.10777613800000001,0.12157342821654307,0.05415775,0.0922435,0.12445025,1000,0.126742,0.290247,0.14377226199999998,0.018029239952348407,0.130855,0.1352575,0.15539425,1000,0.001875,0.01755,0.00263870475,0.0010469927949023515,0.002074,0.002209,0.003076,4000,0.003978,0.035964,0.0051130585,0.0016036663170927268,0.004235,0.004409,0.00574925,4000,0.000402,0.017504,0.0007814510000000001,0.0008106697799344688,0.000487,0.000534,0.00098,4000,0.000402,0.017504,0.0007814510000000001,0.0008106697799344688,0.000487,0.000534,0.00098,4000,0.02031,0.067089,0.023162445,0.00405874608875389,0.02086875,0.0211555,0.02480375,1000,0.027495,0.063088,0.030340474,0.0043416141403081875,0.02813575,0.0285935,0.03168925,1000,0.420871,2.384197,0.524537341,0.15018356093864174,0.4526575,0.4849635,0.5790545,1000,0.085112,0.204393,0.100573502,0.016028421419777932,0.0884895,0.0925125,0.11104925,1000,0.024783,0.069497,0.029483213,0.005152913984303541,0.026385,0.027066,0.03201,1000,0.037661,0.093214,0.044787561000000004,0.008526666795077605,0.038767,0.0412295,0.05000075,1000,0.005249,0.026238,0.0064667200000000005,0.001834252441623017,0.0054575,0.005596,0.0069845,1000,0.016069,0.068659,0.019312152,0.004146625361290311,0.01676675,0.017496,0.020744,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037312,1.683314,0.108620277,0.11773643853766882,0.053294,0.0955015,0.12606825,1000,0.12518,0.257378,0.148899345,0.019217974648801442,0.133141,0.146551,0.16010275,1000,0.001883,0.023996,0.0026646855,0.0009921249669722812,0.002122,0.00233,0.003069,4000,0.003968,0.029032,0.005366270249999999,0.0017185690234072465,0.004344,0.004945,0.005901,4000,0.000357,0.021258,0.000766069,0.0007872342946918662,0.000482,0.000539,0.000932,4000,0.000357,0.021258,0.000766069,0.0007872342946918662,0.000482,0.000539,0.000932,4000,0.020322,0.056222,0.024039995999999998,0.004397565703657422,0.0210395,0.0232925,0.026452,1000,0.027295,0.075864,0.030012690999999998,0.0036304160865552313,0.028118,0.028573,0.03140525,1000,0.419376,2.290098,0.534910172,0.1467155973516259,0.46281375,0.499897,0.58465375,1000,0.085747,0.194562,0.102346864,0.015412927601124452,0.0895855,0.097271,0.112734,1000,0.025294,0.072197,0.030019007,0.005301570168634101,0.02647875,0.0285335,0.03211375,1000,0.037888,0.112464,0.045802305,0.008630574610301159,0.0391645,0.0434155,0.05028475,1000,0.005208,0.026286,0.006529117,0.0015898362655666779,0.00549775,0.005936,0.0070285,1000,0.01631,0.048782,0.019468231,0.0034892349493318734,0.0169665,0.018271,0.02090725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.050957,1.702619,0.079336791,0.11588178015310828,0.05245775,0.067058,0.079005,1000,0.125557,0.253964,0.136188459,0.013097569589672698,0.13010375,0.1320135,0.135894,1000,0.00189,0.043388,0.002447523,0.0011633937884357986,0.002049,0.0021335,0.00288225,4000,0.003973,0.026245,0.00486094325,0.0014777973648404702,0.004225,0.004352,0.005689,4000,0.000401,0.01106,0.0007668445,0.000742438170368247,0.000483,0.00053,0.000982,4000,0.000401,0.01106,0.0007668445,0.000742438170368247,0.000483,0.00053,0.000982,4000,0.020317,0.056867,0.021764383999999998,0.0034097585927077008,0.02077125,0.020958,0.02120325,1000,0.02742,0.074509,0.029158276,0.00422602358036772,0.02790975,0.0281665,0.02842825,1000,0.435416,2.331027,0.498597164,0.13718520344256924,0.4580735,0.4819635,0.501908,1000,0.096835,0.239479,0.120477879,0.016914338729443694,0.10855525,0.118596,0.12519375,1000,0.024624,0.062872,0.027230055,0.004708663590231839,0.0256835,0.0260595,0.02651,1000,0.042892,0.11287,0.046420771,0.007661722449329458,0.04371475,0.0440965,0.04495125,1000,0.008837,0.089442,0.027953310000000002,0.010380250666718025,0.019307,0.0290355,0.0334795,1000,0.016304,0.057591,0.018367002,0.0031884511029645723,0.017002,0.0172895,0.0178255,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.035088,1.494346,0.084103746,0.09691229505701267,0.07517975,0.0758255,0.0779205,1000,0.040128,0.115049,0.05399768,0.009366262908524402,0.051421,0.052065,0.05291825,1000,0.002863,0.01987,0.004231747,0.0013118829135982373,0.004079,0.004169,0.004256,1000,0.005621,0.027764,0.007833558,0.0022107136107230173,0.00746075,0.00756,0.00766425,1000,0.000736,0.013582,0.001093135,0.0008466884850846856,0.000963,0.000991,0.001023,1000,0.000736,0.013582,0.001093135,0.0008466884850846856,0.000963,0.000991,0.001023,1000,0.006097,0.039927,0.009573067999999999,0.002632954115319141,0.009207,0.0093935,0.00960775,1000,0.011266,0.044737,0.014289996999999999,0.0029931435429980634,0.01385475,0.0139785,0.014101,1000,0.141888,1.736878,0.244177782,0.10711286958426833,0.23288025,0.2356555,0.253855,1000,0.011876,0.117557,0.037769741999999995,0.01141974566518169,0.03773475,0.03817,0.0394415,1000,0.001995,0.019404,0.002994868,0.0010051122865511095,0.002872,0.002934,0.003004,1000,0.006745,0.086122,0.016281601,0.005258546986744437,0.015909,0.0160485,0.016261,1000,0.001524,0.078564,0.01631463,0.0069567169694547725,0.01708725,0.01739,0.0175515,1000,0.000934,0.019197,0.001413854,0.0009955735877794267,0.00125875,0.001295,0.001332,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039901,1.50692,0.099324147,0.09897134935411052,0.07591025,0.10352,0.10606475,1000,0.040207,0.116303,0.053400688,0.009236471924423091,0.05093275,0.0515195,0.05238025,1000,0.002863,0.022644,0.004178922,0.0012889710221397534,0.00405,0.004123,0.004191,1000,0.005695,0.029996,0.007596001,0.0017707695019394817,0.00737375,0.0074925,0.007599,1000,0.000803,0.015823,0.001133193,0.0010462367092350564,0.00097275,0.001007,0.001041,1000,0.000803,0.015823,0.001133193,0.0010462367092350564,0.00097275,0.001007,0.001041,1000,0.006099,0.03624,0.009519794,0.0024295410162341363,0.00920175,0.009421,0.0096,1000,0.011054,0.044307,0.014136082000000001,0.0029297966566429142,0.01358975,0.0137795,0.01399025,1000,0.141295,1.741807,0.248457075,0.10891783450875882,0.22131375,0.2518055,0.25775525,1000,0.011814,0.077583,0.02753082,0.007199872210504851,0.02471875,0.0286075,0.02935275,1000,0.001961,0.020395,0.003093093,0.0010874743676753949,0.002904,0.002978,0.00314,1000,0.006842,0.046774,0.014979785,0.00431717570047537,0.01423975,0.014929,0.015277,1000,0.001571,0.034679,0.007376458,0.0031136907261698293,0.00570175,0.008871,0.009083,1000,0.000924,0.012072,0.00133626,0.000558621736419198,0.001209,0.0012725,0.00132225,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00844,0.1421,0.010233609000000001,0.008639813746610457,0.008821,0.0089655,0.00931475,1000,1.100149,1.39463,1.1528192819999998,0.05862637844223772,1.10827475,1.1307865,1.16538075,1000,0.066618,0.120562,0.06896902099999999,0.006124777096071252,0.06712875,0.0672705,0.06742575,1000,0.03719,0.074628,0.038327771000000004,0.003479465832647161,0.03751475,0.037647,0.03785075,1000,0.000656,0.011726,0.000924562,0.0007122883490244664,0.000759,0.000795,0.000845,1000,0.983613,1.266286,1.0367327979999998,0.05766414220922042,0.99455,1.015783,1.04164425,1000,0.002638,0.020218,0.003014228,0.0010369421902960646,0.00283175,0.0029045,0.002983,1000,0.008482,0.024791,0.009018661,0.001232209055346941,0.008727,0.008821,0.00895025,1000,1.134009,1.569909,1.1891491299999999,0.06210927607199346,1.1433165,1.1658175,1.20097225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.017006,0.000367257,0.0005289086829983034,0.00032,0.000336,0.000371,1000,2.570283,5.294932,2.665516164,0.20405738294026782,2.6012975,2.646922,2.672248,1000,0.051928,0.10579,0.056508224,0.005900019730291077,0.052682,0.0563255,0.0566775,1000,0.04396,0.094732,0.047571137,0.005620009929015339,0.04449625,0.047221,0.04744,1000,0.692629,2.200046,0.724723819,0.10239728172490829,0.7009215,0.7090265,0.7312205,1000,1.765598,2.934552,1.8291392549999999,0.11654407046475584,1.786763,1.814164,1.836603,1000,0.001178,0.014436,0.001371342,0.0004365421618079976,0.001297,0.001337,0.001386,1000,0.006012,0.027223,0.006604877,0.0015473515198140982,0.00627075,0.006378,0.00654375,1000,2.586907,5.346491,2.683657704,0.2064816971315821,2.61891025,2.665288,2.6901665,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000292,0.017885,0.00037500900000000004,0.0005646293181539551,0.000328,0.0003445,0.000372,1000,2.611382,5.083019,2.693750722,0.18778234033227595,2.640176,2.67237,2.694997,1000,0.05081,0.099757,0.053361682,0.004579202302462297,0.05203825,0.0524855,0.05295425,1000,0.042717,0.081477,0.04519388,0.0042370523331202795,0.044164,0.0446045,0.044829,1000,0.687809,1.990294,0.715461667,0.08964396925901993,0.695078,0.6993775,0.72306625,1000,1.815371,2.959468,1.872121234,0.11332766159516063,1.83225275,1.851969,1.87602375,1000,0.00113,0.010551,0.001362848,0.00043163380879629893,0.001277,0.001332,0.001383,1000,0.005858,0.02371,0.006551054,0.0012594510459259622,0.006208,0.0063545,0.00653425,1000,2.628853,5.132948,2.711875659,0.19017542568577758,2.657888,2.690259,2.71360775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
