SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341182,0.527618,0.3571333294117647,0.01629602116412727,0.3480945,0.353831,0.358417,255,11.748975,13.414906,12.269931403921568,0.25379348667616486,12.17251,12.254978,12.422222,255,0.281754,0.357697,0.2964583960784314,0.013123227298698973,0.286284,0.292266,0.3033965,255,0.135935,0.21017,0.14767233333333335,0.015844638913545917,0.1380475,0.138824,0.1493955,255,3.57644,3.981113,3.685467494117647,0.07068571601906849,3.623543,3.690691,3.7314335,255,3.57644,3.981113,3.685467494117647,0.07068571601906849,3.623543,3.690691,3.7314335,255,0.022215,0.053255,0.024779721568627452,0.003482659442027405,0.023187,0.023689,0.0258965,255,0.047036,0.083905,0.05058361960784314,0.0036489189202658853,0.048846,0.049545,0.0519405,255,39.951985,54.419224,47.611284874509806,2.2532494858909167,47.53812,47.918672,48.200443,255,27.171074,41.621595,34.81094420392157,2.2815572967820126,35.037515,35.154512,35.3387595,255,0.020589,0.058506,0.02218758039215686,0.002968478547450589,0.0213805,0.021777,0.022119,255,21.755004,28.237098,22.235403149019607,1.337117167312289,21.8709,21.907383,21.9450065,255,4.892573,13.735463,12.135905870588235,1.789962790011885,12.730724,12.815956,12.954686,255,0.398378,0.48886,0.4149948117647059,0.015428115145823961,0.4051885,0.410377,0.418415,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,8.981953,14.094295,9.290490307122505,0.29643832019204464,9.1130185,9.187601,9.408104,1755,8.686312,13.73162,8.981046606837607,0.29422579254178294,8.8076675,8.875753,9.0985525,1755,0.005014,0.570011,0.17415637863247863,0.16946364624514504,0.029249,0.1195865,0.281796,10530,0.006219,0.296247,0.07604260683760684,0.07257981948342765,0.01434525,0.0632485,0.10485725,10530,0.035107,5.607965,1.1598917906932575,1.192404056088009,0.0857825,0.9442935,1.75041575,10530,0.035107,5.607965,1.1598917906932575,1.192404056088009,0.0857825,0.9442935,1.75041575,10530,0.09969,0.205703,0.11228431965811965,0.01225387790838252,0.1046895,0.107482,0.118082,1755,0.118983,0.228134,0.13066482507122507,0.010942424576852799,0.124642,0.127146,0.13302,1755,23.667569,51.226152,30.689704573789175,3.675288671063837,28.301546,30.167545,32.431965,1755,14.154683,36.67025,20.899206079772082,3.634101022799361,18.555415,20.349345,22.752206,1755,0.071312,0.159402,0.0818774735042735,0.008731368232216697,0.077386,0.079991,0.0828655,1755,13.348243,35.527596,20.06623888945869,3.547086671915019,17.79436,19.503001,21.9018475,1755,0.100596,0.779084,0.25490489686609685,0.10372318724609784,0.195901,0.22915,0.2840565,1755,0.432064,0.631688,0.4939379162393162,0.029238830448533884,0.474704,0.48747,0.510224,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037613,1.804892,0.109814419,0.12346171585454108,0.057153,0.094932,0.12579475,1000,0.125701,0.25595,0.143777188,0.018045043810161726,0.13012225,0.1349435,0.15549175,1000,0.001838,0.027067,0.002657259,0.0014849894270394651,0.002036,0.002156,0.003036,4000,0.00408,0.026325,0.0052139445,0.0017859248105448757,0.00431,0.0044765,0.00574925,4000,0.000337,0.078986,0.00077216925,0.0014966233776753713,0.000453,0.000518,0.000926,4000,0.000337,0.078986,0.00077216925,0.0014966233776753713,0.000453,0.000518,0.000926,4000,0.020104,0.074362,0.023149252000000002,0.004646361839600528,0.020593,0.020917,0.0247395,1000,0.025194,0.065949,0.027804735,0.0038345558938128674,0.0259585,0.026285,0.02896975,1000,0.422271,2.441658,0.527495849,0.15280022012537875,0.455007,0.4878005,0.58108325,1000,0.087097,0.196844,0.10288021700000001,0.016504068056873464,0.09031275,0.0944155,0.1132955,1000,0.025053,0.084331,0.029276665,0.005497697432450698,0.02604275,0.0267495,0.03148925,1000,0.039489,0.120048,0.046921963000000004,0.009026529580720987,0.040709,0.043292,0.0524935,1000,0.00542,0.032353,0.006720525,0.002377947745720036,0.005588,0.0057285,0.0070825,1000,0.015879,0.056482,0.019396212,0.0043065583524499,0.0167265,0.017466,0.020661,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.042659,1.655209,0.107836146,0.11881788728148084,0.0532655,0.093598,0.12461875,1000,0.124944,0.276015,0.143825329,0.01855479068205187,0.12954425,0.1360095,0.15530175,1000,0.001838,0.023545,0.002541596,0.001097058645325764,0.002005,0.00212,0.003007,4000,0.004043,0.026636,0.0052527615,0.0017482470776803117,0.00428275,0.004471,0.005772,4000,0.000349,0.017452,0.0007511627499999999,0.0008699524551735213,0.000457,0.0005175,0.000889,4000,0.000349,0.017452,0.0007511627499999999,0.0008699524551735213,0.000457,0.0005175,0.000889,4000,0.020019,0.060647,0.023267576,0.004563286326785116,0.020687,0.0210905,0.025032,1000,0.02525,0.066498,0.028043846,0.004499416939813868,0.02590075,0.02631,0.0291105,1000,0.420832,2.347369,0.527834373,0.14935943940125065,0.45407475,0.488382,0.58140275,1000,0.087672,0.221302,0.103797466,0.017528822854910822,0.090328,0.0948755,0.115104,1000,0.025185,0.079192,0.029691227,0.006424677131457346,0.02600375,0.026632,0.03210375,1000,0.039709,0.138966,0.047339438000000005,0.00988257053909336,0.0406585,0.04359,0.053013,1000,0.005302,0.024725,0.006751521,0.002092557761104577,0.005567,0.005985,0.00713,1000,0.016207,0.05667,0.019452833,0.00439364861352282,0.01678,0.0176265,0.0208395,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03695,1.83042,0.080331352,0.1191744755865034,0.05276,0.0675725,0.0795975,1000,0.125175,0.240472,0.135231199,0.013660263512590047,0.12771275,0.1305845,0.13347375,1000,0.001784,0.018514,0.00242200025,0.001228654616135038,0.001957,0.002051,0.00292225,4000,0.004005,0.0272,0.004905610249999999,0.0016911372687765287,0.00421975,0.004333,0.00564025,4000,0.000339,0.010563,0.00071615325,0.0007023477021849203,0.000437,0.000491,0.00092025,4000,0.000339,0.010563,0.00071615325,0.0007023477021849203,0.000437,0.000491,0.00092025,4000,0.020155,0.060584,0.021537645,0.003545066240703409,0.02056875,0.020705,0.02089025,1000,0.025416,0.070973,0.027185729999999998,0.004936758823671661,0.025926,0.026084,0.02627,1000,0.43663,2.465283,0.501095663,0.1401530046557313,0.46392475,0.482979,0.506891,1000,0.098972,0.236497,0.12272823299999999,0.017257873471337976,0.1104205,0.1202055,0.127331,1000,0.024955,0.075252,0.027496211,0.0051368256396805015,0.02584725,0.0261905,0.02660475,1000,0.044574,0.131137,0.048595201,0.008098564533829374,0.04560775,0.0460445,0.04709025,1000,0.008988,0.096361,0.027802408,0.010648050677073997,0.0192445,0.028716,0.0330875,1000,0.016243,0.060037,0.018301984,0.003761958568052551,0.01683175,0.017052,0.0175995,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037719,1.512205,0.083242524,0.09902658928321942,0.0745575,0.0751345,0.07739925,1000,0.040123,0.107398,0.052986063,0.00857806235224663,0.050833,0.051237,0.05213625,1000,0.00274,0.018939,0.004166915,0.001420505666928154,0.00400475,0.004066,0.004126,1000,0.005684,0.029807,0.007532185,0.0016782932010751279,0.00732775,0.0074285,0.00754125,1000,0.000718,0.01825,0.001042798,0.0008000418396534021,0.000947,0.000974,0.00100425,1000,0.000718,0.01825,0.001042798,0.0008000418396534021,0.000947,0.000974,0.00100425,1000,0.005948,0.030047,0.009433032999999999,0.00232651653549056,0.009117,0.0092745,0.0094245,1000,0.009747,0.034531,0.012670723,0.0025662027063875917,0.012213,0.012356,0.012498,1000,0.139466,1.745569,0.24133622700000001,0.1087544201607892,0.2300445,0.2328525,0.24931625,1000,0.011904,0.107317,0.038394229,0.011403065055438342,0.038274,0.038701,0.04157725,1000,0.002023,0.01712,0.003058946,0.0011386630120821524,0.002872,0.002948,0.00304025,1000,0.006746,0.059365,0.016938238,0.005237638849267482,0.01662675,0.0167725,0.01697,1000,0.001575,0.070747,0.01622902,0.006888996725764935,0.016919,0.017152,0.01736,1000,0.00093,0.015311,0.001405789,0.0010118258320872223,0.00122875,0.00127,0.00131525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040278,1.526839,0.099903767,0.09943993660970783,0.076208,0.103803,0.1066985,1000,0.040077,0.1168,0.053239207999999996,0.008676339656833173,0.05079825,0.051312,0.0525025,1000,0.00282,0.025229,0.004255147,0.0016796683843518041,0.00404475,0.0041135,0.004193,1000,0.005742,0.024809,0.007648389,0.001913535222481938,0.00734975,0.0074495,0.00759925,1000,0.000758,0.009822,0.001020072,0.0004418346917298369,0.00094,0.000974,0.001004,1000,0.000758,0.009822,0.001020072,0.0004418346917298369,0.00094,0.000974,0.001004,1000,0.006069,0.036591,0.009483462,0.002381297911760727,0.009191,0.0093005,0.009455,1000,0.009946,0.043037,0.012721348,0.0027794010730544092,0.012222,0.012346,0.0124675,1000,0.141296,1.82761,0.248855783,0.11060282384621069,0.22067375,0.252411,0.25942125,1000,0.012003,0.067935,0.02844364,0.007712902531628414,0.02551675,0.02945,0.03007975,1000,0.001989,0.016396,0.003062485,0.001179013501099542,0.00287375,0.002946,0.003031,1000,0.006749,0.046124,0.015710891,0.004827999917265844,0.01499425,0.0156775,0.01595,1000,0.001601,0.028477,0.007537944,0.0032762224318357873,0.005821,0.0088905,0.00926,1000,0.000949,0.015497,0.0013499690000000001,0.0008085250769388663,0.00117775,0.00125,0.001305,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008389,0.129101,0.010153131999999999,0.00847205229354588,0.008748,0.0089115,0.0094255,1000,1.099179,1.320102,1.150282645,0.04047578204322894,1.12558475,1.1342455,1.17441825,1000,0.066873,0.107867,0.069487146,0.0058574392934698,0.06720075,0.067458,0.0702225,1000,0.037205,0.084083,0.039599661999999994,0.005075518816806415,0.037884,0.0381665,0.04037025,1000,0.000673,0.020722,0.0009804149999999999,0.0010668541347227372,0.00079,0.000826,0.00086925,1000,0.985472,1.182668,1.032355709,0.03702321433328444,1.01129475,1.018884,1.05348525,1000,0.002787,0.014064,0.003101875,0.0009596361348839465,0.002916,0.00297,0.00304225,1000,0.008134,0.028997,0.008704449000000001,0.0016763755114529082,0.00835675,0.008443,0.008569,1000,1.131349,1.489585,1.186113768,0.04414248675684432,1.15928075,1.1693515,1.211477,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000293,0.009324,0.000351515,0.0002884705492333663,0.000321,0.000336,0.000352,1000,2.509935,5.089918,2.607524034,0.1974603882119724,2.55009175,2.583582,2.61890875,1000,0.050885,0.100524,0.054782218,0.0057299134733847425,0.0523135,0.052648,0.056247,1000,0.043248,0.088242,0.046328527,0.004846199197646646,0.0446645,0.044896,0.047173,1000,0.687878,2.163961,0.720549296,0.10153766538854625,0.693491,0.714315,0.725613,1000,1.712517,2.795362,1.778226761,0.11210019867860127,1.73949575,1.7623975,1.7837465,1000,0.001104,0.021246,0.0013539770000000001,0.0007823466932703174,0.001233,0.001282,0.001364,1000,0.005991,0.027203,0.006721103,0.0014667822027796085,0.006363,0.006492,0.00666125,1000,2.52695,5.139446,2.6259966,0.19986073602429769,2.5678625,2.6028395,2.63741725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000295,0.000875,0.00036644600000000004,5.379856024095812e-05,0.000338,0.000358,0.000383,1000,2.604034,5.107223,2.6947415780000004,0.19139286954561793,2.63450175,2.6750215,2.70185,1000,0.050838,0.109139,0.053957131,0.006229177636882657,0.05195425,0.052388,0.053021,1000,0.043089,0.080932,0.045735216,0.004456810753817577,0.0444165,0.0446905,0.04517475,1000,0.690095,2.056852,0.7175141230000001,0.0907087901991856,0.6953695,0.7040865,0.72541225,1000,1.808168,2.956517,1.869857624,0.11606499664536515,1.8228845,1.854496,1.8771265,1000,0.001104,0.002807,0.001311,0.000178508190288289,0.001206,0.001259,0.00134325,1000,0.006007,0.02481,0.006652487,0.001225754214282374,0.00631975,0.0064645,0.00665925,1000,2.620115,5.15752,2.7129154890000002,0.19376052257294796,2.65229075,2.693345,2.71943475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
