SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332048,0.423056,0.3556451176470588,0.0129152614412548,0.3485285,0.352023,0.357275,255,11.779741,12.973037,12.273202945098038,0.21792223418335185,12.143658,12.320033,12.4178095,255,0.283298,0.353115,0.29355716078431376,0.01108401308516855,0.2872285,0.288803,0.295518,255,0.135987,0.178757,0.14132051764705883,0.008538505363919882,0.137535,0.138334,0.1395635,255,3.567454,3.84601,3.674504933333333,0.05239112474215931,3.643258,3.676401,3.7054135,255,3.567454,3.84601,3.674504933333333,0.05239112474215931,3.643258,3.676401,3.7054135,255,0.023232,0.066755,0.024955678431372547,0.0033549515572502053,0.024117,0.024446,0.024798,255,0.048014,0.095814,0.05067656078431373,0.005182878582715209,0.049059,0.049532,0.050045,255,40.117778,54.697601,47.72667814117647,1.7093432735124834,47.698176,47.950329,48.1787255,255,27.289921,41.429811,34.928381478431376,1.705456923318525,35.0629575,35.198722,35.2848595,255,0.02068,0.041709,0.02240363137254902,0.0017952855290400103,0.021676,0.022081,0.0225495,255,21.760796,28.217591,22.345003658823533,1.58013712616161,21.8539555,21.884654,21.923799,255,4.892057,15.319998,12.142918337254903,1.800508481336938,12.7498665,12.854997,12.939235,255,0.394374,0.500474,0.4151925607843137,0.012859861529277351,0.4072505,0.412358,0.4187285,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.98454,13.285814,9.275295721367522,0.26317901454240744,9.109847,9.188708,9.3848315,1755,8.699699,12.990864,8.970969294017094,0.26049261332460616,8.8094305,8.881806,9.0798635,1755,0.004944,0.587929,0.1735478923076923,0.16949108931291584,0.02969525,0.117766,0.2798045,10530,0.005941,0.281383,0.07345681006647672,0.07049705335896317,0.0137395,0.0571585,0.104288,10530,0.035578,5.090603,1.162972121937322,1.1922610332086112,0.084593,0.889524,1.752797,10530,0.035578,5.090603,1.162972121937322,1.1922610332086112,0.084593,0.889524,1.752797,10530,0.09781,0.186436,0.1086967680911681,0.010251184844384559,0.1027165,0.105003,0.1099965,1755,0.117558,0.196749,0.12779334757834757,0.00899233197335793,0.1228695,0.125146,0.1294065,1755,24.031257,41.485359,30.651021613105414,3.6501312586746724,28.280316,30.081337,32.3766665,1755,14.373307,31.364394,20.88745489002849,3.628519989528276,18.538722,20.35592,22.6846055,1755,0.072767,0.175808,0.08209939772079772,0.008611222908093385,0.078265,0.080331,0.0823415,1755,13.526652,30.455986,20.05700238233618,3.5412963595318563,17.772258,19.52852,21.8511135,1755,0.101892,0.655184,0.25272530142450145,0.10374956658523564,0.1959805,0.223568,0.2775645,1755,0.441752,0.607939,0.49331948376068374,0.027388909337225986,0.475327,0.487632,0.508051,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.044995,1.792081,0.10865316,0.12438585288732155,0.0536945,0.093529,0.124604,1000,0.125024,0.265745,0.14317004,0.017281098518219264,0.1307005,0.1356375,0.15566625,1000,0.001847,0.032644,0.0025880927499999998,0.0011948047510566056,0.00205,0.002161,0.002949,4000,0.003985,0.051385,0.0051510919999999995,0.0017471075258941563,0.004299,0.004498,0.005752,4000,0.000371,0.018032,0.000787563,0.0008521943378895449,0.000501,0.000556,0.00094525,4000,0.000371,0.018032,0.000787563,0.0008521943378895449,0.000501,0.000556,0.00094525,4000,0.019898,0.058675,0.022918722000000002,0.004119796862797485,0.02053075,0.0209325,0.0246115,1000,0.025584,0.062154,0.028376527999999998,0.004461896965777672,0.02619525,0.026534,0.0295305,1000,0.420619,2.485202,0.526307325,0.15412334767053748,0.45464075,0.487229,0.5794045,1000,0.087267,0.229532,0.103006365,0.01685571372543373,0.09041025,0.094499,0.113964,1000,0.025045,0.082561,0.029597643,0.006242057754262692,0.02605325,0.026877,0.03191075,1000,0.039728,0.098576,0.046864396999999995,0.0089764234448577,0.04065125,0.0430425,0.052398,1000,0.005268,0.025015,0.006586481,0.0019578228519554573,0.00555,0.005702,0.00704425,1000,0.016345,0.070379,0.019398283,0.004352822745174791,0.01682775,0.017586,0.020728,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03414,1.786152,0.108554654,0.1226531217456787,0.05319625,0.0946605,0.12616525,1000,0.124212,0.243994,0.14271494,0.017245717859874665,0.12922975,0.134905,0.1540525,1000,0.001849,0.024045,0.0025613604999999997,0.001236864033772407,0.002042,0.002167,0.002934,4000,0.003998,0.030036,0.00515602725,0.0017221019136530328,0.004241,0.004411,0.00568025,4000,0.000377,0.048471,0.00075303725,0.0010035709172063713,0.00048,0.000535,0.000871,4000,0.000377,0.048471,0.00075303725,0.0010035709172063713,0.00048,0.000535,0.000871,4000,0.020051,0.065302,0.0229608,0.004366620564464011,0.020511,0.020786,0.02454925,1000,0.025506,0.065019,0.028100539,0.0041938495896346835,0.026011,0.0263855,0.029372,1000,0.420489,2.411745,0.526667358,0.151752355464236,0.451799,0.4873235,0.58030075,1000,0.087574,0.205189,0.10382193799999999,0.017314662929787457,0.0904465,0.094818,0.114699,1000,0.025174,0.075808,0.029816961,0.0062078616287316694,0.02616625,0.026967,0.0323125,1000,0.039548,0.121813,0.047348729,0.009846785871519648,0.040568,0.043416,0.05264275,1000,0.005363,0.056855,0.006836607,0.0026485669379026464,0.0056335,0.00605,0.00714275,1000,0.016092,0.052338,0.0192785,0.003801492514526367,0.01680975,0.0173775,0.02072775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036519,1.675821,0.080676494,0.11738799946508997,0.05378575,0.0676435,0.08086325,1000,0.125248,0.289624,0.13672537899999998,0.016669500170651757,0.12917725,0.1309365,0.13482625,1000,0.001836,0.027867,0.0024329969999999997,0.0011695796826172214,0.00201,0.002103,0.002848,4000,0.004019,0.02462,0.0048486944999999995,0.0014689429538514251,0.004199,0.004311,0.00558625,4000,0.000387,0.022008,0.00078635525,0.0008888610957553702,0.000496,0.000551,0.000956,4000,0.000387,0.022008,0.00078635525,0.0008888610957553702,0.000496,0.000551,0.000956,4000,0.020077,0.061239,0.021660083,0.004064227667849207,0.02051275,0.0206755,0.020928,1000,0.025582,0.063035,0.027120865,0.004055074471421579,0.026016,0.0261565,0.02638225,1000,0.438773,2.379916,0.504492728,0.14286374356898257,0.46011025,0.484355,0.50764775,1000,0.098787,0.237814,0.12423722599999999,0.018645209223415112,0.1109475,0.121392,0.1285055,1000,0.02537,0.070664,0.028161697,0.005810024090586114,0.02623075,0.026637,0.02706425,1000,0.044797,0.150874,0.048940245,0.00878928488803128,0.0455925,0.046016,0.04708425,1000,0.008872,0.082045,0.028099825000000002,0.01045320961974718,0.0194885,0.0291655,0.03338325,1000,0.016387,0.050048,0.018505880000000002,0.0033932536880699037,0.017092,0.0173525,0.017887,1000,0.0,2.3,0.45999999999999996,0.9199999999999999,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040301,1.458272,0.08369308900000001,0.09702347527891939,0.0753285,0.075879,0.07784575,1000,0.039881,0.157219,0.05373695,0.009315736868305158,0.051091,0.051538,0.0535585,1000,0.002804,0.019723,0.004229433,0.0015395752386651975,0.00403675,0.004103,0.00417625,1000,0.00559,0.025544,0.007741968,0.002128023733649604,0.00737175,0.007485,0.00765525,1000,0.000701,0.009807,0.001033064,0.00046858668344715044,0.000952,0.000984,0.00101,1000,0.000701,0.009807,0.001033064,0.00046858668344715044,0.000952,0.000984,0.00101,1000,0.00616,0.039893,0.009518601,0.0023654637489927844,0.0092395,0.0094205,0.009582,1000,0.009988,0.039109,0.012706815,0.0025244426954825097,0.01232875,0.0124435,0.01255825,1000,0.14129,1.725938,0.243523667,0.10748652367234747,0.23257825,0.235132,0.25169575,1000,0.012019,0.101518,0.038492384,0.01096927919366373,0.03864475,0.0391335,0.04038,1000,0.00203,0.018095,0.003106896,0.00119607987324593,0.002901,0.003023,0.003119,1000,0.006865,0.060729,0.016917816,0.004957692434202025,0.01669075,0.016894,0.01716275,1000,0.001591,0.067287,0.01621868,0.0065798243325791,0.017155,0.017394,0.01756325,1000,0.000937,0.015961,0.001463885,0.000984876438836365,0.001295,0.001345,0.001398,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040159,1.490707,0.099069167,0.10032182670753714,0.07591175,0.103717,0.105478,1000,0.040278,0.131345,0.053228867,0.009381967050960635,0.05067675,0.0511205,0.05191875,1000,0.002756,0.017925,0.004157491,0.0014255658679692776,0.00399675,0.004063,0.004135,1000,0.005663,0.030935,0.007705241,0.002401410321648302,0.007324,0.007422,0.007519,1000,0.00072,0.018888,0.00106004,0.0009225844071953524,0.000935,0.000967,0.000997,1000,0.00072,0.018888,0.00106004,0.0009225844071953524,0.000935,0.000967,0.000997,1000,0.006108,0.037484,0.009510513000000002,0.0025857186524892847,0.009196,0.0093315,0.009474,1000,0.010106,0.044443,0.012811483,0.0027766305785449745,0.01234175,0.0124555,0.01258,1000,0.140434,1.737531,0.24825159,0.11049729783969334,0.220385,0.2519085,0.256456,1000,0.011764,0.089406,0.028500908,0.007959445613077333,0.025558,0.0294575,0.0300925,1000,0.001975,0.021095,0.0030957199999999997,0.001278570025301704,0.00290075,0.0029755,0.00305425,1000,0.006707,0.055143,0.015752362,0.005020548757352726,0.0149335,0.015672,0.015972,1000,0.001589,0.026859,0.007525988999999999,0.0032159874755475965,0.0058615,0.008837,0.009221,1000,0.00096,0.01627,0.001400078,0.0009291003368398917,0.001203,0.001277,0.001342,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008464,0.154494,0.01039087,0.00898462399108054,0.00887775,0.009041,0.0093595,1000,1.10114,1.261669,1.133068685,0.025439301983658572,1.11013575,1.133152,1.14296675,1000,0.067057,0.116961,0.06915996499999999,0.006443562615958271,0.06736075,0.067463,0.067603,1000,0.037276,0.073145,0.038625264,0.004012703131843172,0.037718,0.037875,0.038031,1000,0.000684,0.009564,0.000864848,0.0003567662748859539,0.000784,0.000828,0.000882,1000,0.986005,1.117722,1.016089937,0.02246597493417615,0.99562375,1.0178845,1.027077,1000,0.002706,0.022717,0.0031272170000000003,0.001264815339055864,0.002868,0.0029235,0.003007,1000,0.008238,0.025713,0.00885926,0.0015397150302572224,0.00847975,0.0086065,0.0088055,1000,1.133693,1.456767,1.1693285519999999,0.031103743498738155,1.1452435,1.1675885,1.178852,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.009331,0.000350548,0.0002889904145399981,0.000317,0.0003315,0.000353,1000,2.509725,5.158791,2.586419455,0.20400227835875256,2.52066575,2.562645,2.59244875,1000,0.052369,0.097833,0.05438951,0.005423478874845923,0.05291775,0.0531095,0.0533855,1000,0.044116,0.087177,0.045960305,0.005175201656165197,0.04454275,0.0448585,0.04504625,1000,0.688837,2.210388,0.7151848270000001,0.10398724431867147,0.694143,0.6967955,0.72284875,1000,1.710486,2.856147,1.763188884,0.11620186346541325,1.71863475,1.74519,1.77415475,1000,0.001141,0.004568,0.001364053,0.0002079372313728352,0.001278,0.0013285,0.001396,1000,0.006042,0.028781,0.006801374,0.001789375755989781,0.006371,0.0065355,0.0067265,1000,2.525912,5.228431,2.6049715580000004,0.20650257465071628,2.538712,2.580012,2.61157375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000277,0.000817,0.00033586900000000003,5.170761877131841e-05,0.000306,0.000321,0.000354,1000,2.597152,5.112399,2.6937487969999996,0.1910660333343627,2.64299675,2.6712075,2.6981455,1000,0.051859,0.117026,0.054816015,0.006662499355855504,0.052513,0.0528985,0.053498,1000,0.043944,0.09284,0.046199221,0.005375038427412311,0.044479,0.044698,0.04542025,1000,0.689458,1.999239,0.7205845089999999,0.09090376425521617,0.698134,0.7056895,0.72731275,1000,1.799296,2.956269,1.8645990719999999,0.11638876206058218,1.8262085,1.8468335,1.86899725,1000,0.001165,0.010067,0.0013501980000000002,0.0003232829485079595,0.00127675,0.001316,0.00136625,1000,0.005968,0.024792,0.0066966840000000005,0.0013870850407037053,0.00631275,0.006478,0.0066575,1000,2.61386,5.161712,2.712119597,0.19349567016947586,2.66059075,2.6898815,2.716635,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.1,1.42,2.84,0.0,0.0,0.0,5
