SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329128,0.665904,0.3670507450980392,0.036503585523618404,0.3485005,0.355738,0.3765395,255,11.789069,21.089252,12.481832325490196,0.7885536441003124,12.2169545,12.376665,12.56817,255,0.284604,0.546069,0.302395937254902,0.02959218864822508,0.2878145,0.294964,0.30744,255,0.139102,0.2596,0.15133403921568628,0.018967258485229777,0.1407705,0.141855,0.1524815,255,3.548038,5.676575,3.7413474862745097,0.22392661953530366,3.6438055,3.705951,3.783832,255,3.548038,5.676575,3.7413474862745097,0.22392661953530366,3.6438055,3.705951,3.783832,255,0.025441,0.065284,0.0279654431372549,0.003698841442846077,0.0265365,0.026964,0.0276985,255,0.057302,0.093245,0.061144113725490196,0.005084762672350139,0.0591035,0.059701,0.0609225,255,40.143996,62.888259,48.222190376470586,3.24444069558481,47.659013,48.032985,48.572482,255,27.179994,45.164326,35.18725896470588,2.8839133319182393,35.0577525,35.206668,35.377777,255,0.020448,0.051405,0.02233358039215686,0.0030443619854477,0.021361,0.021702,0.0222095,255,21.782648,31.52195,22.51628134509804,1.78442875849449,21.872509,21.919661,22.0391365,255,4.87914,17.705207,12.222295850980391,1.9087146824412826,12.7502885,12.855476,12.9432345,255,0.396544,0.674699,0.4235957098039216,0.029085102460796007,0.405763,0.414042,0.4321625,255,0.0,10.8,2.16,4.319999999999999,0.0,0.0,0.0,5
SofaScene,8.644217,22.336115,9.251193032478632,0.9533096756881546,8.8655395,9.053823,9.247197,1755,8.356115,21.838488,8.931512573789174,0.9437605817305202,8.551118,8.734506,8.923854,1755,0.004778,2.200789,0.17599867331433997,0.17354997171016065,0.0285485,0.133936,0.281937,10530,0.006264,0.886636,0.082519947008547,0.08045580981925671,0.014801,0.0743495,0.13185525,10530,0.034152,10.725972,1.1857309451092117,1.2455251918238432,0.08966425,1.1769305,1.71169625,10530,0.034152,10.725972,1.1857309451092117,1.2455251918238432,0.08966425,1.1769305,1.71169625,10530,0.095032,0.377884,0.11185781367521368,0.017255949554911092,0.1005235,0.104888,0.1172435,1755,0.146224,0.5889,0.16250304102564103,0.01839653465976067,0.1521515,0.157817,0.163648,1755,23.720065,57.594078,30.908055933903135,4.23399862459624,28.114223,30.183276,32.7768075,1755,14.39201,41.872017,21.106821717378917,3.8689027108965024,18.4622405,20.500921,22.8437925,1755,0.073892,0.164135,0.08670492364672365,0.012292490303652683,0.0800255,0.082949,0.0877705,1755,13.665213,40.704188,20.24205192934473,3.7679099362478223,17.658892,19.658131,21.9735005,1755,0.101168,1.011834,0.26520151509971507,0.11262976982495787,0.200556,0.237532,0.292405,1755,0.433249,1.254679,0.5106986814814815,0.051306616247315105,0.483546,0.501119,0.524459,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.041577,1.672318,0.106499854,0.11963540728354916,0.05292975,0.0921965,0.12336625,1000,0.126118,0.253439,0.142821725,0.017218110803667603,0.1302875,0.1348915,0.15419325,1000,0.00187,0.025123,0.00258758675,0.0010619782219868906,0.00208475,0.002203,0.003044,4000,0.004063,0.031756,0.0051958757500000004,0.0016571798370460394,0.004315,0.004523,0.005731,4000,0.000398,0.019588,0.000769604,0.000798662247877036,0.000499,0.0005535,0.0009035,4000,0.000398,0.019588,0.000769604,0.000798662247877036,0.000499,0.0005535,0.0009035,4000,0.019931,0.057113,0.022995469,0.004051702885829488,0.02069275,0.021059,0.024768,1000,0.025761,0.058229,0.028242994,0.0037804829093601258,0.02626375,0.0266375,0.0294245,1000,0.420693,2.281378,0.521338352,0.14865735919241974,0.44470425,0.4825145,0.57793125,1000,0.087777,0.181668,0.10218751200000001,0.016383301652226758,0.09043475,0.0942595,0.11363875,1000,0.025026,0.062192,0.028877403,0.004819336295029742,0.0258615,0.026592,0.03125875,1000,0.039656,0.097397,0.046614665,0.008973372945262834,0.040517,0.042893,0.051864,1000,0.005558,0.025203,0.006745671,0.0017939356211299777,0.00578375,0.005927,0.0072685,1000,0.01621,0.057902,0.019412777,0.0039241064658430205,0.0170815,0.017746,0.02086725,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.051209,1.656817,0.107210711,0.1181487231014262,0.0528835,0.092837,0.1241035,1000,0.124956,0.229733,0.142632449,0.016423347146833345,0.12986575,0.134639,0.15478875,1000,0.001904,0.01724,0.0025999315,0.0008649592552876406,0.002104,0.002229,0.00306525,4000,0.003978,0.029682,0.0051900602500000005,0.0017222982133242597,0.00427175,0.004467,0.005692,4000,0.000381,0.010867,0.00075926825,0.0007143208769817228,0.000493,0.00054,0.000912,4000,0.000381,0.010867,0.00075926825,0.0007143208769817228,0.000493,0.00054,0.000912,4000,0.020157,0.050841,0.022962593,0.003714284045862809,0.02065075,0.02099,0.024648,1000,0.025677,0.104778,0.028528131,0.005278326989097872,0.02622875,0.026594,0.02959275,1000,0.421136,2.29847,0.523471832,0.14931424926772321,0.44572475,0.484972,0.578064,1000,0.087647,0.203034,0.10297964500000001,0.016208680647078436,0.090792,0.094913,0.11390525,1000,0.024752,0.067792,0.029022783,0.005041575502351521,0.02589775,0.0267535,0.03143225,1000,0.039585,0.099166,0.046996476,0.00895156359790981,0.04065325,0.043548,0.05239825,1000,0.005392,0.051607,0.00676457,0.002241106604135555,0.00567075,0.0060575,0.007167,1000,0.016626,0.046218,0.019642721000000002,0.0035887812342296653,0.01729,0.0178395,0.02111,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037004,1.704179,0.080119912,0.11597712318346345,0.0526635,0.066816,0.07951125,1000,0.125088,0.315706,0.137307674,0.017006094321146286,0.12870675,0.1319055,0.13755425,1000,0.001877,0.019653,0.00249738425,0.001147316168325862,0.002048,0.002122,0.002936,4000,0.003951,0.024448,0.00489174925,0.0016634431013336276,0.004168,0.004283,0.00559225,4000,0.000402,0.017854,0.0007827664999999999,0.000802606234387542,0.000493,0.000538,0.00097,4000,0.000402,0.017854,0.0007827664999999999,0.000802606234387542,0.000493,0.000538,0.00097,4000,0.020131,0.059652,0.02181645,0.0034946049484169167,0.0207,0.0209555,0.02122125,1000,0.025724,0.064201,0.027303197,0.003477016744019361,0.026244,0.026412,0.02663625,1000,0.437322,2.353717,0.505099101,0.14067157548565665,0.455292,0.4850535,0.50826575,1000,0.100352,0.302807,0.125089385,0.019874100576146206,0.111469,0.121618,0.13029575,1000,0.025269,0.062927,0.027726809,0.004515235215635948,0.02602675,0.0263275,0.026682,1000,0.044924,0.196558,0.049616383,0.009591181349881307,0.04589675,0.0464075,0.0486255,1000,0.009148,0.107784,0.028176366,0.01058544996795337,0.01955875,0.028972,0.03386725,1000,0.01672,0.050989,0.0190323,0.003619571603933261,0.017407,0.017657,0.018617,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.02625,1.470436,0.081241663,0.09606757070563111,0.074176,0.0748835,0.0762485,1000,0.040523,0.103637,0.052539793,0.006786247887319693,0.05116675,0.0517255,0.052525,1000,0.002906,0.020728,0.004114016,0.0010998603410178947,0.004,0.004072,0.004147,1000,0.005721,0.022683,0.007568628,0.0012324778495437555,0.007443,0.0075495,0.007665,1000,0.000757,0.006196,0.000994307,0.0003937564637577395,0.000921,0.000945,0.000969,1000,0.000757,0.006196,0.000994307,0.0003937564637577395,0.000921,0.000945,0.000969,1000,0.006127,0.036643,0.009340584,0.00206828861161686,0.009211,0.009321,0.00947725,1000,0.009846,0.036799,0.012316694999999999,0.001908818482196513,0.012112,0.0122245,0.01233825,1000,0.140099,1.69599,0.236512189,0.1049496153522026,0.229709,0.232622,0.2370825,1000,0.012006,0.083267,0.037566290999999995,0.009897990720460341,0.038358,0.0387775,0.03981825,1000,0.001901,0.011858,0.002904683,0.0005575850361254326,0.002834,0.002901,0.002972,1000,0.006839,0.046958,0.016631917000000003,0.004395099461458295,0.01664475,0.0167885,0.017003,1000,0.001644,0.056278,0.015901731,0.006043944002275253,0.0170485,0.0172475,0.017407,1000,0.000948,0.010112,0.001376408,0.0005273912414289793,0.001262,0.001309,0.001353,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.035107,1.525729,0.09677364599999999,0.10059600987823863,0.07450325,0.101958,0.103809,1000,0.040166,0.119093,0.052338736,0.007481312310036522,0.0509135,0.0514225,0.05199525,1000,0.002821,0.018976,0.004064744,0.0010645010805367932,0.003972,0.004049,0.004125,1000,0.005679,0.027787,0.007534502,0.001510423462475342,0.00737,0.007481,0.0075865,1000,0.000732,0.016875,0.0010469639999999998,0.0009475311280923704,0.000916,0.000943,0.000969,1000,0.000732,0.016875,0.0010469639999999998,0.0009475311280923704,0.000916,0.000943,0.000969,1000,0.006102,0.036281,0.009390193,0.0023298051866520943,0.0091555,0.009315,0.009479,1000,0.009839,0.042902,0.012297243000000001,0.002367798082597205,0.011987,0.012103,0.01220725,1000,0.13933,1.759329,0.242551431,0.10997599914069996,0.21795025,0.248303,0.253026,1000,0.012107,0.076722,0.028389308000000002,0.00738083401257175,0.025624,0.029629,0.03037225,1000,0.001903,0.030643,0.002973904,0.001294546631367136,0.00282275,0.002909,0.002982,1000,0.006832,0.05186,0.015875626,0.004517960932337065,0.01507375,0.0158615,0.0163035,1000,0.001635,0.030283,0.007404272,0.002835829762523837,0.00584575,0.0089155,0.009249,1000,0.000992,0.010445,0.001353601,0.0005410348582106331,0.001216,0.001277,0.00134,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008576,0.157149,0.010308418,0.009397280005899365,0.008856,0.0089655,0.009222,1000,1.109047,1.250625,1.136493905,0.01893597021607224,1.12097375,1.1349965,1.146251,1000,0.066849,0.112072,0.068439269,0.004905393866208809,0.067189,0.067311,0.06749325,1000,0.037812,0.07486,0.03938810500000001,0.004103211164438774,0.038199,0.0384305,0.03880725,1000,0.000681,0.015561,0.0008585099999999999,0.0005892503032667865,0.000775,0.000809,0.000853,1000,0.993557,1.125536,1.0196925479999999,0.016675234898666225,1.0058805,1.0187565,1.0292995,1000,0.002621,0.076404,0.003061979,0.002555375649989449,0.00275575,0.0028005,0.002861,1000,0.011139,0.033578,0.011773292999999999,0.0017057104687346562,0.011438,0.011533,0.01164325,1000,1.145215,1.430652,1.175257643,0.024883153393642676,1.15887925,1.172777,1.1850355,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,9.9,2.46,3.758510343207798,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000269,0.000873,0.000332459,5.35802605350142e-05,0.000305,0.0003205,0.000347,1000,2.507203,4.917768,2.576220619,0.18851610205585045,2.519766,2.551982,2.57817625,1000,0.051878,0.096112,0.054552699999999996,0.005164807439004866,0.0526045,0.0529795,0.053535,1000,0.044064,0.108411,0.045986259,0.004801834225368364,0.044428,0.044633,0.045141,1000,0.687398,2.050878,0.711236923,0.0956265737555993,0.69371225,0.6967215,0.714877,1000,1.709531,2.742247,1.7566603619999999,0.10883322458139776,1.7168785,1.7377805,1.7603665,1000,0.001147,0.010157,0.00137264,0.0003421249163682762,0.001263,0.0013275,0.00140825,1000,0.011612,0.027523,0.012243572,0.001230459883464715,0.011938,0.012056,0.01223225,1000,2.52937,4.973592,2.600252542,0.1907533531482061,2.54305525,2.5760855,2.601728,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000271,0.009974,0.00038533100000000004,0.00032484280727607313,0.000318,0.00034,0.00037,1000,2.614987,5.008125,2.746722195,0.21781755071173894,2.66103025,2.69705,2.7450955,1000,0.050899,0.121017,0.0567461,0.009803170963519917,0.052169,0.052679,0.0558385,1000,0.042779,0.101375,0.047060343,0.007114089834360471,0.04436075,0.044776,0.0461585,1000,0.688568,1.987877,0.7260448079999999,0.09235272365073559,0.69669725,0.7077795,0.7297285,1000,1.819512,3.392248,1.90807321,0.13826520615432467,1.84150175,1.875136,1.919904,1000,0.001164,0.01059,0.001520106,0.0005854689562769319,0.00129875,0.0013785,0.00146025,1000,0.011427,0.044316,0.01325877,0.003236802315109775,0.011985,0.0121545,0.012547,1000,2.636524,5.063053,2.7727494640000003,0.22202193142976373,2.684495,2.720594,2.7704835,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,13.3,2.66,5.32,0.0,0.0,0.0,5
