SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332447,0.522716,0.3457587725490196,0.018554060892092647,0.337094,0.341406,0.3461795,255,11.859935,15.934742,12.427374780392157,0.37232983802230585,12.241199,12.425441,12.5984055,255,0.283005,0.430919,0.2999140862745098,0.018346822696565835,0.287831,0.295337,0.306294,255,0.136582,0.218399,0.15301604705882352,0.017906170127009107,0.1382365,0.14341,0.1683025,255,3.898883,5.206556,4.042617098039216,0.12024151991039925,3.9729095,4.025494,4.096117,255,3.898883,5.206556,4.042617098039216,0.12024151991039925,3.9729095,4.025494,4.096117,255,0.022753,0.033423,0.02494010980392157,0.0018189220670447412,0.0237865,0.024311,0.0255095,255,0.052868,0.100141,0.056059737254901966,0.004842804130729641,0.0537655,0.054272,0.05696,255,40.148606,55.564173,47.54212145490197,1.9324684885261854,47.612506,48.005587,48.2614605,255,27.166495,42.1421,34.580612854901965,1.887842682746322,35.0184365,35.11679,35.347893,255,0.020052,0.039408,0.022140584313725488,0.002158448184335177,0.021294,0.021646,0.0220305,255,21.782829,28.263195,22.024403215686274,0.49439202268315546,21.88256,21.925288,22.0638315,255,4.848129,13.909725,12.119553643137255,1.7731535286676092,12.7088385,12.778561,12.8658125,255,0.388758,0.625544,0.4125806666666667,0.02142096075257594,0.401699,0.408371,0.4147615,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.476934,21.936153,13.728942313390313,0.4908400160203191,13.4734015,13.680936,13.804184,1755,12.141879,21.573861,13.383359276353277,0.48315559632954924,13.1384535,13.337168,13.449722,1755,0.008723,2.332092,0.26453897787274455,0.23547355988080368,0.05512975,0.2759355,0.4226515,10530,0.00983,1.542784,0.11101299097815764,0.08889257961642631,0.027653,0.113134,0.194514,10530,0.073139,9.784106,1.922452051851852,1.9624175099580223,0.17267,1.1385965,2.763142,10530,0.073139,9.784106,1.922452051851852,1.9624175099580223,0.17267,1.1385965,2.763142,10530,0.091657,0.197228,0.11327359544159545,0.01534536331576228,0.10076,0.112471,0.1161805,1755,0.131394,0.268281,0.14866977207977208,0.015217845321851258,0.1384225,0.144764,0.1477175,1755,24.345073,59.668358,29.54812157207977,2.6268974082257492,27.729561,29.338413,31.218332,1755,10.339574,42.560537,15.205532677492878,2.5363077438073245,13.447425,14.960895,16.8317145,1755,0.074326,0.178755,0.08838480512820514,0.011831113323990346,0.0817125,0.085665,0.0898165,1755,9.475929,41.407045,14.315627347008547,2.452238373937857,12.6486245,14.103952,15.949527,1755,0.105338,0.67653,0.2801525316239316,0.10682959603079097,0.2176145,0.258771,0.3129595,1755,0.438123,0.958066,0.518680637037037,0.03192472057204731,0.496779,0.517109,0.5395265,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.028451,1.643742,0.094225762,0.11655488051458572,0.04363825,0.080696,0.1102375,1000,0.195303,0.348731,0.21633485800000002,0.020604592866781814,0.201241,0.2064555,0.2320895,1000,0.002051,0.022787,0.00268989325,0.0008109140348116052,0.00223,0.002336,0.003138,4000,0.004282,0.022626,0.0053175515,0.0012015554861710507,0.00457,0.004744,0.00599225,4000,0.015044,0.055284,0.017611933,0.0027592485757015443,0.01579475,0.016495,0.01889,4000,0.015044,0.055284,0.017611933,0.0027592485757015443,0.01579475,0.016495,0.01889,4000,0.02055,0.062563,0.023150784,0.0034205141448829003,0.02105225,0.0213815,0.0250175,1000,0.025694,0.053779,0.027974577,0.0027045212700348652,0.02633975,0.0266985,0.0291665,1000,0.492367,2.398344,0.595561527,0.15166770150214998,0.5092395,0.5574085,0.65650325,1000,0.091472,0.264591,0.10621014299999999,0.01660270518887061,0.09465075,0.0985145,0.1174485,1000,0.025372,0.061732,0.02973909,0.004972078386137933,0.02655975,0.0276905,0.0321405,1000,0.041093,0.156305,0.048107803,0.009360911044134059,0.042267,0.043145,0.053058,1000,0.006259,0.022789,0.0075171859999999995,0.001721660349024743,0.006508,0.006715,0.00812975,1000,0.016959,0.042326,0.019863472,0.003117538397392404,0.01768875,0.0183905,0.02154775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.033747,1.902978,0.095325772,0.12152367493640084,0.04384125,0.081198,0.11163475,1000,0.194286,0.413943,0.218462488,0.023939127466970387,0.201485,0.208012,0.233717,1000,0.002016,0.020776,0.002708808,0.0008569729914857294,0.00222,0.002353,0.003135,4000,0.004251,0.023968,0.00539679775,0.0014184659706333945,0.004593,0.004788,0.006014,4000,0.015086,0.067144,0.01773799275,0.0029606468094315872,0.01581775,0.0165885,0.018897,4000,0.015086,0.067144,0.01773799275,0.0029606468094315872,0.01581775,0.0165885,0.018897,4000,0.020673,0.056194,0.023574816999999998,0.003685472147433894,0.02112375,0.021592,0.0257835,1000,0.025548,0.07187,0.028160193,0.003750563037698607,0.026291,0.026642,0.02938475,1000,0.491133,2.795443,0.601119493,0.15741606358548657,0.51844425,0.561099,0.6610265,1000,0.091515,0.260772,0.106808402,0.01704538519049646,0.0948955,0.0988105,0.11754475,1000,0.025527,0.066957,0.029689328,0.004744550346493965,0.026675,0.02776,0.0322365,1000,0.041186,0.131761,0.048634076,0.009587327630274454,0.04239425,0.043632,0.05427375,1000,0.006136,0.022371,0.007534804,0.0016382491311104058,0.00645875,0.00691,0.00800125,1000,0.016907,0.070207,0.019946224999999998,0.0037121031034138855,0.01764875,0.0182915,0.02152025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.028658,1.75345,0.066533459,0.12002214249350958,0.041767,0.053646,0.0662705,1000,0.195753,0.328411,0.206922613,0.013641897143771134,0.199884,0.2035685,0.207283,1000,0.002048,0.018348,0.00252624825,0.0006559754878209532,0.002217,0.002301,0.00297725,4000,0.004268,0.024782,0.00506757725,0.0011156009022192648,0.00453175,0.004662,0.00587325,4000,0.014877,0.049214,0.01690737475,0.002374691375697574,0.015548,0.01616,0.01836325,4000,0.014877,0.049214,0.01690737475,0.002374691375697574,0.015548,0.01616,0.01836325,4000,0.02059,0.044585,0.021721896,0.001862388185417852,0.02109375,0.021284,0.0215075,1000,0.025682,0.061222,0.026671052,0.002234438463528589,0.026093,0.0262305,0.02640625,1000,0.509516,2.569592,0.567459877,0.1439054675763429,0.5251785,0.552284,0.56824075,1000,0.102236,0.262787,0.125624442,0.015887122580588216,0.11474575,0.124707,0.13097375,1000,0.025246,0.063107,0.027293058000000002,0.0030979621344742097,0.02615875,0.026565,0.02712525,1000,0.046432,0.143239,0.049543457,0.006650008509629969,0.04741975,0.0479595,0.04875,1000,0.00944,0.077713,0.029278729,0.010164482104247072,0.02080575,0.0306645,0.03550525,1000,0.01721,0.048316,0.018800917,0.00250815550317579,0.017773,0.018034,0.018462,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036478,1.524456,0.078967464,0.09765049490473002,0.07144375,0.072158,0.075179,1000,0.060783,0.181307,0.07899692500000001,0.008786675165463612,0.07774475,0.0786695,0.079858,1000,0.003057,0.014587,0.004327823000000001,0.0008914332917672528,0.00423275,0.004312,0.004412,1000,0.006096,0.031442,0.007907403,0.0016655580904282505,0.00770875,0.007813,0.007926,1000,0.018849,0.056697,0.025067192999999998,0.003280560627050047,0.0249005,0.025065,0.0252765,1000,0.018849,0.056697,0.025067192999999998,0.003280560627050047,0.0249005,0.025065,0.0252765,1000,0.006533,0.019897,0.009670096,0.001223974087464273,0.009622,0.0097805,0.01003325,1000,0.010133,0.038262,0.012378365,0.0020233926662353505,0.01215275,0.012277,0.01238925,1000,0.165065,1.790349,0.26677209,0.1083213893948185,0.26099225,0.2634735,0.26753775,1000,0.01311,0.109645,0.039322872,0.01034393137040342,0.04015375,0.040699,0.04147075,1000,0.002204,0.013707,0.003147142,0.0007176168140700161,0.003008,0.003094,0.003197,1000,0.00723,0.074993,0.017284639,0.004633724569142948,0.0173595,0.017518,0.017697,1000,0.001899,0.060608,0.016640153999999997,0.006238973504855106,0.01789725,0.018093,0.01830525,1000,0.001088,0.010637,0.001532096,0.0007722934447371673,0.00135775,0.001419,0.00146425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036867,1.528166,0.0932748,0.09845264149242519,0.072177,0.098853,0.10128,1000,0.060495,0.158701,0.078402785,0.008211358980508343,0.0775205,0.0781975,0.0792375,1000,0.003009,0.018737,0.004300600999999999,0.000837229852429427,0.004249,0.00432,0.004385,1000,0.006066,0.028465,0.007871757,0.0013471337052984012,0.007766,0.00785,0.00795125,1000,0.01874,0.062609,0.025050124,0.003178075628210254,0.02481075,0.0250785,0.02535825,1000,0.01874,0.062609,0.025050124,0.003178075628210254,0.02481075,0.0250785,0.02535825,1000,0.006534,0.02506,0.009548527,0.001233352838108787,0.00951,0.009667,0.00990425,1000,0.009935,0.037201,0.012250697,0.001618675649162302,0.01202275,0.012148,0.01229025,1000,0.162608,1.79839,0.26975598100000003,0.1092379389751685,0.2484855,0.2782345,0.283408,1000,0.012998,0.095526,0.029145957,0.00675075345699656,0.02690275,0.030813,0.03163975,1000,0.002182,0.015734,0.003095655,0.0007515749436849261,0.00294575,0.0030475,0.003138,1000,0.007249,0.073088,0.015944062,0.0039827995744395675,0.015633,0.016287,0.0166555,1000,0.001929,0.037843,0.007932707,0.002911118455018792,0.006404,0.0095025,0.009877,1000,0.001008,0.011329,0.001466759,0.0007788271161939599,0.001271,0.0013425,0.00140075,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006012,0.143963,0.00783207,0.008850022924326241,0.006469,0.0066345,0.00694125,1000,1.116879,1.300502,1.13879968,0.02373693613581163,1.1220885,1.133446,1.14155125,1000,0.067195,0.140312,0.068644847,0.0042827387195100985,0.06757675,0.0677995,0.06815725,1000,0.037665,0.073854,0.038878974000000004,0.0029818951308394465,0.038099,0.038335,0.03856925,1000,0.015475,0.038494,0.016330526,0.001686712898902478,0.01581975,0.015971,0.016143,1000,0.986066,1.148168,1.0069570890000001,0.021680022864680727,0.99179875,1.0026035,1.0095335,1000,0.002747,0.013375,0.002971203,0.00038961847465308934,0.00288275,0.00293,0.002986,1000,0.01096,0.025431,0.011523093000000002,0.0009682836011990496,0.01124175,0.01141,0.01154025,1000,1.152204,1.484976,1.1774503219999999,0.030100432942705597,1.1600385,1.170455,1.1801325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000301,0.003816,0.000392716,0.000356455331484886,0.000332,0.000343,0.000357,1000,2.507939,5.025211,2.5605499750000003,0.1892269337666189,2.516516,2.522645,2.55604525,1000,0.051858,0.097027,0.053394900999999995,0.00390857732009986,0.05241225,0.052658,0.052889,1000,0.04449,0.104685,0.04592003,0.0037557305240259182,0.0449755,0.045231,0.04548225,1000,0.69136,2.153959,0.710462895,0.09794107626172982,0.696548,0.698849,0.7023075,1000,1.707063,2.730709,1.7430385190000002,0.10595126581229523,1.71273875,1.7160375,1.74153425,1000,0.001261,0.004764,0.0015403510000000001,0.0005177599132793113,0.001389,0.001433,0.00149,1000,0.011862,0.030411,0.012408866,0.0009929584654173606,0.012106,0.012229,0.01239075,1000,2.532274,5.081693,2.5860667999999998,0.19154294297175764,2.54143875,2.5484895,2.58163575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000298,0.005887,0.000414889,0.0004026255837363045,0.00034,0.000351,0.000385,1000,2.616767,5.013488,2.674987405,0.17892979077138882,2.62572975,2.642116,2.6753365,1000,0.052185,0.086018,0.054211978,0.0031032388982345535,0.05269375,0.0531535,0.05542275,1000,0.044472,0.074849,0.046044628,0.0024978379402227037,0.04501075,0.0452495,0.04697975,1000,0.690323,1.937818,0.711011222,0.08488695351785641,0.69580375,0.6981125,0.7136125,1000,1.816857,2.921751,1.856066196,0.1070460685664989,1.82325675,1.828804,1.8504195,1000,0.001245,0.011131,0.0016328199999999999,0.0006363109535439415,0.00139575,0.0015185,0.00163425,1000,0.011786,0.025717,0.012460163,0.0009305260503774196,0.01216475,0.0123035,0.012457,1000,2.640393,5.068865,2.700703271,0.18095085390871624,2.65094275,2.6679725,2.70116225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
