SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339969,0.449203,0.35722123529411764,0.01518054087773934,0.3468525,0.351938,0.3618875,255,11.532709,12.84844,12.026175952941175,0.23584367906435302,11.9479595,12.024755,12.183754,255,0.28211,0.37001,0.29589317647058827,0.013989729837621685,0.2853945,0.290432,0.3013715,255,0.136579,0.215901,0.14931185490196078,0.016086546312531508,0.138705,0.139881,0.169002,255,3.556557,3.954638,3.663560654901961,0.0615765442831078,3.625548,3.657196,3.6945975,255,3.556557,3.954638,3.663560654901961,0.0615765442831078,3.625548,3.657196,3.6945975,255,0.022865,0.06386,0.025017258823529412,0.00331031145085139,0.0236275,0.024039,0.0260065,255,0.053305,0.088864,0.056589015686274516,0.003927540431732205,0.0546365,0.055299,0.0577195,255,39.735469,54.20672,47.07690683921569,1.911993970092533,47.254565,47.619474,47.887508,255,27.207021,41.776952,34.51526413333333,1.929758235023895,35.0169445,35.132089,35.294381,255,0.020164,0.054367,0.022028250980392156,0.003899916683844722,0.020912,0.021324,0.0218365,255,21.742983,28.156593,21.968594458823528,0.5881209694010014,21.8490735,21.888203,21.9387135,255,4.87927,13.457333,12.109840239215687,1.7942145001267873,12.7319675,12.804633,12.9141045,255,0.393994,0.493876,0.41179932549019604,0.014069272214685409,0.4037615,0.407808,0.4129825,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,9.134913,14.030856,9.548667725356125,0.3418975142900933,9.2934485,9.474729,9.708195,1755,8.835283,13.679877,9.23523211965812,0.33753761544732463,8.9838945,9.165602,9.3872225,1755,0.004578,0.614153,0.17731097445394114,0.1721785591410398,0.03022,0.134314,0.28119825,10530,0.005986,0.320825,0.08293513817663818,0.08030527004581363,0.0146155,0.067305,0.14430275,10530,0.033987,5.559056,1.1707972297245965,1.2044907749719178,0.0921635,0.87398,1.765684,10530,0.033987,5.559056,1.1707972297245965,1.2044907749719178,0.0921635,0.87398,1.765684,10530,0.09672,0.236892,0.11115834757834757,0.012320812968237024,0.102482,0.10531,0.1184035,1755,0.121503,0.198927,0.13565521823361826,0.012292586062800148,0.127287,0.13067,0.139356,1755,24.134002,42.579234,30.89568745868946,3.66231205215829,28.481113,30.327301,32.5754305,1755,14.283716,32.585518,20.85574756182336,3.6433280995344557,18.500462,20.272762,22.66247,1755,0.071272,0.1441,0.08172719829059828,0.008491265175044973,0.0771265,0.079822,0.083136,1755,13.501163,31.384182,20.02635437777778,3.5510148170671405,17.7398945,19.470322,21.8271895,1755,0.098877,0.695428,0.2555380786324786,0.10509684497627703,0.1961445,0.226952,0.2811815,1755,0.430969,0.643926,0.49001083304843307,0.030663843550118506,0.467806,0.483424,0.507406,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.032496,1.692732,0.10807146499999999,0.12148028040659428,0.05393525,0.092863,0.12372925,1000,0.12598,0.281069,0.144508213,0.019155657254128114,0.13115425,0.1352165,0.15641125,1000,0.001915,0.015504,0.002629926,0.0009628926786116925,0.00208075,0.0021985,0.00308725,4000,0.003899,0.08686,0.0051353245,0.0020625737835771474,0.004273,0.004449,0.005739,4000,0.000395,0.021289,0.0007697035,0.0008115348973320556,0.000486,0.000534,0.000986,4000,0.000395,0.021289,0.0007697035,0.0008115348973320556,0.000486,0.000534,0.000986,4000,0.02025,0.060308,0.023439145,0.004673659237254573,0.020837,0.021146,0.02494975,1000,0.027287,0.070269,0.030295416000000002,0.004710271844484562,0.02802575,0.028506,0.03144125,1000,0.419764,2.328505,0.524022037,0.15134845189807403,0.451086,0.4849595,0.5778055,1000,0.085315,0.198099,0.100101386,0.016284942881478092,0.08771275,0.0917815,0.1101715,1000,0.025143,0.069016,0.029210530999999998,0.005510509086376594,0.0259535,0.0265305,0.03149225,1000,0.037607,0.097087,0.044684426,0.009017268760690457,0.03857775,0.040604,0.049654,1000,0.00527,0.023119,0.006433734,0.0018116391023722137,0.005449,0.005584,0.00695225,1000,0.015946,0.060495,0.019250481,0.004565944519115295,0.01661275,0.0173155,0.02056275,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037208,1.724,0.10854866,0.12195491546752187,0.0539725,0.094161,0.1252705,1000,0.126433,0.2903,0.144312426,0.018699030579110883,0.13034325,0.1351885,0.15561275,1000,0.001894,0.022611,0.0025863404999999996,0.0011529266221489336,0.002039,0.002164,0.003034,4000,0.004008,0.026205,0.0051936535,0.001732169104024705,0.00425175,0.00444,0.00576625,4000,0.000369,0.016073,0.000774369,0.0008868937511556838,0.000474,0.000526,0.00094825,4000,0.000369,0.016073,0.000774369,0.0008868937511556838,0.000474,0.000526,0.00094825,4000,0.020386,0.058332,0.023263396000000002,0.004138125902045997,0.02090575,0.0211655,0.0248745,1000,0.027194,0.074588,0.030450517,0.005339067929864818,0.028008,0.0284895,0.031515,1000,0.423276,2.40493,0.528166727,0.15306385944697223,0.45447275,0.487093,0.58223075,1000,0.086125,0.229048,0.101493224,0.016812837532784997,0.0887995,0.093041,0.11194375,1000,0.025237,0.063699,0.029538386,0.005231499401414856,0.026239,0.027223,0.0318335,1000,0.037953,0.101767,0.045067583,0.008903219430133742,0.03892675,0.0413925,0.0501425,1000,0.005206,0.026426,0.0067620169999999995,0.0021916251606310328,0.00553875,0.0060315,0.007161,1000,0.01617,0.063103,0.019572971,0.005125884092150251,0.016722,0.0177325,0.02076875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.04381,1.751111,0.07910536500000001,0.11529865806379437,0.05229,0.066763,0.07922625,1000,0.125799,0.280946,0.136577812,0.016435888658927332,0.128535,0.131215,0.13444575,1000,0.001903,0.026139,0.0024999415,0.0013466307346773835,0.002028,0.002102,0.002913,4000,0.003901,0.025716,0.004837158499999999,0.001628323471665796,0.00414,0.004249,0.00563,4000,0.000393,0.023253,0.0007857385000000001,0.00100142772086544,0.000474,0.000521,0.00098,4000,0.000393,0.023253,0.0007857385000000001,0.00100142772086544,0.000474,0.000521,0.00098,4000,0.020267,0.062513,0.021666935000000002,0.003661072561801391,0.02071375,0.020881,0.02108725,1000,0.027442,0.077305,0.029074235,0.004059633439582323,0.02794775,0.028132,0.02838325,1000,0.434408,2.388627,0.499075083,0.13830274974648954,0.45636425,0.482033,0.50150675,1000,0.096654,0.225556,0.12059357799999999,0.01720042832012959,0.10839075,0.118393,0.12551525,1000,0.024416,0.074695,0.027277552,0.004989432906783696,0.025639,0.026029,0.02647525,1000,0.042781,0.126397,0.046646214,0.007928288709816513,0.04369275,0.0442485,0.04523325,1000,0.008821,0.070842,0.027718904,0.00984906002899688,0.0193135,0.0288915,0.0333495,1000,0.016521,0.096839,0.018435363,0.004326397103044404,0.0169385,0.0171735,0.01777025,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040581,1.505111,0.08418649099999999,0.09600044917387585,0.0757765,0.076345,0.0787825,1000,0.040758,0.146305,0.053953123,0.009031259835475392,0.0518665,0.052336,0.053155,1000,0.002977,0.020272,0.004279683,0.0014969368866157983,0.004106,0.004167,0.004226,1000,0.005733,0.0315,0.007741818,0.001982247001479886,0.00742675,0.007555,0.00772925,1000,0.000812,0.015332,0.001116878,0.0008814401052346098,0.000981,0.001016,0.00104625,1000,0.000812,0.015332,0.001116878,0.0008814401052346098,0.000981,0.001016,0.00104625,1000,0.006206,0.042656,0.009611317,0.002562271626215886,0.009316,0.0094585,0.00959925,1000,0.011214,0.04347,0.014355128,0.0029471367711078494,0.013917,0.014033,0.0141705,1000,0.143258,1.742612,0.24464082,0.10671198751467241,0.2342445,0.236972,0.2514525,1000,0.012034,0.088455,0.037752283000000005,0.010513498250863553,0.037971,0.0383875,0.03987925,1000,0.002017,0.015381,0.0030867150000000003,0.0010604234134415364,0.002933,0.003005,0.003095,1000,0.006902,0.056858,0.016294386,0.004752566058773302,0.01596725,0.0161865,0.016408,1000,0.001559,0.05559,0.016213947,0.006358543210688357,0.01711025,0.017369,0.01754925,1000,0.000953,0.013544,0.001393405,0.0006691094237678916,0.001275,0.001314,0.001351,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.029272,1.497775,0.099095091,0.09919616865240673,0.07575675,0.10409,0.10546175,1000,0.04066,0.141754,0.053315231,0.008989268683471364,0.051146,0.051746,0.0526585,1000,0.002968,0.022312,0.004284074,0.0015165259953340729,0.00411275,0.004178,0.004254,1000,0.005734,0.027955,0.007696692,0.002005581837556374,0.0074175,0.0075075,0.00760225,1000,0.000765,0.015531,0.00110936,0.0008572744697003405,0.000988,0.001017,0.00105,1000,0.000765,0.015531,0.00110936,0.0008572744697003405,0.000988,0.001017,0.00105,1000,0.006148,0.039007,0.009560639,0.0027661078678675927,0.009133,0.009277,0.009447,1000,0.011201,0.043543,0.014169711,0.002723917710482275,0.013702,0.0138225,0.01396225,1000,0.14253,1.776797,0.248160603,0.11032860062273693,0.22066775,0.252019,0.25677725,1000,0.012013,0.071245,0.02754536,0.006890917504251521,0.02474375,0.028585,0.02921475,1000,0.002028,0.017979,0.003092055,0.0013633845715626239,0.002877,0.002945,0.003014,1000,0.006836,0.041761,0.014812314,0.0037952616857608117,0.014268,0.0148915,0.0152435,1000,0.001556,0.039615,0.007469267,0.003283261397103648,0.00575575,0.0089035,0.00911,1000,0.000962,0.01871,0.0013762870000000001,0.0008552812336483246,0.001211,0.0012785,0.00133525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008459,0.184522,0.010343317,0.009614454476282624,0.008819,0.008984,0.00932125,1000,1.101639,1.282498,1.140022875,0.02659023154407225,1.1190745,1.138318,1.15415325,1000,0.066819,0.113525,0.06928746300000001,0.0065539898134366215,0.06716575,0.0673225,0.068183,1000,0.037093,0.076095,0.038765008000000004,0.004548731943073367,0.03756075,0.0377265,0.037931,1000,0.000669,0.017409,0.000954801,0.0008793591538154362,0.000775,0.000811,0.000856,1000,0.988796,1.121119,1.02318458,0.023392265425340914,1.00229375,1.022595,1.03551025,1000,0.00271,0.014895,0.003029645,0.0009587572064787832,0.002849,0.002906,0.002979,1000,0.008521,0.025964,0.0091389,0.001526139173863249,0.00879075,0.008896,0.00901025,1000,1.135556,1.534218,1.1764565949999999,0.03302990546227729,1.1560755,1.1731295,1.19063075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.000858,0.00034129399999999996,4.918958796330784e-05,0.000314,0.000328,0.000358,1000,2.559532,5.243362,2.659429551,0.20154982944340438,2.60580525,2.638272,2.6697085,1000,0.051341,0.112291,0.054806373,0.006561824478441267,0.05198325,0.052937,0.0556475,1000,0.04339,0.082029,0.045695598,0.0055837201017239395,0.04403825,0.04432,0.0445145,1000,0.68766,2.150211,0.718434354,0.100387388174425,0.695036,0.705995,0.72550975,1000,1.763563,2.976848,1.832732625,0.11743689574917406,1.788903,1.8192265,1.8443395,1000,0.0012,0.010184,0.001427521,0.00032741466607194,0.001327,0.001397,0.001473,1000,0.005956,0.027414,0.006611258,0.001340569096106575,0.00627,0.006419,0.006635,1000,2.57529,5.295878,2.6777293319999997,0.20430234428831645,2.62332425,2.6572825,2.688132,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00028,0.000969,0.00035151100000000004,5.497115497240348e-05,0.00032,0.000337,0.000377,1000,2.615376,5.044875,2.684905357,0.18663795540300357,2.6328245,2.658356,2.685596,1000,0.050898,0.089163,0.053642711,0.0044704784155030885,0.05179875,0.0526305,0.05382275,1000,0.042868,0.083523,0.04549859,0.004508134726902025,0.0438775,0.044578,0.0453655,1000,0.686916,1.981438,0.7113810330000001,0.08858923766030449,0.69408875,0.6978845,0.7164735,1000,1.815271,2.927179,1.8666443449999999,0.11220873996018305,1.82893475,1.8473945,1.8688005,1000,0.001137,0.017149,0.001410498,0.0006228470470316128,0.00130375,0.001366,0.00143425,1000,0.005789,0.024505,0.006501919,0.0011496140389013175,0.006194,0.0063535,0.00652225,1000,2.631515,5.093559,2.70303331,0.18913364877798422,2.65058825,2.676568,2.703294,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
