SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341103,0.426319,0.356705431372549,0.014731510209784214,0.347577,0.35201,0.359403,255,11.504788,13.379502,11.977002388235293,0.24560589143921055,11.8368385,11.982359,12.153293,255,0.283315,0.362607,0.29867341960784316,0.01496656811803469,0.287401,0.292659,0.307573,255,0.136557,0.212889,0.1483919333333333,0.016512009812452752,0.138012,0.138852,0.1494125,255,3.586421,4.15957,3.6809884196078433,0.060293125499402286,3.634363,3.67729,3.710068,255,3.586421,4.15957,3.6809884196078433,0.060293125499402286,3.634363,3.67729,3.710068,255,0.022919,0.059808,0.025397529411764708,0.003620863390446014,0.023798,0.024113,0.025064,255,0.052195,0.084034,0.05577946274509804,0.003299112387696316,0.0540655,0.054689,0.056804,255,39.792076,54.396905,47.941288886274506,2.8091950042896223,47.3511675,47.621139,47.9910075,255,27.235548,41.787557,35.42976092156862,2.778993308594,35.060354,35.195403,35.359025,255,0.021575,0.039829,0.022775619607843137,0.001652338117729482,0.0222065,0.022513,0.0228405,255,21.771422,28.335682,22.885653615686277,2.1981279580146666,21.8667435,21.913331,21.9872265,255,4.866338,13.279964,12.096106380392156,1.7950429421215899,12.7173575,12.810199,12.927819,255,0.403715,0.508928,0.42239832156862744,0.015479991275727311,0.4132165,0.418121,0.4256455,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.881242,31.809063,9.315758743019941,0.9727896806707778,9.1040255,9.165592,9.3800405,1755,8.594627,31.402623,9.010202892307694,0.9622193690420977,8.801295,8.860256,9.066187,1755,0.005078,1.485782,0.17250231747388414,0.16817686264655138,0.030098,0.126825,0.2775925,10530,0.006324,0.754968,0.07354023057929725,0.0714090100260512,0.013201,0.078836,0.1042305,10530,0.034526,16.194969,1.1570640642924976,1.216122149312988,0.08339325,0.9714115,1.71695825,10530,0.034526,16.194969,1.1570640642924976,1.216122149312988,0.08339325,0.9714115,1.71695825,10530,0.097013,0.20855,0.10719126153846154,0.010160570090982242,0.102157,0.104875,0.107255,1755,0.131841,0.221522,0.14177417492877495,0.010609987377414127,0.136615,0.138567,0.1411115,1755,24.039832,66.426866,30.84209683247863,4.163963451447001,28.2898995,30.179834,32.5095045,1755,14.428043,56.020476,21.029539394301995,3.8806074958640564,18.6072695,20.441819,22.7762405,1755,0.072131,0.461184,0.08168656638176638,0.0149837872508564,0.076576,0.079787,0.081565,1755,13.710567,54.051649,20.191620266666664,3.7774674002447726,17.8330825,19.634404,21.945183,1755,0.100005,1.081028,0.26432827920227925,0.1144425064525228,0.1969555,0.238816,0.289035,1755,0.42991,0.969543,0.4897117846153846,0.033894924755961606,0.4695485,0.482797,0.5060675,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036014,1.843132,0.10884133500000001,0.12687580476351185,0.0541495,0.092159,0.12551075,1000,0.125618,0.259934,0.144579488,0.017754554448193176,0.13112275,0.1373205,0.1569255,1000,0.001893,0.019491,0.0026575855000000002,0.0011408993611137443,0.002108,0.0022385,0.003049,4000,0.003988,0.029642,0.00518744025,0.0017619203303299322,0.004291,0.0044775,0.005751,4000,0.000334,0.019911,0.000739545,0.00092388619319427,0.000444,0.000491,0.000915,4000,0.000334,0.019911,0.000739545,0.00092388619319427,0.000444,0.000491,0.000915,4000,0.020011,0.053808,0.022901356,0.003780611466319172,0.0205615,0.0208865,0.02469625,1000,0.027752,0.064039,0.03033473,0.0036305202942691285,0.028437,0.0288345,0.03152275,1000,0.421029,2.467167,0.52594561,0.1546047005281272,0.4521895,0.48546,0.58158475,1000,0.085385,0.203753,0.100479799,0.01584931291976403,0.0881325,0.0922495,0.11122225,1000,0.025339,0.073432,0.029567096,0.00561042812687089,0.02620875,0.0269755,0.0317275,1000,0.037767,0.093142,0.044474514,0.008255648826216145,0.03867325,0.0400225,0.0499865,1000,0.005216,0.027763,0.006537131000000001,0.002218808128216363,0.00545175,0.005592,0.0069705,1000,0.016075,0.05706,0.01938022,0.004349349349684386,0.01666025,0.017386,0.02067425,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.044818,1.771984,0.10913740499999999,0.12287367387549286,0.05396025,0.094618,0.12529175,1000,0.125615,0.266049,0.144014221,0.018641109972964566,0.1299655,0.1350155,0.154772,1000,0.001923,0.023492,0.00260207,0.00122956398332905,0.002071,0.002174,0.002992,4000,0.004011,0.036082,0.00519482175,0.0017535455120916985,0.00424675,0.0044155,0.00574825,4000,0.000356,0.014673,0.0007247027500000001,0.0007634687632067454,0.000453,0.000502,0.0008615,4000,0.000356,0.014673,0.0007247027500000001,0.0007634687632067454,0.000453,0.000502,0.0008615,4000,0.019906,0.058357,0.022891065999999998,0.004071921229548038,0.0204655,0.0207795,0.024483,1000,0.027581,0.068084,0.030548576,0.004735928706412713,0.028156,0.028582,0.03181875,1000,0.420658,2.372587,0.527137027,0.152511256332509,0.4536275,0.486679,0.58077575,1000,0.085873,0.272893,0.101187879,0.01734054697010331,0.0884075,0.092504,0.1118135,1000,0.025065,0.082095,0.029208982,0.005690851004346889,0.02592075,0.0266065,0.03150575,1000,0.037818,0.210082,0.045319805,0.010902706606754811,0.038768,0.041391,0.050055,1000,0.005229,0.035402,0.006696537999999999,0.0021500829343436964,0.005549,0.005969,0.00705375,1000,0.016256,0.053094,0.019422887,0.003976330075110843,0.01692975,0.0175975,0.02090125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.039236,1.780706,0.079755462,0.1179858375349794,0.05268425,0.067294,0.0787985,1000,0.128098,0.248138,0.138390188,0.0140872967857803,0.1306515,0.134296,0.13710175,1000,0.001944,0.018934,0.00252833975,0.0010946386775187225,0.002126,0.002213,0.002892,4000,0.004037,0.03007,0.004990835,0.0015870107190170456,0.004313,0.004444,0.00564725,4000,0.000363,0.013758,0.00073536925,0.000678697389787553,0.00047,0.000517,0.00094425,4000,0.000363,0.013758,0.00073536925,0.000678697389787553,0.00047,0.000517,0.00094425,4000,0.020137,0.057196,0.021932189999999997,0.004349391696536424,0.02059475,0.020758,0.02114575,1000,0.027699,0.097952,0.029700731,0.005121456513008676,0.02837,0.0285485,0.02877325,1000,0.438267,2.450763,0.5043365200000001,0.14021112897721638,0.46213575,0.4867025,0.50887525,1000,0.097746,0.210235,0.12127473,0.01658141133550157,0.1091175,0.1192805,0.12652725,1000,0.025099,0.061606,0.027375348,0.004531386554344707,0.0259225,0.026197,0.026516,1000,0.042932,0.099019,0.046601875,0.007332684320586493,0.0438705,0.044227,0.04506025,1000,0.008818,0.072999,0.028084658999999998,0.010235654942929592,0.01945475,0.029129,0.0338085,1000,0.016502,0.059399,0.01866118,0.004205024441498527,0.01705675,0.017257,0.01772175,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.0303,1.570607,0.084046601,0.10003715826755476,0.07514475,0.0760155,0.0780835,1000,0.040565,0.129341,0.053440745000000005,0.00833557286165594,0.051526,0.0520405,0.0531195,1000,0.002836,0.017095,0.004251789,0.001463373425506627,0.00401,0.00409,0.0042155,1000,0.005712,0.024942,0.00764363,0.0015034963961047595,0.00739275,0.007528,0.0077425,1000,0.000742,0.009914,0.001023602,0.00045817098510927116,0.000943,0.000973,0.001008,1000,0.000742,0.009914,0.001023602,0.00045817098510927116,0.000943,0.000973,0.001008,1000,0.006157,0.034433,0.009711791999999999,0.00279303755125777,0.009271,0.009429,0.00957925,1000,0.011194,0.046303,0.01460634,0.0032382230559984595,0.0138545,0.014023,0.014232,1000,0.141718,1.802072,0.24508007,0.10940929896618065,0.23347925,0.2367995,0.2523585,1000,0.011936,0.095797,0.038201365,0.011035207384266731,0.03785775,0.0383045,0.041169,1000,0.002054,0.02185,0.003109828,0.0014317657603169591,0.002891,0.002953,0.003017,1000,0.006763,0.054887,0.016374804,0.004886739187800388,0.01583175,0.0160565,0.016296,1000,0.001534,0.056478,0.016459538,0.006756182000698028,0.0171415,0.017397,0.0177195,1000,0.001,0.011656,0.001452949,0.0008908021320130526,0.001285,0.001329,0.00137,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040255,1.603155,0.098876485,0.10288236780556606,0.07571775,0.1031795,0.10545625,1000,0.040526,0.128305,0.05322914,0.008584413635094712,0.050848,0.051479,0.0523015,1000,0.002848,0.020622,0.0042520990000000005,0.0014904362244655086,0.004056,0.004143,0.00422125,1000,0.005743,0.030214,0.007751743,0.0022370690702235817,0.00738875,0.007504,0.00761425,1000,0.000791,0.01039,0.001032759,0.000485739260219925,0.000944,0.000976,0.001006,1000,0.000791,0.01039,0.001032759,0.000485739260219925,0.000944,0.000976,0.001006,1000,0.006009,0.028175,0.009526948,0.002324549092038282,0.00913125,0.0093775,0.00957625,1000,0.011135,0.040447,0.014359873,0.0029647759444637635,0.0137605,0.0139535,0.01412925,1000,0.142067,1.856991,0.248883555,0.11223330714790052,0.22196025,0.252335,0.2578165,1000,0.01191,0.06315,0.027687917000000003,0.006759704298274519,0.02491975,0.028758,0.0295975,1000,0.002055,0.024572,0.003086036,0.0012155485768590244,0.00289575,0.002968,0.0031145,1000,0.006785,0.043076,0.014938948,0.00407363804765421,0.0142005,0.014924,0.01523225,1000,0.00154,0.031558,0.007482223,0.0029665869337120393,0.005866,0.0089405,0.00929225,1000,0.000976,0.016154,0.001401223,0.0008797659866527009,0.001232,0.001291,0.001354,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008364,0.137009,0.010185029,0.008558318587091685,0.008799,0.008959,0.009274,1000,1.094596,1.348731,1.1465411440000002,0.04297418212866027,1.11535925,1.1327995,1.171751,1000,0.066842,0.124616,0.070294882,0.00821640983106831,0.067219,0.0674475,0.06958225,1000,0.036784,0.079167,0.040198091,0.005909874379605627,0.03729275,0.0375505,0.03876275,1000,0.000606,0.010936,0.000906847,0.0006498195454054918,0.00074,0.000788,0.00085525,1000,0.97864,1.185787,1.0273547219999999,0.03671924912528463,0.99872475,1.01745,1.048798,1000,0.002719,0.020205,0.0029849029999999997,0.0008352137664041464,0.00286375,0.0029045,0.00295325,1000,0.00848,0.029932,0.009069486000000002,0.0017799600899469628,0.008693,0.0087865,0.00890225,1000,1.128169,1.552595,1.18297944,0.04678223607225717,1.15069325,1.168323,1.21061775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.000853,0.000336066,4.913238895067082e-05,0.000311,0.000327,0.000348,1000,2.509214,5.19329,2.586839882,0.20462988527840228,2.53291875,2.5590235,2.59223575,1000,0.051726,0.100168,0.053446261,0.004864366803282725,0.0521,0.052289,0.052796,1000,0.043946,0.085412,0.045551779,0.004512990102599273,0.044323,0.044526,0.04480425,1000,0.688778,2.168377,0.716891273,0.10308539682107487,0.694424,0.698287,0.7237195,1000,1.710641,2.883127,1.763539989,0.11619434593544077,1.7186235,1.7440205,1.7684665,1000,0.001177,0.011659,0.0013486050000000001,0.0004686935555082873,0.001275,0.001309,0.001349,1000,0.00583,0.02402,0.006433747,0.001100228266766038,0.006148,0.0062695,0.006467,1000,2.525512,5.245227,2.604913527,0.20708454108568622,2.5507185,2.577246,2.61139825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000268,0.002699,0.00033609300000000004,8.914276387346312e-05,0.000311,0.000325,0.000345,1000,2.609431,5.099246,2.6912856150000004,0.1954857957792401,2.64236025,2.6567985,2.69105975,1000,0.051844,0.09686,0.054680962,0.004636226128496754,0.0521995,0.0529015,0.05690325,1000,0.042523,0.084013,0.045440644,0.0036583596383166052,0.04422375,0.044439,0.04702875,1000,0.689362,2.105524,0.71750911,0.09404269022650245,0.696835,0.7028775,0.7196915,1000,1.814163,2.941701,1.8659507739999999,0.1169701196634291,1.82629975,1.8404495,1.8684555,1000,0.001215,0.003576,0.001396199,0.00016587839340613352,0.001312,0.00136,0.00144025,1000,0.005938,0.019121,0.006552372,0.0009352327130805467,0.0062335,0.006429,0.00663625,1000,2.625937,5.148654,2.709593768,0.19805126891966174,2.66073625,2.675295,2.7103975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
