SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340268,0.482982,0.36037512156862744,0.017954172952622242,0.3485495,0.355868,0.3662035,255,11.594229,13.611786,12.164790850980392,0.2895299120182768,12.035519,12.132829,12.365934,255,0.28296,0.381313,0.29776869019607843,0.016535143272119288,0.2858165,0.291442,0.305279,255,0.136706,0.226261,0.15076894509803923,0.018494056539844,0.1382115,0.139076,0.1691335,255,3.645903,4.226346,3.736500168627451,0.0633460026301163,3.69287,3.734486,3.762917,255,3.645903,4.226346,3.736500168627451,0.0633460026301163,3.69287,3.734486,3.762917,255,0.023006,0.048124,0.025630580392156863,0.003147541121911728,0.023988,0.02437,0.026907,255,0.053337,0.092136,0.057253513725490195,0.0053261977306046275,0.054725,0.055455,0.0587515,255,39.801217,54.732203,48.05396028627451,2.665987730274894,47.4405985,47.813586,48.3388655,255,27.09525,41.720113,35.34757849019608,2.690990950988147,35.0329455,35.208022,35.342474,255,0.020746,0.035301,0.022259039215686276,0.0016261788166004897,0.0216235,0.021938,0.0223055,255,21.75269,28.407671,22.7822776,2.1221622697227773,21.8506475,21.889513,21.991644,255,4.84291,13.737786,12.120753215686275,1.8025180112829235,12.710356,12.849059,12.9367195,255,0.401268,0.527059,0.41964082352941173,0.019763679958702898,0.4082515,0.412446,0.4235555,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,9.189823,13.946135,9.484253576068376,0.2867508004310933,9.305378,9.391351,9.612533,1755,8.894415,13.640304,9.175940827350427,0.28299132934325677,8.999794,9.083273,9.3000245,1755,0.005041,0.608407,0.174145914339981,0.169034086400581,0.030482,0.116978,0.27951125,10530,0.006083,0.314951,0.07631296277302944,0.07365127439567924,0.01333225,0.063019,0.105959,10530,0.034557,5.56634,1.1609616026590692,1.2030516285690374,0.08571025,0.876368,1.733717,10530,0.034557,5.56634,1.1609616026590692,1.2030516285690374,0.08571025,0.876368,1.733717,10530,0.097486,0.185643,0.10972864273504274,0.011776209641026214,0.102347,0.104919,0.116517,1755,0.122622,0.207607,0.1328815532763533,0.010138510496864166,0.126951,0.129152,0.1354435,1755,24.118482,41.798716,30.80612834188034,3.7255621986086744,28.358562,30.348107,32.484983,1755,14.40198,31.265813,20.840823367521367,3.6671169821053047,18.504931,20.298276,22.626194,1755,0.070311,0.147544,0.08050592820512821,0.008254269378210579,0.075967,0.078603,0.0813685,1755,13.600343,30.430758,20.018262583475785,3.574293491694133,17.732416,19.49869,21.7971315,1755,0.099328,0.656389,0.2527968427350427,0.10576929575013506,0.1935755,0.22466,0.278755,1755,0.432158,0.612602,0.48710172193732193,0.027944439968526653,0.4689155,0.48158,0.502387,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.042114,1.748722,0.108015498,0.1214034361883221,0.05442025,0.0934435,0.12383925,1000,0.125675,0.269495,0.143677469,0.01782848342369701,0.13020725,0.1349305,0.156377,1000,0.001848,0.022509,0.0026602064999999998,0.001292559545381856,0.00209,0.002244,0.00300325,4000,0.004003,0.028394,0.00514381875,0.0017285642540554973,0.004263,0.00444,0.005693,4000,0.000366,0.018626,0.0007689712500000001,0.0008958548157617045,0.000461,0.000514,0.000963,4000,0.000366,0.018626,0.0007689712500000001,0.0008958548157617045,0.000461,0.000514,0.000963,4000,0.019984,0.063106,0.02317592,0.0047085259801343355,0.02063275,0.020951,0.0247025,1000,0.027484,0.066165,0.030293221000000002,0.004463001427756773,0.02808875,0.028513,0.031625,1000,0.419095,2.378232,0.523358877,0.1511701868878182,0.4519425,0.485699,0.5772045,1000,0.084772,0.194749,0.099536311,0.01601877174867908,0.0875455,0.091268,0.1100135,1000,0.024635,0.072577,0.02908301,0.006016991831629822,0.0255935,0.0263485,0.0314285,1000,0.03748,0.091486,0.044295167999999996,0.008283595883659222,0.03860775,0.040488,0.049496,1000,0.005277,0.027684,0.006591647,0.00216605384937471,0.00549475,0.005658,0.007008,1000,0.015851,0.042205,0.01901719,0.0035654919677233885,0.01654575,0.0172545,0.020495,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041189,1.648041,0.107873996,0.11895020989308083,0.05340875,0.0933265,0.12473675,1000,0.123349,0.28246,0.143272175,0.017771038728965027,0.12990575,0.1356275,0.15479,1000,0.001844,0.023248,0.0025688209999999998,0.001151222205075545,0.002044,0.002178,0.002982,4000,0.003901,0.028516,0.0051731682499999996,0.0017324211260377593,0.004238,0.004462,0.00575325,4000,0.000366,0.019823,0.00076364875,0.0008425730178289818,0.000478,0.000526,0.00091325,4000,0.000366,0.019823,0.00076364875,0.0008425730178289818,0.000478,0.000526,0.00091325,4000,0.019797,0.055179,0.022935092,0.0038368669561943377,0.020574,0.020927,0.0246185,1000,0.027459,0.07812,0.030434746,0.0045009974902774615,0.02820675,0.0288455,0.0316485,1000,0.41555,2.343381,0.523508555,0.15057963585725323,0.44990325,0.4855265,0.577254,1000,0.084686,0.203115,0.099913538,0.01654475625697024,0.08750625,0.0914105,0.110872,1000,0.024691,0.076856,0.029154591,0.005869342599279667,0.02566175,0.026387,0.03184425,1000,0.037466,0.118303,0.044424709,0.008460537887292924,0.03857075,0.040405,0.0495805,1000,0.005204,0.026194,0.006552812,0.0017709810605017774,0.0055,0.0058635,0.00694775,1000,0.016059,0.059334,0.01922777,0.004651704670021518,0.016613,0.01718,0.020578,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037871,1.682297,0.079162393,0.1160297885144524,0.05266975,0.0672975,0.0785465,1000,0.12825,0.279864,0.140704178,0.016463585886018758,0.13054575,0.1346665,0.143226,1000,0.001883,0.027981,0.0025192645000000004,0.0013288378050160033,0.002034,0.0021465,0.002959,4000,0.004069,0.026093,0.00505307625,0.001801944294764946,0.00428175,0.004446,0.00571325,4000,0.000394,0.0191,0.0007930235,0.0008460080005223059,0.000497,0.000552,0.00097325,4000,0.000394,0.0191,0.0007930235,0.0008460080005223059,0.000497,0.000552,0.00097325,4000,0.020213,0.182317,0.022206925,0.006380097331653727,0.020777,0.020992,0.02171625,1000,0.027311,0.068487,0.02945178,0.004543786897027632,0.028068,0.028433,0.02876975,1000,0.437633,2.389179,0.5057085889999999,0.139233912479597,0.4655865,0.48665,0.51044025,1000,0.096516,0.236955,0.12063038400000001,0.017477123097310494,0.10852125,0.1184305,0.12555,1000,0.025016,0.071394,0.02730904,0.00461317860963566,0.025722,0.0261415,0.02679325,1000,0.042682,0.100469,0.046651476000000004,0.007707860520625941,0.04362775,0.044362,0.0457005,1000,0.008908,0.080279,0.02782645,0.010221341321543861,0.019335,0.028865,0.033391,1000,0.016193,0.050957,0.018314996,0.003440363610722564,0.01688675,0.0171585,0.01768325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039816,1.452719,0.083656756,0.09729123341272052,0.0752045,0.076149,0.0774305,1000,0.040639,0.142371,0.05411051,0.01023109099089144,0.05157175,0.052001,0.05267425,1000,0.002859,0.025059,0.0042794719999999994,0.0017011024611163195,0.00406675,0.0041465,0.00422,1000,0.005777,0.025035,0.007807036,0.0020069201719809387,0.00749575,0.007601,0.00771025,1000,0.00078,0.020631,0.0011364790000000001,0.0010647440685718798,0.00098,0.001012,0.001048,1000,0.00078,0.020631,0.0011364790000000001,0.0010647440685718798,0.00098,0.001012,0.001048,1000,0.006168,0.031523,0.009365044,0.002100299029201318,0.0092035,0.009317,0.00945825,1000,0.011244,0.044575,0.014397987,0.0029462226278458657,0.013941,0.014082,0.014213,1000,0.142052,1.724643,0.24336270999999998,0.10824539329825497,0.232992,0.2360115,0.24650125,1000,0.01183,0.121418,0.037495231,0.010816219802945897,0.0379135,0.0382595,0.039307,1000,0.001927,0.022794,0.0030506039999999997,0.0012721540367361178,0.002871,0.0029635,0.00303825,1000,0.006722,0.075197,0.016159351,0.005017143403750684,0.015899,0.016063,0.01626025,1000,0.001602,0.074821,0.016086435,0.0063582212311129125,0.01713575,0.017427,0.017567,1000,0.000916,0.011744,0.0014010630000000001,0.0006272180745410643,0.001289,0.001326,0.001366,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039679,1.464846,0.098470752,0.09610591145656179,0.07530475,0.103099,0.105403,1000,0.040435,0.158461,0.053458815,0.009325079018473516,0.05116075,0.0517345,0.0526505,1000,0.002817,0.025265,0.004164961,0.001412337529586678,0.004021,0.004103,0.004175,1000,0.005684,0.030774,0.007768858,0.0021261690619129984,0.00745775,0.007557,0.007644,1000,0.000812,0.018253,0.0011509369999999999,0.0011678548886873746,0.000979,0.00101,0.00104825,1000,0.000812,0.018253,0.0011509369999999999,0.0011678548886873746,0.000979,0.00101,0.00104825,1000,0.006194,0.027785,0.009418146,0.0021279256755544827,0.00917175,0.009287,0.0094335,1000,0.011256,0.044383,0.014340682,0.002982014187235869,0.01376375,0.0139645,0.014147,1000,0.142374,1.712091,0.24796991899999998,0.10721664376412104,0.220651,0.2522715,0.2575195,1000,0.011882,0.067519,0.02755424,0.007204878080467427,0.0247095,0.0287055,0.0291855,1000,0.001997,0.023863,0.0030323150000000003,0.0012426363819617546,0.002841,0.002916,0.002993,1000,0.006818,0.044208,0.01498109,0.004165877427613539,0.01427475,0.015031,0.01527925,1000,0.001597,0.037036,0.007388560000000001,0.0030828343731702486,0.00576975,0.0088845,0.009116,1000,0.000961,0.017995,0.001382827,0.0008502506342667437,0.00122,0.0012865,0.001347,1000,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008569,0.141891,0.010260088,0.008874117748500748,0.008891,0.0090125,0.00930725,1000,1.104763,1.382222,1.134236389,0.027754632371546177,1.11494825,1.128961,1.143957,1000,0.067113,0.134629,0.068934627,0.005671323399866295,0.06737475,0.0674965,0.0676335,1000,0.037474,0.080805,0.038837095,0.004372110518957063,0.03776475,0.037914,0.038072,1000,0.000704,0.01139,0.000979403,0.0007214886960937088,0.000807,0.000849,0.00089525,1000,0.990107,1.209787,1.017685886,0.024335739776941322,1.00095825,1.0143845,1.0271345,1000,0.002718,0.018774,0.003045526,0.001014014334871061,0.002868,0.0029205,0.00299325,1000,0.008638,0.029529,0.00918566,0.0013533245096428277,0.0088955,0.0089885,0.009109,1000,1.138519,1.570941,1.170671006,0.03392608464680184,1.14958625,1.164514,1.179926,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.000834,0.000339509,4.9716917834877894e-05,0.000314,0.000328,0.000349,1000,2.572058,5.260925,2.657403483,0.20185960525016317,2.60843125,2.6332445,2.65679025,1000,0.051277,0.099421,0.05429547,0.0056672998469376925,0.05234775,0.052609,0.05413925,1000,0.042697,0.092043,0.046120227,0.005853526148012922,0.04434,0.044571,0.045629,1000,0.695475,2.242771,0.724292973,0.1037493798381478,0.7020445,0.70892,0.73042975,1000,1.767858,2.896475,1.8251000689999999,0.11302622324122061,1.7915645,1.8044595,1.82949625,1000,0.001124,0.018568,0.001326886,0.000648945499255523,0.001241,0.001277,0.001327,1000,0.005896,0.059535,0.0066950889999999996,0.002223307633477428,0.00629775,0.006437,0.00659125,1000,2.587917,5.313851,2.67569123,0.20466199202419363,2.62587625,2.6513965,2.6743155,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000273,0.000818,0.000326244,4.4585540974625394e-05,0.000307,0.000319,0.000333,1000,2.618832,5.162831,2.7176052829999997,0.19507469702511115,2.67405125,2.6974025,2.719823,1000,0.052013,0.10376,0.054506252,0.006279819525949452,0.0523065,0.0526395,0.0541165,1000,0.043863,0.083994,0.045580335,0.005082527604329858,0.04417875,0.044376,0.0446665,1000,0.696073,2.067398,0.728531568,0.09222615846312464,0.701977,0.7235135,0.7331065,1000,1.813276,3.009974,1.8812376610000001,0.11747913015938652,1.8457215,1.868014,1.884736,1000,0.001138,0.010697,0.001356028,0.00034524031806265035,0.001256,0.001303,0.001401,1000,0.005917,0.025994,0.0066907979999999995,0.0015684392118268404,0.006264,0.006452,0.006677,1000,2.635408,5.212303,2.736012455,0.19740191195923099,2.6920785,2.7158595,2.7386515,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.00034,0.001029,0.000462892,7.907858329535248e-05,0.00040875,0.00045,0.000504,1000,3.349955,6.23993,3.46649272,0.21532955568198617,3.38695825,3.4333415,3.49258425,1000,0.053697,0.101782,0.056768006999999995,0.004501806879570801,0.05458925,0.055347,0.05730125,1000,0.044778,0.086605,0.048287783,0.004916066725331442,0.045628,0.0465145,0.050308,1000,0.70337,2.103043,0.730333566,0.09214004886272659,0.7106985,0.7136755,0.7359025,1000,2.533407,3.970426,2.621379503,0.13550406776240334,2.56001425,2.595447,2.64286175,1000,0.001304,0.005514,0.0016620250000000001,0.0002741993405808993,0.001524,0.001602,0.001744,1000,0.00684,0.02316,0.007962844,0.0011591799582739515,0.007517,0.0078005,0.00807375,1000,3.372492,6.297207,3.48821048,0.21795030072402655,3.40818925,3.454962,3.514238,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseQR,0.000334,0.003575,0.000483622,0.00013206054337310596,0.000424,0.0004645,0.00053,1000,10.957091,14.459845,11.191413164999998,0.2769290815496881,11.03664275,11.1960535,11.2603885,1000,0.054845,0.10461,0.058751951999999996,0.005630842707596795,0.05653575,0.0572655,0.058798,1000,0.044194,0.085643,0.047357586,0.004426821736709532,0.045435,0.0462605,0.04762275,1000,0.700785,1.997742,0.738093322,0.08924159718520458,0.7114005,0.7179205,0.74887875,1000,10.128277,12.40194,10.336749192,0.2025930915254149,10.1983115,10.349937,10.409527,1000,0.001232,0.004329,0.001664183,0.00028527169069327577,0.00148975,0.001642,0.00177525,1000,0.007389,0.029875,0.008739618000000001,0.0017176438461089657,0.00815875,0.008522,0.00885525,1000,10.978439,14.522583,11.214835424,0.2798584828227621,11.05949825,11.2189485,11.283602,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_PrecomputedLinearSolver,0.00025,0.00093,0.00039740699999999996,9.532304732329952e-05,0.000334,0.000387,0.00044425,1000,0.742988,107.059397,1.310171933,7.430186970180465,0.760338,0.781168,0.79762225,1000,0.054154,0.104565,0.058066822,0.005437657111874194,0.055758,0.0567535,0.05794425,1000,0.043504,0.078807,0.046425928,0.003957331745610419,0.04446875,0.0449555,0.047249,1000,0.000116,106.145235,0.526630868,7.4232747559160135,0.000189,0.000226,0.00026,1000,0.636089,0.814009,0.6705440899999999,0.028042624070009924,0.645427,0.6676035,0.68589625,1000,0.001309,0.010873,0.001767925,0.0004982987631682424,0.001588,0.0017115,0.001851,1000,0.006778,0.023319,0.008264694,0.001301890906475654,0.0076135,0.0080065,0.00864925,1000,0.762051,107.122727,1.33248085,7.43331599016448,0.781724,0.80346,0.82063425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
