SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340245,0.411452,0.3548059803921569,0.011345203109494955,0.3474005,0.351339,0.3570645,255,11.860462,13.24083,12.337549082352941,0.21282918811181514,12.1619275,12.399558,12.4732155,255,0.281464,0.382967,0.2923789568627451,0.01294160878997078,0.2851635,0.286748,0.2946795,255,0.135995,0.194271,0.14537029411764704,0.011328398814733336,0.137524,0.138758,0.1562705,255,3.589787,3.969195,3.7068856705882354,0.06415071040519729,3.6586745,3.701455,3.7494315,255,3.589787,3.969195,3.7068856705882354,0.06415071040519729,3.6586745,3.701455,3.7494315,255,0.022559,0.050249,0.024536772549019606,0.0026038642586889613,0.0237285,0.024141,0.0245425,255,0.047798,0.080182,0.050330996078431375,0.00369802242805746,0.0492575,0.049738,0.0502435,255,39.959486,54.702583,48.380171427450975,3.1789233935197365,47.725937,48.04644,48.3499815,255,27.192173,41.591989,35.51893491764706,3.172240317596016,35.076429,35.216448,35.3518595,255,0.020234,0.051195,0.02215949411764706,0.0028194036942484606,0.021458,0.021752,0.0220845,255,21.758002,28.428025,22.922836945098037,2.2794560647843793,21.85867,21.887476,21.94012,255,4.863754,13.493873,12.150758549019608,1.8102275561838022,12.7703075,12.869313,12.967493,255,0.402341,0.487898,0.42025466666666667,0.014864428616821274,0.4099125,0.414888,0.425309,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.950084,13.815807,9.329327959544159,0.33564001334101845,9.115256,9.223234,9.490258,1755,8.659258,13.464735,9.021263627350427,0.3284774573579177,8.815084,8.915129,9.170736,1755,0.004892,0.590106,0.17401985754985755,0.16966249840382114,0.02977,0.115032,0.281498,10530,0.006282,0.339591,0.07767882905982906,0.0755634845514756,0.014032,0.0610825,0.1065115,10530,0.036677,5.566978,1.176324705223172,1.2057041927321526,0.083826,0.887827,1.76318375,10530,0.036677,5.566978,1.176324705223172,1.2057041927321526,0.083826,0.887827,1.76318375,10530,0.097031,0.223825,0.10904930541310541,0.010860612571441388,0.103114,0.105506,0.1108045,1755,0.119675,0.192482,0.12972262792022793,0.00906999353926437,0.1247995,0.127095,0.131623,1755,23.654674,46.398923,30.733682791452992,3.706360312971733,28.2884805,30.211304,32.5686485,1755,14.18162,36.427366,20.913177335042732,3.6865645708412234,18.51469,20.350067,22.771109,1755,0.072658,0.13919,0.08251941424501424,0.008596974995111811,0.07827,0.080627,0.082773,1755,13.328458,35.266039,20.081437013675213,3.59633738596214,17.739463,19.529647,21.9401755,1755,0.099547,0.630728,0.2532439811965812,0.10238125159924057,0.196167,0.228143,0.280765,1755,0.429592,0.662389,0.4937587122507123,0.03052409451284151,0.4742295,0.488067,0.509733,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.032368,1.659708,0.107873803,0.11969549962268503,0.05427975,0.0933075,0.12380375,1000,0.122857,0.267229,0.139756249,0.01779496240111226,0.12650175,0.1308385,0.15199025,1000,0.001834,0.020496,0.0025298705,0.0010508690890066899,0.001984,0.00211,0.00293525,4000,0.003937,0.045728,0.00504245575,0.0017419957977968653,0.004152,0.004322,0.00561325,4000,0.000353,0.020547,0.00073193075,0.0008678108546534997,0.000446,0.000502,0.000869,4000,0.000353,0.020547,0.00073193075,0.0008678108546534997,0.000446,0.000502,0.000869,4000,0.019702,0.177335,0.023075527,0.006538770035356114,0.02041525,0.0207175,0.02447,1000,0.025468,0.060433,0.028184011,0.004002519878886174,0.02608875,0.0265035,0.029475,1000,0.417452,2.332388,0.520631455,0.15083945389563028,0.446824,0.4831335,0.57534925,1000,0.08662,0.263929,0.102866788,0.0180594742546691,0.08997675,0.0941845,0.113683,1000,0.024682,0.07456,0.029301095000000003,0.005604794765018162,0.0258215,0.0268505,0.03179675,1000,0.039458,0.207912,0.046970917,0.010759502933877152,0.040334,0.042933,0.052365,1000,0.005277,0.036473,0.006782229,0.0024132329233952947,0.005582,0.0057765,0.0071755,1000,0.015792,0.085363,0.019274778,0.004674225144846577,0.016641,0.017486,0.020575,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.043646,1.701882,0.10885112699999999,0.11973758253149623,0.0550385,0.094995,0.1264495,1000,0.122168,0.263184,0.140987784,0.017466915307728034,0.12732225,0.1345175,0.15190875,1000,0.00186,0.02418,0.00257059875,0.0011971304950791444,0.00202,0.002155,0.002994,4000,0.003956,0.048003,0.00521273675,0.0019073695087605436,0.004227,0.004448,0.00574325,4000,0.000346,0.017946,0.00073308925,0.0007937732568463348,0.000453,0.00051,0.00086925,4000,0.000346,0.017946,0.00073308925,0.0007937732568463348,0.000453,0.00051,0.00086925,4000,0.020034,0.067051,0.023128961,0.00437890132127672,0.020552,0.0214435,0.02513825,1000,0.025715,0.067948,0.028641173,0.004648131620884998,0.0263725,0.0267905,0.02983325,1000,0.417247,2.377314,0.525013908,0.15018117516083546,0.45095375,0.4845005,0.576958,1000,0.087165,0.210169,0.10324617,0.016920604089485102,0.0903235,0.0947815,0.1143055,1000,0.025205,0.067636,0.029391183,0.005326133210267182,0.02611125,0.026849,0.03194275,1000,0.039265,0.127357,0.047260998,0.009920389998583523,0.04056675,0.0433965,0.05273425,1000,0.005308,0.029698,0.006737317,0.0019768639064212286,0.005596,0.0060405,0.007139,1000,0.015974,0.06181,0.019317001,0.004239575678178065,0.01670975,0.017509,0.0207095,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037397,1.789299,0.079980862,0.12209184361329366,0.0527425,0.0672745,0.07873275,1000,0.124517,0.263612,0.13444350700000002,0.014996460439915512,0.126647,0.128937,0.13193975,1000,0.001845,0.026437,0.00242909175,0.0011985519535389101,0.001981,0.002069,0.002893,4000,0.003939,0.025793,0.004832814,0.0016732376586737461,0.004155,0.004271,0.00555925,4000,0.000351,0.020919,0.0007330145,0.0009331812494310792,0.000439,0.000491,0.000926,4000,0.000351,0.020919,0.0007330145,0.0009331812494310792,0.000439,0.000491,0.000926,4000,0.019916,0.054491,0.021488894,0.0036620590668043572,0.02045875,0.020604,0.020788,1000,0.025515,0.066165,0.027222552,0.004205260241566032,0.026085,0.0262875,0.02652725,1000,0.434486,2.487476,0.49958175,0.1449478439867579,0.4561165,0.4805135,0.50559425,1000,0.098289,0.243209,0.12270368499999999,0.017668972999237254,0.11020925,0.1201105,0.1272235,1000,0.024836,0.063795,0.02745575,0.005057809142257149,0.02584375,0.026156,0.026613,1000,0.044193,0.117504,0.048310621,0.008025132299928706,0.04527775,0.0457435,0.046691,1000,0.008752,0.077282,0.027815504,0.010069407585056036,0.019326,0.028848,0.033242,1000,0.016244,0.062753,0.018575448,0.004369824021090094,0.016979,0.0172115,0.01770675,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039816,1.519076,0.084214454,0.10149385130001662,0.07505675,0.0755905,0.0781655,1000,0.040177,0.150644,0.053751354,0.009323167480458775,0.051122,0.0515625,0.05443125,1000,0.002807,0.022141,0.004188463,0.0014431803008047887,0.00400575,0.004103,0.00422025,1000,0.005678,0.039168,0.007688157,0.0019051111669272742,0.00740375,0.007509,0.00767425,1000,0.000749,0.015,0.001013943,0.000635677845886578,0.00091775,0.000946,0.00097825,1000,0.000749,0.015,0.001013943,0.000635677845886578,0.00091775,0.000946,0.00097825,1000,0.006118,0.036434,0.009561838,0.0023844690842525092,0.00930675,0.0094315,0.009601,1000,0.010005,0.033248,0.012717210999999999,0.001988205905956171,0.01244675,0.012585,0.01273425,1000,0.140653,1.764564,0.243535919,0.11183692770482583,0.23213875,0.2348585,0.25115825,1000,0.011976,0.09134,0.038340873,0.01076266714838246,0.03854475,0.0389715,0.040843,1000,0.001951,0.020181,0.003021391,0.0009865743642113352,0.002881,0.002968,0.00307825,1000,0.006809,0.058195,0.017125843,0.005140815336729282,0.01673175,0.0169625,0.0174225,1000,0.001546,0.055851,0.016036459,0.006293806791308342,0.01696275,0.017291,0.01748,1000,0.000948,0.014953,0.001401478,0.0008415564648411893,0.001258,0.001297,0.001334,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039915,1.507474,0.09865272,0.10147444722951487,0.07512225,0.1033685,0.104698,1000,0.039777,0.126094,0.052604172,0.008979185807322175,0.050312,0.05082,0.05146225,1000,0.00283,0.021599,0.0041414170000000005,0.001545199598469725,0.00397375,0.004035,0.004102,1000,0.005692,0.023072,0.0075629,0.0018566279077941276,0.007292,0.007386,0.00746625,1000,0.000742,0.011012,0.0009976779999999999,0.000621022903213722,0.000904,0.00093,0.000958,1000,0.000742,0.011012,0.0009976779999999999,0.000621022903213722,0.000904,0.00093,0.000958,1000,0.006204,0.034832,0.009498996999999999,0.002348765006762277,0.009197,0.0093795,0.009588,1000,0.009773,0.040332,0.012671749,0.0026267495251734605,0.01226475,0.0124115,0.012568,1000,0.139303,1.74968,0.24668674799999998,0.11174061052551348,0.21925225,0.2499935,0.25496225,1000,0.011889,0.20838,0.028715588,0.010554215097971806,0.02562025,0.0294635,0.0303085,1000,0.001978,0.023665,0.0031033270000000003,0.001377256153397399,0.002883,0.002956,0.0030475,1000,0.006784,0.171384,0.015925065000000002,0.00676564587639458,0.01501775,0.0157325,0.016108,1000,0.00156,0.026479,0.007395804,0.0028908674721584864,0.00582275,0.008848,0.009122,1000,0.000963,0.010755,0.001368361,0.0006804426035155354,0.00120875,0.0012835,0.00134525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008441,0.165082,0.010242545,0.009496097648927953,0.008742,0.0089555,0.00955625,1000,1.100156,1.312248,1.124662972,0.026792385548681852,1.10706275,1.1114155,1.136225,1000,0.066983,0.109799,0.068758552,0.0052405002760515145,0.067334,0.0674735,0.067712,1000,0.037263,0.084291,0.038850146,0.004340081144020697,0.03773575,0.037911,0.0382955,1000,0.000707,0.010886,0.0008739679999999999,0.00036661153961107114,0.000809,0.000841,0.000877,1000,0.985019,1.194861,1.007953869,0.024014685536351273,0.99264925,0.99544,1.01963075,1000,0.002751,0.020691,0.003113059,0.0009323677179734398,0.002892,0.0029805,0.003064,1000,0.008133,0.026604,0.008794293,0.0014728868059531936,0.00846475,0.008567,0.00871125,1000,1.132266,1.472226,1.160486543,0.03267652793866189,1.141345,1.1466755,1.1709165,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.96,0.48000000000000004,1.2,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000277,0.004072,0.000362372,0.0001323605138098217,0.000327,0.000347,0.00038,1000,2.510101,5.208027,2.589907798,0.20548695471443243,2.53897325,2.5649585,2.59207875,1000,0.051345,0.089826,0.053604602,0.0036077179576008986,0.05254975,0.052854,0.05329125,1000,0.043391,0.10137,0.045743493999999996,0.005036633295562027,0.044581,0.044773,0.04500525,1000,0.688956,2.19434,0.720134579,0.10425569036209853,0.69683825,0.7025195,0.72455225,1000,1.710761,2.88666,1.762679358,0.11642379415856466,1.72695025,1.7406735,1.7662265,1000,0.001202,0.019122,0.001416886,0.0007670983685317027,0.001316,0.001348,0.001391,1000,0.005993,0.02464,0.006830948000000001,0.001375526041664061,0.00649375,0.0066215,0.00679525,1000,2.526498,5.259401,2.60846196,0.20817264926963006,2.5569215,2.5837755,2.61009225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.01077,0.000366492,0.0003331035423648329,0.000336,0.000348,0.000365,1000,2.616328,5.075171,2.696811518,0.1900394721029441,2.64045775,2.6734735,2.70289175,1000,0.051616,0.109396,0.05483731,0.006176151296551923,0.05243125,0.0529585,0.05422625,1000,0.044315,0.090589,0.046822053999999995,0.0046010819044094405,0.045385,0.045741,0.046203,1000,0.689203,2.033674,0.717170487,0.0919075147019972,0.69654,0.7038335,0.7230535,1000,1.81066,2.903945,1.870248146,0.11435227162537123,1.829173,1.8501745,1.874829,1000,0.001136,0.021147,0.001366125,0.0007568345759642592,0.001228,0.001298,0.001388,1000,0.006108,0.026789,0.006847364999999999,0.0013844535859952115,0.00646175,0.006649,0.00683325,1000,2.632273,5.124752,2.715392148,0.19251470536773052,2.65838275,2.691172,2.72027,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
