SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326279,0.436752,0.3495551333333334,0.013482522626220064,0.3426835,0.34825,0.3564145,255,12.112833,14.367532,12.687360400000001,0.30046608008153847,12.527516,12.61395,12.8938735,255,0.285471,0.415589,0.30730604705882353,0.01733575611379559,0.2954515,0.305878,0.3132225,255,0.135735,0.240992,0.16471617647058823,0.02288018888454349,0.138173,0.171526,0.18357,255,3.858445,4.426949,3.955572125490196,0.0779111503542433,3.8914235,3.943338,4.0050255,255,3.858445,4.426949,3.955572125490196,0.0779111503542433,3.8914235,3.943338,4.0050255,255,0.022642,0.047788,0.02634249019607843,0.0028357198053774223,0.0238025,0.026627,0.0276645,255,0.053426,0.08988,0.0567401137254902,0.0031766738787865133,0.0546935,0.056691,0.057548,255,40.249516,55.07117,47.94675958039216,1.9792664723975166,48.003452,48.320145,48.735889,255,27.170706,41.69231,34.71134849019608,1.9359106409393128,35.0610725,35.19047,35.3372365,255,0.020935,0.049424,0.02284501568627451,0.0029327980669856435,0.021726,0.022321,0.022909,255,21.790578,28.557354,22.160303588235294,0.9952792035588133,21.9019705,21.963802,22.0584815,255,4.899441,13.219824,12.12534691372549,1.764040866905515,12.734583,12.827188,12.9058895,255,0.384596,0.496741,0.4003189098039216,0.0169188591935589,0.390956,0.395374,0.401852,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.663551,28.229464,13.151643004558405,0.658017595192584,12.8580135,13.043512,13.2112275,1755,12.340966,27.891472,12.802666489458689,0.6291809162479836,12.519951,12.703055,12.855952,1755,0.007658,0.793379,0.24701272174738842,0.2195722529319898,0.051228,0.241928,0.394525,10530,0.008313,0.962046,0.10133123741690409,0.08400276253446148,0.022113,0.098671,0.1703385,10530,0.092644,12.241584,1.8534208954415954,1.8915229935587112,0.167424,1.1408815,2.66422975,10530,0.092644,12.241584,1.8534208954415954,1.8915229935587112,0.167424,1.1408815,2.66422975,10530,0.091909,0.172777,0.10967499373219373,0.015662294130950456,0.098213,0.101809,0.1188665,1755,0.131407,0.226187,0.14620303475783478,0.014902817482004059,0.1365955,0.138881,0.1483895,1755,23.51688,53.923183,28.853082252991452,2.543279016655337,27.064325,28.737783,30.537327,1755,10.192186,39.134032,15.105994492307692,2.4358731003669223,13.414626,15.038593,16.7756375,1755,0.075275,0.334533,0.08714943304843305,0.01289812513367877,0.0807785,0.083502,0.0882545,1755,9.395244,37.732962,14.266869913390314,2.350342467509497,12.656064,14.175671,15.933303,1755,0.104198,0.655862,0.26700536923076923,0.10493551317012437,0.205172,0.243072,0.299811,1755,0.412199,0.721429,0.4827866159544159,0.0302646037449687,0.4613175,0.480459,0.502921,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033389,1.769512,0.095103963,0.12175969538457145,0.04342725,0.0819915,0.110201,1000,0.275743,0.42539,0.30416551199999997,0.025163590164478836,0.2858115,0.2916275,0.32185725,1000,0.001272,0.013247,0.00196510925,0.0007397683007634468,0.001557,0.0017365,0.002311,4000,0.003002,0.02155,0.003980246749999999,0.0009899402190862018,0.00341575,0.003649,0.00445325,4000,0.02093,0.060195,0.024215418750000002,0.003200781516973384,0.02194875,0.023397,0.0255945,4000,0.02093,0.060195,0.024215418750000002,0.003200781516973384,0.02194875,0.023397,0.0255945,4000,0.020704,0.045308,0.023177104,0.0031837519481241,0.021178,0.021401,0.02499425,1000,0.025822,0.059744,0.027894762,0.0030961930468489844,0.026406,0.026634,0.02896125,1000,0.577284,2.614907,0.68597234,0.1567946232552201,0.59891375,0.64332,0.751235,1000,0.092054,0.203523,0.10652210899999999,0.015866161156345256,0.095358,0.0988065,0.116345,1000,0.025954,0.056179,0.029539947,0.004387724727713784,0.0268715,0.0274505,0.0316485,1000,0.041773,0.118841,0.049073743,0.008975254168933099,0.043137,0.045211,0.0545595,1000,0.006257,0.050956,0.007655861,0.0023142305597496117,0.006487,0.006652,0.00807925,1000,0.017041,0.060599,0.019675747,0.0030548384191297255,0.0176475,0.0181415,0.0211795,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.030706,1.748,0.095608017,0.12313570138212847,0.0432115,0.0820285,0.112539,1000,0.271632,0.43389,0.30469320299999997,0.02600448513767944,0.285451,0.2930325,0.32151875,1000,0.001232,0.013403,0.001958348,0.0007011944922031262,0.00155,0.001717,0.00234425,4000,0.002878,0.022911,0.003892099,0.0009567464401287313,0.003311,0.0035595,0.004391,4000,0.020914,0.064528,0.02429800725,0.003342198747785272,0.02192375,0.0234695,0.0256705,4000,0.020914,0.064528,0.02429800725,0.003342198747785272,0.02192375,0.0234695,0.0256705,4000,0.020561,0.045691,0.023265672999999997,0.003101678702907669,0.02117675,0.021471,0.02503275,1000,0.025779,0.058366,0.027893415,0.0024664764788610897,0.02640825,0.026715,0.02920925,1000,0.572401,2.563383,0.6869183329999999,0.1590273412438632,0.59971,0.6417235,0.75356675,1000,0.091498,0.210841,0.106405492,0.016040221588055945,0.09470775,0.0985305,0.1169185,1000,0.025306,0.075348,0.029463476,0.005060501116433431,0.0264075,0.0271595,0.031647,1000,0.041919,0.12126,0.048949672,0.008665722613862966,0.04304625,0.0447115,0.05440125,1000,0.00607,0.028309,0.007550594,0.0020366334130530214,0.00629275,0.006843,0.00806175,1000,0.016982,0.069157,0.019844589,0.003551496141357752,0.01759375,0.018145,0.02131825,1000,0.0,4.8,0.96,1.9200000000000002,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034753,1.731665,0.067187835,0.1206585021687812,0.042101,0.0542125,0.06750025,1000,0.273842,0.411786,0.295847311,0.016557169248947085,0.28783225,0.291126,0.29623925,1000,0.00136,0.020856,0.0019267205,0.0008342140719741845,0.001587,0.001702,0.002271,4000,0.003036,0.060389,0.0038445362500000003,0.0013605352282046715,0.003373,0.003512,0.004354,4000,0.021124,0.10385,0.023741316,0.003185526353233324,0.021958,0.0233755,0.02421625,4000,0.021124,0.10385,0.023741316,0.003185526353233324,0.021958,0.0233755,0.02421625,4000,0.020994,0.052991,0.022053548,0.0022927510217413487,0.021347,0.0214865,0.02167125,1000,0.025873,0.074383,0.026996303,0.0025103922054513714,0.026344,0.0265005,0.02667625,1000,0.599258,2.550579,0.661817446,0.1435265196827788,0.61819025,0.6457665,0.66473775,1000,0.103899,0.233072,0.127543345,0.015872105185827587,0.11672775,0.1262865,0.13257675,1000,0.025753,0.066279,0.0276772,0.0032884177243774856,0.02664075,0.0269825,0.0273525,1000,0.047721,0.108075,0.050792754,0.006393863594844983,0.048626,0.04905,0.0497755,1000,0.009158,0.076257,0.029356712,0.010290871914228453,0.02083775,0.030664,0.03550725,1000,0.017523,0.043489,0.019145616999999997,0.002744357388954835,0.01798875,0.0182155,0.01858325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.029112,1.504711,0.079441112,0.09789610309865995,0.0716795,0.072712,0.07560725,1000,0.080937,0.167712,0.10762628299999999,0.010018028324720938,0.10625925,0.108656,0.11068425,1000,0.002151,0.01297,0.003184306,0.0009305894478039173,0.003001,0.0031005,0.00320925,1000,0.00433,0.0147,0.005808628,0.0008707163761041823,0.00568675,0.0058065,0.005909,1000,0.02496,0.064323,0.03406962400000001,0.003937791695941267,0.03298475,0.0336705,0.035921,1000,0.02496,0.064323,0.03406962400000001,0.003937791695941267,0.03298475,0.0336705,0.035921,1000,0.006478,0.022659,0.009807844999999999,0.001424770920174538,0.009736,0.009919,0.0101825,1000,0.01027,0.036453,0.012484744,0.0014517035883623076,0.01230975,0.0123985,0.012496,1000,0.184563,1.795959,0.29601532,0.10845538119769621,0.2910845,0.2950295,0.29888925,1000,0.013034,0.106987,0.039481522,0.010020997157644342,0.04059875,0.041312,0.042164,1000,0.002221,0.008743,0.003219663,0.0005561750223005345,0.003123,0.00319,0.00326125,1000,0.007185,0.072151,0.017442047999999998,0.004300294459417401,0.017565,0.0177515,0.01796525,1000,0.001849,0.05648,0.016821611,0.00615463264945025,0.01792975,0.018357,0.0186515,1000,0.000975,0.011093,0.001484137,0.0006805479558642433,0.00131,0.001374,0.001463,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.037088,1.644937,0.09381739900000001,0.09949942541349573,0.072771,0.0992855,0.101569,1000,0.08127,0.210453,0.10746162699999999,0.010504863013950776,0.10583675,0.1083025,0.11000925,1000,0.002148,0.014282,0.0031467269999999998,0.0010142471032598516,0.002967,0.0030505,0.003138,1000,0.004411,0.025743,0.005807690999999999,0.001313445825879012,0.005654,0.005748,0.00586525,1000,0.025008,0.070937,0.034013153,0.003992670103025168,0.03299075,0.033501,0.0358585,1000,0.025008,0.070937,0.034013153,0.003992670103025168,0.03299075,0.033501,0.0358585,1000,0.006477,0.020001,0.009667638999999999,0.001281384776200732,0.0096625,0.009828,0.01000825,1000,0.01035,0.034512,0.012493099,0.001735066256717305,0.01228075,0.0124,0.01252025,1000,0.182403,1.932857,0.300338841,0.11062443366391406,0.27969925,0.308453,0.3156965,1000,0.012834,0.071973,0.029438581,0.0069339709520186915,0.02731,0.0313325,0.03195225,1000,0.00212,0.020136,0.0032253829999999996,0.0008587703466649276,0.00308775,0.003163,0.0032375,1000,0.00719,0.042994,0.016241875,0.0040080230400254685,0.01586775,0.0165625,0.016892,1000,0.001864,0.049916,0.00800464,0.00312535523267356,0.00642675,0.0096105,0.009935,1000,0.000998,0.010045,0.001457559,0.0006083968183011808,0.00128475,0.00136,0.00143,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006638,0.143594,0.008222970999999999,0.009195791319411234,0.006895,0.007006,0.00729,1000,1.14522,1.320483,1.161841847,0.01919364601563734,1.1519205,1.1545275,1.1597635,1000,0.066698,0.118682,0.067803077,0.0033621107166586584,0.067048,0.067202,0.06736725,1000,0.036804,0.069995,0.038178548,0.0029969121451413954,0.03734075,0.0375845,0.03786,1000,0.021725,0.050677,0.023464975,0.002209792301184661,0.0222405,0.022539,0.02463,1000,0.997393,1.103955,1.008819543,0.01669160763498085,1.00063775,1.002663,1.00500425,1000,0.002872,0.015268,0.003231825,0.0006912469243150381,0.003032,0.0031,0.00317225,1000,0.01112,0.040938,0.011648104,0.00132689566778402,0.011354,0.011447,0.01158225,1000,1.181879,1.51658,1.201036779,0.02615760531302816,1.18959125,1.192821,1.198658,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.001064,0.000345267,4.887784478677431e-05,0.000325,0.000339,0.000356,1000,2.511941,4.928095,2.574004313,0.18168100059983439,2.5331915,2.540042,2.5728125,1000,0.051565,0.085012,0.053538909,0.0030939718949465262,0.051974,0.052531,0.05501425,1000,0.044022,0.079246,0.045403847000000004,0.002933942742043716,0.044348,0.044518,0.04620625,1000,0.697382,2.102831,0.7163532269999999,0.09449268940004549,0.7029355,0.7048695,0.70840025,1000,1.693304,2.692881,1.734926196,0.10149420062293996,1.706544,1.7117815,1.73275275,1000,0.001228,0.011781,0.001417432,0.00039814898138259755,0.001342,0.001377,0.001414,1000,0.012741,0.026121,0.013318361,0.0010186471737942437,0.01302875,0.0131495,0.01327925,1000,2.536621,4.989768,2.6006957969999998,0.18404661281331366,2.55909725,2.566644,2.5989085,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000289,0.00136,0.00035861000000000004,8.608221593337382e-05,0.00032,0.000333,0.000362,1000,2.62316,4.882671,2.710383908,0.1878568941325964,2.64644525,2.6713315,2.701735,1000,0.051847,0.119317,0.055377864,0.005858218584817743,0.052718,0.0537735,0.05646,1000,0.043854,0.085528,0.0460563,0.0034871295556660924,0.044434,0.044971,0.04690725,1000,0.696663,1.884839,0.728977851,0.08577935633395019,0.70520875,0.718478,0.72636825,1000,1.798717,2.815027,1.855425016,0.11333497884800502,1.81164325,1.824449,1.853708,1000,0.00126,0.011258,0.0014902000000000001,0.00043948494627233823,0.001369,0.00141,0.001469,1000,0.012749,0.033682,0.013589892,0.002045049353031853,0.013005,0.0131265,0.01330725,1000,2.649147,4.940687,2.737747682,0.1914287710654824,2.67226425,2.6971295,2.72942925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
