SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.336362,0.609033,0.35773410588235294,0.020679098021455043,0.3470545,0.352722,0.3620805,255,11.845202,13.769703,12.344694741176472,0.27663631980628356,12.1893975,12.347246,12.5181265,255,0.284175,0.416363,0.30148259215686274,0.018447606594701647,0.2885615,0.295671,0.3074795,255,0.1365,0.210447,0.15526290980392157,0.01752348931755468,0.138175,0.158605,0.169124,255,3.568658,4.010057,3.6861950588235297,0.06065502907265302,3.6423425,3.685757,3.72264,255,3.568658,4.010057,3.6861950588235297,0.06065502907265302,3.6423425,3.685757,3.72264,255,0.023101,0.032647,0.024926639215686275,0.0013718573566845718,0.023921,0.024441,0.0258465,255,0.0483,0.083239,0.05122468235294118,0.00435584284600585,0.0493875,0.050097,0.0515995,255,40.007115,54.805037,48.04451190980392,2.4854928882168004,47.642845,48.030045,48.392095,255,27.212593,41.661561,35.16711825882353,2.4835535437852765,35.06766,35.210925,35.3580365,255,0.02044,0.046103,0.022020109803921568,0.0021354647406434356,0.0212625,0.021715,0.022123,255,21.678438,28.373967,22.575749580392156,1.899565145938314,21.8628575,21.899533,21.946243,255,4.89141,13.694092,12.149583380392157,1.788905706865241,12.753001,12.832433,12.943931,255,0.392489,0.501102,0.4165999254901961,0.017663914742705976,0.403048,0.413109,0.423252,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.984036,13.862263,9.348919684330484,0.2811789521189375,9.1390165,9.298753,9.4861215,1755,8.67069,13.524128,9.036567450142451,0.2776711074125767,8.8312555,8.98631,9.1741385,1755,0.004646,0.631314,0.176028645014245,0.17114686069828997,0.02961975,0.12098,0.28085775,10530,0.006011,0.317777,0.08009116258309591,0.07715742352390016,0.01464425,0.0648355,0.1207175,10530,0.034827,5.547236,1.1652210057929724,1.198677953231448,0.08799875,0.9007125,1.74329575,10530,0.034827,5.547236,1.1652210057929724,1.198677953231448,0.08799875,0.9007125,1.74329575,10530,0.098997,0.196515,0.11224785811965812,0.011885801405624445,0.104841,0.107319,0.1183995,1755,0.117965,0.212579,0.13003334586894585,0.010629006593796664,0.1239815,0.126561,0.1323255,1755,24.073711,42.0729,30.811921603418806,3.726358792494794,28.358049,30.255422,32.5021095,1755,14.466466,31.895454,20.963651222222225,3.6976954511628466,18.5690395,20.37894,22.7177925,1755,0.072552,0.141194,0.08330900683760684,0.00881011088669437,0.0792315,0.081233,0.0841445,1755,13.657444,31.04835,20.130148163532763,3.6072297516294203,17.7703815,19.563549,21.8790255,1755,0.100161,0.644166,0.2554572421652422,0.10579630187486595,0.196192,0.227424,0.28095,1755,0.435872,0.721674,0.49242201481481485,0.03068080590215124,0.471823,0.48563,0.50897,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.045234,1.817743,0.107991362,0.12305805706977074,0.05428675,0.093212,0.12402825,1000,0.123369,0.292233,0.141976478,0.017771910515685024,0.12842975,0.133354,0.1537255,1000,0.001863,0.022462,0.00261198925,0.0013525940830990046,0.002041,0.002161,0.00295925,4000,0.003901,0.03816,0.00508586025,0.0017364215183013419,0.004184,0.004422,0.0056545,4000,0.000341,0.152814,0.00081050425,0.0025530071912319282,0.000478,0.000537,0.00094025,4000,0.000341,0.152814,0.00081050425,0.0025530071912319282,0.000478,0.000537,0.00094025,4000,0.019925,0.05975,0.022859218,0.003973504821247358,0.020509,0.0208005,0.0244215,1000,0.025505,0.073749,0.028103076,0.004288051399671417,0.02607975,0.02648,0.0293345,1000,0.417702,2.46043,0.522596604,0.15205106869836588,0.451566,0.482993,0.57578325,1000,0.086513,0.18389,0.10223465300000001,0.016234251104273057,0.09006325,0.0938925,0.11306275,1000,0.024787,0.071314,0.029140924999999998,0.005250610235332175,0.02586175,0.0266185,0.03167325,1000,0.039178,0.103791,0.046588997,0.009143427991896201,0.04045375,0.0420545,0.05216325,1000,0.005281,0.028537,0.006619621,0.0020110182374506206,0.005569,0.0057455,0.00702425,1000,0.016122,0.057547,0.019365734,0.0039233829931889135,0.01683875,0.0175985,0.02080925,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.051275,1.758869,0.108633522,0.12442010613234308,0.05297875,0.0943675,0.1253075,1000,0.124864,0.289755,0.142175218,0.01716841069599851,0.12998975,0.13476,0.15316325,1000,0.001861,0.018789,0.00253068,0.000988968576902219,0.002039,0.002177,0.002931,4000,0.003964,0.028444,0.005153659,0.0016176738191672018,0.004242,0.004461,0.00573725,4000,0.000354,0.015706,0.0007775337500000001,0.0007959594947991621,0.000502,0.00056,0.00090825,4000,0.000354,0.015706,0.0007775337500000001,0.0007959594947991621,0.000502,0.00056,0.00090825,4000,0.01988,0.059739,0.02310303,0.0047969153572999385,0.0204315,0.0207415,0.02468275,1000,0.025355,0.072367,0.028483842000000002,0.0045201570075646715,0.02622,0.027198,0.02964225,1000,0.418951,2.456214,0.525433745,0.15500697906474398,0.45213225,0.4840145,0.57845275,1000,0.087163,0.201238,0.103016556,0.016549315327615943,0.09030875,0.0945795,0.11458975,1000,0.024942,0.071392,0.029132922,0.005190611957362638,0.02586075,0.026649,0.032058,1000,0.039419,0.117857,0.047014190000000004,0.009381158856660514,0.040508,0.043255,0.05244675,1000,0.005357,0.02762,0.006775056,0.0022220583783654287,0.0056035,0.0059975,0.00711675,1000,0.016248,0.068706,0.01957595,0.004584618728258654,0.01694275,0.0176175,0.02085875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.05072,1.727168,0.080126223,0.11956789523287291,0.05358475,0.0678945,0.07949275,1000,0.126045,0.263547,0.13595726500000002,0.013371585543411635,0.12875175,0.1319415,0.136182,1000,0.001841,0.051132,0.00241954075,0.0013082798604807143,0.002018,0.002092,0.002846,4000,0.003957,0.024374,0.00484084075,0.0013317724762095956,0.004219,0.00436,0.00558825,4000,0.000386,0.017801,0.0007780467499999999,0.0007971689165819485,0.000505,0.000564,0.000946,4000,0.000386,0.017801,0.0007780467499999999,0.0007971689165819485,0.000505,0.000564,0.000946,4000,0.020094,0.04658,0.021231669999999998,0.0024125818027789236,0.02046775,0.020624,0.02087325,1000,0.025415,0.059743,0.027349855,0.003460561193502435,0.0261135,0.0264385,0.02737525,1000,0.439231,2.429356,0.500813194,0.1415321487992405,0.4613725,0.483701,0.5009315,1000,0.099437,0.236868,0.122696577,0.01615436035057009,0.111434,0.1212175,0.12741775,1000,0.025206,0.076049,0.027438686,0.00409538786190075,0.026073,0.026413,0.026857,1000,0.044753,0.149187,0.048643533,0.00787920469482238,0.04580875,0.0463715,0.04736425,1000,0.00881,0.081246,0.027510035,0.00976719074113816,0.01927225,0.0287605,0.03295175,1000,0.016576,0.096202,0.01857553,0.004031147295882402,0.01714675,0.0173285,0.0178235,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.027952,1.56381,0.083396077,0.09978054813356695,0.0750785,0.075576,0.077621,1000,0.039899,0.139155,0.053502940000000006,0.009495576604840803,0.05091275,0.0515275,0.0525735,1000,0.002773,0.020833,0.004265107,0.001745904736676947,0.004024,0.004091,0.0041505,1000,0.005578,0.032562,0.007649545,0.002001972983327947,0.007382,0.007466,0.00757925,1000,0.000721,0.011721,0.001008319,0.0005527943498616823,0.000921,0.000953,0.000986,1000,0.000721,0.011721,0.001008319,0.0005527943498616823,0.000921,0.000953,0.000986,1000,0.006168,0.03307,0.009481616,0.0023476688319573526,0.009193,0.009355,0.00949925,1000,0.00999,0.042235,0.012941732,0.003113688326755907,0.01233175,0.012447,0.01256525,1000,0.140703,1.798731,0.242537485,0.11056687218124504,0.23155125,0.234296,0.25023025,1000,0.011885,0.110818,0.038203014,0.010721389045912102,0.03851975,0.0388665,0.0404885,1000,0.00194,0.023458,0.0030178429999999997,0.0010476272974445635,0.00287675,0.002964,0.003055,1000,0.006857,0.049617,0.016870238000000003,0.004588652988117101,0.01669325,0.016838,0.01705425,1000,0.001558,0.073174,0.016141845999999998,0.006656751503720414,0.017008,0.017231,0.017381,1000,0.000938,0.016238,0.0014279179999999998,0.0009591909232660618,0.001273,0.0013125,0.001357,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036133,1.467462,0.09842473,0.09789251315738655,0.07548425,0.103242,0.10489225,1000,0.039986,0.130997,0.053044031000000005,0.008632225034835399,0.050848,0.0514915,0.052459,1000,0.002831,0.01957,0.004169399999999999,0.0014651783318081113,0.00399,0.004062,0.00412925,1000,0.005675,0.025195,0.007663456,0.0019626126204791406,0.00734375,0.007458,0.007568,1000,0.000727,0.015046,0.0010455129999999999,0.0007864751819549044,0.000924,0.00096,0.000997,1000,0.000727,0.015046,0.0010455129999999999,0.0007864751819549044,0.000924,0.00096,0.000997,1000,0.006112,0.034392,0.009468915999999999,0.0025031800628288812,0.009132,0.009257,0.009379,1000,0.00981,0.033606,0.012529710999999999,0.0020719407297215336,0.01223075,0.012376,0.012505,1000,0.140515,1.713023,0.24643975399999998,0.10847546907133192,0.21987025,0.251872,0.25534625,1000,0.011792,0.067279,0.028394433,0.007482226162146598,0.025599,0.029451,0.03008475,1000,0.001936,0.020115,0.003046672,0.0011542100573188573,0.002873,0.002949,0.00304925,1000,0.006762,0.051486,0.015748182,0.004626210940162153,0.01507175,0.015747,0.01618425,1000,0.001599,0.026979,0.00740539,0.0030633973620638904,0.00579075,0.008841,0.009067,1000,0.000907,0.015695,0.0014193979999999999,0.000985085331124162,0.001218,0.001279,0.001346,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008534,0.141993,0.010299527,0.008645631589494834,0.0088585,0.0090415,0.0093685,1000,1.100286,1.412451,1.1590944920000001,0.07055477776594536,1.1073555,1.1310325,1.16961025,1000,0.067029,0.147601,0.069577754,0.006425948029783933,0.0674465,0.0676275,0.06986575,1000,0.037239,0.080307,0.039114584,0.0041282117856214695,0.03760775,0.037823,0.040199,1000,0.00065,0.003565,0.0008900199999999999,0.00018686559768989048,0.000835,0.0008805,0.000923,1000,0.984208,1.258534,1.041135012,0.06742263663651739,0.99245,1.015206,1.049682,1000,0.002721,0.023155,0.0031743609999999997,0.0012286414361720836,0.00291075,0.002984,0.003061,1000,0.008176,0.026314,0.008688379999999999,0.0013675501437241707,0.00841075,0.008488,0.00858125,1000,1.133067,1.608736,1.195035122,0.07272546135617922,1.141827,1.1654695,1.20616975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000268,0.000871,0.00032711599999999996,4.8748359398035124e-05,0.000307,0.000321,0.000336,1000,2.504477,5.15219,2.590523492,0.20231732447977838,2.532132,2.564291,2.59493275,1000,0.051646,0.120647,0.055074536,0.005559890023615934,0.052894,0.0533075,0.056569,1000,0.042482,0.086532,0.046097999,0.004880504153978255,0.04445875,0.0448345,0.04718625,1000,0.689862,2.187646,0.717265549,0.10047016684358397,0.6961425,0.702234,0.72192875,1000,1.707385,2.932295,1.764238362,0.11796497608799382,1.71942925,1.743217,1.7693215,1000,0.001159,0.01015,0.001384263,0.0003554305752618927,0.001257,0.001302,0.00142925,1000,0.005938,0.024374,0.006733060999999999,0.0013998772679342285,0.006334,0.006512,0.00674125,1000,2.520525,5.20411,2.609004233,0.20478119522256608,2.549942,2.5828745,2.61351425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.00028,0.011081,0.00034383600000000003,0.00035308373101008213,0.000312,0.000323,0.000335,1000,2.602726,5.148564,2.6992441979999997,0.1933135984650454,2.64798625,2.674664,2.70394575,1000,0.051156,0.098862,0.054039231,0.005302528145671553,0.051919,0.0528685,0.053388,1000,0.042634,0.09582,0.045417694,0.005072753999787886,0.04332475,0.044647,0.0450765,1000,0.688818,2.058439,0.722949831,0.09348681110522725,0.69698675,0.7156165,0.72837475,1000,1.807986,3.004305,1.869141548,0.1149282123967727,1.83190975,1.8497175,1.87533925,1000,0.001189,0.018676,0.001404288,0.0008679247484983936,0.001294,0.001334,0.001384,1000,0.005946,0.027937,0.006719649,0.0017392876943734756,0.00627375,0.006463,0.006664,1000,2.619076,5.201214,2.7174320240000003,0.1956623311988831,2.66604225,2.6923515,2.721833,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
