SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.338139,0.417716,0.3556716196078431,0.014207912185917845,0.346612,0.350581,0.357528,255,11.496525,12.704328,12.077214196078431,0.27361088514198617,11.9281245,12.124794,12.21683,255,0.281199,0.374658,0.29536416078431377,0.015069599878421361,0.284639,0.288422,0.302013,255,0.136072,0.210074,0.1498745019607843,0.017269909791849627,0.13848,0.139319,0.1707655,255,3.559829,3.930325,3.7024268274509806,0.09925097094815051,3.6209435,3.679316,3.7759405,255,3.559829,3.930325,3.7024268274509806,0.09925097094815051,3.6209435,3.679316,3.7759405,255,0.022301,0.063239,0.025261043137254902,0.0041967232691874235,0.0233705,0.023814,0.026501,255,0.053466,0.091675,0.05696283529411765,0.004216416096910235,0.054757,0.055356,0.0589115,255,39.623511,54.242682,47.69692175686274,2.767446627092077,47.204551,47.729938,48.0891145,255,27.067267,41.531737,35.08449812941176,2.7883440279138463,34.962666,35.138439,35.3514145,255,0.02045,0.032225,0.021984929411764702,0.0013553653421508076,0.0214125,0.021825,0.022201,255,21.747362,28.160105,22.5446873372549,1.8713203654616526,21.842356,21.882749,21.966569,255,4.881908,13.1997,12.099229643137255,1.7990984723129924,12.675052,12.835269,12.9405235,255,0.396025,0.474638,0.41589454117647057,0.015231624211065869,0.4057325,0.4106,0.418716,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.978843,10.501544,9.465199606267806,0.3082960747750295,9.179383,9.490376,9.6111225,1755,8.691413,10.151086,9.146848868376068,0.29627663223673617,8.8717095,9.170618,9.2852745,1755,0.004963,0.570051,0.17833892630579296,0.1723765950790738,0.0313355,0.135798,0.28470225,10530,0.005935,0.331572,0.08827149791073124,0.08618885002406128,0.0148905,0.0603085,0.15615575,10530,0.034315,3.668768,1.183436045773979,1.2171034475291878,0.09679575,0.8865605,1.7842615,10530,0.034315,3.668768,1.183436045773979,1.2171034475291878,0.09679575,0.8865605,1.7842615,10530,0.096858,0.210806,0.11451631452991452,0.013993603562466105,0.103216,0.114967,0.1207495,1755,0.122357,0.236947,0.13673900683760684,0.01201794324501531,0.1278225,0.136161,0.1404915,1755,24.014071,41.737764,30.99437442279202,3.7275086950780243,28.496145,30.431347,32.712045,1755,14.445459,31.110535,21.027424395441596,3.6513044758075397,18.641247,20.50332,22.775484,1755,0.071414,0.148553,0.08283107977207978,0.008906085950950405,0.077834,0.080629,0.085041,1755,13.627971,29.815731,20.186087381196582,3.56101318833565,17.887299,19.642365,21.944273,1755,0.099201,0.678273,0.2614273207977208,0.10633586470446811,0.2012505,0.236729,0.287268,1755,0.431793,0.64308,0.49489460512820516,0.028782404529343966,0.4748555,0.490188,0.5100985,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037156,1.803966,0.108713477,0.12076571634715488,0.0544045,0.0938775,0.12594975,1000,0.124817,0.289879,0.144575933,0.020307252002289996,0.130243,0.134573,0.15714275,1000,0.00187,0.023477,0.002652131,0.001405982408438669,0.00205,0.002165,0.003028,4000,0.003934,0.026085,0.0051250305,0.0017284930283543957,0.004201,0.00441,0.005748,4000,0.000378,0.017577,0.0007705505,0.0007955358172010546,0.000478,0.000528,0.000977,4000,0.000378,0.017577,0.0007705505,0.0007955358172010546,0.000478,0.000528,0.000977,4000,0.020274,0.080235,0.023623105,0.005138609873105274,0.02093275,0.0212185,0.02489875,1000,0.027231,0.084187,0.030480085,0.005465824474109556,0.02798275,0.028451,0.0315175,1000,0.419241,2.399024,0.527406167,0.15038183288675902,0.45434375,0.488342,0.5806615,1000,0.085798,0.1877,0.100703397,0.016395292826582603,0.088058,0.091923,0.11115725,1000,0.025274,0.069411,0.029282225999999998,0.0055232778433575115,0.02602475,0.0265935,0.03170425,1000,0.037843,0.101719,0.044957163,0.009367281304222213,0.03869625,0.0408895,0.050051,1000,0.005222,0.024745,0.006563473,0.0021466948831333718,0.005453,0.005618,0.00699025,1000,0.016071,0.058889,0.019363335,0.00446139087244942,0.016685,0.0173655,0.02057975,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.048639,1.653509,0.108443656,0.11841759250040368,0.05309175,0.0941415,0.12528575,1000,0.12493,0.273586,0.144823592,0.01864773716383669,0.13121,0.137475,0.15595025,1000,0.001888,0.023703,0.00262267275,0.0012333316261887706,0.00207,0.002199,0.00301625,4000,0.003996,0.028875,0.00527262075,0.0018156790398964895,0.0043,0.0045665,0.005833,4000,0.000366,0.017789,0.00074889925,0.0008825884604952851,0.000453,0.000503,0.000913,4000,0.000366,0.017789,0.00074889925,0.0008825884604952851,0.000453,0.000503,0.000913,4000,0.020236,0.057114,0.023409753000000002,0.004273536586714919,0.020898,0.021302,0.0250255,1000,0.027442,0.076356,0.030442372,0.005348268787338197,0.0279525,0.028421,0.03162325,1000,0.418637,2.280412,0.527490406,0.14764037524717,0.452339,0.488624,0.58097925,1000,0.085566,0.215872,0.100868457,0.01646021536056412,0.08842825,0.0922515,0.1119815,1000,0.025299,0.08828,0.029482201,0.005619650217104174,0.026237,0.0269055,0.03201825,1000,0.037879,0.091273,0.044946977,0.008646987932018351,0.03881375,0.04146,0.05000425,1000,0.005237,0.032311,0.006617368,0.0019701885733543374,0.005518,0.0059235,0.00704275,1000,0.015876,0.063396,0.019298145,0.004419996556104427,0.016723,0.017302,0.02062275,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.048837,1.740691,0.079248762,0.11501396873657282,0.0525075,0.066983,0.0787865,1000,0.126798,0.253176,0.136874895,0.01429906562989257,0.12945575,0.1318835,0.13508125,1000,0.001903,0.020669,0.00244454375,0.0010498056980155603,0.002033,0.0021135,0.002904,4000,0.004011,0.030432,0.0048755525,0.0016297408899097275,0.004202,0.00433,0.00563625,4000,0.000395,0.015308,0.00077310475,0.000802776285634695,0.000486,0.000534,0.00098825,4000,0.000395,0.015308,0.00077310475,0.000802776285634695,0.000486,0.000534,0.00098825,4000,0.020321,0.069121,0.021895046999999997,0.003915492523143289,0.02078975,0.020949,0.02115525,1000,0.027535,0.064635,0.029436964,0.004333780989471433,0.02807075,0.0282925,0.02856,1000,0.437851,2.374714,0.5015425680000001,0.13661121160540732,0.45986125,0.4840395,0.5061725,1000,0.096832,0.232604,0.120653511,0.01739071699246121,0.1080865,0.1182135,0.1252385,1000,0.024826,0.071847,0.027310971,0.005229408569442533,0.02565675,0.025999,0.0264235,1000,0.042553,0.107146,0.046706988,0.00779110284207929,0.0437745,0.0443015,0.04522,1000,0.008828,0.08282,0.027743431,0.01029370699258722,0.01925675,0.028863,0.03322525,1000,0.016549,0.055897,0.018367188,0.003556312612335423,0.01703,0.017213,0.01765875,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040231,1.474147,0.084009316,0.09717252586301409,0.07554175,0.076101,0.0779765,1000,0.040432,0.145704,0.053653439,0.008795975870264709,0.05146375,0.051975,0.05305275,1000,0.00286,0.025089,0.004262894000000001,0.001506425870318218,0.004089,0.004168,0.004255,1000,0.005751,0.030426,0.007729171999999999,0.0020652432588961524,0.00742975,0.007529,0.00761125,1000,0.000789,0.014931,0.001079963,0.0008028763115393305,0.000957,0.0009935,0.001028,1000,0.000789,0.014931,0.001079963,0.0008028763115393305,0.000957,0.0009935,0.001028,1000,0.006186,0.033661,0.009474450999999998,0.0021722779784362316,0.00928,0.009395,0.00954325,1000,0.011199,0.038449,0.014104605,0.0022832562280600487,0.013743,0.013887,0.01403,1000,0.142387,1.708762,0.243173576,0.10732381775506417,0.233047,0.2356095,0.249769,1000,0.012019,0.101107,0.037391682999999995,0.010419547380981144,0.0377435,0.0381055,0.03901325,1000,0.001956,0.020458,0.003035833,0.0012195914394218254,0.002874,0.002943,0.00301325,1000,0.006935,0.050504,0.016119028,0.004431879766782489,0.015918,0.0160655,0.016257,1000,0.001558,0.065821,0.016091772,0.006453827450437144,0.01707525,0.017337,0.01752525,1000,0.000949,0.018782,0.00138002,0.0007862614028425914,0.001249,0.001286,0.00132925,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.030373,1.392642,0.09843342,0.09450063793268065,0.0755855,0.103868,0.10528025,1000,0.04071,0.114881,0.05421096,0.00854799539777602,0.0511675,0.0521795,0.05488575,1000,0.002906,0.018526,0.00421539,0.0012287454129721097,0.00406275,0.004143,0.004216,1000,0.005759,0.025303,0.007826691,0.0020004313993533997,0.007419,0.0075495,0.0077645,1000,0.00079,0.010357,0.0010765920000000001,0.0006049034348852715,0.00097,0.001006,0.001037,1000,0.00079,0.010357,0.0010765920000000001,0.0006049034348852715,0.00097,0.001006,0.001037,1000,0.006195,0.040743,0.009574725000000001,0.002541946031955635,0.00920075,0.009409,0.009606,1000,0.011078,0.043646,0.014255604,0.002813269751585155,0.0136045,0.013765,0.01410925,1000,0.142543,1.62552,0.24894902900000002,0.10484161964398564,0.2223755,0.252661,0.25799525,1000,0.012042,0.085511,0.027611168000000002,0.007100310400663903,0.02476875,0.028558,0.029365,1000,0.002016,0.020507,0.003120453,0.0015299095946463635,0.00284975,0.002925,0.003041,1000,0.006771,0.045189,0.015030149,0.004064204999849171,0.01429375,0.014949,0.0153785,1000,0.00157,0.024888,0.0073415929999999996,0.002924903560692386,0.005719,0.008857,0.009106,1000,0.000932,0.021523,0.001374052,0.0008719824925398446,0.00121775,0.001281,0.00133025,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008408,0.144705,0.010191045,0.008507395980849545,0.008915,0.009121,0.0094195,1000,1.10226,1.28761,1.143191933,0.03854614685685861,1.1109665,1.13151,1.169535,1000,0.067093,0.116803,0.069980069,0.0059763003974230575,0.06739375,0.0688485,0.070063,1000,0.0372,0.077226,0.039057588000000004,0.004572283405942375,0.037523,0.0377295,0.03979175,1000,0.000679,0.015734,0.000961045,0.0008611044634508639,0.00078,0.00082,0.000873,1000,0.987851,1.165872,1.0252807929999999,0.03516996015735802,0.99515425,1.0146455,1.04680525,1000,0.002676,0.013962,0.003016702,0.0007369565409140487,0.002875,0.002927,0.002991,1000,0.008596,0.027218,0.009149129999999998,0.0013119697965654545,0.00888175,0.008986,0.009087,1000,1.134856,1.488774,1.1796260570000001,0.04236749232777119,1.14651125,1.167271,1.204423,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.013093,0.000359596,0.0004131169650159626,0.000318,0.000332,0.00035825,1000,2.564801,5.228574,2.645871647,0.20223916626766533,2.583443,2.6247405,2.6513345,1000,0.051937,0.092433,0.054603963000000005,0.005321222570578213,0.05235975,0.0528125,0.05452075,1000,0.043984,0.084784,0.046071652000000005,0.005015874001497246,0.044372,0.044578,0.04509425,1000,0.6878,2.16094,0.715999734,0.10169792239832258,0.6942815,0.698371,0.724183,1000,1.76613,2.963327,1.821508841,0.11541439157299976,1.77584975,1.8038565,1.82970875,1000,0.001159,0.011447,0.001376615,0.0004549615970332002,0.001276,0.001325,0.001401,1000,0.005891,0.025375,0.006605151,0.0014887937916981655,0.006234,0.006369,0.00653625,1000,2.581503,5.28161,2.664099153,0.20466667664282234,2.60105125,2.6428835,2.67013675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000291,0.009261,0.00037373399999999997,0.00028755420574910745,0.000329,0.000344,0.000389,1000,2.610079,5.125042,2.695166667,0.1913370000731853,2.64500075,2.6735905,2.69687,1000,0.050755,0.101315,0.053433404000000004,0.004926392308452912,0.05211375,0.052411,0.05275325,1000,0.042449,0.091249,0.045820072,0.005913332448359046,0.04411,0.044459,0.04473225,1000,0.688007,2.058065,0.7145718839999999,0.09164219872901644,0.69322825,0.6973975,0.72334275,1000,1.815851,3.03812,1.873654304,0.11504849409288931,1.83236875,1.8540125,1.880046,1000,0.001152,0.00367,0.0013685350000000002,0.0001844914924190273,0.001282,0.001335,0.0014075,1000,0.005853,0.025699,0.006563503,0.0015292204523844818,0.006164,0.0063195,0.0065345,1000,2.626582,5.175722,2.713387573,0.19392135339758917,2.662023,2.6912105,2.7149475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
