SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342242,0.419456,0.35377423529411767,0.010308426812114208,0.347759,0.351199,0.3556035,255,11.785589,12.895503,12.18415277254902,0.19502016007796358,11.989695,12.245647,12.296881,255,0.283987,0.354062,0.2935498705882353,0.00963496807706168,0.28765,0.290769,0.297407,255,0.136883,0.190292,0.1409772274509804,0.007020272256272375,0.1382925,0.138878,0.1397695,255,3.55774,3.835305,3.631364568627451,0.05441715335913812,3.588864,3.627878,3.666061,255,3.55774,3.835305,3.631364568627451,0.05441715335913812,3.588864,3.627878,3.666061,255,0.025175,0.043459,0.027033784313725488,0.002539531313202169,0.026048,0.0264,0.0267485,255,0.051479,0.062299,0.053073623529411765,0.001291170382369853,0.052345,0.052864,0.05335,255,39.977764,53.613927,47.201826541176466,1.7974837001578114,47.5797815,47.863781,48.0312355,255,27.167961,41.236129,34.485299925490196,1.847717828787495,35.064115,35.210254,35.290462,255,0.020579,0.037118,0.021896301960784313,0.0014678187281212918,0.021365,0.021631,0.022002,255,21.773871,27.869971,21.929398090196077,0.3764520875138886,21.8752225,21.908197,21.934361,255,4.884641,13.149024,12.121893274509805,1.7920240268085657,12.7464735,12.875741,12.9347005,255,0.395664,0.491211,0.4102613176470588,0.01355795088937514,0.4022405,0.406664,0.413041,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.6254,31.389672,9.000152005128205,0.7881213933677597,8.7873315,8.874733,9.1191375,1755,8.357923,30.947484,8.713538253561254,0.7772951448269315,8.5061305,8.58918,8.832906,1755,0.004701,1.566495,0.17263869164292497,0.16980716556577913,0.0277295,0.133828,0.27899325,10530,0.006154,1.009938,0.07587211528964861,0.07413079410595884,0.0139125,0.078134,0.1049935,10530,0.036891,16.031147,1.15152577008547,1.2056469328914958,0.085212,0.9987615,1.69334025,10530,0.036891,16.031147,1.15152577008547,1.2056469328914958,0.085212,0.9987615,1.69334025,10530,0.094363,0.501419,0.1070771264957265,0.019204879593106232,0.0994465,0.10229,0.107969,1755,0.129225,0.568308,0.14077854814814814,0.018738106237684404,0.1335555,0.135428,0.141297,1755,23.643368,68.668261,30.486805452421653,3.890288611346464,27.8724195,29.891111,32.6356755,1755,14.357273,37.922951,20.912797512250712,3.6942036017014526,18.3673685,20.38076,23.0345525,1755,0.074527,0.348632,0.08480538461538462,0.011791487464444457,0.0792255,0.08229,0.08466,1755,13.522194,36.930725,20.062738935612536,3.6004454707955458,17.5875185,19.547178,22.096339,1755,0.105477,1.143825,0.2629053686609687,0.10919191400883103,0.2015015,0.237868,0.292467,1755,0.43472,2.156288,0.5001362182336182,0.07236982468618837,0.4763035,0.492685,0.5163555,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.042999,1.748164,0.110520686,0.1248534513694171,0.05361025,0.0919685,0.1251935,1000,0.19381,1.34756,0.22468522800000001,0.08448764071070997,0.20040925,0.20599,0.23072875,1000,0.001919,0.039704,0.00273913625,0.0014428383349100263,0.00212,0.002253,0.003052,4000,0.004157,0.146765,0.005475209,0.003307367652200009,0.00443,0.004617,0.00584125,4000,0.01499,0.122273,0.01855481175,0.007186849379061171,0.01581075,0.016872,0.019157,4000,0.01499,0.122273,0.01855481175,0.007186849379061171,0.01581075,0.016872,0.019157,4000,0.020147,0.145946,0.02377385,0.010004313208086799,0.020715,0.0209915,0.02476375,1000,0.025594,0.195636,0.029177777999999998,0.011260705868137929,0.0261975,0.026555,0.0295305,1000,0.499537,3.870313,0.631567004,0.2789660176976902,0.52227175,0.5655765,0.67107425,1000,0.090123,0.735614,0.109834409,0.047130595521865826,0.0938065,0.0979435,0.1156345,1000,0.025189,0.259415,0.030507212,0.013759155661705989,0.0261805,0.0270015,0.0316825,1000,0.040816,0.328628,0.050529169,0.02235422446014263,0.04247975,0.0451645,0.05366225,1000,0.006257,0.048794,0.007963032,0.0035451974019758054,0.00649975,0.0066825,0.0081815,1000,0.016455,0.118637,0.020267396,0.008360097245797084,0.01715,0.017921,0.02132425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041364,1.695622,0.106212789,0.11912242474974423,0.053342,0.091461,0.12419375,1000,0.196085,0.327272,0.217158464,0.020990900823754658,0.20166975,0.2069545,0.23224675,1000,0.001961,0.021977,0.002658326,0.0008792100799717892,0.002121,0.002265,0.003055,4000,0.004252,0.023748,0.00530387575,0.0012371614655379214,0.00452,0.0047165,0.005887,4000,0.015218,0.049212,0.01791247425,0.0026180018142348445,0.01595675,0.016877,0.019175,4000,0.015218,0.049212,0.01791247425,0.0026180018142348445,0.01595675,0.016877,0.019175,4000,0.020099,0.04342,0.022612255,0.0028612198992693655,0.02060475,0.020859,0.0246025,1000,0.025598,0.099186,0.028134918000000002,0.003555626679683344,0.026225,0.0265325,0.02966875,1000,0.503659,2.418374,0.6070307349999999,0.15264849156593974,0.517655,0.563948,0.67369175,1000,0.089579,0.218421,0.1049593,0.015886007449450602,0.093427,0.0972585,0.11662275,1000,0.025088,0.069804,0.029060025,0.004629505839976336,0.0259515,0.0269315,0.0318255,1000,0.041193,0.132649,0.048204832,0.008478611158779249,0.04221,0.043599,0.0542265,1000,0.006148,0.025209,0.007665981,0.0017523719629801773,0.006439,0.0069855,0.008273,1000,0.016382,0.046961,0.01947844,0.003304286030355121,0.0171095,0.0178365,0.0213155,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.045755,1.766192,0.078467919,0.11526022885294145,0.052943,0.0662305,0.0786125,1000,0.194793,0.322827,0.20661649299999998,0.013740398212349998,0.20031825,0.2034205,0.20663725,1000,0.00194,0.019964,0.00248471025,0.0008616525969292599,0.002094,0.002179,0.002957,4000,0.004124,0.022372,0.00496627575,0.0011249765856283132,0.00438775,0.0045075,0.00576425,4000,0.014854,0.041324,0.0171739845,0.0022532499314900133,0.01566,0.016379,0.01888225,4000,0.014854,0.041324,0.0171739845,0.0022532499314900133,0.01566,0.016379,0.01888225,4000,0.020258,0.058427,0.021369413,0.002174024539519046,0.020729,0.020913,0.0211135,1000,0.025485,0.061159,0.026764322,0.0023375548939684816,0.02609875,0.026271,0.02646825,1000,0.518754,2.491377,0.58028609,0.13863581005731493,0.53731225,0.5658215,0.5824315,1000,0.102013,0.254539,0.126019205,0.016392157249702523,0.11489175,0.124939,0.131214,1000,0.02527,0.081043,0.027393329,0.003513401321050443,0.02634575,0.026647,0.0269725,1000,0.046271,0.132364,0.049910999000000004,0.006874558542408304,0.04760475,0.0481145,0.0489455,1000,0.009293,0.061245,0.029360409,0.010018056718931021,0.02084275,0.030745,0.03550775,1000,0.016953,0.045163,0.018835777999999997,0.0025921031053405263,0.01760975,0.0179395,0.01845125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040617,1.441036,0.080417346,0.09628203847890988,0.072204,0.0752825,0.075834,1000,0.05982,0.136396,0.078341129,0.0082113425311796,0.07705875,0.0778505,0.081194,1000,0.002911,0.021861,0.004115365,0.0009446695728004581,0.00405275,0.004125,0.004185,1000,0.005816,0.025419,0.007694405,0.0013028102006719935,0.00761,0.007702,0.007789,1000,0.018839,0.044734,0.025159248,0.0025012682592029187,0.025119,0.025363,0.025711,1000,0.018839,0.044734,0.025159248,0.0025012682592029187,0.025119,0.025363,0.025711,1000,0.00613,0.035839,0.009449349000000001,0.001586960640721439,0.009467,0.009575,0.00978525,1000,0.009767,0.027525,0.012036923000000001,0.0011800827678900322,0.0119805,0.012085,0.012196,1000,0.163818,1.706952,0.267055081,0.10643215563190683,0.26217875,0.2650275,0.26837925,1000,0.012876,0.117193,0.039253663999999994,0.010300547876647338,0.04011375,0.040696,0.04240325,1000,0.002063,0.011866,0.0029780030000000003,0.0005652489672622145,0.002937,0.002992,0.003058,1000,0.007305,0.048069,0.017056323,0.004167235110558438,0.017328,0.017533,0.0177285,1000,0.001898,0.079253,0.016556113,0.006255665993180184,0.017809,0.0182005,0.018379,1000,0.001053,0.012228,0.00141668,0.0006902822347417033,0.00132,0.001358,0.001393,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040599,1.51199,0.094628319,0.09550733738009473,0.0746225,0.0994685,0.104059,1000,0.060184,0.20037,0.07800798299999999,0.009099313138512763,0.07664,0.077339,0.08078625,1000,0.002839,0.014259,0.004064464,0.0006258846688520179,0.004047,0.004113,0.004175,1000,0.005815,0.01805,0.007667429,0.0010905253527355519,0.00762275,0.0077085,0.007793,1000,0.018846,0.058906,0.025086111,0.00332097425594945,0.02491,0.0251615,0.02553225,1000,0.018846,0.058906,0.025086111,0.00332097425594945,0.02491,0.0251615,0.02553225,1000,0.006097,0.028647,0.009413867,0.0014911307250911974,0.009388,0.0095525,0.009755,1000,0.009839,0.029444,0.012031929,0.0012760811823543986,0.01192975,0.012056,0.012165,1000,0.16488,1.77366,0.270864834,0.10632243203053832,0.24984825,0.2793845,0.2859245,1000,0.012859,0.066864,0.029121772,0.006471189832327281,0.02702875,0.030923,0.03175725,1000,0.002091,0.007214,0.002933252,0.0003636613018950463,0.002889,0.002972,0.0030435,1000,0.007193,0.037379,0.015774983,0.0034033889963844864,0.01568025,0.0163315,0.01673425,1000,0.001924,0.023824,0.007843804,0.002837720825871354,0.0063835,0.009025,0.009888,1000,0.001001,0.018405,0.001385243,0.000631652602267259,0.001271,0.0013445,0.00140525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00893,0.129623,0.010400287000000001,0.008180092108688692,0.00924075,0.009355,0.00958025,1000,1.124858,1.362629,1.160382603,0.03334831666038619,1.133742,1.144736,1.19427125,1000,0.06691,0.117866,0.069042681,0.004392748921033274,0.067523,0.0678065,0.06958725,1000,0.037647,0.094469,0.039379531,0.003578698973794666,0.03806525,0.038242,0.04037375,1000,0.015084,0.047791,0.016059363,0.002025921540739177,0.0155285,0.0156615,0.015837,1000,0.996261,1.167141,1.027646632,0.02964402585467392,1.00407275,1.014724,1.0606455,1000,0.002789,0.019939,0.0031247310000000004,0.000813629525422351,0.002917,0.002987,0.003077,1000,0.011109,0.02831,0.011571272,0.0009729404226446756,0.01133375,0.011405,0.01148125,1000,1.163845,1.55456,1.201295662,0.037487813877789086,1.173869,1.1850385,1.2332535,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.000862,0.00035847699999999995,4.498372451231668e-05,0.000339,0.000354,0.00037,1000,2.566838,4.952783,2.614793437,0.18150643749167145,2.57439225,2.580497,2.61159775,1000,0.051846,0.103714,0.053418343,0.003512796123510586,0.05243625,0.052721,0.0531425,1000,0.044416,0.074395,0.045546105,0.0026052379365376593,0.04475975,0.0450215,0.04531925,1000,0.691112,2.070087,0.710435639,0.0946474580684166,0.697399,0.699485,0.70289725,1000,1.766175,2.753455,1.797611735,0.10209303390963938,1.77018275,1.77284,1.79245125,1000,0.001192,0.003419,0.001457666,0.00017019797426526557,0.001369,0.001426,0.00149925,1000,0.011738,0.044481,0.012445759,0.0012456173436970923,0.01209575,0.0122805,0.01253425,1000,2.590582,5.0104,2.6403940329999998,0.1838468928032832,2.59942525,2.60599,2.636369,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000302,0.000841,0.000353696,4.555989007888408e-05,0.000332,0.000346,0.00036125,1000,2.614769,4.880347,2.6744753820000002,0.17651402296815988,2.62674325,2.6446275,2.66770375,1000,0.05172,0.092199,0.053560711999999996,0.003080164320138781,0.05241,0.0528745,0.05383575,1000,0.044708,0.076414,0.045863429,0.00249017381661582,0.04505675,0.0452125,0.04599225,1000,0.69155,1.942951,0.7170138819999999,0.08647747665769438,0.697345,0.699926,0.7303105,1000,1.815243,2.828669,1.8506149539999999,0.10492247969610653,1.82089225,1.82397,1.84480375,1000,0.001213,0.003426,0.001406561,0.00015789959556312993,0.001331,0.001371,0.00143025,1000,0.011765,0.02532,0.012342243000000001,0.0007415777045940633,0.012112,0.0122425,0.01243225,1000,2.638791,4.936406,2.699927104,0.17863073494019774,2.652133,2.6698895,2.69313425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
