SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330579,0.452609,0.3445582901960784,0.014178594687204426,0.335436,0.339767,0.3514435,255,11.83564,12.746222,12.278067521568628,0.2158514218562101,12.156581,12.29562,12.4158555,255,0.282565,0.3608,0.29589012941176474,0.012684662186561144,0.2861895,0.293796,0.3020165,255,0.135031,0.243982,0.1452390470588235,0.015168978790634741,0.1365755,0.137613,0.1438785,255,3.87164,4.108114,3.9455113254901963,0.0527744670625225,3.8973085,3.937824,3.984685,255,3.87164,4.108114,3.9455113254901963,0.0527744670625225,3.8973085,3.937824,3.984685,255,0.022888,0.037714,0.024886160784313726,0.0017421908006625194,0.023916,0.02434,0.025182,255,0.054263,0.082822,0.056710007843137254,0.0029761135533261204,0.055304,0.055824,0.0576785,255,39.913176,49.073922,47.209442360784315,1.7484964094502329,47.481954,47.821976,48.007362,255,27.105772,35.967217,34.401157847058826,1.7762229202331414,34.979094,35.080329,35.1807385,255,0.020061,0.034277,0.021783094117647058,0.0016780811424223897,0.0211535,0.021511,0.021886,255,21.752697,22.750509,21.94481876862745,0.10805443312199223,21.880704,21.91487,21.970818,255,4.842516,13.08461,12.034183247058824,1.7728350370150792,12.652444,12.759731,12.81696,255,0.382278,0.485893,0.3980818784313726,0.010429076908229707,0.3927415,0.396688,0.401,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.990839,36.564279,13.470677538461539,1.0609088973479197,13.1866525,13.344259,13.472885,1755,12.672147,35.937274,13.131485113390314,1.049170956904201,12.8476195,13.010222,13.1322465,1755,0.007158,2.188954,0.2503345961063628,0.2266377462925769,0.048111,0.266562,0.404385,10530,0.008695,1.040364,0.10106961785375118,0.08431969972312031,0.02162125,0.110235,0.164111,10530,0.090992,18.787714,1.893366504368471,1.949412860242608,0.1689935,1.2448495,2.7318175,10530,0.090992,18.787714,1.893366504368471,1.949412860242608,0.1689935,1.2448495,2.7318175,10530,0.091518,0.460578,0.1126096603988604,0.01746428867911823,0.0991705,0.113049,0.119059,1755,0.134857,0.529959,0.1508849128205128,0.018140040599936055,0.14079,0.14704,0.1508885,1755,24.090475,62.488181,29.299345344729346,2.837477824134661,27.4491905,29.163883,30.9653565,1755,10.372771,32.183539,15.218382441025641,2.4517486852716437,13.527647,14.983225,16.926984,1755,0.075049,0.24317,0.08789566780626781,0.013104566336944956,0.081316,0.083974,0.087267,1755,9.543284,30.90022,14.369758175498575,2.3665446990881263,12.7616575,14.135621,16.0797875,1755,0.104246,0.70086,0.26992889116809116,0.10818173022665162,0.2067805,0.244296,0.2993785,1755,0.414543,2.019115,0.4887090068376068,0.04667406586416947,0.466952,0.485073,0.507827,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035438,1.842967,0.09559124000000001,0.12295954871530068,0.04323125,0.0803825,0.1114505,1000,0.274157,0.430839,0.304375385,0.025486866509847283,0.28563,0.291553,0.3225455,1000,0.001271,0.016864,0.0019362017499999998,0.0007146793589064522,0.00152175,0.001706,0.002329,4000,0.002955,0.020841,0.003909262,0.0009357351729287512,0.00335375,0.003558,0.00442325,4000,0.020951,0.063228,0.024215255249999998,0.003206908335000774,0.02189975,0.023526,0.02541325,4000,0.020951,0.063228,0.024215255249999998,0.003206908335000774,0.02189975,0.023526,0.02541325,4000,0.020918,0.054933,0.023517651,0.003482789431360874,0.0214,0.0216285,0.02540975,1000,0.026211,0.049543,0.028397681,0.002489112680703507,0.026761,0.0273315,0.0297395,1000,0.580901,2.667977,0.6888540529999999,0.15893701667378243,0.59754775,0.645927,0.7557995,1000,0.092918,0.203356,0.10744691899999999,0.016014910018118708,0.09656975,0.0998585,0.11752675,1000,0.025955,0.059913,0.03070398,0.004849076254257094,0.02766125,0.0287775,0.03286825,1000,0.042205,0.114697,0.048999679,0.008789962137913847,0.043349,0.044354,0.0535095,1000,0.006217,0.020856,0.007575345999999999,0.0017809132371578353,0.00647,0.006623,0.00805775,1000,0.016939,0.044152,0.019598894,0.00287675425623462,0.01765475,0.018114,0.02110575,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.02914,1.741301,0.095613486,0.1218546021442186,0.043083,0.0812965,0.11224925,1000,0.272186,0.481794,0.303864482,0.027156473094267528,0.284244,0.290825,0.322075,1000,0.00124,0.012912,0.00193908425,0.0008554821527372371,0.001494,0.001654,0.00230125,4000,0.002876,0.023591,0.0038178715,0.0010930894343500672,0.003207,0.003402,0.00428625,4000,0.021003,0.063763,0.02426105175,0.003353364915882543,0.02186175,0.023472,0.025482,4000,0.021003,0.063763,0.02426105175,0.003353364915882543,0.02186175,0.023472,0.025482,4000,0.020834,0.063594,0.023560113,0.0035397847723033955,0.0213285,0.021604,0.025344,1000,0.026261,0.068879,0.02851508,0.003515904377766836,0.02676,0.027107,0.02968575,1000,0.573455,2.583986,0.686601661,0.159362803964677,0.5941005,0.6426995,0.7542505,1000,0.091645,0.201388,0.106399495,0.016091946371150228,0.09490375,0.0984185,0.1165015,1000,0.025951,0.059456,0.029835593,0.004626930241677629,0.02685375,0.02765,0.03206975,1000,0.041944,0.118567,0.048973726,0.009236861834244572,0.04292275,0.0445975,0.0537675,1000,0.006087,0.02283,0.0075731109999999996,0.0018266873417963456,0.006345,0.0068825,0.0081165,1000,0.016865,0.046909,0.019473189,0.002986744184773614,0.017391,0.017908,0.02103025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.020964,1.745982,0.066681383,0.1187795087270288,0.04180825,0.0539335,0.0667435,1000,0.273561,0.427631,0.292500645,0.016551522621770332,0.284815,0.2882025,0.29339,1000,0.001251,0.013279,0.0018289937500000002,0.0006595046824784018,0.001483,0.0016085,0.0022735,4000,0.002904,0.02304,0.0036821045,0.0009924005280529378,0.00323,0.00336,0.004242,4000,0.021098,0.062259,0.02366478675,0.002743214705008421,0.02197875,0.0234865,0.024122,4000,0.021098,0.062259,0.02366478675,0.002743214705008421,0.02197875,0.0234865,0.024122,4000,0.020984,0.064189,0.022211124,0.0027651919959785797,0.0214785,0.0216365,0.021824,1000,0.026343,0.067493,0.027898047,0.002878168157490281,0.02692975,0.0274135,0.02767025,1000,0.596508,2.555399,0.659928837,0.14191113091698773,0.6164455,0.642927,0.6612815,1000,0.103364,0.237531,0.128094116,0.01643750889151224,0.11700725,0.1267825,0.13298125,1000,0.025855,0.061489,0.028015322,0.003389280317754198,0.02677525,0.0273015,0.02793175,1000,0.047711,0.110625,0.051019482000000005,0.006414511225469638,0.0488695,0.049384,0.050119,1000,0.009291,0.117231,0.029487705000000003,0.01043034623701318,0.02097975,0.0306885,0.03550725,1000,0.017423,0.055665,0.018992138,0.0026918778157553882,0.01786,0.018052,0.01837225,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037089,1.424587,0.079462456,0.09544443486126399,0.07244475,0.07357,0.07604,1000,0.080934,0.208272,0.107955042,0.010751712634563667,0.10616575,0.108661,0.110711,1000,0.002241,0.021342,0.003213698,0.001111303650131682,0.003061,0.0031335,0.003216,1000,0.004234,0.016266,0.005736606,0.0008700071613291467,0.00562775,0.005723,0.005842,1000,0.024984,0.068654,0.034179633,0.004000327133911801,0.03308025,0.0336775,0.035864,1000,0.024984,0.068654,0.034179633,0.004000327133911801,0.03308025,0.0336775,0.035864,1000,0.006498,0.027834,0.009926571,0.001666473820664159,0.00993,0.0100515,0.010168,1000,0.010475,0.041866,0.012794594999999999,0.0018585134099529655,0.01257075,0.012677,0.012775,1000,0.185405,1.723048,0.29756664899999996,0.10716059333590774,0.29308675,0.296614,0.30018975,1000,0.01288,0.119576,0.039848495000000005,0.010542949896588478,0.04097375,0.041477,0.04237475,1000,0.00221,0.01332,0.003250065,0.0007442281469919019,0.003136,0.003201,0.003262,1000,0.007226,0.04957,0.01749361,0.0043610703819016725,0.017614,0.0177915,0.01801525,1000,0.001869,0.057414,0.016970764,0.006122311048967049,0.01822325,0.018535,0.018756,1000,0.000959,0.079915,0.0016134539999999998,0.0026286180795018514,0.001366,0.001417,0.001463,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.03752,1.655181,0.095329417,0.10426015474466319,0.074103,0.1008475,0.103229,1000,0.081952,0.18138,0.108721149,0.010944221668935576,0.10686775,0.109118,0.1107455,1000,0.002241,0.014836,0.003274415,0.001047216528123482,0.003102,0.0031815,0.003258,1000,0.004191,0.026454,0.00578786,0.0014162754189775376,0.005577,0.005679,0.005781,1000,0.024918,0.065528,0.034131754,0.004224059424947049,0.032986,0.0335435,0.03583025,1000,0.024918,0.065528,0.034131754,0.004224059424947049,0.032986,0.0335435,0.03583025,1000,0.006519,0.036105,0.009966309,0.001805644091043138,0.00987375,0.010066,0.010235,1000,0.010517,0.042081,0.01274286,0.0017877978421510636,0.0125435,0.0126435,0.0127635,1000,0.187575,1.970726,0.304248721,0.11502545668784438,0.2828085,0.312097,0.31912175,1000,0.01288,0.072394,0.02992225,0.007007295022724532,0.02773725,0.0316355,0.032629,1000,0.002103,0.014189,0.00324385,0.0008790779644036131,0.0031045,0.003172,0.003246,1000,0.007388,0.04583,0.016436198,0.00399278395017762,0.01606675,0.016717,0.0171995,1000,0.001872,0.034299,0.008216630999999999,0.003151514523342547,0.00653175,0.0097545,0.0102145,1000,0.001007,0.010146,0.0014885550000000001,0.0006680003061189418,0.001317,0.001384,0.00144925,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006283,0.138816,0.008038181,0.009357867707669254,0.00668875,0.0068065,0.00703225,1000,1.141482,1.339022,1.1770332819999998,0.03932526734841704,1.1494485,1.156232,1.20079475,1000,0.066407,0.116627,0.068342771,0.004276436177070692,0.066751,0.067203,0.06953925,1000,0.036678,0.071481,0.038197879000000004,0.0026662393614150623,0.037057,0.037248,0.038215,1000,0.02154,0.046291,0.023339057,0.0022303518878757675,0.022113,0.0224575,0.024459,1000,0.992489,1.182463,1.023410693,0.03577189580221813,0.99824675,1.0044965,1.040321,1000,0.002829,0.013397,0.003286083,0.0007938842586366101,0.003071,0.00314,0.003212,1000,0.011305,0.029383,0.011817512,0.0011268735358752552,0.011522,0.0116075,0.01174525,1000,1.177578,1.535725,1.2160715149999999,0.043650502551193786,1.18733925,1.194422,1.24233675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000286,0.00086,0.000362942,5.373282642854366e-05,0.000329,0.0003535,0.000384,1000,2.587928,4.971143,2.643164244,0.18349121120034184,2.59686625,2.6103875,2.6340655,1000,0.051495,0.097078,0.054477865,0.004459732831098181,0.05202175,0.0532805,0.055905,1000,0.043921,0.081355,0.04577748399999999,0.0031152688243142033,0.0443445,0.0447585,0.0471265,1000,0.698659,2.063255,0.718409881,0.09474870608014042,0.70432175,0.7066695,0.7123055,1000,1.762896,2.731752,1.7999227660000001,0.10189410727201667,1.77103425,1.775052,1.792014,1000,0.001313,0.011886,0.001605101,0.0003882399912412424,0.00148775,0.001559,0.001653,1000,0.012795,0.032104,0.013814128,0.0011939298470245226,0.01316875,0.01376,0.014049,1000,2.613941,5.029217,2.670844247,0.18578625646419056,2.6237645,2.638062,2.66044,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000287,0.000804,0.000337998,4.581556499706185e-05,0.00031775,0.00033,0.000344,1000,2.606587,4.950199,2.670267184,0.17709531713389867,2.62290175,2.6398465,2.6667525,1000,0.051258,0.085431,0.053889440999999996,0.0033833505701477344,0.0519845,0.0530315,0.05556425,1000,0.043586,0.0826,0.045539757,0.0036718148458154856,0.04419875,0.044478,0.046332,1000,0.697874,2.043136,0.718291779,0.08679306318700912,0.703408,0.705649,0.71696825,1000,1.784339,2.822915,1.8287880589999999,0.10393389833413119,1.7971135,1.804201,1.8232725,1000,0.001239,0.003713,0.0015047819999999999,0.00016218457533316786,0.0014085,0.0014795,0.00156525,1000,0.012729,0.023812,0.013394823,0.0008568938415410628,0.01308475,0.013239,0.01345825,1000,2.633964,5.007892,2.696956274,0.17925402972596438,2.649124,2.66656,2.69273,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
