SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.345163,0.595477,0.366346168627451,0.025697998965033424,0.3515435,0.358124,0.373745,255,11.816171,17.76381,12.410423466666666,0.48468990905467924,12.177986,12.365133,12.5508105,255,0.283421,0.396001,0.2986291529411765,0.01652976448630432,0.286657,0.294146,0.302957,255,0.136658,0.224121,0.14902236470588234,0.018188703974470286,0.137753,0.139151,0.163034,255,3.552753,4.108552,3.7098006549019606,0.09237575302858729,3.6384535,3.696786,3.7707835,255,3.552753,4.108552,3.7098006549019606,0.09237575302858729,3.6384535,3.696786,3.7707835,255,0.025084,0.0567,0.028117949019607843,0.003396258887760931,0.0263735,0.026922,0.0286695,255,0.051796,0.097751,0.05563700784313725,0.00669985822793649,0.0529795,0.053653,0.055601,255,40.411389,76.879642,49.04423125882353,3.3733748517051825,47.846196,48.220351,48.778747,255,27.328861,58.286787,36.076130149019605,3.098116837790344,35.1655375,35.329297,35.557345,255,0.020777,0.042884,0.02284473725490196,0.002743461811536142,0.021644,0.022243,0.0229485,255,21.748393,32.84787,23.352784619607842,2.6548463542671232,21.884329,21.933183,22.084583,255,4.927935,24.834382,12.276575780392157,1.9956870658566115,12.7537775,12.922302,13.022209,255,0.391863,0.567437,0.42168334117647055,0.0272851292765224,0.4070045,0.411395,0.4238875,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.658743,15.237437,9.074205154985755,0.7420514534777934,8.8054315,8.873522,9.053685,1755,8.389016,14.941587,8.783752679202278,0.7361874056840161,8.522202,8.582729,8.7531005,1755,0.004845,0.896202,0.17168513656220324,0.16813679875076748,0.02838075,0.114073,0.277446,10530,0.006255,0.321541,0.07489151633428301,0.072208327001872,0.014436,0.060953,0.10447225,10530,0.037921,6.96878,1.169463479202279,1.2177071978410985,0.08603075,0.890315,1.693522,10530,0.037921,6.96878,1.169463479202279,1.2177071978410985,0.08603075,0.890315,1.693522,10530,0.094067,0.234564,0.1092064433048433,0.015623489569517974,0.1004285,0.103163,0.1140835,1755,0.129633,0.238878,0.1418392336182336,0.014818126269318154,0.1337835,0.135439,0.1420425,1755,23.689067,46.050388,30.58732845014245,3.746543468747666,28.12224,30.004749,32.381641,1755,14.345807,34.806961,20.93027774017094,3.599139052006356,18.482995,20.396178,22.6604475,1755,0.073645,0.199277,0.08580277663817665,0.012154041615446096,0.079905,0.082256,0.0848095,1755,13.525401,33.40552,20.054619181766384,3.504921928371642,17.652055,19.569676,21.781778,1755,0.106218,0.908243,0.27906775384615384,0.11764492066218246,0.207756,0.249878,0.309477,1755,0.43641,0.983446,0.5084053156695157,0.04609060584233471,0.480242,0.501758,0.524623,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.036273,1.990388,0.10857167399999999,0.1289667639767771,0.053562,0.0938955,0.12479425,1000,0.192575,0.456588,0.221085472,0.0274547182241453,0.20002975,0.21311,0.23584125,1000,0.001918,0.019326,0.0027486399999999997,0.0012148636632972442,0.002145,0.0022945,0.00312525,4000,0.004056,0.027143,0.005301060000000001,0.001818796972974169,0.00433175,0.004554,0.005843,4000,0.01467,0.069471,0.017951427250000002,0.004004425617264908,0.0154135,0.0163245,0.018849,4000,0.01467,0.069471,0.017951427250000002,0.004004425617264908,0.0154135,0.0163245,0.018849,4000,0.020169,0.056208,0.023460049,0.004632389463613676,0.020786,0.0211255,0.025157,1000,0.025475,0.063765,0.028711762,0.004794946652399378,0.026125,0.0267285,0.029682,1000,0.499512,2.99208,0.621084763,0.1686860180492646,0.5369785,0.580553,0.67616075,1000,0.090475,0.248052,0.10781516000000001,0.01809835830821127,0.09426875,0.098923,0.11863125,1000,0.025348,0.079347,0.029907653,0.005432518586308841,0.026567,0.027243,0.03214925,1000,0.041168,0.138174,0.049511789,0.010158367112901513,0.042609,0.0455035,0.05496325,1000,0.006243,0.037869,0.0077957700000000005,0.0023882660289632728,0.00646775,0.0067095,0.00827,1000,0.016352,0.047478,0.020023852999999998,0.0043530689143856886,0.0173115,0.018065,0.02128125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.02816,1.744186,0.10776806,0.11929978246746471,0.05344775,0.092459,0.12498975,1000,0.193182,0.369676,0.218176715,0.024064679298170064,0.199293,0.2068595,0.234578,1000,0.00195,0.021427,0.0027262939999999998,0.0011177045991960489,0.002155,0.002297,0.003076,4000,0.004176,0.023437,0.0053271195,0.0015294231200749353,0.004445,0.004647,0.005894,4000,0.014656,0.059188,0.01771280975,0.0033897139864677277,0.01545075,0.01641,0.018823,4000,0.014656,0.059188,0.01771280975,0.0033897139864677277,0.01545075,0.01641,0.018823,4000,0.020208,0.075305,0.023300585,0.004478197129512612,0.02077,0.02103,0.0249525,1000,0.02561,0.062056,0.028340694,0.003871502809034755,0.02609575,0.0264665,0.02963225,1000,0.500303,2.549771,0.615336394,0.1549507946904654,0.531215,0.570301,0.67652075,1000,0.090978,0.243834,0.10708082000000001,0.017925811173824188,0.09373225,0.097969,0.11847375,1000,0.025187,0.080471,0.029817264,0.0059073934176000166,0.02637925,0.0270255,0.03196425,1000,0.041388,0.191281,0.049224983,0.010254970908720852,0.04255025,0.045505,0.05491225,1000,0.006169,0.027329,0.0077445429999999996,0.0021231947546447544,0.00643375,0.0069825,0.00826375,1000,0.016483,0.051422,0.019699426,0.0037836596940692226,0.01722125,0.018003,0.02119625,1000,0.0,3.6,0.96,1.3994284547628721,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.036579,1.675901,0.07839344599999999,0.11407701593670427,0.0523075,0.06614,0.0779995,1000,0.193171,0.329441,0.20572416899999998,0.01592722696599879,0.197416,0.200457,0.20448075,1000,0.001916,0.020382,0.00251250875,0.0010320980343084844,0.00211,0.002197,0.002966,4000,0.004037,0.02873,0.0049481885,0.0015113128782511414,0.004295,0.00443,0.005719,4000,0.014534,0.046844,0.01693608525,0.002835292213861287,0.015245,0.0159545,0.01859225,4000,0.014534,0.046844,0.01693608525,0.002835292213861287,0.015245,0.0159545,0.01859225,4000,0.020398,0.050288,0.021460263,0.002431891022194662,0.020764,0.0209115,0.02109325,1000,0.025693,0.061201,0.026784856,0.002607406564244249,0.026071,0.026225,0.02641025,1000,0.518292,2.392488,0.5811109799999999,0.13773316567304913,0.5344675,0.562828,0.58926025,1000,0.103015,0.231009,0.127094193,0.017726766953106567,0.11500075,0.1248845,0.132083,1000,0.025377,0.060498,0.027401194,0.0039175619074066975,0.02610875,0.026446,0.0267915,1000,0.047046,0.109828,0.050299328000000004,0.006925722820212775,0.04782475,0.0482185,0.04914275,1000,0.009447,0.082888,0.029848741999999998,0.01098160813958666,0.02089525,0.030852,0.0357835,1000,0.017,0.067333,0.019004938,0.003649109975070085,0.017607,0.017805,0.01830125,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039989,1.384096,0.080059955,0.09367489524858288,0.07146475,0.074551,0.0752805,1000,0.059446,0.182817,0.078965643,0.010532979503234162,0.07698375,0.077783,0.08111625,1000,0.002905,0.036773,0.004209442,0.001427106867279392,0.00411275,0.004184,0.004252,1000,0.0058,0.034756,0.00777425,0.0016609157033094725,0.0076205,0.0077305,0.00783625,1000,0.018303,0.06245,0.02508186,0.003537459960819345,0.024802,0.0251575,0.0255,1000,0.018303,0.06245,0.02508186,0.003537459960819345,0.024802,0.0251575,0.0255,1000,0.006204,0.02018,0.009457373,0.0014488346986012586,0.009402,0.009541,0.009758,1000,0.009877,0.042116,0.012203145,0.002050064152648643,0.012033,0.0121335,0.012221,1000,0.164271,1.720393,0.268130191,0.10498052433554766,0.2613465,0.2641435,0.26918825,1000,0.012858,0.085127,0.039288498,0.01029907339725259,0.040067,0.0405005,0.04154675,1000,0.00202,0.012301,0.002921253,0.0006023061837562354,0.002843,0.002915,0.002994,1000,0.00729,0.0542,0.017119326,0.004296008187576462,0.0173785,0.0175295,0.01769575,1000,0.001914,0.056837,0.016633321,0.006356346098818015,0.0178445,0.0181005,0.0182495,1000,0.001023,0.011508,0.001386624,0.00042700960952184674,0.001322,0.001362,0.001401,1000,0.0,7.1,1.42,2.84,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039971,1.447815,0.095741716,0.09585336437111294,0.0746345,0.0997045,0.1040805,1000,0.059912,0.1369,0.079260813,0.009750259686902242,0.07721925,0.077962,0.081347,1000,0.00288,0.021133,0.004207092999999999,0.0011108841111254586,0.004142,0.004195,0.004254,1000,0.005874,0.035297,0.007841466,0.0017209126354478313,0.00766775,0.0077785,0.00789125,1000,0.018428,0.058137,0.025201813,0.004092959852237865,0.024777,0.025036,0.02541225,1000,0.018428,0.058137,0.025201813,0.004092959852237865,0.024777,0.025036,0.02541225,1000,0.0062,0.033749,0.009562319,0.002120751933451671,0.009383,0.0095205,0.00972775,1000,0.009945,0.037713,0.012226439,0.0020097460307907065,0.01203075,0.0121245,0.01221475,1000,0.163982,1.713607,0.27464388,0.10659497337283594,0.25084925,0.2815125,0.2865205,1000,0.012899,0.104315,0.029527496,0.007561110777920397,0.02688275,0.030969,0.031591,1000,0.002009,0.018984,0.0029902730000000003,0.0010202925670958305,0.002888,0.002959,0.00303025,1000,0.007331,0.041572,0.015940017,0.003919368368590913,0.01572575,0.0164025,0.01664425,1000,0.001935,0.026993,0.007895476,0.003074791383073655,0.00629825,0.0089225,0.009915,1000,0.001036,0.02154,0.001410454,0.0010676825079975788,0.001247,0.00131,0.001368,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00886,0.154623,0.010436859,0.008614457974308019,0.009152,0.009285,0.00953975,1000,1.120609,1.311069,1.151252664,0.029532679197477225,1.1298755,1.142054,1.1611725,1000,0.066995,0.115664,0.068529614,0.004474129670115071,0.067288,0.0673885,0.067534,1000,0.037418,0.075181,0.038926664,0.003937120348567465,0.0378315,0.037996,0.0382115,1000,0.014858,0.053586,0.015859651,0.002673690289693068,0.01520875,0.015323,0.0154985,1000,0.989231,1.145389,1.019510345,0.026666530093770634,0.99954525,1.0105655,1.02888375,1000,0.00276,0.013341,0.003216618,0.0009397439736843222,0.002975,0.003045,0.00311725,1000,0.010955,0.030892,0.011609247,0.001528632679223822,0.01124575,0.0113415,0.011482,1000,1.158787,1.495233,1.192794233,0.03426659715741718,1.16986825,1.1819825,1.202966,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000293,0.010175,0.000390225,0.00033158441214116197,0.00033,0.000348,0.000371,1000,2.567266,5.277976,2.674043487,0.2048616070345096,2.60037375,2.636532,2.677759,1000,0.0513,0.124755,0.056254425999999996,0.00812185065502463,0.05254075,0.0531985,0.05650825,1000,0.043241,0.092335,0.047218318,0.005570409225261283,0.04455125,0.0456515,0.04776725,1000,0.689697,2.264579,0.726503337,0.10337496588059136,0.69957775,0.714558,0.73159275,1000,1.768831,2.837092,1.835648223,0.11605653571160596,1.7827515,1.8130205,1.8463035,1000,0.00129,0.013878,0.001647733,0.0008885741531864406,0.00140675,0.001457,0.001564,1000,0.011783,0.035277,0.012852306,0.0023805011229495352,0.012054,0.012175,0.01237525,1000,2.59105,5.370848,2.70110855,0.2089525117955166,2.62546925,2.6615975,2.70474425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.9,1.2200000000000002,1.8977881862842334,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000296,0.009328,0.000375322,0.00029417100182716854,0.000336,0.000349,0.000366,1000,2.605304,4.937205,2.689315927,0.18931793131495936,2.62406675,2.6563065,2.68580325,1000,0.052212,0.123633,0.054957915,0.007338888084974114,0.052557,0.052714,0.0531805,1000,0.044116,0.090057,0.046202369,0.005341736838411174,0.04442975,0.044576,0.04491225,1000,0.689764,1.931978,0.716084407,0.08726085186846019,0.695423,0.6989555,0.71841825,1000,1.80653,2.859949,1.86415894,0.11531253262408384,1.81660275,1.8418005,1.863331,1000,0.001246,0.018245,0.0014976800000000001,0.00070997546549159,0.001366,0.001398,0.00144325,1000,0.011653,0.042304,0.012685062,0.002646428580210696,0.011952,0.012073,0.01236825,1000,2.630314,4.992397,2.7156619980000003,0.19244811067968426,2.6502045,2.681997,2.71161525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,6.1,1.22,2.44,0.0,0.0,0.0,5
