SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.325394,0.395209,0.3388198431372549,0.01199162187361275,0.330529,0.335876,0.342668,255,11.793091,15.150331,12.327261603921569,0.39718051717572994,12.170535,12.338399,12.393245,255,0.284764,0.441746,0.2988802588235294,0.017447825009564454,0.2897085,0.293885,0.3000455,255,0.136367,0.224691,0.14352530588235293,0.012798803840270781,0.1377445,0.138489,0.143179,255,3.866708,4.831024,3.991902074509804,0.1143048233803546,3.954915,3.974785,4.0051325,255,3.866708,4.831024,3.991902074509804,0.1143048233803546,3.954915,3.974785,4.0051325,255,0.025877,0.042603,0.027324192156862746,0.001712515365420477,0.0265505,0.026852,0.027365,255,0.05221,0.096366,0.05537262352941177,0.00488879832777365,0.0537625,0.054197,0.054789,255,40.080561,60.583037,47.53569592941176,2.579802301371403,47.608855,47.910693,48.075023,255,27.2181,45.809156,34.683206458823534,2.381501792242288,35.0632405,35.140433,35.211155,255,0.021076,0.035601,0.02244630980392157,0.0014653508400426455,0.0218075,0.022195,0.0225175,255,21.780424,30.235539,22.111676145098038,1.2027813311971705,21.862038,21.889919,21.9182235,255,4.901854,15.160313,12.124044474509803,1.8114770606955448,12.7420235,12.801813,12.85274,255,0.401834,0.75714,0.42307029019607845,0.031926433032681494,0.4115455,0.416182,0.423253,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,11.737978,39.655818,13.348675307122507,1.4523062848294286,12.9573865,13.130898,13.3243975,1755,11.431793,39.21772,13.013651765811966,1.4383063637119677,12.6288805,12.803112,12.9831035,1755,0.007745,2.194743,0.2619165222222222,0.23181135566383207,0.054394,0.279639,0.421961,10530,0.009861,1.048074,0.10471137293447294,0.08327981266553897,0.02739575,0.1115475,0.1801735,10530,0.062328,22.795576,1.8753401388414055,1.940704247603179,0.17042375,1.197304,2.6902185,10530,0.062328,22.795576,1.8753401388414055,1.940704247603179,0.17042375,1.197304,2.6902185,10530,0.09459,0.508295,0.1134020849002849,0.017629785839209215,0.1005695,0.112638,0.117269,1755,0.131295,0.562612,0.1476320660968661,0.018991865436047358,0.1371215,0.143681,0.147608,1755,23.883737,61.298766,29.270535103703704,3.219143792999731,27.315365,29.021555,30.8316125,1755,10.397908,45.083791,15.313790888319089,2.6217663364931356,13.528943,15.181463,17.0325595,1755,0.074703,0.350451,0.08786815327635328,0.013848022747272806,0.0816215,0.084275,0.0887485,1755,9.531576,43.639856,14.427812705982907,2.5305901340475194,12.723352,14.306098,16.1237305,1755,0.104264,0.943709,0.2746309082621083,0.1093238489156521,0.211178,0.251617,0.3032985,1755,0.4415,2.212038,0.5209356598290599,0.05400439526273209,0.4960755,0.518867,0.540714,1755,0.0,4.8,1.1800000000000002,1.8594622878671132,0.0,0.0,1.1,5
BilateralLagrangianConstraint_NNCG,0.025388,1.784578,0.090682794,0.12254308066921431,0.03845275,0.0763995,0.1070185,1000,0.194521,0.389833,0.217199925,0.02148146694002472,0.2015615,0.2066745,0.233844,1000,0.002065,0.019065,0.0027830145,0.0009442126811739768,0.002259,0.002379,0.00316,4000,0.004239,0.168176,0.00533975325,0.002894871371903152,0.004489,0.0046595,0.005934,4000,0.014883,0.048542,0.0176486105,0.002490301789500572,0.015874,0.0167145,0.01878225,4000,0.014883,0.048542,0.0176486105,0.002490301789500572,0.015874,0.0167145,0.01878225,4000,0.020712,0.047127,0.023206330999999997,0.003032788973443256,0.021226,0.021491,0.02495425,1000,0.025768,0.05576,0.028019887,0.002687864590754341,0.02643,0.0267315,0.029226,1000,0.490799,2.516929,0.593883118,0.15532439997127973,0.50850075,0.552837,0.658288,1000,0.091518,0.20514,0.105685823,0.01571257469180882,0.0942315,0.0977575,0.11676575,1000,0.025648,0.05614,0.029319027999999997,0.004319265100363255,0.02645975,0.027191,0.03181775,1000,0.041655,0.119626,0.048583619,0.008929587525515332,0.0426805,0.0440905,0.05370775,1000,0.006366,0.0251,0.007608801,0.0017248809162950932,0.006576,0.0067385,0.00818625,1000,0.016655,0.052301,0.019628838,0.0031614615809394237,0.01743525,0.0180515,0.0212945,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.029114,1.709929,0.090433063,0.12061113058970566,0.03743625,0.0768185,0.1068145,1000,0.192893,0.323836,0.21631341399999998,0.021560979340201687,0.2001635,0.205317,0.2328905,1000,0.002022,0.019642,0.0027588310000000002,0.0009128081301341482,0.002237,0.0023745,0.003139,4000,0.004279,0.026418,0.00533475825,0.0013571346421070156,0.004538,0.004711,0.00594,4000,0.014944,0.055682,0.01767745675,0.002812091001662186,0.01576375,0.016563,0.0188185,4000,0.014944,0.055682,0.01767745675,0.002812091001662186,0.01576375,0.016563,0.0188185,4000,0.020556,0.052708,0.023256605,0.0033451660097781398,0.02111675,0.021402,0.02493575,1000,0.025883,0.054601,0.028181273,0.003080580849202144,0.0264355,0.0267525,0.02960575,1000,0.488867,2.450878,0.593383136,0.15443286911198503,0.5049395,0.5523715,0.6574835,1000,0.091732,0.207624,0.106302807,0.01608709994274142,0.0943075,0.098221,0.117556,1000,0.025829,0.06929,0.029682696,0.004925515356344349,0.026677,0.0273585,0.03218125,1000,0.041441,0.119321,0.048496784,0.00881349242873357,0.0424915,0.0449295,0.0536695,1000,0.006136,0.034698,0.007693541,0.002091946301490313,0.006476,0.0069435,0.00813425,1000,0.016911,0.060223,0.019866483,0.003738865990606109,0.01744,0.0180785,0.02128175,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.026834,1.66854,0.063111317,0.1152947225517305,0.037381,0.0510745,0.06307975,1000,0.196358,0.316996,0.20755448,0.015387951914585644,0.20018725,0.203457,0.20694125,1000,0.002066,0.012786,0.0025898215,0.0007590955312987621,0.002212,0.0022885,0.00308125,4000,0.004186,0.023766,0.00512072325,0.0011637991485473074,0.004535,0.004699,0.005843,4000,0.014938,0.049278,0.01708368575,0.0025775948294867713,0.01562275,0.016294,0.01832725,4000,0.014938,0.049278,0.01708368575,0.0025775948294867713,0.01562275,0.016294,0.01832725,4000,0.020714,0.041043,0.021798016,0.0021544686253793534,0.02109775,0.021246,0.021498,1000,0.025813,0.066879,0.027345089,0.0030265259346450345,0.02641875,0.026614,0.02690525,1000,0.506762,2.411594,0.5687050180000001,0.13896152236306883,0.523884,0.5538845,0.57071875,1000,0.103436,0.254167,0.127107804,0.01699586353821376,0.11570375,0.125495,0.131972,1000,0.025624,0.069846,0.027706043000000003,0.003997125930109158,0.02637675,0.0267625,0.02734225,1000,0.046563,0.114327,0.050244039,0.0071941433520245485,0.047742,0.048133,0.049355,1000,0.00938,0.078775,0.029509866000000003,0.010186314035903468,0.02099375,0.0309525,0.03542225,1000,0.017219,0.161778,0.019077978,0.0053690002335179685,0.01769225,0.017908,0.0184995,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031727,1.439522,0.075033435,0.09576684331152288,0.06879375,0.0693655,0.0702375,1000,0.059593,0.133444,0.07776324000000001,0.008185072592494217,0.07700725,0.077604,0.07839325,1000,0.003065,0.014665,0.004262765999999999,0.0007414196215666267,0.0042165,0.0043005,0.004378,1000,0.005964,0.025201,0.007791542,0.001202645743449001,0.00771275,0.0078065,0.00788725,1000,0.018467,0.05851,0.02476411,0.003098356671511529,0.0245325,0.024806,0.0251005,1000,0.018467,0.05851,0.02476411,0.003098356671511529,0.0245325,0.024806,0.0251005,1000,0.006511,0.030289,0.009633448000000001,0.0014772758101641006,0.009604,0.0097395,0.009858,1000,0.010094,0.037802,0.012255465,0.0016608532706940129,0.01213,0.012228,0.012319,1000,0.158341,1.712718,0.260627811,0.1058171745983197,0.256239,0.25883,0.26180425,1000,0.01265,0.110363,0.038802519,0.010101821101149981,0.03980825,0.0401845,0.040919,1000,0.002045,0.017745,0.003103459,0.0007832579845229796,0.00299475,0.0030745,0.003159,1000,0.007218,0.078126,0.017220518,0.004601120409604166,0.01728075,0.0174115,0.01757625,1000,0.001887,0.055878,0.016288428,0.006001709579512823,0.017583,0.017789,0.01792625,1000,0.00097,0.007302,0.001458499,0.0006233512701511084,0.001327,0.00138,0.001419,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.030288,1.441352,0.089980887,0.09560042407922797,0.06897475,0.096956,0.09844875,1000,0.060448,0.144437,0.078387901,0.008339542212327905,0.07736275,0.07794,0.07895925,1000,0.003082,0.014987,0.004303970999999999,0.0007843176564116098,0.004248,0.004328,0.004405,1000,0.005978,0.030075,0.007818478,0.0015125682885463387,0.00768,0.007786,0.00788925,1000,0.018742,0.053635,0.024950901,0.002956566433077228,0.02482775,0.025011,0.0252355,1000,0.018742,0.053635,0.024950901,0.002956566433077228,0.02482775,0.025011,0.0252355,1000,0.006523,0.020313,0.009579956,0.0013078399940604356,0.00960375,0.009708,0.00984025,1000,0.010156,0.033499,0.012264451999999999,0.0015605462914300235,0.01212475,0.012243,0.01234825,1000,0.160912,1.734459,0.267319608,0.10664865100616293,0.24552025,0.276247,0.28094875,1000,0.012787,0.068623,0.029465362000000002,0.007054751498596956,0.0270655,0.0311435,0.0317135,1000,0.002008,0.013449,0.003103886,0.000574331184077619,0.003011,0.0031045,0.003196,1000,0.007247,0.049327,0.016204516999999998,0.004168032004880841,0.0156805,0.0163945,0.016705,1000,0.001915,0.032278,0.007942634,0.0029282709809790486,0.00642075,0.009456,0.00991325,1000,0.000967,0.017465,0.001487614,0.000933304338897018,0.0013,0.0013675,0.001423,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00508,0.136372,0.0061841629999999995,0.008603257549465261,0.005351,0.005444,0.00555125,1000,1.123695,1.278592,1.137276298,0.018196782698246306,1.128494,1.1307625,1.134488,1000,0.067135,0.106323,0.06821985000000001,0.00308054124554436,0.067475,0.067565,0.0676795,1000,0.037619,0.067623,0.038559338000000005,0.0022242098744848695,0.038,0.038138,0.03831825,1000,0.015258,0.038443,0.015965569,0.001595611340282777,0.01556375,0.015698,0.01590025,1000,0.994692,1.126639,1.006602199,0.01591417015384085,0.9988915,1.0012255,1.003189,1000,0.002732,0.007334,0.002957642,0.0002497221212387882,0.002882,0.002927,0.002975,1000,0.010943,0.024067,0.011431243,0.0008412798713573267,0.01121975,0.011316,0.01143025,1000,1.15864,1.478601,1.1746869439999998,0.024688540588841294,1.16446825,1.167212,1.17248025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000298,0.001113,0.00037094900000000003,5.363775162140934e-05,0.000346,0.000362,0.00038425,1000,2.508474,4.973918,2.56304153,0.1846986953633704,2.51864975,2.5388145,2.556782,1000,0.05216,0.095891,0.054467879999999996,0.0035504790912776825,0.052808,0.053462,0.054563,1000,0.044609,0.077781,0.046332605000000006,0.0032012512414640306,0.045045,0.045404,0.04621725,1000,0.689013,2.072969,0.706878225,0.09457992720599004,0.69431175,0.6966475,0.70107775,1000,1.710092,2.7483,1.747773284,0.10421781778100779,1.71735975,1.7307935,1.74306825,1000,0.001302,0.002934,0.001462518,0.00012974331457150308,0.001396,0.0014405,0.001496,1000,0.011811,0.026422,0.012424155000000001,0.0010250540810001199,0.01210775,0.0122895,0.012451,1000,2.532838,5.032596,2.588859983,0.18690472255138102,2.544413,2.5649305,2.58241075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000316,0.002782,0.000391542,9.332251730423909e-05,0.000357,0.000376,0.000411,1000,2.615591,4.869794,2.677398431,0.1758060343234419,2.628075,2.655805,2.6690395,1000,0.051344,0.105679,0.055340254,0.004143420926418652,0.05283825,0.0541465,0.05715225,1000,0.043336,0.076194,0.0462452,0.003330317068688806,0.04448875,0.045026,0.04740725,1000,0.689682,1.890266,0.7089268599999999,0.08412454659453684,0.696157,0.6986915,0.7027215,1000,1.817106,2.847109,1.8591445519999998,0.10510236394637039,1.82549325,1.841969,1.8515,1000,0.001245,0.003938,0.0014379220000000001,0.00016602677469613146,0.001362,0.001422,0.001472,1000,0.011825,0.024701,0.012399073,0.0009478749852543847,0.012123,0.0122225,0.012379,1000,2.642121,4.927378,2.703194681,0.17789681891933662,2.653533,2.68139,2.695467,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
