SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.327167,0.468633,0.35981826666666666,0.015265875932925601,0.3485405,0.354927,0.3675705,255,11.60537,13.023911,12.057998133333333,0.22750816052685152,11.9113365,12.080909,12.1876245,255,0.283617,0.380201,0.2999768196078431,0.016446870295961008,0.287756,0.293686,0.311382,255,0.137065,0.200562,0.14950739607843136,0.013346161043241666,0.138834,0.144405,0.157487,255,3.578461,3.975325,3.662026305882353,0.05016055441582075,3.632027,3.652208,3.6882485,255,3.578461,3.975325,3.662026305882353,0.05016055441582075,3.632027,3.652208,3.6882485,255,0.022223,0.058849,0.024836090196078433,0.0036045935937603826,0.023346,0.023793,0.024358,255,0.052171,0.077547,0.0555927137254902,0.0029513309660199214,0.053971,0.054555,0.056266,255,39.921576,53.023238,47.088241764705884,1.823715870718667,47.3673505,47.70631,47.9172425,255,27.232733,40.537782,34.493286894117645,1.8488980453425639,35.0323905,35.199945,35.3002125,255,0.020381,0.061632,0.02238050980392157,0.002998370638396461,0.0213885,0.02187,0.0224945,255,21.763133,27.296394,21.96664623137255,0.3565741688687676,21.8809265,21.913242,21.9702825,255,4.837699,13.229491,12.082603235294119,1.7999939296416965,12.6947385,12.81144,12.899978,255,0.398148,0.520895,0.4191669333333333,0.018140001490570736,0.4079145,0.414172,0.423446,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.962107,13.818033,9.310297621652422,0.31322269709519074,9.1008725,9.21184,9.4838225,1755,8.671445,13.49154,9.004890758974359,0.3092644904116467,8.7997795,8.908506,9.1717615,1755,0.005023,0.632246,0.1735843460588794,0.16813234942716548,0.031453,0.1210335,0.276468,10530,0.006056,0.311524,0.0764775849002849,0.07377017507128678,0.0145665,0.058032,0.10483475,10530,0.035149,5.583799,1.156598017188984,1.192873903096949,0.08517525,0.8933285,1.73456125,10530,0.035149,5.583799,1.156598017188984,1.192873903096949,0.08517525,0.8933285,1.73456125,10530,0.09646,0.178198,0.10904600512820513,0.01040428912817458,0.103084,0.105905,0.1101725,1755,0.130543,0.215478,0.1420207452991453,0.010689977880552159,0.136075,0.138437,0.143319,1755,23.966013,43.086294,30.6764147002849,3.657639999755713,28.245423,30.130354,32.4030365,1755,14.423742,33.444373,20.86345301025641,3.617802962863458,18.48893,20.264422,22.62352,1755,0.073122,0.147227,0.08364937663817663,0.00882298798099853,0.079485,0.081751,0.0836725,1755,13.623961,32.319078,20.03183546153846,3.526300520499068,17.711338,19.431225,21.786831,1755,0.099807,0.689309,0.25330958005698007,0.10464908129544896,0.194791,0.225693,0.27963,1755,0.433144,0.663234,0.49239690484330484,0.029140531951894397,0.4752585,0.485433,0.5064275,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.0479,1.745025,0.10952742600000001,0.12013712069915163,0.0577325,0.0956075,0.1256635,1000,0.125529,0.238519,0.143368792,0.017313953747620327,0.1299815,0.1346505,0.15519175,1000,0.00184,0.02522,0.00255462525,0.0010975896789385538,0.00201,0.002136,0.002945,4000,0.00407,0.037931,0.00520904125,0.0017682713834557288,0.00434475,0.00453,0.00575925,4000,0.00035,0.009277,0.00072310825,0.0006280008686554004,0.000457,0.000512,0.00090925,4000,0.00035,0.009277,0.00072310825,0.0006280008686554004,0.000457,0.000512,0.00090925,4000,0.019806,0.055972,0.022817321,0.003965655877148066,0.02038275,0.020768,0.02457225,1000,0.027716,0.066657,0.030762441999999997,0.004911292774681225,0.02839775,0.0287875,0.03193675,1000,0.422724,2.340108,0.527055441,0.14764288590065056,0.45569975,0.488433,0.5817585,1000,0.085549,0.251218,0.100993489,0.016527842354641425,0.08852875,0.093304,0.11162625,1000,0.025346,0.068271,0.029656922,0.005153143897264659,0.026308,0.027396,0.0321965,1000,0.03777,0.099546,0.044909515,0.008985038005138042,0.0387795,0.0410715,0.05007475,1000,0.005215,0.161827,0.006722637,0.0052989900016164404,0.00552675,0.0057375,0.0070235,1000,0.016037,0.067671,0.019193874,0.004012608192949319,0.016647,0.0173405,0.02070575,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.042568,1.795802,0.107815419,0.12155701208103727,0.0544705,0.0939505,0.12429675,1000,0.125487,0.250595,0.141799222,0.016485135312963497,0.12803875,0.1340825,0.15298525,1000,0.001854,0.017198,0.002510457,0.0009365402421417885,0.002011,0.002138,0.00294425,4000,0.004013,0.048656,0.005170869749999999,0.0017139963326346234,0.004246,0.0044365,0.005697,4000,0.000346,0.011328,0.0007171732500000001,0.0007257918153537125,0.000443,0.0004995,0.00087225,4000,0.000346,0.011328,0.0007171732500000001,0.0007257918153537125,0.000443,0.0004995,0.00087225,4000,0.019865,0.059329,0.022735737000000002,0.003911123506849534,0.02035475,0.0206265,0.02448475,1000,0.027484,0.062653,0.030235434000000002,0.003498455289359005,0.0282825,0.0286695,0.03175025,1000,0.418802,2.424553,0.522324116,0.14923072793672404,0.450297,0.4807625,0.57699825,1000,0.085205,0.179907,0.10009099,0.01583264806398159,0.08801625,0.0918135,0.11144175,1000,0.025146,0.081817,0.029218099999999997,0.0052369150466663105,0.026002,0.026592,0.03188275,1000,0.037703,0.098297,0.044724392999999994,0.008819684497222731,0.0386925,0.039917,0.049982,1000,0.00528,0.025505,0.006726809,0.002081349264424162,0.00556375,0.0059885,0.007117,1000,0.015986,0.044088,0.018897122,0.003365663943283108,0.016569,0.0170425,0.02060525,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038821,1.688312,0.08064120200000001,0.11760698900945978,0.05268975,0.067604,0.08056775,1000,0.125382,0.273948,0.137556646,0.015791007679710756,0.1296645,0.1314495,0.13555525,1000,0.00183,0.023488,0.0023983265000000003,0.0011594806489966748,0.001969,0.002057,0.00284225,4000,0.004076,0.026802,0.0049761985,0.0017819432021245092,0.004307,0.004417,0.005634,4000,0.000356,0.038938,0.0007556015,0.0009567621155217999,0.000457,0.000526,0.000961,4000,0.000356,0.038938,0.0007556015,0.0009567621155217999,0.000457,0.000526,0.000961,4000,0.020051,0.051262,0.021442869,0.0032876854940579402,0.02049375,0.020642,0.0208345,1000,0.027787,0.075823,0.029595937000000003,0.004373260227225336,0.02840575,0.02859,0.028852,1000,0.436914,2.313547,0.504204498,0.13978085041810268,0.4611725,0.4861135,0.50955175,1000,0.097342,0.235232,0.121246272,0.018010730409953286,0.1087245,0.1190685,0.12556125,1000,0.025194,0.08712,0.027589759,0.005522673771002502,0.025993,0.026266,0.02655225,1000,0.042832,0.114321,0.046760449,0.00812949694983638,0.043853,0.0442585,0.044984,1000,0.008902,0.093035,0.028139106,0.010375149709221742,0.019515,0.0291675,0.033804,1000,0.016251,0.058167,0.018257154999999997,0.0038387482125003974,0.01682775,0.0170325,0.01755,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039928,1.471,0.085452236,0.09726382062374633,0.07537675,0.076669,0.079699,1000,0.039798,0.10455,0.052966887000000004,0.00785860939824795,0.051113,0.051477,0.052327,1000,0.002774,0.023172,0.004212925,0.001743428576505215,0.004005,0.0040675,0.00412525,1000,0.005519,0.024556,0.007568001,0.0017886959733277759,0.007333,0.007422,0.00752325,1000,0.000761,0.011237,0.001056956,0.0007568571345135092,0.000941,0.000971,0.000999,1000,0.000761,0.011237,0.001056956,0.0007568571345135092,0.000941,0.000971,0.000999,1000,0.005896,0.035439,0.009414971,0.002466666719716914,0.00916075,0.009272,0.00939525,1000,0.011234,0.080181,0.014484833,0.003514419106639247,0.01396575,0.014105,0.014249,1000,0.142612,1.715773,0.245416987,0.10700889163397044,0.2338705,0.2365915,0.25440575,1000,0.012049,0.106842,0.038028763,0.011101884289832558,0.03789975,0.038376,0.04108725,1000,0.00197,0.017899,0.003118236,0.0012146953849850588,0.002937,0.003014,0.00309925,1000,0.006888,0.063913,0.016370955,0.004942620904436734,0.01600275,0.016122,0.01631725,1000,0.001603,0.080612,0.016304984,0.006752299186924703,0.01695,0.017329,0.01762,1000,0.000925,0.019488,0.0014775150000000002,0.0011602547546875211,0.001283,0.001323,0.001364,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.037183,1.501831,0.09910537900000001,0.09668529194576267,0.0761565,0.103823,0.1058435,1000,0.040008,0.112295,0.054549379999999995,0.00920103839670284,0.0507895,0.0513675,0.05979375,1000,0.002767,0.019376,0.0041489560000000005,0.0011147229952163005,0.003989,0.004063,0.0041795,1000,0.005647,0.033921,0.007957915,0.002160314754329794,0.00735975,0.007464,0.0076615,1000,0.000734,0.011052,0.00102127,0.0005457262675554476,0.000936,0.000965,0.000992,1000,0.000734,0.011052,0.00102127,0.0005457262675554476,0.000936,0.000965,0.000992,1000,0.005987,0.040534,0.009684659,0.0027698993871111996,0.00914,0.0093465,0.00973525,1000,0.011264,0.044422,0.014380628000000001,0.002632940821897826,0.013926,0.014088,0.014255,1000,0.142421,1.738654,0.251165877,0.1073490779131515,0.22355625,0.2529695,0.26102575,1000,0.011945,0.083882,0.028064428,0.00733979723349467,0.0250985,0.028841,0.0307055,1000,0.001961,0.019331,0.003070482,0.0011543207031306335,0.002881,0.0029725,0.003108,1000,0.006829,0.052905,0.015362272000000001,0.004580530806796959,0.01436925,0.015123,0.01583275,1000,0.001616,0.025742,0.00745601,0.0029504496077547232,0.00583475,0.00892,0.009224,1000,0.000932,0.016713,0.0013857149999999998,0.000710453324135372,0.001241,0.001309,0.00137,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008332,0.147106,0.010078388999999998,0.008930933302946507,0.00869175,0.008838,0.00920025,1000,1.100307,1.333409,1.1362006869999999,0.031292476296148744,1.1167125,1.1260265,1.15080075,1000,0.067108,0.116416,0.069479799,0.006717502694796557,0.067439,0.067572,0.067748,1000,0.037458,0.084585,0.038980262,0.004200410171323272,0.037915,0.038091,0.038258,1000,0.000712,0.004191,0.000932773,0.0005224598103883207,0.000795,0.000823,0.000859,1000,0.983003,1.162499,1.018964944,0.028341156554115145,1.00240975,1.009813,1.032359,1000,0.002745,0.022088,0.003082253,0.0008055168384279747,0.00295075,0.00301,0.003074,1000,0.008396,0.026415,0.009037238999999999,0.001489078283327979,0.008657,0.0088625,0.009001,1000,1.134187,1.518906,1.172416131,0.03628024939756946,1.1508775,1.1614015,1.185516,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.009634,0.00033969400000000003,0.0002980255263630953,0.000309,0.000323,0.00034,1000,2.505695,5.134436,2.585848227,0.20323497088738313,2.5306885,2.562887,2.58329875,1000,0.052233,0.108702,0.05420875,0.005035226650459739,0.052647,0.052995,0.05348525,1000,0.043852,0.08662,0.045714413999999995,0.004515116449506479,0.04442775,0.04462,0.0449405,1000,0.688004,2.189529,0.717679777,0.10148189480387755,0.69645275,0.7035985,0.72360275,1000,1.708186,2.860048,1.760855213,0.11860857732171662,1.71890025,1.7428995,1.763341,1000,0.001114,0.011404,0.0013398940000000001,0.0006792680639953567,0.00122,0.001266,0.001329,1000,0.005879,0.027531,0.006577672,0.00124214103402794,0.00627975,0.006394,0.00655225,1000,2.521452,5.188599,2.603840125,0.20589763115216594,2.54863225,2.580716,2.60188625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000274,0.002914,0.00033418900000000004,9.580937991136358e-05,0.000307,0.000324,0.000343,1000,2.620583,5.116149,2.712008308,0.1910738417910446,2.667132,2.68758,2.7134855,1000,0.051873,0.112985,0.05445985,0.006523554063353809,0.05232075,0.0526405,0.05374925,1000,0.043907,0.096538,0.046044472999999995,0.006306968537837413,0.044313,0.044445,0.0446635,1000,0.688653,2.010406,0.718216193,0.09267310004706733,0.6953025,0.702792,0.7253135,1000,1.819561,2.978902,1.885800494,0.1143248047118383,1.85223775,1.8645685,1.88967125,1000,0.001121,0.021216,0.0013433479999999999,0.0007168558257390394,0.001249,0.001297,0.001349,1000,0.005968,0.025913,0.006657412000000001,0.0015663649633006988,0.006296,0.0064095,0.0065615,1000,2.63891,5.163812,2.730328257,0.1934104335308128,2.68611475,2.7057415,2.73104425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
