SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330926,0.432619,0.34541622352941176,0.013898250477605803,0.336793,0.341772,0.348687,255,11.899654,13.704793,12.371282380392156,0.2892242258958189,12.29338,12.385159,12.4646565,255,0.282779,0.445571,0.2961376509803922,0.019487236278051764,0.2852535,0.289147,0.2968455,255,0.134896,0.222034,0.1436627568627451,0.01500592108925549,0.1366035,0.137917,0.1421675,255,3.887013,4.365616,3.9864238666666667,0.05467646093038958,3.9575405,3.978236,4.0105395,255,3.887013,4.365616,3.9864238666666667,0.05467646093038958,3.9575405,3.978236,4.0105395,255,0.022248,0.036856,0.02448316862745098,0.001893759017061579,0.02363,0.024029,0.02448,255,0.05308,0.085816,0.05662334901960784,0.003799222920513344,0.055208,0.055885,0.0565475,255,40.200616,54.175112,47.4366975372549,1.8845486303995065,47.635744,47.989805,48.1427085,255,27.249088,40.842468,34.53781333333333,1.8804878128549503,35.0566215,35.146177,35.232395,255,0.02046,0.03293,0.02238266666666667,0.0016205981668200953,0.021522,0.022053,0.02267,255,21.793899,28.616286,22.003511015686275,0.6857546523712168,21.87783,21.916552,21.9597425,255,4.902999,13.316333,12.101948388235293,1.7799232177190432,12.7416745,12.819047,12.8688045,255,0.388368,0.538903,0.40771535686274507,0.02144628280260054,0.3954295,0.40166,0.4104225,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.959661,40.124379,13.4029834991453,0.9368473421291555,13.12391,13.258022,13.4697955,1755,11.625129,39.70986,13.06382863988604,0.9263803285565008,12.7940535,12.914913,13.119017,1755,0.008039,1.941788,0.24753884292497624,0.22285307192134948,0.048297,0.2828165,0.3979925,10530,0.008702,1.051147,0.10043464995251661,0.0838883928750671,0.02150425,0.080681,0.172471,10530,0.099034,22.048794,1.8880692328584996,1.9404228105895076,0.16960175,1.1021965,2.73269775,10530,0.099034,22.048794,1.8880692328584996,1.9404228105895076,0.16960175,1.1021965,2.73269775,10530,0.091056,0.273481,0.11001464672364673,0.015163401445848466,0.0987845,0.103567,0.1172275,1755,0.136533,0.267344,0.15109117150997153,0.014670393300627142,0.141577,0.146584,0.1514285,1755,24.027716,62.782188,29.21655029002849,2.857756911588492,27.35547,29.025523,30.882127,1755,10.353894,41.959216,15.209905175498575,2.567879947320453,13.36822,15.128495,16.89064,1755,0.073632,0.344081,0.08674323931623931,0.013558735956334977,0.080398,0.082507,0.0872685,1755,9.554408,40.715757,14.366694446723647,2.4819620314844517,12.5865615,14.319401,16.0255805,1755,0.103701,0.690063,0.26988803133903133,0.10716623312119579,0.2052735,0.245007,0.298253,1755,0.410232,1.114631,0.4844777851851852,0.03337667295409938,0.4628075,0.481954,0.502972,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.024504,1.767716,0.097096714,0.12312372274898206,0.045185,0.083001,0.11347925,1000,0.275329,0.434288,0.303158494,0.025948476790709007,0.28459375,0.289982,0.32068825,1000,0.001216,0.013727,0.0019370944999999998,0.0006577923783913507,0.001542,0.001717,0.002322,4000,0.002916,0.023231,0.003803959,0.0009689123708153384,0.00323,0.0034275,0.004321,4000,0.021033,0.058649,0.02429094525,0.003249951137209979,0.02197175,0.023576,0.025501,4000,0.021033,0.058649,0.02429094525,0.003249951137209979,0.02197175,0.023576,0.025501,4000,0.020875,0.046355,0.023360919,0.0030096570649226794,0.02139275,0.021627,0.02532075,1000,0.02608,0.055109,0.028201553,0.002437122880199314,0.02669375,0.0270235,0.0295535,1000,0.577933,2.575208,0.68624157,0.1591304497328186,0.5956535,0.6427375,0.7526385,1000,0.092638,0.198675,0.106457474,0.01563632065907207,0.095297,0.0987975,0.11780625,1000,0.025879,0.07359,0.030135633000000002,0.005117686410509245,0.02723775,0.027876,0.032089,1000,0.041755,0.114141,0.048586569,0.008402198920713495,0.042908,0.0447295,0.053164,1000,0.006265,0.028903,0.007528600999999999,0.001854844561088341,0.006432,0.00658,0.00801425,1000,0.016931,0.043896,0.01961969,0.00308329567117719,0.01758125,0.018033,0.021116,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.035435,1.712004,0.096145667,0.12307870417516634,0.04310775,0.082164,0.1124015,1000,0.273907,0.442103,0.304645377,0.026313153502248093,0.28537775,0.2917255,0.32294425,1000,0.001285,0.019016,0.0019529232500000002,0.0007858338977541231,0.001535,0.001691,0.00231125,4000,0.00287,0.019263,0.00383554175,0.0009721011407034442,0.00326,0.003478,0.004295,4000,0.02095,0.067466,0.02429341175,0.0032392127221304774,0.0219315,0.023521,0.025573,4000,0.02095,0.067466,0.02429341175,0.0032392127221304774,0.0219315,0.023521,0.025573,4000,0.020962,0.059408,0.023588862000000002,0.0034481721478133885,0.021435,0.021689,0.025456,1000,0.025845,0.063573,0.028283737,0.0025527538016485254,0.02672625,0.0271055,0.02963725,1000,0.577077,2.537084,0.6884609899999999,0.16006219073163996,0.59552175,0.6427795,0.7566135,1000,0.092173,0.20618,0.10670226,0.01576499206077821,0.095618,0.0990505,0.116633,1000,0.026127,0.05339,0.030137309,0.0045921864541326055,0.0270435,0.028278,0.0325365,1000,0.041794,0.120876,0.048923667000000004,0.008794277751931139,0.0430705,0.0443835,0.05372425,1000,0.006077,0.021926,0.007565469,0.0016622825533100561,0.00639,0.006929,0.0081495,1000,0.016805,0.042451,0.01951462,0.0028462072401004117,0.01753925,0.0179605,0.021063,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.011982,1.75059,0.06685210400000001,0.12030068800898515,0.04199775,0.054311,0.06702925,1000,0.273991,0.419873,0.294094507,0.016605014270453095,0.285934,0.2899745,0.2943765,1000,0.001291,0.017481,0.0018675372500000001,0.0008559938505108769,0.00151,0.001614,0.00224025,4000,0.00291,0.02121,0.00368008075,0.0009194765841115463,0.003222,0.003382,0.00421925,4000,0.021235,0.101497,0.023742123,0.003219590800532111,0.022014,0.023509,0.024202,4000,0.021235,0.101497,0.023742123,0.003219590800532111,0.022014,0.023509,0.024202,4000,0.021043,0.041074,0.021981128,0.0014090388438989182,0.02147875,0.0216495,0.02183125,1000,0.026375,0.061406,0.027402291000000002,0.0023341258827062005,0.026784,0.0269145,0.02708225,1000,0.594774,2.573581,0.660252202,0.1434335682955395,0.617006,0.644,0.662173,1000,0.104261,0.234143,0.127404573,0.015917085118094677,0.11656225,0.1261035,0.132337,1000,0.025859,0.063075,0.027947052,0.003599978371781697,0.0266545,0.027096,0.02782275,1000,0.047604,0.10981,0.050924554,0.006470303590488162,0.048809,0.0492475,0.049915,1000,0.009268,0.068684,0.029145116000000002,0.009915149396683037,0.02089025,0.0305365,0.03487675,1000,0.017357,0.051319,0.018815694,0.0025908581297253617,0.0177695,0.017971,0.01830475,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037665,1.571259,0.080108079,0.09821765561300452,0.07279625,0.0738345,0.07623675,1000,0.080857,0.171538,0.107158311,0.010047538279811578,0.105111,0.108048,0.10924975,1000,0.002187,0.017147,0.0031654920000000002,0.0009217848349457697,0.00302,0.003096,0.003185,1000,0.0042,0.025232,0.0056877049999999995,0.0012122757920436256,0.0055605,0.005637,0.00571125,1000,0.024951,0.068395,0.033870091,0.0036884320048930007,0.03290175,0.0334125,0.0357035,1000,0.024951,0.068395,0.033870091,0.0036884320048930007,0.03290175,0.0334125,0.0357035,1000,0.006529,0.020536,0.009921716,0.0014663323174996857,0.00988225,0.0100615,0.01024225,1000,0.010302,0.036875,0.01269042,0.0015142828387061645,0.01251675,0.01262,0.012719,1000,0.185078,1.868907,0.29695585999999996,0.1086040770803767,0.29232975,0.295432,0.29934325,1000,0.012876,0.090804,0.039600471,0.010288370038891438,0.04077575,0.0412585,0.042118,1000,0.002113,0.013569,0.003213764,0.0008124747505639792,0.003088,0.003169,0.003235,1000,0.007204,0.041666,0.017318053,0.004129624691444853,0.017497,0.0176525,0.0178475,1000,0.001843,0.05738,0.017005854,0.006350845031858674,0.01811325,0.018448,0.018719,1000,0.001011,0.014687,0.001532932,0.000779092040375205,0.001379,0.001427,0.001477,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.037625,1.602791,0.09905604300000001,0.10081393214825593,0.07484375,0.1014875,0.10509675,1000,0.081565,0.196909,0.107786727,0.01062368983613843,0.10611825,0.108518,0.11003975,1000,0.002213,0.013866,0.003216415,0.0010030588600750208,0.003058,0.003147,0.003226,1000,0.004316,0.019092,0.005790549,0.0010516885164339295,0.00559875,0.0057685,0.00589425,1000,0.024979,0.066281,0.033691237,0.003368086641526758,0.03286225,0.0334305,0.0355935,1000,0.024979,0.066281,0.033691237,0.003368086641526758,0.03286225,0.0334305,0.0355935,1000,0.006515,0.028161,0.009817402,0.0015164032070646646,0.00983475,0.00996,0.0100985,1000,0.010481,0.025185,0.012647782,0.0013299546422626599,0.012488,0.0125975,0.012699,1000,0.185993,1.926413,0.30685301899999995,0.1118069820351155,0.28243725,0.3123425,0.32015025,1000,0.013009,0.095616,0.029677359,0.007024234443419368,0.027581,0.0314385,0.032386,1000,0.002125,0.016606,0.003282283,0.0009834908748488722,0.003114,0.0032025,0.00327125,1000,0.007342,0.070971,0.016283674,0.004044089326625217,0.01593675,0.016662,0.017076,1000,0.001844,0.028519,0.008068242,0.002922515742204993,0.00649175,0.009579,0.01007025,1000,0.000977,0.02078,0.0015285820000000001,0.001061386903667084,0.001328,0.001394,0.00145725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00643,0.139133,0.008128471,0.00909049724366929,0.0067295,0.0068585,0.007111,1000,1.149634,1.359617,1.179830294,0.0315292940832738,1.158103,1.1675675,1.1890965,1000,0.066298,0.118329,0.067801711,0.0029479869157577688,0.066616,0.0667865,0.0675825,1000,0.036904,0.068157,0.038266657,0.0027700576263592425,0.037319,0.0374685,0.03770625,1000,0.021604,0.047317,0.023486675999999998,0.0022429405870472807,0.022275,0.02258,0.024625,1000,1.001017,1.204138,1.026504036,0.028701990070702482,1.007288,1.015955,1.03407375,1000,0.002948,0.021608,0.0033471660000000004,0.0009995542268651562,0.003113,0.0031725,0.003244,1000,0.011344,0.022565,0.011848518,0.0009752827660099403,0.011571,0.011644,0.01174225,1000,1.185993,1.512993,1.219072166,0.035699145334537684,1.19601325,1.205619,1.2301975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.003058,0.000347885,9.807242107238916e-05,0.000325,0.000337,0.000352,1000,2.588934,4.974619,2.6393178450000003,0.1831639792663202,2.598102,2.606707,2.630349,1000,0.051441,0.118038,0.05333926,0.0031179197376455985,0.0520915,0.0525315,0.05462975,1000,0.043921,0.078478,0.045598922,0.002824349701420842,0.0445475,0.0448035,0.0462375,1000,0.697142,2.073915,0.717402773,0.09541471193878578,0.704018,0.706026,0.71080175,1000,1.765916,2.774449,1.799010109,0.10175027441078043,1.772048,1.7747425,1.79016,1000,0.001232,0.003975,0.001452548,0.000178933500764949,0.001377,0.001423,0.001486,1000,0.012688,0.024206,0.013399213,0.0009532601133116816,0.01305075,0.013244,0.013442,1000,2.614364,5.042594,2.6660757250000002,0.18561781420452989,2.62431125,2.6329905,2.65759925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000278,0.000836,0.000341408,4.305238130463865e-05,0.00032,0.000334,0.000351,1000,2.612881,4.893475,2.677725633,0.17527209660851412,2.626089,2.649731,2.67720175,1000,0.051169,0.094689,0.053688099999999996,0.0036567059884546364,0.05188625,0.052264,0.055966,1000,0.043589,0.103077,0.045685093999999996,0.00393975301677199,0.04426875,0.044752,0.0465605,1000,0.697453,1.87959,0.720594265,0.0826688745590913,0.70370275,0.707745,0.7232085,1000,1.790777,2.847907,1.83397853,0.10508408896549039,1.80011875,1.8044825,1.832484,1000,0.00126,0.002995,0.0014433669999999999,0.00012668884840821626,0.001382,0.001424,0.00147425,1000,0.012691,0.026294,0.013362618,0.001034438996788114,0.013058,0.013216,0.01338725,1000,2.637,4.950551,2.7043720440000003,0.17741390561486456,2.65207525,2.6762775,2.704064,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
