SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.31995,0.427,0.33968257254901957,0.012512761714315767,0.331714,0.338218,0.343814,255,12.046259,13.663278,12.486701976470588,0.20395530707551132,12.288159,12.551239,12.619251,255,0.285837,0.345026,0.29452801960784314,0.00876885140932558,0.2888135,0.291486,0.2977745,255,0.135954,0.210637,0.14076909019607844,0.008141089581392457,0.1376605,0.138377,0.1400445,255,3.867645,4.424936,3.95996705882353,0.057767101871190836,3.910588,3.96511,3.994978,255,3.867645,4.424936,3.95996705882353,0.057767101871190836,3.910588,3.96511,3.994978,255,0.022254,0.045058,0.023907027450980393,0.0019120462735476933,0.0231995,0.023573,0.023931,255,0.053014,0.07418,0.05511312549019608,0.001689954325852594,0.054383,0.054854,0.055353,255,40.23962,55.518322,47.45797561960784,1.8117265835983327,47.816029,48.068803,48.301626,255,27.205863,42.21053,34.45466220392157,1.8460689150449368,35.0468605,35.146194,35.2045955,255,0.020238,0.034571,0.021583211764705883,0.0013778957679420356,0.021033,0.021359,0.0216805,255,21.830758,28.322001,21.955251015686272,0.4030929743150635,21.901078,21.924295,21.952075,255,4.869563,13.993125,12.075706454901962,1.7796704991551746,12.7208295,12.789134,12.851587,255,0.387129,0.444593,0.39966624705882353,0.009469097308248532,0.393559,0.397358,0.4021585,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.000495,33.827524,13.35873626153846,0.924182911841316,13.115218,13.18235,13.325923,1755,11.681351,33.308982,13.033630717948718,0.916569984021856,12.797008,12.857498,12.999897,1755,0.007778,3.383606,0.2409171301994302,0.2165030149524038,0.04875475,0.2341975,0.38215525,10530,0.007946,3.891315,0.09317650132953466,0.08731997537024534,0.0215615,0.099083,0.14383975,10530,0.088874,12.426894,1.875930630579297,1.9216662825509117,0.16693425,1.7625135,2.70649025,10530,0.088874,12.426894,1.875930630579297,1.9216662825509117,0.16693425,1.7625135,2.70649025,10530,0.090852,0.540778,0.10518166153846155,0.01712232260293743,0.0971995,0.099307,0.1069815,1755,0.132858,0.631303,0.14548079259259258,0.019067919542371713,0.1370685,0.138579,0.146237,1755,23.828518,58.379894,29.063377212535613,2.8006063187775587,27.258847,28.946994,30.726174,1755,10.261781,42.51059,15.12121396866097,2.5168343332872576,13.423713,14.918745,16.810552,1755,0.073147,0.184305,0.0847687794871795,0.011661766884294369,0.0789015,0.081375,0.084479,1755,9.471121,41.257573,14.285096005128205,2.4296231099267644,12.6640785,14.113672,15.9438215,1755,0.103829,0.641153,0.26206571339031337,0.10518382445699484,0.201102,0.236239,0.288608,1755,0.414979,1.040316,0.4870649606837607,0.035674510722154565,0.4633315,0.484875,0.50526,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.034587,1.744652,0.095148789,0.12036918735662577,0.043472,0.082313,0.11082725,1000,0.275463,0.456129,0.303002758,0.02623452429352276,0.28415,0.2901645,0.32071375,1000,0.001199,0.013777,0.00189706025,0.0007252527884261717,0.001492,0.0016725,0.002268,4000,0.002982,0.020484,0.00386089275,0.0009778851853604479,0.003284,0.003487,0.004368,4000,0.021033,0.056234,0.024435186,0.0032941285324656045,0.022159,0.023671,0.02562125,4000,0.021033,0.056234,0.024435186,0.0032941285324656045,0.022159,0.023671,0.02562125,4000,0.020626,0.078134,0.02321865,0.0037776658538706148,0.0211,0.0213675,0.02494825,1000,0.025907,0.050252,0.027824939,0.0021285004165559843,0.02642675,0.0267515,0.0290995,1000,0.574215,2.586089,0.6841894129999999,0.15788127217594378,0.5971075,0.6424555,0.74851325,1000,0.092156,0.207821,0.105813479,0.01595448628710931,0.09471275,0.0982735,0.115935,1000,0.025629,0.066322,0.02931297,0.004860777910077768,0.026499,0.0271145,0.0313945,1000,0.041939,0.124512,0.048648501,0.00873470788086236,0.042911,0.0441125,0.05359175,1000,0.006152,0.020564,0.007486191,0.0017118067532636387,0.0063975,0.0065545,0.00803175,1000,0.017078,0.059209,0.01978075,0.003353472265801523,0.01766,0.018137,0.0213515,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037194,1.768675,0.09635797500000001,0.12374093160648328,0.04347925,0.0826115,0.1118875,1000,0.275495,0.460406,0.306580956,0.026710511427040555,0.28683475,0.2942785,0.323888,1000,0.001222,0.019049,0.0019480665,0.0008397351252494741,0.001518,0.001691,0.00231925,4000,0.002937,0.015935,0.00394054175,0.0009044859052284549,0.003359,0.0036235,0.004457,4000,0.021171,0.05896,0.024617071,0.0035603193743622215,0.022199,0.0237335,0.02594125,4000,0.021171,0.05896,0.024617071,0.0035603193743622215,0.022199,0.0237335,0.02594125,4000,0.020596,0.048895,0.023200131000000002,0.0031753662846731555,0.02108975,0.0214005,0.0250145,1000,0.02599,0.062005,0.027939719000000002,0.0023817912754981285,0.02651775,0.0267675,0.029147,1000,0.575205,2.636378,0.690423007,0.1606879072727035,0.599954,0.6443055,0.7560225,1000,0.092174,0.202442,0.106802944,0.015600409808426956,0.09541125,0.099232,0.11738525,1000,0.025815,0.05949,0.029664249,0.0044463710959611775,0.02683725,0.0276345,0.03186175,1000,0.04198,0.116343,0.049187734,0.008797586546845901,0.043202,0.0449875,0.05448725,1000,0.005944,0.02813,0.007530658,0.001868145916419807,0.00632275,0.006838,0.008078,1000,0.016918,0.045657,0.019820851,0.002960034095546705,0.017702,0.018215,0.0214555,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036993,1.723255,0.067004541,0.11844369263044918,0.041976,0.054635,0.0674025,1000,0.272518,0.422263,0.29307644099999997,0.016956974672638955,0.2838355,0.2892475,0.29467875,1000,0.001217,0.020288,0.0018385842500000002,0.000862422636183639,0.001476,0.001598,0.002247,4000,0.003032,0.049214,0.003780009,0.0011560923511636082,0.003308,0.003467,0.004361,4000,0.021108,0.067177,0.02368466275,0.002851843307233488,0.021952,0.023325,0.0241975,4000,0.021108,0.067177,0.02368466275,0.002851843307233488,0.021952,0.023325,0.0241975,4000,0.020596,0.044475,0.021807214,0.0019852919957034027,0.021211,0.0213785,0.02155875,1000,0.025956,0.053977,0.027118969,0.002221658349080479,0.026422,0.026609,0.02681825,1000,0.592221,2.561433,0.6586886580000001,0.14157840237309163,0.616074,0.642123,0.662641,1000,0.103832,0.21884,0.127124049,0.01576702084747144,0.11629775,0.126104,0.1322085,1000,0.025767,0.049519,0.02744626,0.002790240405126411,0.02652375,0.026781,0.0270935,1000,0.047448,0.11037,0.050671764,0.006536081056589186,0.04854325,0.049064,0.04977525,1000,0.00927,0.108036,0.029500235,0.010330382282170153,0.02104075,0.030952,0.035593,1000,0.017327,0.050488,0.018920315,0.0025121715964031995,0.01790875,0.0180775,0.01836125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.03738,1.524698,0.079459282,0.10000131364740403,0.071718,0.0728815,0.075506,1000,0.081376,0.183671,0.108241403,0.010718068276167633,0.10650325,0.108865,0.11066975,1000,0.002175,0.013377,0.003205594,0.0010165411861621741,0.00303275,0.003113,0.00320825,1000,0.004304,0.022727,0.005823319,0.0010245913122992015,0.005658,0.005799,0.005896,1000,0.025004,0.074569,0.034069343,0.0038896590057935668,0.0330045,0.033499,0.035938,1000,0.025004,0.074569,0.034069343,0.0038896590057935668,0.0330045,0.033499,0.035938,1000,0.006572,0.036475,0.00984147,0.0019146543132116565,0.00967575,0.00986,0.010119,1000,0.010229,0.040728,0.012497768,0.0015276853544418105,0.012328,0.0124405,0.012543,1000,0.183783,1.816738,0.297002858,0.11012485275348992,0.29187075,0.2953275,0.299667,1000,0.012992,0.085291,0.039612848,0.010204835360891227,0.04065025,0.0411245,0.0422065,1000,0.002261,0.008903,0.003227031,0.0006390640922779185,0.003124,0.003183,0.00324125,1000,0.007201,0.04589,0.017492996,0.004337519501741059,0.017531,0.0177045,0.01792025,1000,0.001897,0.056567,0.016855167,0.006212187455567564,0.018037,0.0182505,0.01855225,1000,0.001047,0.010294,0.0015073740000000001,0.0007407456608877301,0.00133575,0.001382,0.001439,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.0375,1.593781,0.094833704,0.10286676263403251,0.0735105,0.100529,0.10246375,1000,0.080825,0.170849,0.10650203,0.00985056726219866,0.10500325,0.107411,0.10875825,1000,0.002132,0.013936,0.0031710410000000003,0.0008932321407780846,0.003044,0.0031145,0.003186,1000,0.004367,0.016698,0.005729439,0.000989259800193559,0.00559675,0.0056915,0.005802,1000,0.024918,0.053502,0.033599097,0.0033115718729314937,0.0327645,0.0332325,0.035556,1000,0.024918,0.053502,0.033599097,0.0033115718729314937,0.0327645,0.0332325,0.035556,1000,0.006418,0.03656,0.009667229999999999,0.0019996574654425193,0.00955475,0.0096745,0.00979525,1000,0.010293,0.039473,0.01257862,0.00199715459982446,0.01233975,0.0124425,0.012535,1000,0.184349,1.886552,0.300072338,0.11337106853340387,0.2787845,0.308696,0.31453325,1000,0.013058,0.068148,0.029362251,0.0065669358932457225,0.0272765,0.031262,0.031972,1000,0.002207,0.00866,0.003264476,0.0006242382617430624,0.003148,0.003228,0.003326,1000,0.007241,0.044264,0.016146985,0.0037649886085850248,0.01577275,0.016532,0.016827,1000,0.0019,0.023726,0.007981817,0.0028402600446985485,0.006421,0.0096535,0.009882,1000,0.00102,0.018922,0.001449881,0.0008366839001911055,0.00126275,0.001339,0.00139825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006348,0.143462,0.008199362,0.009762557562491298,0.006719,0.006887,0.00721,1000,1.138181,1.318424,1.164387848,0.02696933766885824,1.14484475,1.157989,1.17000125,1000,0.066689,0.10416,0.068031331,0.0032099545889995077,0.066948,0.067084,0.068282,1000,0.036878,0.072872,0.038944262,0.0033432947284611327,0.037251,0.0374405,0.0409225,1000,0.021334,0.03902,0.022947776000000003,0.0018015309361273817,0.021803,0.022043,0.02419625,1000,0.987081,1.162641,1.011346573,0.024099365490706827,0.99441675,1.007742,1.012422,1000,0.002742,0.015812,0.003108773,0.0009008398955813402,0.00288975,0.0029425,0.003015,1000,0.010991,0.020466,0.011491985000000001,0.0005961704863333977,0.011293,0.0113795,0.011482,1000,1.17336,1.509564,1.2031441669999998,0.032825773914975875,1.182147,1.195343,1.20868175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000301,0.012736,0.000382944,0.0004064485144074216,0.000334,0.00035,0.00038,1000,2.522684,4.935875,2.604724182,0.18704421501648982,2.563015,2.573537,2.59897425,1000,0.051573,0.091344,0.053901612,0.003874711594358476,0.05234575,0.052611,0.053598,1000,0.043776,0.086598,0.045792947,0.0038826608384188027,0.04445875,0.044675,0.0452975,1000,0.698792,2.074069,0.725583742,0.09498164953849472,0.7058885,0.7103865,0.734811,1000,1.699777,2.699181,1.755048567,0.1077112878108117,1.71147625,1.73234,1.76688925,1000,0.001177,0.003832,0.001465568,0.0002321574581528666,0.00132475,0.001419,0.001553,1000,0.012672,0.031416,0.013595491,0.001306619891138582,0.013094,0.0134165,0.013673,1000,2.547186,4.996266,2.632044594,0.1897231803718543,2.59049725,2.600732,2.6261065,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00032,0.020107,0.00039984,0.0006257238355696545,0.000354,0.000371,0.000392,1000,2.629595,4.856222,2.684672033,0.1730519737127546,2.64090375,2.651373,2.68260425,1000,0.05159,0.088088,0.052861503,0.0033359076318134166,0.05190875,0.052055,0.05236525,1000,0.044046,0.083369,0.045211716,0.003371090133672489,0.04439375,0.0445295,0.04470675,1000,0.698776,1.902256,0.719216004,0.08270160597815489,0.70484175,0.7075645,0.71650075,1000,1.804983,2.828137,1.842986963,0.10351573470562642,1.81324275,1.817426,1.841131,1000,0.00119,0.010694,0.0013989559999999998,0.00032386244929599354,0.00132575,0.001368,0.00142125,1000,0.012686,0.033073,0.013367477000000001,0.0012803056695457535,0.013004,0.013138,0.01331325,1000,2.655693,4.916281,2.711587353,0.17529718452444806,2.66727525,2.6777815,2.71109975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
