SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.334983,0.412453,0.3556216431372549,0.01191226458583107,0.34782,0.352753,0.359111,255,11.450993,12.538768,11.963461721568628,0.2252752624593877,11.8247635,12.005238,12.089261,255,0.28225,0.377913,0.29286493333333335,0.013039208785972521,0.285494,0.287836,0.2957115,255,0.136511,0.184413,0.14060380392156863,0.006315882098576721,0.137706,0.138365,0.1404315,255,3.579514,4.005019,3.7126688039215687,0.07366036665149137,3.6576045,3.722289,3.757744,255,3.579514,4.005019,3.7126688039215687,0.07366036665149137,3.6576045,3.722289,3.757744,255,0.022459,0.060977,0.0240148,0.002578295286333474,0.0233705,0.023644,0.0240565,255,0.052416,0.091578,0.055431262745098034,0.003479511970172377,0.0540825,0.054656,0.0554065,255,39.769085,53.721025,47.00107102352941,1.8380865417052783,47.207426,47.507707,47.7891195,255,27.225224,41.280385,34.50925507450981,1.8828812684834737,34.9409165,35.13774,35.232418,255,0.020899,0.048301,0.02263307843137255,0.0021979303976841958,0.021872,0.02226,0.022708,255,21.757815,28.195133,21.985125211764704,0.6537857923314644,21.8496435,21.893592,21.929097,255,4.928975,13.969063,12.081083996078432,1.7865434237467186,12.662558,12.795052,12.8606015,255,0.394069,0.49136,0.4174851960784314,0.014959646167593418,0.4079715,0.414132,0.4222375,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.96106,13.222209,9.3605182991453,0.3078914440630878,9.133564,9.259717,9.534246,1755,8.674781,12.90147,9.04835033903134,0.3013054226504381,8.8276095,8.952615,9.2210175,1755,0.005096,0.592935,0.17595028233618235,0.17150991829869225,0.02971825,0.1236845,0.2834005,10530,0.006415,0.317288,0.07997171006647673,0.07744432053429236,0.01394025,0.05797,0.11322025,10530,0.035126,5.103625,1.1669244815764483,1.2023435595777976,0.0869385,0.8866175,1.737964,10530,0.035126,5.103625,1.1669244815764483,1.2023435595777976,0.0869385,0.8866175,1.737964,10530,0.097109,0.188824,0.11331376524216524,0.012957209626079857,0.103732,0.107429,0.1209095,1755,0.13273,0.228839,0.14578946666666667,0.011616491410094432,0.13826,0.142134,0.148949,1755,24.115516,44.799937,30.935116922507124,3.6883496772906956,28.4914375,30.466364,32.65813,1755,14.457444,34.78593,21.053217903133902,3.6540995202868087,18.6510015,20.564825,22.907549,1755,0.071152,0.153228,0.08320577606837608,0.008918451764982955,0.0785415,0.081044,0.085402,1755,13.77302,33.660045,20.217663756695156,3.564460859887456,17.8496475,19.750165,22.063642,1755,0.099838,0.637733,0.25615187635327635,0.10323685460291963,0.1980475,0.230392,0.2837915,1755,0.43457,0.630791,0.49395727179487176,0.0287091380052944,0.4736725,0.489315,0.5097755,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037092,1.734678,0.109674584,0.11974240825209315,0.055201,0.095524,0.12669275,1000,0.127327,0.273292,0.144584349,0.01805828156993901,0.1310385,0.135052,0.15669575,1000,0.001919,0.037322,0.0026540065,0.0013266624216272012,0.002089,0.0022,0.00302625,4000,0.00405,0.029088,0.005147598,0.0016070738190562374,0.004305,0.00444,0.005741,4000,0.000351,0.016759,0.00072501875,0.000758335579343629,0.000451,0.000498,0.000904,4000,0.000351,0.016759,0.00072501875,0.000758335579343629,0.000451,0.000498,0.000904,4000,0.020178,0.053248,0.023219147000000002,0.004330627157975043,0.02071725,0.0210505,0.0247635,1000,0.027753,0.075081,0.03065106,0.004874664021078786,0.028272,0.028691,0.0318275,1000,0.424114,2.408637,0.529054574,0.14859110340698908,0.456061,0.492415,0.58160775,1000,0.085504,0.19451,0.10120942399999999,0.01652622317398092,0.088368,0.0924585,0.11182175,1000,0.025376,0.070915,0.029563290000000002,0.005799627998923724,0.026185,0.0268025,0.03178375,1000,0.037557,0.100514,0.044999844,0.008929563934015143,0.0387065,0.0412845,0.05031875,1000,0.005303,0.033257,0.006634751,0.002271750952239043,0.00550375,0.005676,0.0070575,1000,0.016097,0.060378,0.019469963,0.004224485354174044,0.01676075,0.017617,0.020921,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041449,1.798261,0.10906603299999999,0.12438599499310166,0.05306775,0.094495,0.12580225,1000,0.128366,0.245342,0.14681190700000002,0.017366849995619556,0.13271375,0.139228,0.15806425,1000,0.001975,0.022762,0.00264581425,0.0011811706634720224,0.00213,0.002243,0.00301,4000,0.004151,0.025617,0.0053720455,0.001770245268438741,0.004432,0.0046225,0.00583525,4000,0.000364,0.018388,0.0007406775,0.0007741079585521325,0.000467,0.000516,0.000893,4000,0.000364,0.018388,0.0007406775,0.0007741079585521325,0.000467,0.000516,0.000893,4000,0.020036,0.052997,0.023237904,0.0045442928504646355,0.02068975,0.0210285,0.024713,1000,0.027617,0.067481,0.030743510999999998,0.005190997888256072,0.02830075,0.0287385,0.0317265,1000,0.423782,2.453921,0.5314015289999999,0.15238958316251527,0.4582145,0.4913895,0.58395575,1000,0.085481,0.228404,0.101381092,0.016982996578093514,0.0885025,0.0928755,0.1120905,1000,0.024965,0.09219,0.029139895,0.0056963828795100315,0.02582125,0.0264885,0.03160125,1000,0.037782,0.110998,0.045149769,0.009487301070148401,0.038733,0.041496,0.05012225,1000,0.005246,0.02464,0.006761139,0.002082436583351099,0.00558,0.0060065,0.0071085,1000,0.016234,0.058106,0.019783591,0.004693989780103809,0.016973,0.0177925,0.021039,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036609,1.697099,0.07983105,0.11772051817510618,0.05259525,0.0669815,0.07938725,1000,0.126874,0.296746,0.137761541,0.018420236585568576,0.1290465,0.131899,0.1349735,1000,0.001909,0.029558,0.0024952775000000003,0.0012888841499505493,0.002042,0.002114,0.002895,4000,0.004017,0.025124,0.00494522275,0.0016381554715998226,0.004234,0.004339,0.005639,4000,0.000352,0.015965,0.0007138345000000001,0.0007431583368366059,0.00043,0.00048,0.00094,4000,0.000352,0.015965,0.0007138345000000001,0.0007431583368366059,0.00043,0.00048,0.00094,4000,0.020238,0.055286,0.021581554,0.003116292535222584,0.0206,0.0207715,0.0209875,1000,0.027813,0.067031,0.029803987,0.004676556470826692,0.028275,0.0284915,0.0287775,1000,0.437526,2.3457,0.504827147,0.1447543210664241,0.46146075,0.4829255,0.50265375,1000,0.097193,0.27771,0.122350404,0.01931511216925193,0.1094285,0.119727,0.1264465,1000,0.024874,0.074484,0.027509370999999998,0.004976174516770789,0.02577825,0.026097,0.02649425,1000,0.043083,0.114333,0.046969307999999994,0.00779587946091626,0.04388875,0.0443365,0.04530375,1000,0.008652,0.086265,0.028491205999999998,0.010537261815270796,0.01967225,0.0294385,0.03426225,1000,0.016572,0.172899,0.018845776999999998,0.006319429273856225,0.01705175,0.0172685,0.017979,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03459,1.564764,0.084432102,0.10011410807375551,0.07536025,0.075887,0.0786495,1000,0.040491,0.128103,0.053533906000000006,0.008335296712724989,0.051431,0.0519975,0.05279875,1000,0.002872,0.018718,0.00420928,0.0012280643043424072,0.004069,0.0041725,0.00426,1000,0.005736,0.023194,0.007708588,0.0018145647225315496,0.00742875,0.0075615,0.007649,1000,0.000727,0.010506,0.001040383,0.0005367445652365751,0.000944,0.000987,0.001027,1000,0.000727,0.010506,0.001040383,0.0005367445652365751,0.000944,0.000987,0.001027,1000,0.006005,0.031285,0.009481577,0.002449021166929964,0.0091805,0.009304,0.009454,1000,0.011004,0.038283,0.014405148999999999,0.0028240655004441732,0.013897,0.014064,0.0142105,1000,0.14179,1.801728,0.244682647,0.1095269723522676,0.23353925,0.2362235,0.252452,1000,0.012077,0.091649,0.037820284,0.010525225219126858,0.03792475,0.0382805,0.04087425,1000,0.002027,0.018147,0.003146028,0.001406833250678985,0.00294375,0.003005,0.003065,1000,0.006847,0.044925,0.016342594,0.004781574172922972,0.015957,0.016119,0.01629075,1000,0.001583,0.05538,0.016098712,0.0063816953102648205,0.017068,0.017294,0.01744,1000,0.000981,0.014973,0.001443902,0.0007865502542088458,0.00129675,0.00134,0.001382,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.030933,1.553405,0.099696796,0.09778377404523914,0.076186,0.1037305,0.10583025,1000,0.040875,0.113064,0.053230707,0.00810795081602935,0.05123775,0.051684,0.052566,1000,0.002893,0.017498,0.004128529000000001,0.0009897911270359014,0.004043,0.00412,0.0042,1000,0.005653,0.02251,0.007591853,0.0014966069689103414,0.007408,0.007504,0.00762275,1000,0.000758,0.011076,0.001037116,0.0006084901433416978,0.000941,0.000972,0.00100125,1000,0.000758,0.011076,0.001037116,0.0006084901433416978,0.000941,0.000972,0.00100125,1000,0.006129,0.031366,0.009569020000000001,0.0024042744505567578,0.009158,0.0093475,0.00956825,1000,0.011177,0.039971,0.014191588,0.0027138266588446654,0.01366,0.013805,0.01395925,1000,0.143352,1.78256,0.249291228,0.10761058174453855,0.22255825,0.252775,0.2587125,1000,0.012048,0.074745,0.02766288,0.007181091448630911,0.0248685,0.028841,0.0293865,1000,0.002072,0.02325,0.003062444,0.001149650441162008,0.00287975,0.002971,0.003059,1000,0.006854,0.045445,0.015019237999999999,0.004387439193123479,0.014261,0.01502,0.0152695,1000,0.001583,0.024865,0.007409601,0.002928097846691432,0.00582475,0.0089595,0.009179,1000,0.000922,0.018751,0.001383166,0.0008815456439935484,0.001221,0.001284,0.00133825,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008221,0.16619,0.010196968,0.009015873645907866,0.00882,0.0089965,0.0092855,1000,1.097805,1.326629,1.13931158,0.03086057102967474,1.11584975,1.1354165,1.147433,1000,0.066992,0.117394,0.069877023,0.0076066632353792955,0.067306,0.067506,0.0683795,1000,0.037192,0.087148,0.038653946,0.004741949414226601,0.03752075,0.03766,0.037814,1000,0.000622,0.004214,0.000899308,0.000513301762256862,0.000757,0.0008,0.000844,1000,0.984581,1.155036,1.022015041,0.02681161486526537,1.00140925,1.0202085,1.03056275,1000,0.002738,0.015854,0.003030705,0.000823844656458364,0.002894,0.002945,0.003002,1000,0.008459,0.021608,0.009007664,0.0013651329858676772,0.00869975,0.00877,0.008865,1000,1.132604,1.513186,1.175953238,0.03702000652694913,1.1507825,1.1701625,1.18452075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000276,0.0025,0.0003342,8.343145689726389e-05,0.000309,0.000322,0.000343,1000,2.503864,5.196658,2.585903525,0.20630972049923718,2.53336475,2.563892,2.58359525,1000,0.051769,0.101789,0.054188665000000004,0.0060897276076007706,0.05224075,0.0524955,0.053132,1000,0.043803,0.081897,0.04562398,0.00471742896434064,0.04424525,0.044565,0.0448045,1000,0.689082,2.163777,0.715644532,0.10243778150531656,0.69468725,0.6988415,0.72320125,1000,1.706197,2.934971,1.762893878,0.11871114501997324,1.72127725,1.7460775,1.767354,1000,0.001174,0.010418,0.001362429,0.0003267001483914569,0.001288,0.001326,0.00137925,1000,0.005778,0.024259,0.006532073,0.0012641228151057948,0.00617175,0.0063605,0.006592,1000,2.519711,5.250055,2.6040625669999997,0.20889900596635572,2.55142825,2.5820885,2.60126675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000276,0.00322,0.00032909,0.00010316382069310927,0.000305,0.000317,0.000334,1000,2.612692,5.132565,2.691757945,0.19857597448903522,2.6254035,2.663521,2.700481,1000,0.051597,0.094832,0.054443569000000004,0.0054366054136049825,0.05218,0.052666,0.0543775,1000,0.04368,0.082475,0.046119521999999996,0.004978025930177142,0.044195,0.0445045,0.04603,1000,0.689676,2.03612,0.714927433,0.09302181020153022,0.69555575,0.698929,0.721451,1000,1.811138,2.976308,1.868712288,0.11947367408374557,1.82392375,1.8453595,1.87689525,1000,0.001168,0.002642,0.001386525,0.00015605758993076884,0.001285,0.001332,0.00144725,1000,0.005927,0.027339,0.0066485780000000005,0.001697835011394217,0.006219,0.0063825,0.00658725,1000,2.629066,5.181441,2.7100084929999997,0.2007987450262724,2.64352175,2.681696,2.718619,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
