SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.320446,0.520013,0.33868852156862744,0.01676420041281144,0.3295565,0.334978,0.342514,255,11.482755,13.229824,11.929705949019608,0.2738583707267305,11.694079,11.961383,12.032285,255,0.284537,0.367013,0.2939438470588235,0.011620518291744385,0.287252,0.289588,0.296724,255,0.136561,0.223898,0.1496754196078431,0.01264110813709515,0.1384885,0.143227,0.1600495,255,3.577887,3.929977,3.6698528901960783,0.06627119689315027,3.615706,3.653733,3.720207,255,3.577887,3.929977,3.6698528901960783,0.06627119689315027,3.615706,3.653733,3.720207,255,0.025194,0.045909,0.0269954431372549,0.0024673205971497848,0.025994,0.026305,0.02677,255,0.050851,0.072573,0.05355392156862745,0.002588148255013022,0.052458,0.052852,0.053545,255,39.721957,53.844001,47.03549916470588,1.8711487574104206,47.2371805,47.509648,47.6436965,255,27.153614,41.20347,34.58661183137255,1.9296499381953558,35.0287485,35.108413,35.191224,255,0.020282,0.034075,0.022700207843137254,0.0022413964274613546,0.021552,0.022399,0.0229455,255,21.78878,28.35386,22.071371568627452,0.885371615219057,21.893143,21.919428,21.958161,255,4.883047,14.405086,12.072812211764706,1.7634346255594244,12.705401,12.763866,12.8107125,255,0.392829,0.530055,0.41771714509803926,0.01698901855347504,0.4085685,0.413948,0.42131,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,9.061754,15.593967,9.523034970370372,0.34762778021616525,9.2822185,9.474237,9.6751165,1755,8.774234,15.277067,9.22713605071225,0.33912301372529186,8.997076,9.180996,9.3711715,1755,0.00495,0.567556,0.17154490208926876,0.16697222883474813,0.02965975,0.1206925,0.264141,10530,0.006145,0.339212,0.07977001671415004,0.07696950033797045,0.01535325,0.0609105,0.11895575,10530,0.037731,5.780796,1.1605746069325735,1.1993628014854079,0.093894,0.884992,1.707784,10530,0.037731,5.780796,1.1605746069325735,1.1993628014854079,0.093894,0.884992,1.707784,10530,0.092937,0.181883,0.10780846552706552,0.0124377658385005,0.099167,0.101939,0.115132,1755,0.129782,0.225678,0.14112873903133905,0.0120844915325971,0.13388,0.135953,0.143744,1755,24.393236,46.397582,31.190452184615385,3.6924874361303077,28.739838,30.673623,32.8585605,1755,14.604546,32.084599,21.092616552136754,3.6276303381843222,18.7391155,20.566759,22.8467675,1755,0.074547,0.153429,0.08643303361823362,0.010213405942563323,0.080399,0.083122,0.0893225,1755,13.732995,30.96371,20.24069203019943,3.5381733272611795,17.9191135,19.73564,21.99312,1755,0.105229,0.928212,0.2659110792022792,0.1062299852580036,0.2036695,0.241909,0.293103,1755,0.430687,0.659211,0.4971860689458689,0.029340840070536816,0.477199,0.491378,0.5137515,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.025697,1.619684,0.089700174,0.11731195190665666,0.03762275,0.0756855,0.106086,1000,0.194701,0.333266,0.216398808,0.02050454480126628,0.201328,0.205833,0.2315255,1000,0.002012,0.019841,0.00271495325,0.00083153754669554,0.00221,0.002322,0.003141,4000,0.004147,0.022367,0.0051479920000000005,0.0011670705526813706,0.004386,0.00457,0.00574825,4000,0.015085,0.116456,0.01811192725,0.0031222480813441838,0.016115,0.017087,0.01947525,4000,0.015085,0.116456,0.01811192725,0.0031222480813441838,0.016115,0.017087,0.01947525,4000,0.020464,0.056554,0.022941114000000002,0.0030866728756063547,0.020893,0.0211585,0.024787,1000,0.025726,0.050609,0.027782505000000002,0.002397985227639028,0.02623675,0.0265805,0.0290525,1000,0.48642,2.329838,0.58791749,0.1499555066616958,0.50211275,0.547239,0.65267425,1000,0.09021,0.220293,0.104879299,0.016144442161239236,0.09319875,0.0971315,0.115967,1000,0.025024,0.061695,0.029011807,0.004852152447290892,0.02591975,0.026607,0.0312685,1000,0.041029,0.140076,0.048359187,0.009424823515272369,0.042287,0.0450515,0.05284525,1000,0.006185,0.031998,0.007522929,0.0019344137576948217,0.006442,0.0065975,0.008041,1000,0.016626,0.044987,0.019437755,0.0029784043696205863,0.017252,0.017839,0.0210725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.026094,1.650072,0.09182147,0.11966267305049265,0.038458,0.078038,0.10783075,1000,0.196428,0.45333,0.221936621,0.025773826992151534,0.203454,0.2104625,0.2385225,1000,0.002018,0.019584,0.0027622042499999997,0.0009319091066364453,0.002224,0.002354,0.003156,4000,0.004199,0.02398,0.005310743749999999,0.0014777085183100007,0.004489,0.004678,0.005802,4000,0.015272,0.112548,0.0185409505,0.0036635768054661764,0.01627175,0.017406,0.019652,4000,0.015272,0.112548,0.0185409505,0.0036635768054661764,0.01627175,0.017406,0.019652,4000,0.020525,0.054894,0.023361283,0.0036107976643549276,0.02097575,0.0213285,0.0252385,1000,0.025871,0.079228,0.028605597,0.004830002410412546,0.02638225,0.026811,0.02970425,1000,0.490053,2.430996,0.602738233,0.1568945575401158,0.5161365,0.5597095,0.6642805,1000,0.090287,0.241273,0.10746621099999999,0.01861001134283585,0.094052,0.098694,0.118122,1000,0.025285,0.086129,0.029868119999999998,0.005810038014299046,0.02625275,0.027263,0.03261375,1000,0.041108,0.13768,0.049423627,0.010149323955016462,0.04234775,0.045415,0.05521175,1000,0.006073,0.030479,0.007698926,0.0022765424056063618,0.006357,0.006903,0.00807325,1000,0.016797,0.059477,0.019920329,0.0038571527282127427,0.017387,0.018162,0.021372,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031948,1.864521,0.062878374,0.11859752994666509,0.037187,0.0506725,0.061853,1000,0.197619,0.314593,0.207507065,0.014311500270578729,0.2008905,0.2039185,0.20694175,1000,0.002038,0.078296,0.00257937825,0.001485418068651697,0.002182,0.002262,0.00302,4000,0.004129,0.026129,0.0049246945,0.0011278646796800361,0.004362,0.0044965,0.00568125,4000,0.015084,0.056066,0.01735981225,0.0024872832200012805,0.015746,0.0166115,0.01906725,4000,0.015084,0.056066,0.01735981225,0.0024872832200012805,0.015746,0.0166115,0.01906725,4000,0.020442,0.058449,0.021386898,0.0023360250237521,0.020793,0.0209235,0.021093,1000,0.025736,0.060127,0.026950129,0.0022390595294361874,0.0261445,0.026306,0.026528,1000,0.503748,2.596034,0.563228052,0.14111493283712853,0.5188625,0.547592,0.56661175,1000,0.101626,0.214382,0.12561038800000002,0.016431124043456553,0.11411275,0.1240655,0.13126475,1000,0.025147,0.062711,0.026969164,0.0032696771802586265,0.02587625,0.026183,0.026653,1000,0.046445,0.112431,0.049772461999999996,0.0066063394189638785,0.04732275,0.047801,0.0488855,1000,0.009344,0.072597,0.029679732,0.010378747598924256,0.02102375,0.030904,0.03586925,1000,0.016745,0.045071,0.018633115000000002,0.0028657448392651777,0.01743275,0.017738,0.01824625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031548,1.432759,0.075998335,0.09560292360664907,0.06900825,0.070258,0.07206625,1000,0.060111,0.132549,0.07857939500000001,0.007729374012103114,0.0778515,0.078462,0.07977975,1000,0.003082,0.014808,0.004322138,0.0008522607916336407,0.00428375,0.004339,0.00439225,1000,0.005788,0.023544,0.007636294,0.0011535548914395014,0.00758,0.0076635,0.00775125,1000,0.01904,0.049708,0.025691667,0.002680024283119651,0.02563475,0.025902,0.0261565,1000,0.01904,0.049708,0.025691667,0.002680024283119651,0.02563475,0.025902,0.0261565,1000,0.006405,0.029147,0.009689349,0.0017388386880901284,0.00965875,0.0097705,0.0099115,1000,0.009961,0.038678,0.012288542,0.00152272190246151,0.01218,0.012292,0.01238225,1000,0.157592,1.690798,0.262225198,0.10491888020354961,0.2578085,0.261052,0.2642945,1000,0.012661,0.085139,0.039045933,0.009734480795322933,0.04009675,0.040553,0.04154325,1000,0.002023,0.013658,0.003179736,0.0007740365458452203,0.00301875,0.0031,0.0032955,1000,0.007171,0.040383,0.017263841000000002,0.003951921525754149,0.0173895,0.0175605,0.01773575,1000,0.00187,0.056264,0.016413912,0.006032319693969808,0.01778775,0.01799,0.018148,1000,0.000967,0.007752,0.0014580519999999998,0.000673269743339176,0.00133,0.001363,0.001398,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031888,1.459966,0.090073802,0.09770981857156832,0.0691385,0.096999,0.098616,1000,0.059969,0.155219,0.078451292,0.008417914169361433,0.077615,0.078155,0.079024,1000,0.003077,0.014659,0.004366556,0.00087663904365708,0.004302,0.004378,0.004453,1000,0.005791,0.027228,0.0076872120000000006,0.0015117206445160428,0.007538,0.007646,0.007747,1000,0.019158,0.047845,0.025684692,0.0029048507436933834,0.02561575,0.025815,0.026021,1000,0.019158,0.047845,0.025684692,0.0029048507436933834,0.02561575,0.025815,0.026021,1000,0.0064,0.027207,0.009529785,0.0014237103633727613,0.009529,0.009629,0.00980125,1000,0.010198,0.035852,0.012300334999999999,0.0014385309815137803,0.012186,0.012283,0.01237825,1000,0.158322,1.740767,0.266206996,0.1081314731020066,0.24495875,0.2752995,0.28042025,1000,0.012761,0.073287,0.029209478,0.0068846231822457795,0.02683775,0.03096,0.0315235,1000,0.002012,0.018168,0.003065878,0.0008752160950965196,0.002963,0.0030265,0.003094,1000,0.007229,0.04698,0.016079798,0.0038552339022679284,0.01565375,0.0164465,0.0167165,1000,0.001852,0.022474,0.007862072,0.0028527628427221217,0.0063155,0.009525,0.00978725,1000,0.000981,0.007145,0.001427548,0.0006142604640508781,0.001267,0.0013425,0.001403,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005355,0.16095,0.006413184000000001,0.009179632314648774,0.005592,0.005664,0.005747,1000,1.120132,1.314663,1.164234338,0.04191407318128072,1.1251695,1.145723,1.20137675,1000,0.066732,0.117378,0.069818662,0.004548278609953001,0.06726375,0.067643,0.0716535,1000,0.036982,0.068641,0.039100219,0.002317452541701556,0.0376745,0.038015,0.04042825,1000,0.015424,0.036825,0.016281683,0.0017318351152782994,0.0158275,0.015948,0.0161215,1000,0.991382,1.15613,1.031002509,0.03794112049418044,0.99625,1.0155985,1.064005,1000,0.002715,0.012037,0.002973727,0.0004630217257008574,0.002879,0.002926,0.00298225,1000,0.010958,0.030526,0.011537843,0.0012747552237002205,0.011253,0.011348,0.011449,1000,1.156224,1.540119,1.201752687,0.04545672532203602,1.16153475,1.182862,1.237408,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.010768,0.000339934,0.00033327969281670913,0.000309,0.000321,0.000336,1000,2.467102,4.881216,2.5347543,0.1835625723520675,2.47858,2.4992125,2.54140275,1000,0.052095,0.121529,0.053806738,0.0034745199304876636,0.052626,0.052975,0.054128,1000,0.044322,0.083404,0.045495108,0.0034854413038144824,0.044699,0.044836,0.045072,1000,0.691114,2.031759,0.714853196,0.09318410212250577,0.69838125,0.7036435,0.71315825,1000,1.6642,2.741376,1.713012089,0.1060891943132338,1.67226675,1.6792275,1.7264895,1000,0.001188,0.011735,0.001410695,0.000366351407769917,0.001319,0.001367,0.001442,1000,0.012002,0.025447,0.012463862,0.000907565481359885,0.01223275,0.0123235,0.012448,1000,2.491343,4.939639,2.560365213,0.18586614006690846,2.50362725,2.5249625,2.56763675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000292,0.002789,0.000348616,9.058257307009998e-05,0.000325,0.000335,0.000352,1000,2.611834,4.829397,2.661612926,0.1744073055254754,2.62344075,2.6286985,2.65201125,1000,0.052168,0.083515,0.053610161999999996,0.0033331695204048654,0.052581,0.0528675,0.05333375,1000,0.044541,0.084775,0.045590924,0.002912772199850857,0.0448795,0.045019,0.045219,1000,0.692164,1.918972,0.708164974,0.08361834918338992,0.6968725,0.698753,0.70098325,1000,1.812395,2.820386,1.846713223,0.1057515955769239,1.819393,1.8225765,1.84048225,1000,0.001213,0.013299,0.001429854,0.000515994626603805,0.001337,0.0013885,0.001445,1000,0.011852,0.039758,0.012538008,0.0014308078836573414,0.0122185,0.0123735,0.0125275,1000,2.635289,4.883381,2.6870633870000002,0.1769549164950475,2.64834325,2.6538925,2.67690325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
