SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340785,0.616248,0.365779031372549,0.027535457541550772,0.3504295,0.360839,0.3722315,255,11.484646,17.232078,12.278946494117648,0.5681344031851305,12.0290105,12.197425,12.412847,255,0.281485,0.496961,0.30540509411764705,0.025424761912606193,0.2877805,0.30023,0.31184,255,0.136939,0.273669,0.160086568627451,0.023235538212693193,0.13909,0.149853,0.1745965,255,3.571592,5.684536,3.7519144156862745,0.1756235003233319,3.658436,3.738281,3.790541,255,3.571592,5.684536,3.7519144156862745,0.1756235003233319,3.658436,3.738281,3.790541,255,0.02524,0.046109,0.028434976470588232,0.0030692941654322046,0.026378,0.027666,0.0294435,255,0.059233,0.102434,0.0648728431372549,0.005635925577280894,0.0623455,0.063655,0.0650425,255,39.770744,64.258238,48.64212642352941,3.523994894588358,47.5638765,48.140827,49.0265055,255,27.169217,49.864373,35.80018205098039,3.402695979475862,35.0955725,35.288352,35.8791945,255,0.020713,0.055101,0.022689576470588235,0.0032260993507055606,0.021602,0.021986,0.02244,255,21.759337,31.903288,23.01968108235294,2.414800943974567,21.8666015,21.934963,22.088798,255,4.861826,23.848384,12.330511470588235,2.042968924869117,12.7513855,12.908609,13.051931,255,0.395772,0.607877,0.42504723529411764,0.030890899749741154,0.40661,0.415155,0.4307245,255,0.0,10.8,2.4,4.225636046798162,0.0,0.0,1.2,5
SofaScene,8.693757,15.015628,9.199736437037037,0.7788986912862395,8.842583,9.027613,9.2598305,1755,8.380212,14.719109,8.877996584615385,0.7687292521001455,8.5279635,8.70813,8.9236565,1755,0.004896,0.768849,0.17716628556505223,0.17278081819677563,0.02880375,0.1204175,0.2855205,10530,0.00589,0.395895,0.08412495612535613,0.08102165731295821,0.01534325,0.0673375,0.144835,10530,0.036831,6.473366,1.1887166483380818,1.2353787287178444,0.09458475,0.8876905,1.75091325,10530,0.036831,6.473366,1.1887166483380818,1.2353787287178444,0.09458475,0.8876905,1.75091325,10530,0.092973,0.302443,0.11404829914529914,0.019356752348007118,0.100552,0.11097,0.11964,1755,0.147518,0.318565,0.16546463247863247,0.017781547486968335,0.1540495,0.160799,0.16666,1755,23.820942,50.518609,30.95021691908832,3.9558929565757732,28.1171905,30.522469,33.025568,1755,14.385122,35.001074,21.190230554415955,3.733229028359776,18.5893615,20.841745,23.1185285,1755,0.073183,0.18201,0.0875161282051282,0.01411240809551009,0.079434,0.083466,0.0896175,1755,13.582823,33.814225,20.31823066780627,3.6336078542719927,17.80305,19.976955,22.217166,1755,0.100865,0.683663,0.2689066381766382,0.11352251394561742,0.2027255,0.239797,0.2986285,1755,0.43557,1.070851,0.5133743071225071,0.059015031115459624,0.4839115,0.50296,0.527868,1755,0.0,3.7,0.74,1.4799999999999998,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.051023,1.756189,0.10938581600000001,0.1228327882168118,0.05301,0.094712,0.125841,1000,0.189333,0.452803,0.219095076,0.03534966036748054,0.1960425,0.2032825,0.23139975,1000,0.001904,0.022621,0.0027199915,0.001211328019129315,0.002102,0.002249,0.003042,4000,0.004095,0.024383,0.005300738750000001,0.0016868084298456768,0.004332,0.0045265,0.00580725,4000,0.014257,0.171675,0.017445072,0.004565739673077737,0.01495975,0.015834,0.0182475,4000,0.014257,0.171675,0.017445072,0.004565739673077737,0.01495975,0.015834,0.0182475,4000,0.020022,0.061151,0.023324356,0.004969227878580736,0.02050775,0.020781,0.02530725,1000,0.026585,0.081175,0.03003446,0.0057461085247670005,0.0271675,0.027612,0.030695,1000,0.486132,2.58394,0.609231513,0.16970261093928943,0.51887975,0.560396,0.66890175,1000,0.08749,0.248345,0.104941748,0.01982282486046063,0.090628,0.094781,0.11491275,1000,0.025262,0.076576,0.029956866999999998,0.006410007712578122,0.02613875,0.0268485,0.03226125,1000,0.039486,0.163424,0.047657212,0.010868826377261531,0.04035975,0.04328,0.05271025,1000,0.005569,0.027623,0.007142665,0.00233860574376593,0.005802,0.0060145,0.0075445,1000,0.016071,0.052406,0.019621419999999997,0.0043338555893799695,0.016839,0.01757,0.0208105,1000,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.039645,1.700891,0.106819375,0.11914804037023176,0.05257575,0.0917195,0.1246245,1000,0.189563,0.326889,0.212614004,0.02201453994527217,0.1954685,0.2013995,0.22869475,1000,0.001889,0.018147,0.00264307,0.001030586045946674,0.002102,0.002228,0.003016,4000,0.004027,0.026156,0.00513919525,0.001455620303385274,0.004295,0.004487,0.0057575,4000,0.014051,0.051109,0.01693527375,0.0029644552443595664,0.0149585,0.015709,0.01809525,4000,0.014051,0.051109,0.01693527375,0.0029644552443595664,0.0149585,0.015709,0.01809525,4000,0.01999,0.057441,0.022859110000000002,0.003981115015909488,0.020465,0.02069,0.0245675,1000,0.026569,0.065569,0.029278137,0.004472095146598628,0.02702675,0.027354,0.03037425,1000,0.488574,2.379749,0.594442283,0.15067688170068733,0.51698675,0.5516685,0.6558505,1000,0.088211,0.187377,0.103269307,0.01639835226230828,0.0907305,0.0945165,0.11409825,1000,0.025529,0.087492,0.029508696,0.0056647108778457534,0.0262925,0.026894,0.0320435,1000,0.039457,0.098178,0.046702953,0.008871625301532463,0.04056575,0.04305,0.0522215,1000,0.00544,0.028682,0.007159484000000001,0.002357403200927665,0.005811,0.006326,0.00756075,1000,0.016156,0.058181,0.019357327,0.004044300755887351,0.01683175,0.017531,0.02074825,1000,0.0,3.7,0.9800000000000001,1.4372195378577346,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.039878,1.683975,0.078682427,0.11676929739889966,0.0524095,0.066188,0.0786715,1000,0.189499,0.335179,0.202201218,0.015255116456929327,0.1943905,0.1971865,0.2018475,1000,0.001887,0.038921,0.002495409,0.001331967629568752,0.002053,0.002129,0.00293525,4000,0.003996,0.024872,0.004818524500000001,0.001301987365107569,0.004211,0.004332,0.005615,4000,0.014288,0.054618,0.016382742,0.0027281318381698495,0.01484,0.015517,0.017827,4000,0.014288,0.054618,0.016382742,0.0027281318381698495,0.01484,0.015517,0.017827,4000,0.02008,0.051757,0.021375527,0.0030570944583494636,0.02051675,0.0206545,0.02082425,1000,0.026591,0.05289,0.027806247,0.002542764571876641,0.02706575,0.0272305,0.02745625,1000,0.501777,2.439302,0.56530928,0.13921356173056418,0.520654,0.5480865,0.57137875,1000,0.099075,0.230329,0.121944168,0.016451807067607377,0.110746,0.1201805,0.12668325,1000,0.025065,0.059152,0.026939168000000003,0.003583847950147439,0.0257265,0.026113,0.02651725,1000,0.044947,0.109196,0.048285807,0.007166571190307887,0.04569875,0.046132,0.0469995,1000,0.008576,0.073715,0.027770557,0.009912893148458274,0.01952675,0.0290635,0.03366675,1000,0.016579,0.062504,0.018410332999999997,0.003183873607747487,0.017088,0.017338,0.01780975,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040518,1.464111,0.081996157,0.09576618754410322,0.0729705,0.0751295,0.0772275,1000,0.058456,0.147206,0.07820480499999999,0.010006552460811616,0.076,0.076609,0.080067,1000,0.002884,0.019965,0.004143716,0.0012864530474696696,0.00398875,0.004058,0.004138,1000,0.005809,0.023088,0.007671181,0.001503403191508851,0.00749575,0.007586,0.0076845,1000,0.018018,0.057982,0.024461066,0.0035911552037810896,0.02411875,0.0243715,0.024751,1000,0.018018,0.057982,0.024461066,0.0035911552037810896,0.02411875,0.0243715,0.024751,1000,0.006221,0.034863,0.009600761000000001,0.0023422637707736934,0.009418,0.009531,0.00979225,1000,0.01033,0.04256,0.012779515,0.0022256776657402573,0.012464,0.012576,0.012693,1000,0.161763,1.748765,0.266534877,0.10591375797258765,0.2576665,0.260057,0.26850075,1000,0.012274,0.111491,0.038527505,0.011166063811656057,0.03878575,0.0391995,0.04155025,1000,0.001964,0.013962,0.003023309,0.0009021367443569737,0.002921,0.002991,0.00307125,1000,0.007006,0.057108,0.016703893,0.004820223761771957,0.01674675,0.0168935,0.01707225,1000,0.001697,0.075854,0.016148883,0.006511985074868569,0.017206,0.017428,0.01759,1000,0.000934,0.01165,0.001342284,0.0006578745908940396,0.001255,0.001293,0.001328,1000,0.0,12.0,2.4,4.8,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,-0.00058,1.443496,0.09518810000000001,0.09608160725286605,0.073984,0.0993015,0.10351225,1000,0.058673,0.136306,0.07751440300000001,0.00950107672406612,0.07538475,0.0763645,0.07970325,1000,0.002858,0.021385,0.00412917,0.001269196947325355,0.004021,0.004088,0.004151,1000,0.005716,0.024893,0.00766946,0.0015306242806123257,0.007543,0.007626,0.007706,1000,0.017758,0.061205,0.024251032999999998,0.0037288105913160837,0.023912,0.024161,0.02455575,1000,0.017758,0.061205,0.024251032999999998,0.0037288105913160837,0.023912,0.024161,0.02455575,1000,0.006241,0.033223,0.009564399999999999,0.002227394806494798,0.009338,0.009491,0.009759,1000,0.010248,0.043788,0.012636431,0.002185839195192318,0.01243625,0.01254,0.012629,1000,0.160972,1.705074,0.26898019900000003,0.10606142237773072,0.24499775,0.275489,0.2806095,1000,0.012318,0.076865,0.028593859,0.00709665942251134,0.02604375,0.029927,0.03064575,1000,0.00201,0.024485,0.003044428,0.001095804519435834,0.00292375,0.003002,0.00308225,1000,0.006908,0.046544,0.015475285,0.004022614109229843,0.01513775,0.0158385,0.01615425,1000,0.001746,0.029549,0.007485398,0.0030218579893165065,0.00598425,0.008817,0.009338,1000,0.000963,0.018828,0.001324481,0.0006830051593062822,0.001209,0.0012815,0.001339,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00865,0.124412,0.010194549,0.00817799352760804,0.00893,0.0090955,0.00934625,1000,1.117773,1.304893,1.154159373,0.03367019713152674,1.128111,1.145903,1.16303275,1000,0.067145,0.112583,0.069810439,0.005727702869412746,0.06755375,0.0677645,0.06938975,1000,0.037461,0.071754,0.039225855999999996,0.004174290567900611,0.03783675,0.0380325,0.03838475,1000,0.014218,0.034171,0.01520194,0.002081397645429628,0.0146265,0.0147815,0.01495625,1000,0.988308,1.151473,1.021709944,0.030457328652015166,0.99865,1.015728,1.029662,1000,0.002693,0.017241,0.003094446,0.0009738625011180993,0.00286,0.002914,0.00298725,1000,0.011404,0.026818,0.012113506999999999,0.0015517263843703244,0.011711,0.011854,0.011998,1000,1.153819,1.488291,1.1936763160000001,0.03730531790576437,1.16673025,1.184292,1.20450625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.009681,0.00039891300000000003,0.00035011062741796344,0.000321,0.000336,0.00037925,1000,2.467717,5.092977,2.6103587289999997,0.30855733395767726,2.4861785,2.5303745,2.58430025,1000,0.0515,0.143592,0.058182688999999996,0.014356048700818724,0.0519275,0.0525795,0.0542615,1000,0.043847,0.098319,0.04755866,0.008037528489305652,0.044323,0.044604,0.04538125,1000,0.690066,2.22064,0.732126553,0.11430565109302862,0.69698,0.703566,0.73125775,1000,1.668505,3.333618,1.763212541,0.2038304123193944,1.67986825,1.7084455,1.75247525,1000,0.001134,0.022729,0.0015792760000000001,0.0011142331263357772,0.00126,0.0013155,0.001394,1000,0.012143,0.04954,0.014360306,0.004445956494429967,0.012503,0.012754,0.01320075,1000,2.490479,5.149169,2.638259,0.3152192105144006,2.5113755,2.554556,2.60850675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000284,0.012828,0.00034713299999999996,0.0003987747651381667,0.000314,0.000324,0.00033525,1000,2.61542,5.126247,2.71266685,0.19268841656323688,2.649843,2.6837315,2.72102675,1000,0.051927,0.139753,0.055631216,0.0071588570971450475,0.0526015,0.0529995,0.055954,1000,0.043954,0.097597,0.046245926,0.0051289486981762646,0.044516,0.0447075,0.04511625,1000,0.690052,1.978695,0.721199702,0.09066493517890584,0.69756425,0.7107485,0.72495125,1000,1.814176,2.92686,1.8816273589999999,0.1156599163375805,1.8350965,1.8648845,1.88734825,1000,0.001128,0.015107,0.001380804,0.0006691256635221818,0.001249,0.0013,0.00138125,1000,0.012288,0.029033,0.013339944999999999,0.0019162751863902533,0.012753,0.012944,0.0132415,1000,2.639319,5.183187,2.7382495049999998,0.19579365128462659,2.674286,2.7088745,2.74596975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.6,1.2,1.5178932768808222,0.0,0.0,2.4,5
