SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.324018,0.409234,0.3431242666666667,0.013998918431872592,0.333353,0.339475,0.351607,255,11.839815,13.861811,12.371013996078432,0.2912665626622701,12.1817155,12.401873,12.5209945,255,0.286771,0.400416,0.3005571647058824,0.01653930551842173,0.2895115,0.295627,0.307335,255,0.135851,0.264881,0.15197566274509802,0.019696974730882007,0.138461,0.140364,0.171907,255,3.884875,4.212758,4.001071466666667,0.07261307238927212,3.9446785,3.991657,4.06455,255,3.884875,4.212758,4.001071466666667,0.07261307238927212,3.9446785,3.991657,4.06455,255,0.025316,0.037365,0.027603415686274512,0.0018375310608950098,0.026309,0.026805,0.02926,255,0.052308,0.082265,0.055593576470588234,0.003467971170617005,0.0533825,0.0541,0.057309,255,39.944548,50.694953,47.37404742352941,1.7666598943769083,47.6125695,47.935866,48.180965,255,27.160494,36.307224,34.466269411764706,1.7778343623236292,34.9976065,35.135578,35.27568,255,0.020475,0.031617,0.02258313725490196,0.001734962541490962,0.021538,0.022235,0.0229595,255,21.803981,22.700636,21.951534635294117,0.10994037530658726,21.8762895,21.922641,22.0117665,255,4.879646,13.595173,12.071521760784313,1.7775319148477717,12.685375,12.78535,12.856458,255,0.399069,0.522991,0.4186483333333333,0.015802949539615512,0.410693,0.414165,0.420522,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.696701,17.731661,13.145234256980057,0.40797928950991613,12.90377,13.03191,13.2041775,1755,12.382622,17.314653,12.806065827350427,0.39940406210691387,12.573971,12.69731,12.8546235,1755,0.008932,0.930306,0.25964423238366574,0.2304497555218824,0.052581,0.3046645,0.41739975,10530,0.00988,0.459719,0.10436567236467237,0.08270316216353188,0.02764575,0.0755315,0.1810995,10530,0.076543,9.481295,1.8584347750237415,1.8908981665861195,0.17008625,1.1765745,2.66785675,10530,0.076543,9.481295,1.8584347750237415,1.8908981665861195,0.17008625,1.1765745,2.66785675,10530,0.094298,0.203486,0.11118522564102563,0.014223237463269412,0.1003725,0.110052,0.1161165,1755,0.130295,0.208104,0.14520201880341882,0.013995562078335235,0.1360035,0.141685,0.1454615,1755,23.785794,47.089355,28.81222808660969,2.5043204866656485,27.0496165,28.690682,30.5626285,1755,10.308463,28.682122,15.070748939031338,2.408885100166193,13.357646,14.901358,16.7899395,1755,0.073263,0.262091,0.08576583817663817,0.011906260127965534,0.0802695,0.082547,0.08561,1755,9.467964,27.383444,14.196064696296297,2.3165565419221763,12.56895,14.032047,15.906914,1755,0.104237,0.849986,0.27220059316239315,0.11083249896198888,0.206246,0.246994,0.3046555,1755,0.433996,0.675973,0.5144209065527066,0.029231586452973253,0.492844,0.51455,0.535723,1755,0.0,7.3,1.46,2.92,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.03273,1.775806,0.094675158,0.12101246858346884,0.043685,0.08135,0.11029975,1000,0.196086,0.315924,0.216219863,0.019268202656610993,0.201827,0.2067275,0.230786,1000,0.00207,0.013513,0.00277191375,0.0007307308730380409,0.00228375,0.0024045,0.003197,4000,0.00432,0.02158,0.00532964175,0.0010934995372230104,0.004575,0.004757,0.00601425,4000,0.015017,0.056589,0.0176316095,0.0026291721030601532,0.01579975,0.016577,0.0188035,4000,0.015017,0.056589,0.0176316095,0.0026291721030601532,0.01579975,0.016577,0.0188035,4000,0.020755,0.056985,0.02327473,0.0034849220460578456,0.021197,0.021443,0.02501875,1000,0.025912,0.076765,0.028218335,0.0031327478169771343,0.02643975,0.026817,0.02978275,1000,0.494424,2.502428,0.5971016090000001,0.15307635376475398,0.51469925,0.557862,0.6575575,1000,0.091955,0.199896,0.105756689,0.015436970561100353,0.09475875,0.098735,0.11494675,1000,0.02554,0.053257,0.029553453,0.004181946601499235,0.02674775,0.027607,0.03195375,1000,0.041416,0.117631,0.048360718000000004,0.00871851654700936,0.04253375,0.0449345,0.0529015,1000,0.006344,0.039527,0.007704646,0.0019698543577340937,0.006592,0.0067955,0.008257,1000,0.016824,0.041633,0.019574143,0.0027974529165923417,0.0175775,0.0181525,0.02126625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034508,1.737263,0.094746139,0.1226299875544301,0.043429,0.08069,0.11019275,1000,0.195108,0.334086,0.217168705,0.019706309568409176,0.20221125,0.2077005,0.23244275,1000,0.002059,0.018226,0.0028060925000000002,0.0009765928171166067,0.002279,0.0024,0.003195,4000,0.004356,0.034183,0.0053918055,0.0012196694124514847,0.00461775,0.004843,0.00601525,4000,0.015016,0.04657,0.01770505875,0.002626885230419943,0.01591575,0.0166365,0.01885275,4000,0.015016,0.04657,0.01770505875,0.002626885230419943,0.01591575,0.0166365,0.01885275,4000,0.020684,0.045052,0.023092873,0.002911937398515119,0.021099,0.0213935,0.0249295,1000,0.025971,0.04964,0.0281185,0.002420317391170009,0.02644775,0.026799,0.0297245,1000,0.49208,2.46697,0.5977463519999999,0.15457653967166587,0.51284775,0.557012,0.65682525,1000,0.090654,0.201314,0.10570204,0.015295804353233602,0.09438225,0.09813,0.116596,1000,0.025263,0.059482,0.029314864000000003,0.004379090103606455,0.02643675,0.027106,0.03196825,1000,0.041328,0.115114,0.048419772,0.008463776255313936,0.04254575,0.0443195,0.053674,1000,0.006122,0.030044,0.007690964,0.001837332944434405,0.00652275,0.00702,0.00824775,1000,0.016901,0.055562,0.019703792,0.0032336817967660333,0.01758125,0.018199,0.02120675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035572,1.809854,0.06738522400000001,0.12039854632442963,0.042438,0.0544935,0.066923,1000,0.196662,0.314141,0.207716036,0.013762720693769237,0.201122,0.203874,0.2082895,1000,0.002059,0.017523,0.00258284625,0.0007950681936858859,0.002212,0.002285,0.003071,4000,0.004319,0.017243,0.00511805375,0.0010857182237399064,0.004565,0.00468,0.005898,4000,0.015038,0.047362,0.017076041,0.002436134090792007,0.01565675,0.0162525,0.0184305,4000,0.015038,0.047362,0.017076041,0.002436134090792007,0.01565675,0.0162525,0.0184305,4000,0.020729,0.046001,0.021882699000000002,0.0021015338875209695,0.021244,0.021388,0.021601,1000,0.025875,0.060062,0.027196875,0.0024672450505320706,0.02653375,0.0267265,0.0269395,1000,0.513913,2.544001,0.573348565,0.14289304143764933,0.529683,0.557558,0.57349725,1000,0.104516,0.2173,0.126840149,0.016247370567781083,0.1160615,0.125565,0.131785,1000,0.025786,0.056997,0.027701591,0.0032380250474199545,0.02666525,0.0269575,0.02733,1000,0.046675,0.118707,0.050044057,0.006669749805033994,0.04771875,0.0482475,0.049224,1000,0.009398,0.07621,0.029465077000000003,0.01021809367597846,0.02098975,0.0308635,0.035495,1000,0.017323,0.053139,0.019064633999999997,0.0029458901873701945,0.017917,0.0181225,0.01853875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036484,1.467856,0.078544909,0.0971489944150567,0.07119525,0.072015,0.075199,1000,0.060228,0.140364,0.077876133,0.007272572304990235,0.07727275,0.077845,0.0787455,1000,0.00306,0.022156,0.0043157709999999995,0.0009838529771053193,0.00424475,0.00431,0.004376,1000,0.006033,0.023428,0.007841475,0.0011434203178949552,0.007769,0.0078565,0.00793725,1000,0.018589,0.044199,0.024591722,0.002478282486867871,0.024561,0.024755,0.0250335,1000,0.018589,0.044199,0.024591722,0.002478282486867871,0.024561,0.024755,0.0250335,1000,0.006485,0.030308,0.00983481,0.001605292957656016,0.009821,0.009958,0.01010925,1000,0.010182,0.037803,0.012289839,0.0012250673471605551,0.012219,0.012328,0.01246125,1000,0.162329,1.729223,0.265444176,0.10672805787988005,0.26115975,0.2637165,0.26709025,1000,0.012968,0.09324,0.039253449999999995,0.009926491227593967,0.0402595,0.0408525,0.0416065,1000,0.002102,0.013694,0.003256828,0.0008386237585568393,0.003119,0.003206,0.00329625,1000,0.007341,0.043624,0.017209442999999998,0.004080704306213696,0.017404,0.017553,0.01774,1000,0.001898,0.060735,0.016536559000000003,0.006038376177460213,0.01775175,0.018107,0.01829425,1000,0.000996,0.011431,0.001494803,0.0007299547959915052,0.001354,0.001392,0.001433,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.036654,1.505131,0.09411447,0.09741742103469533,0.07319675,0.098957,0.10337,1000,0.060444,0.180786,0.078320789,0.009394148417311652,0.077003,0.0776135,0.07857375,1000,0.003173,0.02222,0.004389151,0.001259345280770528,0.004277,0.00434,0.004409,1000,0.005979,0.021409,0.007830069,0.0012408456730145776,0.00768725,0.007801,0.007926,1000,0.018704,0.057703,0.024820636,0.003234678783048481,0.024568,0.024768,0.02497675,1000,0.018704,0.057703,0.024820636,0.003234678783048481,0.024568,0.024768,0.02497675,1000,0.006522,0.037483,0.009680161,0.0016011277672562548,0.00962875,0.0097875,0.009957,1000,0.010183,0.038257,0.012352120999999999,0.0015974914542366103,0.012143,0.012265,0.0123845,1000,0.162256,1.76747,0.271301211,0.10750760431232982,0.2490005,0.280115,0.28608125,1000,0.012922,0.067391,0.029391942,0.0064036221142909425,0.02717825,0.0312465,0.031907,1000,0.002169,0.018062,0.003188731,0.0009374944312575943,0.003035,0.003121,0.003209,1000,0.007228,0.041731,0.016006681000000002,0.0036786170715690154,0.01570975,0.0164755,0.016741,1000,0.001917,0.016365,0.008010494,0.0027870250382736068,0.006425,0.0096305,0.01005275,1000,0.001009,0.013004,0.0014601430000000001,0.0007139799987051457,0.001303,0.00137,0.001425,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005978,0.157332,0.007780452,0.009366452317697239,0.0064125,0.006544,0.00680825,1000,1.116796,1.375635,1.1602712350000002,0.04164638787834757,1.13030225,1.1357565,1.19664025,1000,0.067126,0.116531,0.068837197,0.0044746397497665655,0.06754375,0.0677755,0.067987,1000,0.037535,0.089287,0.039080103000000005,0.0032779510539956203,0.038186,0.038365,0.038659,1000,0.015283,0.057743,0.016221578,0.0020013608764827997,0.01565775,0.015841,0.01618725,1000,0.985644,1.239024,1.0278965770000001,0.039632458015521455,1.0000795,1.003648,1.06222675,1000,0.002684,0.014519,0.0030995230000000003,0.00083046724166038,0.00287075,0.002944,0.003021,1000,0.010958,0.033559,0.011576726,0.001345351651028087,0.01125575,0.01136,0.01146725,1000,1.151719,1.527429,1.198741163,0.04535470988458014,1.16690825,1.1740615,1.23585875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000307,0.001048,0.000364519,4.3954677100395134e-05,0.000346,0.000359,0.000374,1000,2.503131,4.860891,2.548913087,0.18001733698066813,2.51277575,2.523792,2.535721,1000,0.051922,0.093575,0.053364628,0.0033909813231004383,0.052295,0.052547,0.0529115,1000,0.044342,0.083136,0.045603076,0.0026128446819939375,0.044875,0.045012,0.04518925,1000,0.688134,2.046107,0.705217075,0.09331293602103287,0.69397475,0.6960095,0.69914575,1000,1.704861,2.72432,1.7371210970000002,0.10121978080607363,1.7125995,1.7189685,1.72699825,1000,0.00121,0.010734,0.001484784,0.00032200415423407194,0.00139975,0.001458,0.00152925,1000,0.011745,0.031265,0.012357199000000001,0.0010022597903732344,0.012102,0.012218,0.012361,1000,2.526919,4.917298,2.574603954,0.18223961211762904,2.53790575,2.549439,2.56167475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.00032,0.000894,0.000385885,4.724743141166512e-05,0.000362,0.000379,0.000399,1000,2.60503,4.820051,2.660455591,0.17346361222580867,2.6184645,2.6273485,2.65542425,1000,0.050874,0.095929,0.053485254,0.0033278325585107196,0.0522035,0.0525345,0.0530605,1000,0.042986,0.113574,0.045578308,0.0039598928615728985,0.044712,0.0449105,0.045233,1000,0.687448,1.884439,0.705123817,0.08302356353135845,0.69257075,0.694543,0.699009,1000,1.809087,2.837248,1.848794611,0.10426962141444496,1.8187115,1.826007,1.8404395,1000,0.001255,0.003,0.001414094,0.0001140752697301216,0.001363,0.001398,0.00144025,1000,0.011739,0.031531,0.01244862,0.0012831091012069082,0.012094,0.01226,0.01244325,1000,2.629012,4.874945,2.686077363,0.1755482958181857,2.64346,2.653574,2.6819815,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
