SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.337271,0.425069,0.3556249725490196,0.014911506688750747,0.3463315,0.351097,0.3569565,255,11.852288,17.839378,12.383353556862746,0.43222453263183874,12.2757985,12.387547,12.463627,255,0.287303,0.549615,0.30253672941176474,0.022906144651114086,0.292285,0.294505,0.302835,255,0.138965,0.281841,0.1467830862745098,0.01504023449312686,0.1408545,0.142153,0.1454185,255,3.56505,5.165719,3.6824260549019607,0.11659752233551662,3.634283,3.666217,3.708265,255,3.56505,5.165719,3.6824260549019607,0.11659752233551662,3.634283,3.666217,3.708265,255,0.025117,0.076746,0.02712038431372549,0.0042961146059206715,0.025982,0.026333,0.0266385,255,0.048145,0.082819,0.05056319607843137,0.0038713807306377463,0.049329,0.049779,0.05026,255,40.14175,69.102131,47.8354420627451,2.889848863330978,47.6905335,48.042207,48.268548,255,27.239824,50.581286,34.92626587058824,2.690440961315472,35.077776,35.21493,35.3287425,255,0.020238,0.045893,0.02202016862745098,0.002389213090365241,0.0211845,0.021607,0.0220555,255,21.775932,28.962388,22.186263294117648,1.1941375768251097,21.863786,21.89778,21.9432865,255,4.916299,23.214729,12.292394933333334,2.090486775406082,12.7725235,12.873964,12.9657455,255,0.399526,0.627525,0.422863968627451,0.029876272103706344,0.407328,0.41338,0.424407,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.935348,17.393092,9.36199211965812,0.7844288306028387,9.098719,9.164144,9.355797,1755,8.651482,16.393455,9.052768125925926,0.7678860919890501,8.79554,8.854865,9.0392345,1755,0.005033,0.730779,0.17339713209876542,0.16998767542930238,0.02779625,0.116776,0.2791685,10530,0.006182,0.47242,0.0757850200379867,0.0730934225077793,0.0135235,0.060537,0.104984,10530,0.034516,8.474192,1.1692998680911681,1.2160799675476754,0.084998,0.883129,1.7323805,10530,0.034516,8.474192,1.1692998680911681,1.2160799675476754,0.084998,0.883129,1.7323805,10530,0.092522,0.950623,0.10900013048433048,0.0245865783744396,0.0991905,0.102203,0.115071,1755,0.119161,2.907816,0.13506617264957266,0.06779480482999103,0.1246465,0.127578,0.1354005,1755,23.915356,58.245634,30.85397677150997,4.086228503978982,28.167594,30.168414,32.515116,1755,14.377923,42.103353,20.986404205128203,3.8149728154949014,18.4571505,20.456684,22.641339,1755,0.074654,0.18807,0.08651882393162394,0.01270204534173874,0.0803355,0.082709,0.0862645,1755,13.678689,40.705853,20.132259976068376,3.7187544451259913,17.651153,19.609551,21.798006,1755,0.100938,0.721756,0.26061111851851854,0.10824768174701502,0.199731,0.235373,0.287006,1755,0.436264,1.011868,0.5046998735042735,0.044348285604266145,0.4799725,0.498317,0.520044,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.039516,1.69054,0.108012112,0.11769827997750629,0.054646,0.093215,0.12523525,1000,0.124667,0.285087,0.142881336,0.019305948082938167,0.129748,0.1348765,0.15461925,1000,0.001876,0.020642,0.00257360525,0.0009860876109263504,0.002034,0.002156,0.002993,4000,0.004005,0.025131,0.00515974075,0.0016515924053892466,0.004274,0.004449,0.005752,4000,0.00036,0.019109,0.00073564975,0.0007689328661040165,0.000452,0.000503,0.000916,4000,0.00036,0.019109,0.00073564975,0.0007689328661040165,0.000452,0.000503,0.000916,4000,0.020153,0.05945,0.023200099999999998,0.0043640770204019085,0.02063825,0.0211095,0.02490875,1000,0.025446,0.065717,0.028127008999999998,0.00427426258375863,0.02601,0.026383,0.0292185,1000,0.420113,2.33333,0.524612247,0.1485364989023169,0.44801425,0.484939,0.580796,1000,0.08756,0.209321,0.1034221,0.01769415464231055,0.0906265,0.0947905,0.11361825,1000,0.024933,0.06685,0.029366279999999998,0.005647157268892022,0.0258825,0.026749,0.031603,1000,0.039749,0.119047,0.047136029,0.009373074683696862,0.04077775,0.043388,0.05255925,1000,0.005477,0.024466,0.006731769,0.0020362134788963066,0.00566575,0.0058705,0.00717425,1000,0.016246,0.056292,0.019668995999999998,0.004635756771659187,0.01692475,0.017804,0.02093625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.042948,1.822113,0.11296302400000001,0.12192024464127943,0.05576,0.097007,0.127074,1000,0.12604,0.373671,0.149555764,0.03450506884569721,0.12911225,0.135837,0.15502875,1000,0.001857,0.019985,0.0026709992499999997,0.0012884531125537464,0.002035,0.0021625,0.003019,4000,0.004034,0.034169,0.005412985249999999,0.0019659070102709428,0.00428075,0.004462,0.005831,4000,0.000374,0.015662,0.00075662525,0.0007876922710122509,0.000462,0.0005115,0.000918,4000,0.000374,0.015662,0.00075662525,0.0007876922710122509,0.000462,0.0005115,0.000918,4000,0.02007,0.083205,0.024364108,0.006956573941412252,0.02068175,0.02113,0.0263735,1000,0.025497,0.066029,0.028877586,0.005609884197076086,0.02604075,0.026515,0.02952175,1000,0.420132,2.454547,0.5481178000000001,0.1769016412793222,0.4532835,0.4946495,0.59288175,1000,0.087807,0.366277,0.108361155,0.026186909356107204,0.09110725,0.097234,0.11645025,1000,0.024932,0.099365,0.030857397,0.008205973632018995,0.02598175,0.0269525,0.03264425,1000,0.039874,0.17328,0.049285057,0.013200958184455816,0.0409235,0.0442325,0.05320825,1000,0.005399,0.024692,0.0070306710000000005,0.002457021852316133,0.0056675,0.006132,0.007315,1000,0.016366,0.076235,0.020626206999999997,0.006138368948682623,0.01710475,0.0181985,0.02119875,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.042739,1.631869,0.078959059,0.11355358080654049,0.0529405,0.0671475,0.07856525,1000,0.125967,0.252785,0.135213087,0.011754970155020854,0.129497,0.131444,0.134926,1000,0.001813,0.022353,0.002399208,0.0009457371641930965,0.002,0.002078,0.002911,4000,0.004037,0.022037,0.00485350975,0.0013356943137952401,0.00423,0.0043425,0.00565725,4000,0.000364,0.007892,0.00071498075,0.0006361000844045201,0.000447,0.000494,0.000934,4000,0.000364,0.007892,0.00071498075,0.0006361000844045201,0.000447,0.000494,0.000934,4000,0.020237,0.056322,0.021351399,0.0024005914241700937,0.020661,0.0208085,0.02100525,1000,0.025605,0.127245,0.026975354,0.004726325132984823,0.02602675,0.0261935,0.02639,1000,0.438385,2.2777,0.497361799,0.13457516778004996,0.4536765,0.4818515,0.50293825,1000,0.099729,0.228123,0.122703936,0.016884038089980253,0.1104515,0.120596,0.12812975,1000,0.025037,0.063099,0.027352113,0.004402261067250669,0.02590825,0.026217,0.026612,1000,0.044915,0.127104,0.048487139000000005,0.007246672499822177,0.045784,0.0461985,0.0471095,1000,0.009044,0.083255,0.027863455999999998,0.010324447904370674,0.0192985,0.0289425,0.033281,1000,0.016526,0.055063,0.018493322,0.0033031305923799017,0.01718475,0.0174085,0.0179415,1000,0.0,7.2,1.44,2.88,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036065,1.509147,0.081771898,0.09745746595319207,0.07440975,0.075057,0.07639,1000,0.039951,0.109067,0.052071092,0.007326898844090588,0.0506825,0.0511955,0.05188725,1000,0.002869,0.017107,0.004070710999999999,0.0008897226632378205,0.004014,0.004078,0.00414025,1000,0.005611,0.026136,0.0076279089999999996,0.0017116752515354658,0.00740375,0.007509,0.00765825,1000,0.000742,0.009847,0.0010051749999999999,0.0004543952974833697,0.000928,0.000958,0.000987,1000,0.000742,0.009847,0.0010051749999999999,0.0004543952974833697,0.000928,0.000958,0.000987,1000,0.006019,0.025469,0.009311582,0.001658068445896007,0.00926275,0.009368,0.009491,1000,0.009946,0.035554,0.012423060999999999,0.001737692939871426,0.012266,0.0123745,0.01249125,1000,0.139717,1.739802,0.237148378,0.10658268183753454,0.229956,0.232513,0.236895,1000,0.01198,0.083648,0.038061463000000004,0.010246150742236374,0.03864375,0.039155,0.0401195,1000,0.001947,0.022405,0.003065996,0.0010651618552989964,0.00291475,0.0029805,0.00306325,1000,0.00676,0.046212,0.016758377,0.004450648888518505,0.01673475,0.0168905,0.01709625,1000,0.001594,0.055757,0.016050575,0.0061759815631505085,0.01709525,0.0174335,0.0176025,1000,0.000866,0.017512,0.0014169739999999999,0.0008530262231162649,0.001272,0.0013205,0.001367,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.026249,1.430816,0.09692388,0.0952299824190764,0.0749465,0.1022145,0.1046005,1000,0.040061,0.126405,0.052753267,0.008375175604589495,0.05071975,0.05135,0.0523425,1000,0.002822,0.019036,0.004114073,0.0011821167555157146,0.004008,0.004072,0.004133,1000,0.005655,0.023191,0.00759613,0.0014436019926212349,0.007451,0.007545,0.007636,1000,0.00076,0.005224,0.000988951,0.00036062115384292146,0.000917,0.000947,0.00098,1000,0.00076,0.005224,0.000988951,0.00036062115384292146,0.000917,0.000947,0.00098,1000,0.006061,0.038711,0.009488333,0.0026545586371581626,0.00921475,0.00934,0.0094845,1000,0.009841,0.032314,0.012529325999999999,0.0021279879571379154,0.012259,0.0123675,0.012484,1000,0.140157,1.682421,0.24388787599999998,0.10608036422113484,0.218552,0.2500035,0.25443525,1000,0.012069,0.068684,0.02821125,0.007418682762424876,0.0256285,0.02951,0.030052,1000,0.002015,0.025545,0.0029934899999999997,0.0009443206594690175,0.00287375,0.002958,0.003044,1000,0.006862,0.045272,0.015593294,0.0044275030791140054,0.0149935,0.015693,0.0159705,1000,0.001621,0.037899,0.007510701,0.0032418335863518655,0.00588725,0.0089195,0.00919225,1000,0.000907,0.013658,0.001368069,0.0007228431117739174,0.001218,0.00129,0.001352,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008485,0.128952,0.010027002,0.008352960154938846,0.008752,0.0089095,0.009189,1000,1.113488,1.30023,1.1523988470000002,0.030146106850862036,1.126326,1.1446895,1.17139225,1000,0.066978,0.122504,0.069732558,0.006585003992150347,0.067468,0.067689,0.06935525,1000,0.037693,0.085953,0.039789816,0.004233760372073979,0.03853175,0.038709,0.0399845,1000,0.000668,0.010832,0.000848642,0.00038869617934319866,0.000781,0.000814,0.000853,1000,0.999959,1.154237,1.0338518540000001,0.027147356612876403,1.01055875,1.0285045,1.052662,1000,0.002677,0.01745,0.003033759,0.0010538738600605864,0.002807,0.002857,0.002916,1000,0.007954,0.022818,0.008524147999999999,0.0012408159235341879,0.00824075,0.0083665,0.00848525,1000,1.145876,1.491804,1.187900163,0.03444553584196987,1.16112825,1.179277,1.20575175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.001286,0.0003818,0.00012281315890408487,0.00033175,0.000349,0.00038125,1000,2.46402,5.061424,2.585871633,0.2684306664223898,2.49934825,2.5245315,2.56482075,1000,0.050594,0.146026,0.056530454,0.01144897253747619,0.0523795,0.0528765,0.05411725,1000,0.042787,0.12861,0.047057174,0.008190813907281987,0.044234,0.044447,0.045244,1000,0.688417,2.091813,0.724107432,0.10506312661573221,0.6950555,0.700614,0.7232395,1000,1.666071,3.224125,1.7495022450000002,0.17631016187282847,1.6876475,1.712622,1.73831925,1000,0.001178,0.012364,0.001504898,0.0009185645113959063,0.00127,0.001303,0.00136825,1000,0.005984,0.037047,0.007268180999999999,0.0031625181293138856,0.0062855,0.00642,0.006629,1000,2.480668,5.1484,2.605710649,0.27416329598301403,2.51726475,2.5431195,2.58303175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.010591,0.000383302,0.0003794497658399594,0.000331,0.000347,0.00037,1000,2.618556,5.067664,2.723694285,0.20719363489252218,2.656829,2.6843765,2.71564025,1000,0.051851,0.117321,0.055445684,0.007397077487774749,0.05235875,0.0529855,0.0543085,1000,0.043732,0.116754,0.046503074,0.006330928208606065,0.0443495,0.0446685,0.04503425,1000,0.69228,1.925617,0.725554081,0.08801656418196768,0.701637,0.7108365,0.72723175,1000,1.815976,3.010959,1.887925286,0.13068460872001034,1.84262475,1.8627405,1.88608875,1000,0.001148,0.018486,0.0014168420000000002,0.000746232960298592,0.001245,0.0012935,0.001366,1000,0.005922,0.026209,0.00714928,0.0021560128537650236,0.0064025,0.0065805,0.00689225,1000,2.636563,5.131766,2.743126568,0.21092058858785545,2.6749635,2.7040905,2.733301,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
