SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339876,0.618291,0.36653381960784315,0.028898982399460392,0.3506915,0.357119,0.374965,255,11.801638,16.767716,12.480090533333334,0.5557105671999587,12.2431105,12.390846,12.612945,255,0.283762,0.49723,0.30470740784313727,0.02578739251601139,0.288626,0.297229,0.3121015,255,0.137935,0.284974,0.15199131764705884,0.021887590777341287,0.139393,0.140411,0.165779,255,3.552279,5.805172,3.720919474509804,0.21941274790585522,3.631681,3.679882,3.7399475,255,3.552279,5.805172,3.720919474509804,0.21941274790585522,3.631681,3.679882,3.7399475,255,0.024912,0.061109,0.028299368627450982,0.00456345526184479,0.026222,0.02666,0.028576,255,0.051218,0.09249,0.054808098039215686,0.006396150737824785,0.0522925,0.052933,0.0540435,255,40.000548,60.742736,48.59954787843137,3.3094576566460465,47.738853,48.055096,48.5964905,255,27.19801,44.607248,35.565325666666666,3.0932342099178016,35.09349,35.25263,35.4510145,255,0.020121,0.060547,0.022597164705882355,0.004026025193555858,0.0212415,0.021711,0.0221785,255,21.793335,30.860676,22.850344839215683,2.205695071714809,21.882492,21.919528,22.007192,255,4.858834,15.658726,12.266040564705882,1.8553912363203287,12.745312,12.882526,13.0342645,255,0.394951,0.588605,0.4243166392156863,0.0251761442705705,0.4086105,0.415881,0.432623,255,0.0,9.3,2.1,3.629876030941002,0.0,0.0,1.2,5
SofaScene,8.641511,18.113742,9.182974336752137,0.8876381727030972,8.8179985,8.939361,9.1602525,1755,8.366347,17.775076,8.889570182336183,0.8784475912513027,8.53185,8.64687,8.868409,1755,0.004804,0.683866,0.17274064976258308,0.1693186935991749,0.02826975,0.119729,0.27777025,10530,0.006283,0.310744,0.07689172915479582,0.07378217602016372,0.01438575,0.0611175,0.10707025,10530,0.037653,6.823966,1.1806897979107314,1.2371624783117858,0.08824375,0.886912,1.69977925,10530,0.037653,6.823966,1.1806897979107314,1.2371624783117858,0.08824375,0.886912,1.69977925,10530,0.094027,0.277991,0.11008253675213676,0.016566467414000294,0.1000665,0.102897,0.11602,1755,0.126979,0.267778,0.1404424809116809,0.01496254714364182,0.131796,0.134042,0.1416715,1755,23.905665,49.231945,30.90517970997151,3.847602099053428,28.244076,30.373436,32.9662095,1755,14.485346,33.294738,21.136321747008548,3.6216973684492983,18.642242,20.671846,22.951347,1755,0.074024,0.189995,0.08672172421652422,0.012757121136594418,0.080276,0.082838,0.0871115,1755,13.664189,32.128262,20.269096084330485,3.530842532895897,17.818618,19.813339,22.0992955,1755,0.104093,0.753926,0.26855262564102567,0.10811395039323725,0.2047605,0.244781,0.2969985,1755,0.434028,1.020918,0.5096488934472935,0.050237060480499945,0.48117,0.50105,0.5257765,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.03247,2.00058,0.106981407,0.12377324302761623,0.053022,0.0919165,0.123503,1000,0.190383,0.396326,0.21641834,0.02391466205415414,0.198942,0.2059485,0.232883,1000,0.001936,0.028672,0.00265868875,0.0010994455777224436,0.002112,0.002223,0.003049,4000,0.004182,0.030987,0.00538868275,0.0015148450204896993,0.004534,0.004842,0.005926,4000,0.014263,0.053097,0.017409711749999997,0.003143821976140179,0.0153285,0.0161915,0.018555,4000,0.014263,0.053097,0.017409711749999997,0.003143821976140179,0.0153285,0.0161915,0.018555,4000,0.020435,0.052624,0.023033563,0.0033313505732706973,0.02092,0.02119,0.02493525,1000,0.025609,0.069478,0.028516361,0.004204306682757456,0.02628375,0.0269395,0.0296925,1000,0.495479,2.861698,0.60899387,0.1594015283575697,0.52508675,0.566255,0.670269,1000,0.089685,0.209896,0.106009484,0.01668037983715431,0.0937055,0.097911,0.11683575,1000,0.025072,0.064728,0.029415787,0.0049604900203136185,0.02633575,0.027118,0.0318615,1000,0.040829,0.111572,0.048586045,0.009073871442056857,0.04223975,0.0449395,0.05416825,1000,0.006188,0.028323,0.0076794229999999995,0.0020943151401045168,0.00646175,0.006695,0.0081395,1000,0.016427,0.09775,0.019772236000000002,0.004361956193074846,0.017274,0.0180715,0.0212515,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.04614,1.625544,0.10614443300000001,0.11630236431615443,0.052739,0.0918155,0.1241205,1000,0.19147,0.355478,0.215124289,0.023423080714873503,0.19741875,0.2032515,0.23106625,1000,0.001963,0.03338,0.0026799085,0.0010983338375137816,0.002119,0.0022585,0.00307325,4000,0.004212,0.024423,0.00533960175,0.0014377257169387134,0.004507,0.004728,0.005904,4000,0.014423,0.054809,0.017403039250000002,0.0032141423087986383,0.01520675,0.0161995,0.01858525,4000,0.014423,0.054809,0.017403039250000002,0.0032141423087986383,0.01520675,0.0161995,0.01858525,4000,0.020364,0.073958,0.023127739,0.004045399326998387,0.0208275,0.021085,0.024889,1000,0.025371,0.064032,0.028160742,0.0038531434885604766,0.02603675,0.0264855,0.029453,1000,0.49664,2.329282,0.605814061,0.1507252985092658,0.52446075,0.5626415,0.66736325,1000,0.090097,0.184758,0.10527637200000001,0.016014672614812205,0.0932575,0.0971095,0.1160515,1000,0.025075,0.06546,0.029201409,0.005132609155947781,0.02604975,0.026858,0.03151475,1000,0.041087,0.104922,0.04827075,0.008502429027372119,0.04217275,0.044429,0.05389025,1000,0.006062,0.035382,0.007597666,0.0019318906015724597,0.00635775,0.0068935,0.008141,1000,0.016516,0.086859,0.019637321,0.0041039642093905985,0.01721325,0.0179985,0.02109025,1000,0.0,8.4,1.6800000000000002,3.3600000000000003,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034675,1.781142,0.077808282,0.11743424643583522,0.0518105,0.065654,0.077148,1000,0.192666,0.3316,0.205168522,0.016185346581692836,0.1967005,0.199548,0.2040275,1000,0.001921,0.07859,0.00250209775,0.0016248348422824204,0.002081,0.0021545,0.00291,4000,0.004128,0.023138,0.005060624,0.001315366686754686,0.004406,0.0046195,0.00577,4000,0.014435,0.051334,0.016695586749999998,0.002943995271051643,0.015,0.0157315,0.01829725,4000,0.014435,0.051334,0.016695586749999998,0.002943995271051643,0.015,0.0157315,0.01829725,4000,0.020395,0.055725,0.021684227,0.003010813550765141,0.02084175,0.020991,0.02118075,1000,0.025558,0.062473,0.026891302,0.003304878852362973,0.025997,0.026174,0.0264175,1000,0.51218,2.49239,0.577321615,0.14034949374519584,0.532125,0.559027,0.5833415,1000,0.101344,0.22001,0.125067136,0.016404494031621458,0.113556,0.1234125,0.1301785,1000,0.024877,0.057603,0.027127527,0.003921248739275666,0.02582275,0.026145,0.0266445,1000,0.046534,0.13082,0.049900301,0.007156471507970879,0.04738575,0.0478295,0.04873575,1000,0.009364,0.083868,0.028787651,0.010104702152225913,0.0203625,0.0298,0.034497,1000,0.016928,0.056867,0.0187277,0.003014326107109183,0.0174505,0.01771,0.0181945,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037601,1.441561,0.08135558,0.09570262453069717,0.071936,0.074909,0.07567025,1000,0.059596,0.165659,0.079421857,0.011011436706377194,0.0768555,0.07733,0.08106225,1000,0.002917,0.018925,0.004197216,0.0012425971033862906,0.004084,0.004143,0.004198,1000,0.005869,0.025717,0.007786746,0.0019070896406524786,0.007557,0.007627,0.00771,1000,0.018576,0.076511,0.025266821,0.004190780989381216,0.024857,0.025086,0.02539225,1000,0.018576,0.076511,0.025266821,0.004190780989381216,0.024857,0.025086,0.02539225,1000,0.006173,0.030793,0.009492276,0.0020233229272224444,0.00931175,0.009491,0.009673,1000,0.009798,0.040072,0.012334799,0.0027047571799699507,0.011962,0.012061,0.01216225,1000,0.162011,1.702341,0.26987614899999995,0.10690443132591276,0.2604955,0.2634485,0.2733865,1000,0.012599,0.11537,0.039016692000000006,0.010955922083199386,0.03937725,0.039864,0.041688,1000,0.001984,0.020469,0.0030263670000000003,0.0015006467260188189,0.002832,0.0029025,0.002964,1000,0.007235,0.058702,0.016992873,0.004487049804589983,0.01719675,0.0173885,0.01755825,1000,0.001912,0.082419,0.016345808,0.006444950187948391,0.01746875,0.017694,0.01783,1000,0.000954,0.017812,0.001372084,0.0008705977136105975,0.001258,0.0013045,0.001348,1000,0.0,9.6,2.1599999999999997,3.7489198444351937,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040117,1.484152,0.09550982499999999,0.09851404919042957,0.07392225,0.099098,0.103379,1000,0.059701,0.139541,0.07870720299999999,0.009631973409109424,0.07661575,0.0772455,0.08076025,1000,0.00286,0.021895,0.004284754,0.0015682839109944346,0.004096,0.00416,0.00422525,1000,0.005865,0.024285,0.007768034,0.0016012653611578562,0.00761,0.007701,0.007788,1000,0.018384,0.05537,0.025114174,0.003910397188486612,0.02470575,0.0249595,0.025338,1000,0.018384,0.05537,0.025114174,0.003910397188486612,0.02470575,0.0249595,0.025338,1000,0.006278,0.04017,0.009558438,0.0025907427305998563,0.009322,0.0094955,0.00970825,1000,0.00977,0.03471,0.012111304,0.0020510973652130707,0.011894,0.012023,0.01213025,1000,0.163394,1.745194,0.272767463,0.10887947818033769,0.2487985,0.279401,0.28392975,1000,0.012851,0.071046,0.028927919000000003,0.006843307577950812,0.026646,0.030405,0.03109975,1000,0.002055,0.012914,0.002952503,0.0008992599190395399,0.002844,0.0029165,0.002986,1000,0.007274,0.044615,0.015837395,0.003930077941335897,0.015629,0.0162445,0.01659175,1000,0.001917,0.019903,0.007599041,0.0026731652581385612,0.006232,0.0089255,0.00952,1000,0.001014,0.018726,0.0013409359999999998,0.0008504024905325713,0.001221,0.001275,0.001327,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008659,0.134166,0.010560611999999999,0.00846971507675766,0.009066,0.0092305,0.0097355,1000,1.116443,1.963565,1.156614895,0.046560260772443865,1.13146875,1.144522,1.16648275,1000,0.066997,0.121948,0.069717457,0.006793884332114509,0.06740725,0.0679025,0.06856575,1000,0.037588,0.085773,0.039558208,0.005409029273791739,0.0380595,0.038268,0.03852,1000,0.01468,0.042912,0.016065888,0.0027762525161548262,0.01523775,0.015404,0.015687,1000,0.989154,1.730709,1.022777304,0.040097347669734766,1.00118125,1.012249,1.031461,1000,0.002819,0.017285,0.0032255079999999998,0.0007889004055874226,0.002993,0.003049,0.00315,1000,0.010935,0.035931,0.011782177999999999,0.0019028286634156003,0.01124,0.011361,0.01153125,1000,1.153973,2.047471,1.198513988,0.05122624578057478,1.17135075,1.185956,1.207644,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.0003,0.010227,0.000426245,0.0003414336933798421,0.000348,0.000376,0.00042,1000,2.568529,5.306877,2.709825022,0.21629996554836414,2.6072455,2.66035,2.74758475,1000,0.051921,0.134759,0.057681442,0.009167645082933567,0.05256725,0.0540545,0.05838375,1000,0.043957,0.104213,0.048368167000000004,0.007782703019588439,0.044411,0.044883,0.047976,1000,0.688712,2.184429,0.729297848,0.10190962094027677,0.69815925,0.7166225,0.7360135,1000,1.769585,2.96376,1.865682056,0.1271281282288576,1.79599325,1.8349855,1.8969005,1000,0.001285,0.017447,0.0016754749999999998,0.0010113649170180859,0.001406,0.001454,0.00154425,1000,0.011708,0.039447,0.013509467,0.003164845119893073,0.012118,0.01234,0.0128815,1000,2.592005,5.367886,2.738346598,0.22093099925600843,2.63289725,2.6863755,2.77679375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,12.0,2.6399999999999997,4.703020306143702,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000297,0.001381,0.000383974,8.207239075352929e-05,0.00034,0.000357,0.00040325,1000,2.61221,5.018955,2.698038198,0.18333265375232205,2.6426245,2.666992,2.705078,1000,0.051994,0.113037,0.056326232000000004,0.005953986779476085,0.05307575,0.0545885,0.05859575,1000,0.044425,0.143876,0.047643673000000004,0.006381697267034139,0.04495675,0.0455075,0.04888725,1000,0.69035,1.964643,0.7174656389999999,0.08726233570110692,0.69722275,0.703744,0.72211575,1000,1.809833,2.905151,1.868460345,0.10842813477295446,1.8294675,1.8521665,1.87488325,1000,0.001266,0.012444,0.001490063,0.0007395742146877485,0.001365,0.001408,0.00146,1000,0.011767,0.042757,0.012823513000000002,0.0020944701119450233,0.0122265,0.0124655,0.012719,1000,2.637306,5.075594,2.724768467,0.18606830709132846,2.66841375,2.693989,2.73104625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
