SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3
fallingBeamLagrangianCollision,0.340139,0.443066,0.3606542588235294,0.01553942690251158,0.3500235,0.355472,0.365381,11.70148,13.690449,12.275477435294118,0.29128555053150484,12.1237805,12.305441,12.427366,0.283484,0.376293,0.2982723843137255,0.016556722009366472,0.286795,0.293826,0.2998705,0.136618,0.210343,0.14912952156862744,0.015796459002267536,0.1379305,0.138934,0.1664765,3.535355,4.265067,3.6628101764705883,0.08134496899258215,3.6129385,3.65091,3.703218,3.535355,4.265067,3.6628101764705883,0.08134496899258215,3.6129385,3.65091,3.703218,0.025071,0.059441,0.027393756862745096,0.0029054901317316765,0.0260275,0.026526,0.02837,0.054747,0.094806,0.059605407843137254,0.005897859175435764,0.0570445,0.05772,0.061119,39.821603,55.069844,47.9602545372549,2.7369271282327228,47.53604,48.048139,48.490059,27.162971,42.340114,35.1363583254902,2.776820151547404,35.0405515,35.247675,35.4982425,0.02043,0.033215,0.02211376862745098,0.0014167573322992214,0.021417,0.021827,0.02245,21.770438,28.825259,22.556423239215686,1.832852295260114,21.878424,21.92985,22.0301245,4.85709,13.41878,12.13809014901961,1.8206961813753963,12.7290685,12.867565,12.9842305,0.391285,0.574391,0.4163884196078432,0.02304772325841488,0.4029635,0.407845,0.42072,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_NNCG,0.039413,1.635445,0.108533651,0.11853716604434746,0.05397325,0.093251,0.125818,0.129375,0.307619,0.146174483,0.019668812353869032,0.13329,0.1374955,0.1572485,0.001896,0.024031,0.0026152287500000003,0.001066489832076911,0.002056,0.002178,0.003062,0.00407,0.037656,0.005140256,0.0015747058791926827,0.004312,0.004494,0.005779,0.00038,0.020797,0.0007621652500000001,0.0008212649794326053,0.000465,0.000516,0.000993,0.00038,0.020797,0.0007621652500000001,0.0008212649794326053,0.000465,0.000516,0.000993,0.022573,0.053422,0.025715506000000003,0.003708571161507354,0.023411,0.0238355,0.0275135,0.029054,0.069625,0.031933182,0.004175364384922111,0.02984175,0.0303755,0.03322725,0.434501,2.355057,0.537227799,0.15132240168192743,0.45805325,0.4997215,0.5930875,0.087583,0.2184,0.102665015,0.01673766657484773,0.09083175,0.094373,0.11343675,0.025716,0.075847,0.029957566999999997,0.005654403141756963,0.02667125,0.027489,0.03236925,0.038979,0.139007,0.045829855,0.009195720864618229,0.03997975,0.041561,0.050923,0.005253,0.033589,0.0065908289999999994,0.0020507871639346194,0.00561075,0.0057605,0.00696325,0.016442,0.054751,0.019704726,0.003793850210132709,0.017231,0.0178935,0.021144,0.0,1.2,0.24,0.48,0.0,0.0,0.0
BilateralLagrangianConstraint_PGS,0.043977,1.724045,0.110000606,0.12000592929944238,0.053896,0.0957685,0.1277685,0.128463,0.290336,0.14848895199999998,0.019249608912538872,0.134388,0.1405135,0.16115075,0.001883,0.022627,0.0026168845,0.0012356778779923795,0.002074,0.002216,0.00305,0.004093,0.025999,0.005291644250000001,0.0016494912025203218,0.004385,0.004618,0.005856,0.000381,0.018403,0.000762912,0.0007461979129265908,0.000475,0.000533,0.00098925,0.000381,0.018403,0.000762912,0.0007461979129265908,0.000475,0.000533,0.00098925,0.022628,0.059749,0.025794746,0.004451950295486688,0.02322575,0.023525,0.0275615,0.028933,0.073054,0.031979824000000004,0.005088184141226023,0.02968975,0.0301155,0.03303725,0.433334,2.372758,0.5434433129999999,0.15052158340373326,0.46916975,0.5043525,0.5986915,0.087363,0.209629,0.103956629,0.017567447227453365,0.090743,0.09509,0.11458075,0.025504,0.081953,0.030567568,0.0066292474061069705,0.02656175,0.0275725,0.03287325,0.039002,0.114006,0.046365837,0.009604471481577266,0.040019,0.0422205,0.051524,0.005333,0.032137,0.006908975,0.0023928933282482525,0.00574875,0.0061555,0.007226,0.016398,0.05262,0.019546787,0.0041298883839192314,0.01695775,0.017642,0.02098625,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_UGS,0.03597,1.674818,0.080427389,0.11703816763152813,0.0537655,0.0682035,0.08078325,0.129754,0.295243,0.139194116,0.013203538242779624,0.133332,0.1354315,0.139354,0.001888,0.01767,0.00243551375,0.0009194030730919587,0.00201,0.002104,0.002969,0.004031,0.027985,0.0049296374999999995,0.0014421674939457448,0.004275,0.00441,0.00571025,0.000385,0.020426,0.0007656130000000001,0.0007930097106788794,0.000475,0.000524,0.000999,0.000385,0.020426,0.0007656130000000001,0.0007930097106788794,0.000475,0.000524,0.000999,0.022526,0.060317,0.024135617999999998,0.0029750865130405875,0.02328075,0.0235175,0.02380225,0.029278,0.069007,0.030715741,0.003226076602921728,0.029767,0.0300045,0.03027125,0.447831,2.334843,0.5134569689999999,0.1392817618670228,0.47240625,0.497157,0.517595,0.097765,0.205574,0.122565837,0.016004910587017692,0.11129925,0.1211655,0.12763675,0.025286,0.071426,0.027712893,0.0036436757409998768,0.026507,0.0269415,0.02733425,0.043882,0.104548,0.047794252999999995,0.00706014906535202,0.04523575,0.0457355,0.046652,0.008588,0.066412,0.027815277,0.009858010204512418,0.01953975,0.0290615,0.03373925,0.016494,0.056667,0.018683305,0.0031247873319595687,0.01736625,0.017652,0.0182595,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_with_friction,0.040788,1.472552,0.08261803599999999,0.0952758797565087,0.07582825,0.0763525,0.07741925,0.042429,0.124769,0.054836017,0.007787152122355836,0.053373,0.05394,0.05484875,0.002959,0.017678,0.004135524000000001,0.0008959082449804778,0.00407775,0.0041415,0.004205,0.00577,0.022378,0.0077380370000000006,0.0013979090133592388,0.00760775,0.007696,0.00778325,0.000858,0.005841,0.00109814,0.0005113028421591259,0.00099075,0.00102,0.001049,0.000858,0.005841,0.00109814,0.0005113028421591259,0.00099075,0.00102,0.001049,0.007193,0.022564,0.010350228999999999,0.0013349366436498026,0.01032975,0.0104375,0.01059825,0.012001,0.040722,0.014950507,0.002293510303868505,0.01464775,0.014832,0.01502225,0.148294,1.726012,0.245575291,0.1052666633445096,0.23872925,0.241169,0.244572,0.012328,0.116827,0.037434942000000006,0.009757121598639425,0.0382625,0.038742,0.039967,0.001968,0.012163,0.003015996,0.0006187936392562548,0.00289,0.003,0.00308625,0.0071,0.044133,0.016195557,0.0037600088351958695,0.01621675,0.016425,0.016659,0.001647,0.085306,0.016053626,0.006365742558266396,0.0171685,0.0173995,0.017757,0.001006,0.012087,0.0014446189999999999,0.0005666424320848202,0.001331,0.001375,0.001426,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_without_friction,0.040609,1.48979,0.097959544,0.0990900888035835,0.075569,0.103499,0.10512975,0.041653,0.122913,0.054512131,0.008990012576178022,0.0522505,0.0530985,0.05428025,0.002925,0.024704,0.004140059000000001,0.0014239757067868114,0.003989,0.004078,0.00416,0.005762,0.026575,0.007641057,0.0017337747932620888,0.0073885,0.0075155,0.00766625,0.000806,0.005689,0.0010761079999999999,0.0005069083056490592,0.00097575,0.001003,0.001028,0.000806,0.005689,0.0010761079999999999,0.0005069083056490592,0.00097575,0.001003,0.001028,0.007133,0.036562,0.010501983,0.0021743370922446686,0.01028,0.0104245,0.010583,0.011901,0.045228,0.014983353999999999,0.0032169184264889275,0.01451375,0.0146635,0.01484575,0.146311,1.741011,0.250666426,0.10943935629128365,0.2249615,0.2564745,0.261397,0.012395,0.077684,0.027946402999999998,0.007603511671628512,0.02517275,0.02912,0.02962775,0.001955,0.020954,0.003090785,0.0013188768451887385,0.00289475,0.00296,0.00303225,0.007116,0.053968,0.01520693,0.004296525007386784,0.01459175,0.015353,0.015621,0.001621,0.033889,0.007424358,0.0032561045492790924,0.005778,0.00883,0.00910325,0.000947,0.018843,0.001468774,0.0011261938363017264,0.001264,0.001328,0.00138325,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FixedProjectiveConstraint,0.009007,0.224768,0.010829674000000001,0.01134017243015837,0.00928875,0.0094375,0.009793,1.105514,1.345526,1.1272386650000001,0.023973891951261796,1.11040225,1.1157345,1.13755275,0.066832,0.122974,0.069028787,0.005836413403592227,0.06731275,0.06748,0.0689445,0.037368,0.074874,0.038651508,0.0037993168083138317,0.03778375,0.037979,0.038137,0.000711,0.017935,0.000923627,0.0007274119753420341,0.000821,0.000856,0.000901,0.988491,1.177044,1.008914746,0.020394763291430574,0.99436025,0.998774,1.0195975,0.012783,0.043495,0.013420549,0.0021017768553295564,0.012969,0.013034,0.013117,0.013429,0.066357,0.014268078,0.0024040922062009184,0.01381,0.013926,0.014054,1.155157,1.645296,1.180071052,0.03216900473740672,1.161457,1.168799,1.1889105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSimplicialLDLT,0.000284,0.009195,0.00035437099999999997,0.0002835292072415116,0.000323,0.000338,0.000355,2.507308,5.089159,2.58983542,0.19162533474965568,2.54620075,2.5706385,2.5897525,0.051691,0.092978,0.054078748,0.005663278926955302,0.052008,0.0522695,0.0542915,0.044017,0.082656,0.046486595,0.005379265430239988,0.044422,0.0447775,0.04766875,0.693729,2.094965,0.7226787610000001,0.09806205530415871,0.69944375,0.711299,0.729527,1.702568,2.805209,1.7572566459999999,0.10729803898985611,1.71674775,1.7415505,1.76140525,0.001149,0.018552,0.001364519,0.0007993325263236822,0.001262,0.001296,0.001341,0.0061,0.026026,0.0067295540000000004,0.0015488505664149786,0.00636,0.006477,0.00663,2.523893,5.141117,2.608056211,0.1937791092090024,2.5644685,2.5889215,2.60787125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSimplicialLLT,0.000291,0.000909,0.000354649,5.745088162073755e-05,0.000324,0.00034,0.000372,2.625845,5.035816,2.706244677,0.1843044309634054,2.6423025,2.678236,2.7175995,0.051677,0.096851,0.054420493,0.005459042707100852,0.0521215,0.0524645,0.055864,0.04379,0.083278,0.046409771999999995,0.004337682496911916,0.04459775,0.044977,0.047372,0.689453,1.974758,0.715220363,0.08923231392527727,0.6958645,0.700013,0.72229425,1.825974,2.944118,1.880789172,0.1077536630961213,1.83516125,1.860534,1.8912605,0.001163,0.003216,0.001343376,0.0001426891047837921,0.00127575,0.001321,0.001379,0.006093,0.022267,0.006792944,0.0011563495885172444,0.006448,0.0066155,0.00685025,2.642061,5.086952,2.7245573530000002,0.1870337534067912,2.66133225,2.6965705,2.7349375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
FEMBAR_EigenSparseLU,0.00031,0.013262,0.000411012,0.0004107214601843931,0.000357,0.000386,0.000429,3.345133,6.098618,3.477061098,0.19859963106395337,3.42915775,3.450457,3.479953,0.053156,0.102852,0.057085651,0.005860964628386612,0.05422975,0.0548665,0.0585495,0.044679,0.09653,0.047622797,0.005019465407769139,0.04570675,0.046193,0.04851225,0.694826,1.995664,0.728139946,0.08863927657442318,0.70586925,0.7179655,0.734456,2.533881,3.991181,2.632526103,0.12013782105482182,2.59470975,2.613138,2.63768275,0.001375,0.020942,0.001723493,0.0008840354528812744,0.00152675,0.001608,0.00177375,0.006987,0.026836,0.00798496,0.0014225623425354688,0.00755975,0.0077885,0.00801025,3.363531,6.150663,3.498826867,0.20070345270556586,3.45012725,3.472498,3.501666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2
