SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341407,0.410768,0.3627672901960784,0.014356898323409811,0.351467,0.36013,0.3682615,255,11.539765,13.176281,12.060952270588237,0.2878061636303723,11.8530345,12.070345,12.2172605,255,0.283083,0.371226,0.2975711254901961,0.01766369993462102,0.285597,0.289594,0.309637,255,0.13581,0.176783,0.14145893725490194,0.007024641230667404,0.137812,0.13896,0.1409865,255,3.583144,3.92714,3.6822896627450983,0.05767755800550519,3.635829,3.679392,3.7221015,255,3.583144,3.92714,3.6822896627450983,0.05767755800550519,3.635829,3.679392,3.7221015,255,0.022698,0.038795,0.02388790588235294,0.0015306966423003976,0.023367,0.023632,0.02404,255,0.052439,0.084871,0.05544180392156863,0.003954832503925074,0.0541005,0.054582,0.055165,255,39.661824,52.500158,47.32403658039216,1.670928038976934,47.38914,47.658253,48.007543,255,27.151102,39.684471,34.72803494901961,1.7270333394215849,34.9920875,35.188647,35.31355,255,0.02062,0.060216,0.022432431372549022,0.0032759811202435576,0.0216685,0.022,0.0222675,255,21.757986,28.142832,22.172943776470586,1.2470459918878951,21.85515,21.883106,21.9216045,255,4.874814,13.621471,12.10972883137255,1.795206618572928,12.6687295,12.807893,12.9639695,255,0.399013,0.515809,0.4199629411764706,0.019538842268883395,0.4084845,0.412344,0.4238065,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,9.039979,14.164064,9.413739450712251,0.3163592569912109,9.1850295,9.321577,9.5630475,1755,8.731651,13.837059,9.098838268945869,0.3132537099793729,8.8738615,9.00798,9.245957,1755,0.004558,0.656627,0.17758691937321935,0.17284484976229325,0.02983675,0.140305,0.28408075,10530,0.006179,0.346421,0.08176465308641975,0.07867908576409768,0.01445825,0.0644895,0.1384695,10530,0.034882,5.597808,1.1709793415004748,1.2045684571149515,0.09041025,0.8902205,1.75975575,10530,0.034882,5.597808,1.1709793415004748,1.2045684571149515,0.09041025,0.8902205,1.75975575,10530,0.097947,0.204429,0.11328285071225072,0.012144153201555116,0.104855,0.108733,0.119196,1755,0.13268,0.244035,0.14608496695156695,0.011837680287410283,0.138429,0.14245,0.149714,1755,24.23677,45.324135,30.986862735612533,3.697588316000045,28.477554,30.476605,32.8301805,1755,14.583397,31.865827,21.049766148717946,3.6478326831384336,18.6665365,20.547172,22.927208,1755,0.071815,0.154262,0.08291610598290598,0.008152055285156218,0.0789075,0.081188,0.0841205,1755,13.76576,30.964706,20.211384806267805,3.5593386724680527,17.859338,19.705778,22.0768165,1755,0.100363,0.638582,0.2563334501424501,0.10388742081331304,0.1963865,0.230354,0.2818205,1755,0.432736,0.659585,0.496867449002849,0.029331275364640128,0.477434,0.490873,0.5128625,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037532,1.799421,0.107793851,0.12241505962574539,0.054457,0.09265,0.12483525,1000,0.126515,0.267088,0.146887867,0.018137573562616114,0.1340215,0.1393375,0.15876575,1000,0.001894,0.022664,0.00266914425,0.0012125829579628512,0.002128,0.0022625,0.003017,4000,0.004036,0.025148,0.00531088525,0.0014984302448170343,0.004493,0.004779,0.00585,4000,0.00034,0.018228,0.000759697,0.0007988281531036572,0.000469,0.000537,0.000952,4000,0.00034,0.018228,0.000759697,0.0007988281531036572,0.000469,0.000537,0.000952,4000,0.020217,0.059492,0.023001954,0.0035156480907343386,0.0208265,0.021103,0.02472325,1000,0.027593,0.069603,0.030515272,0.004267890589508592,0.02823825,0.0293275,0.03178225,1000,0.420846,2.398909,0.527964821,0.15037312208145764,0.45761925,0.4900275,0.580912,1000,0.085544,0.198275,0.100628817,0.015758561260708764,0.08813425,0.092466,0.110931,1000,0.024983,0.064519,0.029306389,0.005769491038530088,0.02592375,0.026563,0.03169,1000,0.037716,0.127874,0.044923199000000004,0.009190635988950873,0.03877325,0.0412175,0.049976,1000,0.005248,0.026919,0.006556841000000001,0.0020067880978616053,0.00548275,0.005639,0.00699325,1000,0.016045,0.051161,0.019307648,0.0037374684539265347,0.0167825,0.0174705,0.0207915,1000,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
BilateralLagrangianConstraint_PGS,0.035665,1.772462,0.107838581,0.12345208332091216,0.0532745,0.0937115,0.12439925,1000,0.124224,0.298738,0.144451299,0.018932359961283195,0.12994475,0.138095,0.15468625,1000,0.001893,0.0223,0.00259122875,0.001049501240791757,0.002085,0.002243,0.002985,4000,0.00401,0.02703,0.0052987105000000005,0.001897333130261987,0.00429,0.004665,0.00577925,4000,0.000337,0.013626,0.0007049595000000001,0.0006993274443061348,0.000434,0.000488,0.00089625,4000,0.000337,0.013626,0.0007049595000000001,0.0006993274443061348,0.000434,0.000488,0.00089625,4000,0.019995,0.056702,0.023195906,0.0043455319961040444,0.02055675,0.0211325,0.02497475,1000,0.027271,0.077659,0.030440324,0.004950515560527408,0.028149,0.028614,0.031571,1000,0.415957,2.40471,0.5266347979999999,0.1538577268120298,0.45241075,0.4863195,0.57800775,1000,0.084701,0.220193,0.10090029399999999,0.016840212634392834,0.08813175,0.092856,0.11139475,1000,0.024665,0.083535,0.029134245,0.0061574455707683684,0.025683,0.0264545,0.03141375,1000,0.03759,0.117712,0.04522328,0.009564548932051109,0.03880075,0.041383,0.04993725,1000,0.005286,0.032969,0.006787571,0.0022233520420659883,0.00561175,0.0060715,0.00715775,1000,0.016109,0.060003,0.019231546,0.0040374912168181865,0.0167415,0.0172925,0.020686,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.042087,1.813638,0.080703462,0.12211012320339601,0.05289875,0.067821,0.0802935,1000,0.128609,0.246595,0.14368035699999998,0.016647900094352772,0.13214775,0.1356785,0.15257825,1000,0.001957,0.021942,0.002557137,0.0011039880009452094,0.0021,0.00222,0.002939,4000,0.004084,0.026231,0.00517814625,0.001792888493565882,0.00437,0.0045725,0.005719,4000,0.00037,0.019633,0.000766105,0.000896431276214189,0.000471,0.000519,0.000964,4000,0.00037,0.019633,0.000766105,0.000896431276214189,0.000471,0.000519,0.000964,4000,0.020027,0.055821,0.022072459,0.0036402609854678004,0.02066375,0.0209765,0.022703,1000,0.027521,0.068881,0.029460629000000002,0.004237668507960361,0.028308,0.028524,0.028778,1000,0.441427,2.490995,0.51327317,0.14428584734010855,0.477046,0.491618,0.51912,1000,0.096484,0.213623,0.122397186,0.016891769811224755,0.11094075,0.120172,0.12769675,1000,0.024931,0.05801,0.02758266,0.004074641275302649,0.0259405,0.0263595,0.0276755,1000,0.042878,0.117013,0.047471900000000004,0.008186151155091139,0.04396775,0.044547,0.04760275,1000,0.008854,0.088249,0.027965827000000002,0.009940226264380052,0.01951075,0.0292385,0.03344225,1000,0.016562,0.052342,0.018843199,0.003488607633053479,0.017212,0.0175035,0.0191225,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.027962,1.493864,0.083575492,0.09663488808722208,0.07517725,0.0758515,0.077571,1000,0.040299,0.121132,0.053295129000000004,0.008340488011043418,0.05122175,0.051779,0.0524155,1000,0.002825,0.020823,0.00420591,0.0014727772533210852,0.004051,0.004108,0.004168,1000,0.005717,0.029148,0.00768061,0.0019661747099126263,0.007443,0.0075375,0.007639,1000,0.000788,0.012831,0.0010324960000000002,0.0005872464031256386,0.000939,0.000969,0.001,1000,0.000788,0.012831,0.0010324960000000002,0.0005872464031256386,0.000939,0.000969,0.001,1000,0.006081,0.032993,0.009554108,0.0027343010511529267,0.00914075,0.009323,0.009491,1000,0.011059,0.044164,0.014464046,0.0034186033958158997,0.013885,0.0140235,0.01417625,1000,0.141447,1.73862,0.24382858400000001,0.10709758774394941,0.232881,0.2358755,0.250993,1000,0.012008,0.172785,0.037918138,0.011523670432503526,0.03765,0.038292,0.0407165,1000,0.00198,0.018713,0.003020305,0.0011471372576875882,0.00287575,0.002935,0.003,1000,0.006922,0.139518,0.016230008,0.005936965824386729,0.01583425,0.0160615,0.01627,1000,0.00156,0.066224,0.016441207,0.006876027390735948,0.017097,0.017368,0.01768025,1000,0.000942,0.016373,0.0014398689999999999,0.001054259351316838,0.001267,0.001304,0.001343,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040161,1.553603,0.09889100599999999,0.09710829354640088,0.07566825,0.103226,0.10527,1000,0.040134,0.130024,0.052518792,0.00813707092501571,0.0507135,0.0512615,0.05203725,1000,0.002868,0.021642,0.004148,0.0014428935691865844,0.003984,0.0040555,0.004123,1000,0.005736,0.023925,0.007629774000000001,0.0017354140799601691,0.0074155,0.0074965,0.007587,1000,0.000786,0.015307,0.001030937,0.0006021891488818111,0.000944,0.000969,0.000991,1000,0.000786,0.015307,0.001030937,0.0006021891488818111,0.000944,0.000969,0.000991,1000,0.005985,0.035091,0.009339893,0.0021640732454219287,0.009092,0.0092415,0.009455,1000,0.011178,0.043646,0.014155564,0.0026522196601910636,0.013708,0.013849,0.01398425,1000,0.142172,1.786713,0.247038354,0.10766302707749156,0.22091325,0.2509365,0.2572585,1000,0.011933,0.068152,0.02752369,0.006776978062521673,0.0247835,0.0286455,0.02952975,1000,0.001946,0.015053,0.0029953510000000003,0.0010808773093182223,0.00283975,0.002906,0.002982,1000,0.006848,0.037703,0.014870234,0.003936628761420614,0.014201,0.014949,0.015195,1000,0.001564,0.023948,0.007484377,0.002955687319875193,0.0058545,0.0089075,0.00913425,1000,0.000942,0.017932,0.001390983,0.0008757331469751501,0.001228,0.0012885,0.001342,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008432,0.152741,0.010299376,0.008765134225590844,0.008875,0.0090525,0.009346,1000,1.095939,1.388233,1.131944771,0.033535473545762834,1.10359575,1.1269855,1.142128,1000,0.066651,0.126476,0.06897925299999999,0.006372688767152448,0.06709575,0.0672125,0.067392,1000,0.037094,0.075193,0.039081956,0.004674594976472721,0.037539,0.0381485,0.038487,1000,0.000661,0.011246,0.000924789,0.0005993890877209894,0.00077575,0.000816,0.000864,1000,0.979894,1.199601,1.015065066,0.029732865865295326,0.99056075,1.0118365,1.025547,1000,0.002758,0.013092,0.002981226,0.000465595374680634,0.002887,0.00293,0.00298825,1000,0.008395,0.026732,0.008982838,0.0012704936386129604,0.008666,0.00878,0.00894525,1000,1.129144,1.600303,1.168512104,0.03906489536006956,1.13890875,1.1622425,1.178924,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000273,0.009224,0.000339516,0.00028619218323357474,0.000306,0.000319,0.00034225,1000,2.504122,5.325501,2.586990604,0.20726436850251223,2.534838,2.557332,2.578606,1000,0.051082,0.095901,0.054368955999999996,0.005603952030314321,0.0521185,0.052357,0.05553225,1000,0.043011,0.095637,0.045846246,0.004265699577500038,0.044342,0.0445085,0.0471515,1000,0.689281,2.282118,0.720849046,0.10484275672948457,0.7006665,0.7112215,0.72167,1000,1.706587,2.857377,1.7585550079999999,0.11712965759111539,1.7183135,1.738537,1.76199925,1000,0.001149,0.010334,0.001345777,0.0003279217273542575,0.001273,0.001312,0.001359,1000,0.00584,0.036966,0.006580395,0.0016108754467602392,0.00624275,0.0063625,0.006516,1000,2.520698,5.378751,2.605054586,0.209654499290663,2.552481,2.575692,2.59729325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000266,0.000811,0.00032585199999999996,4.768112934904122e-05,0.00030075,0.0003185,0.00034,1000,2.61873,5.147019,2.705628282,0.19433030506629811,2.6597895,2.6787625,2.70121975,1000,0.050864,0.0993,0.053994937,0.00505320381530678,0.05212075,0.0525025,0.05342425,1000,0.042857,0.080999,0.045734059,0.004350372938670776,0.04442575,0.044627,0.045028,1000,0.687562,2.033389,0.716749671,0.09243513880203111,0.694476,0.71074,0.7208605,1000,1.819431,2.940753,1.881713858,0.11685413230969555,1.84656975,1.8606765,1.88413625,1000,0.001188,0.015992,0.001357697,0.0005863642103599093,0.001276,0.0013095,0.001357,1000,0.005819,0.019541,0.006492167,0.0012395020085143064,0.006129,0.006269,0.006508,1000,2.634763,5.19747,2.7234530649999997,0.19671213587811703,2.67825025,2.6962515,2.719274,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
