SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330161,0.428803,0.3488329019607843,0.015936028206249772,0.3378295,0.343127,0.3589145,255,11.83877,13.647647,12.358582494117647,0.2659631549836294,12.2468215,12.370319,12.477834,255,0.282804,0.412516,0.29603302352941174,0.01491722373553192,0.286325,0.291128,0.3023325,255,0.134881,0.20802,0.14758436862745097,0.019213057972338174,0.1363385,0.137069,0.142937,255,3.877242,4.185246,3.9979817215686273,0.06666204250146836,3.9444775,3.991553,4.050558,255,3.877242,4.185246,3.9979817215686273,0.06666204250146836,3.9444775,3.991553,4.050558,255,0.022605,0.038679,0.024557301960784313,0.0019052273970080005,0.0235855,0.02398,0.0247495,255,0.053777,0.079264,0.056753890196078426,0.0030041896750420695,0.055302,0.05577,0.0578095,255,39.964668,54.039685,47.41115480784313,1.9216364821652376,47.562933,47.891162,48.147922,255,27.123485,41.127906,34.51791867843137,1.945034171545384,34.979454,35.087105,35.196909,255,0.020102,0.039893,0.021759086274509804,0.0015280326427346347,0.0212115,0.02152,0.0218855,255,21.7695,27.908005,22.03368382745098,0.7056701357522602,21.876876,21.913031,21.993665,255,4.81969,13.063763,12.059520756862744,1.77883807615132,12.678627,12.761935,12.8310665,255,0.380581,0.475538,0.40054714901960786,0.01661900460013661,0.390773,0.397331,0.4037485,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.795474,25.29865,13.415600761823361,0.5459919312886639,13.1136485,13.273624,13.540538,1755,12.453974,24.953794,13.074639581766382,0.5356854085956451,12.789276,12.945401,13.1755065,1755,0.007519,1.897491,0.24740506201329535,0.22291255472930188,0.04769775,0.276071,0.398572,10530,0.00926,0.518787,0.10099117559354226,0.08450863146624638,0.02157925,0.1132595,0.17972525,10530,0.098796,14.947127,1.8918800669515667,1.939306520513756,0.17045175,1.38954,2.7428065,10530,0.098796,14.947127,1.8918800669515667,1.939306520513756,0.17045175,1.38954,2.7428065,10530,0.090224,0.26133,0.1106355150997151,0.01566219218136865,0.098254,0.105635,0.1180925,1755,0.135282,0.299406,0.15088296695156694,0.015507789706709069,0.1403135,0.146779,0.152698,1755,23.993915,59.745189,29.198302226210824,2.63199108686891,27.415547,29.050258,30.8584725,1755,10.276765,43.307092,15.17670405925926,2.5465875736496306,13.460697,15.03548,16.836623,1755,0.073541,0.326917,0.08662409287749287,0.013134971254231713,0.0799985,0.08238,0.0881785,1755,9.437576,41.864679,14.329064356695156,2.459355316583499,12.693727,14.192664,15.9887875,1755,0.104219,0.846893,0.27291460113960114,0.10789784993677756,0.209234,0.24959,0.3039215,1755,0.411636,1.279834,0.4859329116809117,0.036436278493306266,0.463059,0.482414,0.5062215,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036165,1.706665,0.098598251,0.12428081364253295,0.043146,0.0825175,0.114747,1000,0.273429,0.416294,0.303161277,0.025487146115606412,0.2845005,0.2905605,0.3201225,1000,0.001268,0.018505,0.001970626,0.0007579336208560748,0.00157,0.0017435,0.00234,4000,0.002988,0.021472,0.0038598960000000002,0.0009798249025637182,0.003292,0.003474,0.0043465,4000,0.021005,0.061511,0.0242131545,0.0033375381646701435,0.02185775,0.023525,0.0253395,4000,0.021005,0.061511,0.0242131545,0.0033375381646701435,0.02185775,0.023525,0.0253395,4000,0.020957,0.056041,0.023477974,0.0033899434548859365,0.021409,0.0216495,0.0254285,1000,0.026225,0.062525,0.028612066999999998,0.002829724012781282,0.026941,0.0275645,0.02986075,1000,0.580104,2.525482,0.689664566,0.1601878387006006,0.59864425,0.646008,0.75711725,1000,0.093115,0.20495,0.106846125,0.016169459997766623,0.09573375,0.0991925,0.116002,1000,0.02581,0.078089,0.030055371,0.005033277765965137,0.027041,0.027799,0.03218825,1000,0.042288,0.118964,0.04899431,0.0088581172850612,0.04332875,0.044412,0.053574,1000,0.006297,0.037001,0.007644374,0.0019528306378495807,0.006534,0.006693,0.008075,1000,0.017045,0.053101,0.019591637999999998,0.0031216151570871127,0.0176045,0.0180605,0.021157,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.023135,1.769425,0.09838886599999999,0.12335958913958023,0.04326725,0.08318,0.1151765,1000,0.273982,0.452717,0.30475005800000005,0.026489711105193953,0.2851195,0.2927495,0.3211285,1000,0.00124,0.01281,0.00194145025,0.0007072483100191456,0.001525,0.0017055,0.00231,4000,0.002942,0.014078,0.00386166725,0.0008747220804503779,0.003306,0.0035275,0.004345,4000,0.020916,0.071802,0.024410459,0.0033882828357176737,0.022109,0.0236355,0.025606,4000,0.020916,0.071802,0.024410459,0.0033882828357176737,0.022109,0.0236355,0.025606,4000,0.020764,0.050379,0.023471197,0.003336528721919085,0.02134175,0.021617,0.0253155,1000,0.025999,0.065785,0.028389044000000002,0.002938681194356407,0.026824,0.027157,0.02957575,1000,0.573541,2.58734,0.690318345,0.15989156915731978,0.596518,0.6451945,0.75902,1000,0.091571,0.223359,0.10632816499999999,0.016095346211988576,0.0950635,0.098572,0.11659525,1000,0.025933,0.064775,0.029719364,0.0047141501698083395,0.026814,0.0274815,0.032021,1000,0.041884,0.151932,0.048901388,0.009512501553085601,0.04305075,0.0441855,0.0533475,1000,0.006107,0.023345,0.007548422,0.0016602023701693717,0.00639675,0.006922,0.00813,1000,0.016843,0.049479,0.019598618999999998,0.003000329104588195,0.01751775,0.0180745,0.02108625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.024133,1.73255,0.066579096,0.11772691541778706,0.041693,0.053912,0.066981,1000,0.270528,0.441616,0.29088890100000003,0.016446249334094356,0.28371225,0.286459,0.29116725,1000,0.001252,0.037156,0.0018297774999999998,0.0009446644994355139,0.001481,0.001589,0.002234,4000,0.002941,0.023433,0.0036068809999999997,0.000830862867047866,0.003179,0.003315,0.00418825,4000,0.02091,0.066282,0.02340877525,0.0026416132784223803,0.021755,0.023251,0.0239,4000,0.02091,0.066282,0.02340877525,0.0026416132784223803,0.021755,0.023251,0.0239,4000,0.020973,0.041228,0.022010561,0.0017549324044757394,0.021414,0.0215975,0.02180125,1000,0.026428,0.071349,0.027735024,0.002579561429666679,0.02685575,0.027136,0.0276615,1000,0.597416,2.53883,0.6562126949999999,0.1413615127145786,0.613823,0.6419685,0.65803075,1000,0.103616,0.235313,0.127491733,0.01576923142330377,0.1165315,0.126393,0.13308175,1000,0.025938,0.063002,0.027694563999999998,0.0032330203361414234,0.026683,0.0269655,0.02735275,1000,0.047703,0.107447,0.050745110999999996,0.005763255801426743,0.04878075,0.049213,0.04991025,1000,0.009374,0.078588,0.029634835999999998,0.010261680201463307,0.02092925,0.0306485,0.0357105,1000,0.01733,0.044372,0.018841707,0.0024093705960584392,0.01785875,0.0180415,0.01832,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037407,1.495434,0.080544491,0.09843497369592741,0.07287775,0.073838,0.07648525,1000,0.081056,0.184097,0.10866562699999999,0.011489984822177573,0.10615775,0.109044,0.110479,1000,0.002182,0.017161,0.0032301779999999998,0.0010941110155354438,0.003057,0.0031345,0.003207,1000,0.00428,0.023366,0.00576204,0.0010690220841498084,0.00563075,0.005725,0.00582025,1000,0.025067,0.071468,0.034375015,0.00461106169821821,0.0330565,0.033672,0.03601125,1000,0.025067,0.071468,0.034375015,0.00461106169821821,0.0330565,0.033672,0.03601125,1000,0.006418,0.030811,0.009893887,0.0016256754615331438,0.0098885,0.01,0.010137,1000,0.010542,0.041034,0.0128195,0.0019554509096369565,0.012596,0.0126965,0.01279125,1000,0.186881,1.787136,0.299141175,0.10906013590670229,0.29364625,0.296814,0.30131525,1000,0.012969,0.150813,0.039838591,0.010760705311164272,0.0409975,0.0414545,0.04228875,1000,0.002102,0.012307,0.003262436,0.0007359464911962011,0.003151,0.003219,0.003282,1000,0.007252,0.0446,0.01744225,0.0042464861268465244,0.01758875,0.017742,0.01792625,1000,0.001837,0.102151,0.017028625,0.0068048223475984295,0.0181365,0.0184665,0.018684,1000,0.001016,0.014633,0.001585217,0.0009002777626438409,0.001405,0.001452,0.001503,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.037399,1.622239,0.095619005,0.10495399462769854,0.074218,0.1011835,0.10336725,1000,0.081172,0.166588,0.108018793,0.00998609056418732,0.10627125,0.108709,0.11030875,1000,0.002114,0.023403,0.003222165,0.0010686045965533743,0.00306175,0.003139,0.00322425,1000,0.004273,0.017362,0.005744059,0.0010437932158809042,0.005598,0.0056965,0.005786,1000,0.024953,0.072412,0.034158513,0.004398081203869592,0.03301025,0.033562,0.0357985,1000,0.024953,0.072412,0.034158513,0.004398081203869592,0.03301025,0.033562,0.0357985,1000,0.006568,0.03643,0.009942645,0.0018492726756687344,0.009897,0.0100535,0.010167,1000,0.01045,0.042475,0.012729034,0.0018255761832484559,0.0124685,0.012605,0.01273,1000,0.187118,1.910476,0.303305847,0.1151211261181352,0.281712,0.3123595,0.31781525,1000,0.012985,0.08192,0.029644992999999998,0.007021322222413027,0.0275475,0.031681,0.03215825,1000,0.002088,0.013266,0.0032072809999999998,0.0008505247309978705,0.003054,0.0031505,0.003232,1000,0.007247,0.05728,0.01632415,0.004121616038582438,0.01598675,0.016729,0.01703,1000,0.001877,0.029903,0.008122988999999999,0.0030586736761019475,0.00651925,0.0096615,0.010045,1000,0.001022,0.010371,0.001487461,0.0006252765567962707,0.00133075,0.0013945,0.001453,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006422,0.141836,0.008039016999999999,0.009210871203893311,0.00672175,0.006868,0.0071015,1000,1.145365,1.413075,1.199542716,0.06853488496031306,1.15550975,1.1647735,1.207975,1000,0.066403,0.119049,0.067880705,0.0035712985764249677,0.06700875,0.067198,0.06745525,1000,0.036485,0.081721,0.037903048,0.003249507832841152,0.037112,0.03738,0.037667,1000,0.021813,0.05257,0.023556159,0.002388762330521603,0.022284,0.0226115,0.02467725,1000,0.997595,1.2512,1.046468457,0.0673748874097475,1.00312875,1.0132405,1.04830375,1000,0.002897,0.014736,0.003237337,0.0007856331583067253,0.003039,0.0030935,0.003156,1000,0.011301,0.034992,0.011831089,0.001497881569777464,0.01150775,0.011593,0.01169525,1000,1.18203,1.61059,1.2385403799999999,0.0708150305179882,1.19319575,1.202665,1.2459775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000284,0.010505,0.000360048,0.0003241795886480208,0.000327,0.000343,0.000366,1000,2.586079,5.060493,2.64760809,0.18743338073533194,2.59527025,2.615812,2.64186625,1000,0.051575,0.09964,0.053814453,0.0035057310429910337,0.05199725,0.052318,0.05579675,1000,0.043766,0.08392,0.045592706,0.003347147650099111,0.044248,0.044489,0.046714,1000,0.69776,2.091845,0.718759776,0.09529248478809765,0.7041995,0.706404,0.71128525,1000,1.763433,2.77555,1.805398876,0.10601678957151374,1.770483,1.7763865,1.8050085,1000,0.001273,0.004393,0.001478985,0.00017047388883638457,0.001393,0.001449,0.00152,1000,0.012763,0.035892,0.013567734,0.0012708739320813848,0.013233,0.0133755,0.013538,1000,2.610966,5.120277,2.674365761,0.18974150761025874,2.6214995,2.6425005,2.6697185,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.000816,0.000353281,4.93573706653829e-05,0.000327,0.000342,0.000367,1000,2.620798,4.879768,2.6776355329999997,0.17441254697656047,2.63727275,2.6479495,2.673372,1000,0.051519,0.102309,0.05334118,0.004032437241867503,0.0519965,0.0527015,0.0531085,1000,0.04373,0.07524,0.044922795,0.002232123596258729,0.044246,0.044463,0.044742,1000,0.700922,1.896858,0.727072449,0.08317447223053116,0.71052275,0.716852,0.72787175,1000,1.788238,2.827352,1.8276739,0.1052560354788646,1.7997985,1.8034925,1.81849025,1000,0.001234,0.0106,0.0014933689999999998,0.000343381322787073,0.00138475,0.001438,0.00153325,1000,0.013102,0.030612,0.013770442999999999,0.0010220066295044275,0.013414,0.013594,0.01384825,1000,2.646592,4.93984,2.7050704559999996,0.1766716687846754,2.66393075,2.6750915,2.70127375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
