SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329517,0.414312,0.3442808823529412,0.011716375160594946,0.336012,0.341296,0.3486565,255,11.758159,15.131302,12.26085163137255,0.3162163678083463,12.095164,12.277658,12.3809975,255,0.283473,0.421224,0.2938521529411765,0.014486996147192345,0.286963,0.28904,0.295869,255,0.137264,0.254857,0.14173124705882353,0.010636144689529614,0.138509,0.13908,0.1400895,255,3.822004,4.586452,3.942929376470588,0.09553523693803918,3.8691825,3.920594,3.994324,255,3.822004,4.586452,3.942929376470588,0.09553523693803918,3.8691825,3.920594,3.994324,255,0.022645,0.043378,0.024399454901960785,0.0020479978316771726,0.0235675,0.023915,0.0243995,255,0.052337,0.09009,0.054142552941176474,0.0028620846023006807,0.0532615,0.053631,0.0540585,255,40.036398,54.21304,47.403636294117646,1.9576681006902374,47.5350105,47.842673,48.0249195,255,27.165861,41.463488,34.62047255294117,1.9951615181284545,35.0165175,35.088629,35.160364,255,0.019703,0.03274,0.02137649411764706,0.001368962979119849,0.020811,0.021321,0.021656,255,21.781048,28.362017,22.14457702352941,1.1563342147800064,21.86998,21.903488,21.935961,255,4.840113,13.693601,12.037814039215686,1.7857011782003716,12.70879,12.750967,12.7993955,255,0.39779,0.495773,0.41352946274509805,0.01581759207442542,0.4052505,0.408672,0.4148065,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.052847,32.166027,13.208415105413104,0.7201595067671194,12.9452775,13.032657,13.2245935,1755,11.677054,31.839286,12.867438714529914,0.6531979794431494,12.622551,12.705811,12.8885985,1755,0.007112,0.784489,0.2529147507122507,0.22462938375831198,0.05019575,0.303982,0.4063145,10530,0.008321,3.537374,0.09750070341880342,0.0845012779618005,0.02668825,0.0967255,0.154643,10530,0.052981,13.203646,1.8423477132953465,1.8838263091044731,0.16505875,1.1059645,2.652999,10530,0.052981,13.203646,1.8423477132953465,1.8838263091044731,0.16505875,1.1059645,2.652999,10530,0.093215,0.175868,0.10773894472934473,0.013607003743309894,0.0988365,0.10163,0.114239,1755,0.129832,0.230818,0.14301054814814815,0.014018950298614807,0.1342215,0.136405,0.1448395,1755,23.770091,53.977939,28.904349560683762,2.5332910782538116,27.1601415,28.823619,30.5162655,1755,10.287309,25.093924,15.113996072364673,2.3778071292118805,13.432547,15.059248,16.799544,1755,0.07289,0.177227,0.08516546267806267,0.011873426069556919,0.079463,0.081361,0.0844525,1755,9.452334,24.244063,14.249555120797721,2.295447006596309,12.6327435,14.212309,15.92348,1755,0.103141,0.816406,0.2646576353276353,0.10599076979812,0.2038235,0.239992,0.2890485,1755,0.430717,0.861672,0.5124799977207978,0.03261487530195107,0.489459,0.512058,0.530897,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033723,1.695533,0.09434894199999999,0.11803885354741733,0.043646,0.080753,0.11012175,1000,0.192347,0.3199,0.21443747800000001,0.020106594584402303,0.19976775,0.204757,0.22802775,1000,0.002033,0.020724,0.00269216775,0.000843855800542923,0.002237,0.002373,0.003062,4000,0.004147,0.02059,0.00524242,0.0012067583008208396,0.004482,0.0046745,0.00592825,4000,0.014823,0.048747,0.017512412499999998,0.002453735246688964,0.0157065,0.016569,0.0187775,4000,0.014823,0.048747,0.017512412499999998,0.002453735246688964,0.0157065,0.016569,0.0187775,4000,0.020531,0.056642,0.023185223999999997,0.0033516771855034012,0.021145,0.0214035,0.02502825,1000,0.025676,0.039787,0.027786812999999997,0.0021322831313010473,0.0263225,0.0266585,0.0290685,1000,0.489564,2.461305,0.59285052,0.15167664208791545,0.50739625,0.553799,0.65137775,1000,0.091861,0.205508,0.105720905,0.01563581659504789,0.0948555,0.0983205,0.114917,1000,0.025782,0.062358,0.029449626,0.004498328996207814,0.02661275,0.0272735,0.03192875,1000,0.041456,0.117658,0.04814492,0.008411520033359012,0.0426265,0.0434985,0.052686,1000,0.006325,0.02429,0.007546944000000001,0.0017175881732429342,0.006545,0.006718,0.00813125,1000,0.016851,0.042263,0.019619329,0.00285367822235777,0.01763125,0.0181475,0.021435,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.028664,1.659962,0.09427459299999999,0.11756689559526251,0.043267,0.080888,0.1100195,1000,0.195205,0.353282,0.216144971,0.0196952125980442,0.20112225,0.2065035,0.23187525,1000,0.002031,0.017194,0.0027137817500000002,0.0007857086480476956,0.002258,0.002383,0.003102,4000,0.004235,0.040054,0.0052954099999999995,0.001242643894645606,0.00455075,0.0047655,0.00597225,4000,0.014928,0.057082,0.01746640625,0.002478810229567995,0.01572775,0.0163785,0.01872325,4000,0.014928,0.057082,0.01746640625,0.002478810229567995,0.01572775,0.0163785,0.01872325,4000,0.020526,0.049243,0.022979162,0.0028862695906231623,0.020933,0.0212075,0.0249335,1000,0.025534,0.057973,0.027757393,0.002558829532921449,0.02622575,0.0265335,0.02898225,1000,0.492158,2.400539,0.5942283270000001,0.1510538711315141,0.50801475,0.5566255,0.65290175,1000,0.091041,0.213085,0.10575416,0.015312656471376872,0.09443675,0.0979935,0.11666925,1000,0.025808,0.053761,0.029539513,0.004222859106320149,0.026763,0.027473,0.03209975,1000,0.041094,0.119866,0.047955847,0.008627305827869497,0.042105,0.043048,0.05302875,1000,0.006201,0.017623,0.0075025330000000005,0.0014989149652034966,0.006434,0.006951,0.00800325,1000,0.016795,0.045256,0.019754435,0.00324036748745802,0.01756475,0.018134,0.0214335,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034103,1.974749,0.06738359,0.1226316132014657,0.042131,0.0543775,0.0666285,1000,0.195084,0.427757,0.20847906700000002,0.022530544397162514,0.199216,0.2022345,0.2075565,1000,0.00201,0.021414,0.0025372705,0.0008695524385163611,0.002182,0.002272,0.00297925,4000,0.00422,0.024047,0.0050428065,0.0012334102496970544,0.004449,0.004589,0.00582525,4000,0.01485,0.06254,0.01712613225,0.002945155963995784,0.01559775,0.016135,0.018387,4000,0.01485,0.06254,0.01712613225,0.002945155963995784,0.01559775,0.016135,0.018387,4000,0.020403,0.061754,0.021873153,0.0032549145763892174,0.02094275,0.021106,0.02131175,1000,0.025783,0.069407,0.02749598,0.004138246709126946,0.02631,0.0265055,0.02672125,1000,0.505468,2.846591,0.5749622759999999,0.1508289727264156,0.525275,0.556415,0.57614075,1000,0.102567,0.250479,0.127238123,0.017680819892241167,0.11530725,0.1250125,0.1314795,1000,0.025409,0.084366,0.027614669999999997,0.00443215072296735,0.02625175,0.02653,0.02686425,1000,0.046228,0.123193,0.050249505,0.0075275994941265975,0.0474225,0.048,0.04902275,1000,0.009318,0.078447,0.029601975,0.010250982695057826,0.02100625,0.0308205,0.035656,1000,0.016917,0.057079,0.019039233,0.003850469694817893,0.017526,0.017816,0.018338,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.033783,1.425336,0.07805239200000001,0.09608326476514178,0.0705345,0.0712525,0.07422325,1000,0.06053,0.158588,0.078431863,0.008877136361137584,0.07753025,0.077968,0.07867075,1000,0.003042,0.019538,0.004341377,0.0008529371447363516,0.00424575,0.004324,0.004409,1000,0.006165,0.034068,0.008023666,0.0015162192270394147,0.007865,0.0079585,0.008046,1000,0.018651,0.050403,0.024947419999999998,0.0031251577834727003,0.02476875,0.0249705,0.0251795,1000,0.018651,0.050403,0.024947419999999998,0.0031251577834727003,0.02476875,0.0249705,0.0251795,1000,0.006439,0.040282,0.009644635,0.0020704320621008072,0.009563,0.009679,0.00978825,1000,0.010077,0.057624,0.012458185,0.0025368923459175405,0.01216175,0.012255,0.01234725,1000,0.162045,1.702791,0.26458548200000004,0.10656203205966784,0.25943975,0.2612315,0.2651015,1000,0.012956,0.08836,0.038901867,0.0099306026322329,0.039987,0.040492,0.04106625,1000,0.002133,0.013453,0.00317944,0.0007847216566401108,0.003039,0.00311,0.003176,1000,0.00724,0.046069,0.017110911,0.00418291697611595,0.017278,0.017457,0.0176395,1000,0.001937,0.057578,0.016638963,0.006122393995948888,0.01781475,0.01806,0.018232,1000,0.000994,0.021298,0.001469755,0.0009080426713403948,0.001304,0.00135,0.00139,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036695,1.463776,0.093558118,0.09837138442783082,0.071969,0.099042,0.10167075,1000,0.060652,0.138082,0.07815147900000001,0.008462714789330845,0.0773045,0.0777915,0.07855075,1000,0.003014,0.014776,0.004369225,0.0008990605999458546,0.004253,0.004331,0.00441725,1000,0.006034,0.025577,0.007973306999999999,0.001180668963236944,0.007835,0.0079455,0.008049,1000,0.018689,0.060879,0.024998914,0.003600143748325058,0.02469575,0.0249285,0.025186,1000,0.018689,0.060879,0.024998914,0.003600143748325058,0.02469575,0.0249285,0.025186,1000,0.006484,0.029659,0.009732319,0.0017861631580678736,0.009605,0.009759,0.0099375,1000,0.01013,0.0421,0.012278325999999999,0.0020856412533616607,0.01195975,0.0121325,0.01227225,1000,0.161931,1.731014,0.269944168,0.10892286284244357,0.2477445,0.2784745,0.28301075,1000,0.013031,0.066234,0.029170902999999998,0.006980895671014645,0.02692675,0.0307795,0.031507,1000,0.002104,0.014325,0.003166551,0.0008823229507379937,0.003001,0.0030605,0.00313425,1000,0.007305,0.048762,0.016126815,0.00427017511102004,0.015655,0.016298,0.0167125,1000,0.001945,0.024411,0.007966017,0.0028019532991666726,0.006382,0.0096135,0.00989,1000,0.001,0.011697,0.0014185,0.0007636704145113912,0.001248,0.001296,0.001347,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006077,0.142127,0.007848143,0.009056475816704365,0.006472,0.006708,0.0069995,1000,1.124106,1.329312,1.1674200049999999,0.04300974245048411,1.132811,1.1414985,1.2106275,1000,0.067307,0.111089,0.069539428,0.003845602903683114,0.067763,0.0681715,0.07041625,1000,0.037783,0.069379,0.039665627,0.002549771491304858,0.03819075,0.0386625,0.04104925,1000,0.015277,0.039214,0.016352178,0.0019895775587586424,0.01572,0.015911,0.0161705,1000,0.995591,1.179107,1.033855074,0.03988522143880517,1.00272,1.0086015,1.07434,1000,0.002793,0.016807,0.003112189,0.0005052485044797264,0.00300775,0.003064,0.003138,1000,0.011057,0.022298,0.011531047,0.0006867188746430376,0.01129175,0.0114115,0.011609,1000,1.159248,1.524642,1.206268236,0.04608549459431138,1.17088075,1.1808495,1.2495975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.0003,0.004172,0.00036968099999999996,0.0001294783195712703,0.000343,0.000354,0.00037225,1000,2.500183,5.165597,2.554806927,0.1906619327658452,2.50939825,2.528493,2.550618,1000,0.051818,0.093361,0.053095771,0.0032132956556406387,0.0521705,0.052334,0.05273675,1000,0.044344,0.07844,0.045419682999999995,0.0028284083288151658,0.044756,0.044891,0.04507625,1000,0.688736,2.21779,0.711047356,0.09722257500735755,0.69439275,0.6962725,0.7155045,1000,1.702093,2.78198,1.7380176029999999,0.10930678757385286,1.70933875,1.7119405,1.73201225,1000,0.001285,0.011777,0.001447713,0.0005536437235542366,0.00135975,0.001401,0.001449,1000,0.011926,0.023726,0.012460717000000001,0.0009838528919055938,0.01221,0.0123085,0.01244325,1000,2.523784,5.223214,2.580378283,0.19284748633252888,2.5344175,2.553831,2.576136,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000297,0.000884,0.000367946,5.081002936428988e-05,0.00034,0.0003545,0.00038825,1000,2.617235,5.071887,2.691053153,0.17940145519767,2.6373745,2.653626,2.6982545,1000,0.05207,0.115629,0.054152349,0.004534068694803708,0.05246575,0.0529605,0.0537615,1000,0.044333,0.084139,0.046123233,0.0034018620901957505,0.04494675,0.045302,0.0458615,1000,0.689264,1.978928,0.7152643989999999,0.08613623050714372,0.69569725,0.7042715,0.7192635,1000,1.816435,2.875286,1.8679758370000001,0.1086816758476719,1.82472525,1.8326275,1.8848625,1000,0.00125,0.011687,0.001425378,0.00035763477056348976,0.001356,0.001392,0.001436,1000,0.011893,0.035392,0.012424441000000001,0.001234274775128699,0.012175,0.012262,0.01238,1000,2.641422,5.135846,2.716643397,0.18144629022051512,2.66244125,2.6792035,2.72439125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
