SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343176,0.688488,0.36439317254901965,0.029471160751101844,0.3512305,0.355806,0.3663175,255,11.462955,15.058522,12.123472784313725,0.5882600297266879,11.807882,12.042553,12.223226,255,0.283072,0.413153,0.30052342745098043,0.01747859756190442,0.2876855,0.296175,0.306096,255,0.137678,0.304479,0.14756601960784313,0.018006943195846403,0.1387805,0.139655,0.1456535,255,3.555732,4.839454,3.726206717647059,0.15592551284449352,3.6278085,3.704581,3.7773375,255,3.555732,4.839454,3.726206717647059,0.15592551284449352,3.6278085,3.704581,3.7773375,255,0.025083,0.049583,0.027967129411764706,0.0030243489078785085,0.026428,0.0269,0.028535,255,0.051376,0.102451,0.05481950588235294,0.006943771001730631,0.052552,0.053086,0.054491,255,39.79897,61.728171,48.74152967843137,3.772186270792918,47.40993,47.770256,48.3313925,255,27.185171,45.96499,36.06418006666667,3.461236608412471,35.100042,35.241527,35.461499,255,0.020654,0.048546,0.022794086274509805,0.0027821604005731754,0.0217905,0.022231,0.022816,255,21.79596,31.628861,23.420978168627453,2.839633290882052,21.888089,21.928181,22.093566,255,4.909254,16.202825,12.197289898039216,1.8404187323852075,12.7277495,12.837166,12.922507,255,0.39633,0.607461,0.42105196078431373,0.03501808206311211,0.40452,0.409534,0.418081,255,0.0,8.5,1.7,3.4,0.0,0.0,0.0,5
SofaScene,8.654986,33.461205,9.338110025071224,1.5550732843298631,8.81482,8.968239,9.22507,1755,8.373458,32.958727,9.041618413105413,1.5391312385107414,8.5330535,8.675466,8.9100985,1755,0.004954,2.305547,0.17595252013295348,0.17418638365460642,0.0285985,0.1365365,0.28133725,10530,0.006111,1.046344,0.08028240607787274,0.07868968987262992,0.01467975,0.078331,0.12172375,10530,0.036577,15.148553,1.20471580997151,1.2961929703692838,0.08956225,1.0523325,1.70956425,10530,0.036577,15.148553,1.20471580997151,1.2961929703692838,0.08956225,1.0523325,1.70956425,10530,0.094495,0.254394,0.113853098005698,0.017396465910593135,0.101499,0.108876,0.12019,1755,0.127788,0.567722,0.1444626091168091,0.018682554269626082,0.1340975,0.13965,0.1459885,1755,23.724983,65.864928,31.269873800569798,4.65266644743577,28.23257,30.356361,33.0221035,1755,14.444137,48.472075,21.32865485925926,4.0333160368079035,18.609915,20.602199,22.889659,1755,0.073932,0.174137,0.08792002222222223,0.013252629729903069,0.080757,0.083892,0.089314,1755,13.608887,47.385407,20.443395492877496,3.9242539622236916,17.80682,19.730479,22.0274285,1755,0.106293,1.290924,0.2778273037037037,0.11975777163406222,0.2096065,0.249417,0.3090375,1755,0.442343,1.399428,0.5173546028490029,0.05574174291742653,0.487385,0.507503,0.5315635,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.050198,1.840798,0.10984945,0.12252245748872939,0.05431175,0.09616,0.124441,1000,0.191839,0.454088,0.224311426,0.03955204646678253,0.199433,0.2107205,0.23581275,1000,0.001979,0.020736,0.002821446,0.0012273408791301625,0.002192,0.002351,0.003115,4000,0.004087,0.023409,0.0054000265,0.0018423111627240796,0.004367,0.0045745,0.005872,4000,0.014347,0.0974,0.01787760775,0.0044041738230785055,0.015362,0.016471,0.01849625,4000,0.014347,0.0974,0.01787760775,0.0044041738230785055,0.015362,0.016471,0.01849625,4000,0.020138,0.060501,0.023872562000000003,0.005181045956576336,0.0208075,0.0213675,0.026211,1000,0.025142,0.068959,0.029204915,0.006175629867452792,0.02590375,0.0269905,0.029615,1000,0.49754,2.651335,0.629911638,0.17343165267391344,0.5322435,0.5771295,0.6848835,1000,0.091118,0.235453,0.110629322,0.022889513177617296,0.0947525,0.0996805,0.12044325,1000,0.025888,0.09797,0.031114502,0.007685030192523383,0.02682,0.0277015,0.03285825,1000,0.041182,0.119707,0.050478341,0.011434828928353891,0.042411,0.04557,0.055405,1000,0.006205,0.036453,0.007992266999999999,0.002576597828088621,0.006499,0.0069905,0.00846175,1000,0.016567,0.062196,0.020455875,0.005011981718779011,0.01734675,0.018359,0.0214335,1000,0.0,2.4,0.72,0.9599999999999999,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.043354,1.728024,0.105211841,0.11819955260224854,0.05150925,0.0923345,0.12237525,1000,0.191899,0.321949,0.215556857,0.02255445578759441,0.19820675,0.2043335,0.23238375,1000,0.00198,0.022541,0.00270913175,0.0010323597550718148,0.002178,0.002289,0.00304,4000,0.004059,0.028286,0.00521122625,0.0015145828089150285,0.004357,0.004524,0.005836,4000,0.014473,0.053863,0.017328195749999997,0.0030229625009966527,0.015364,0.0161495,0.01841925,4000,0.014473,0.053863,0.017328195749999997,0.0030229625009966527,0.015364,0.0161495,0.01841925,4000,0.020164,0.051423,0.022995588,0.003835674677322883,0.0206365,0.0209215,0.0247655,1000,0.025225,0.056521,0.027987975,0.0038288595508813067,0.02578275,0.026214,0.0292855,1000,0.495455,2.435616,0.605259886,0.1513682118021317,0.51986025,0.563254,0.6678055,1000,0.09013,0.189474,0.10548051300000001,0.01656811112329438,0.09297175,0.0966245,0.11683975,1000,0.025225,0.069432,0.029296830000000003,0.005140255047281214,0.02618825,0.0268415,0.03192025,1000,0.041148,0.107122,0.048510594,0.009279812674896191,0.04214725,0.0447485,0.054069,1000,0.005964,0.035058,0.007639064,0.0024484783882860804,0.0063095,0.006835,0.0081375,1000,0.016485,0.047709,0.019478422999999998,0.0035763745142351915,0.01706775,0.017765,0.0209935,1000,0.0,2.4,0.48,0.96,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033794,2.054544,0.079787398,0.12513952982491822,0.0519615,0.065532,0.07872675,1000,0.192277,0.338512,0.211872691,0.021159013680498415,0.198668,0.2030495,0.2205245,1000,0.001969,0.020159,0.0026060140000000002,0.0011033834455002486,0.002179,0.00226,0.0029625,4000,0.004095,0.145047,0.00510578575,0.0029117590931165543,0.004281,0.004396,0.005673,4000,0.014348,0.052092,0.01708606075,0.0035783475281978183,0.015186,0.0158325,0.01804225,4000,0.014348,0.052092,0.01708606075,0.0035783475281978183,0.015186,0.0158325,0.01804225,4000,0.0203,0.056434,0.022257436000000002,0.004231353524807872,0.0206855,0.0208615,0.02122,1000,0.025227,0.071702,0.027481647,0.0049245220779676685,0.025804,0.0260225,0.02644225,1000,0.51548,2.939362,0.5957014270000001,0.1510148080395981,0.55149225,0.5755705,0.602738,1000,0.100994,0.255804,0.129770267,0.019056717887865973,0.11756675,0.1262515,0.134941,1000,0.025315,0.078878,0.028469261,0.0056456094826758075,0.02631625,0.02665,0.0272275,1000,0.046563,0.131906,0.051803793,0.00910921571707197,0.04766125,0.048533,0.0510085,1000,0.009383,0.075329,0.029493836,0.010285468598420977,0.02133075,0.0302085,0.03512,1000,0.016895,0.059777,0.019452179,0.004183060985087236,0.01750325,0.0178215,0.01986675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039823,1.499478,0.079653241,0.0959950716532829,0.070802,0.073801,0.07459225,1000,0.058514,0.170264,0.077713011,0.009536613957630821,0.0757945,0.076673,0.0799585,1000,0.002937,0.020952,0.004166767,0.0012885948784280496,0.00404875,0.0041205,0.004195,1000,0.005753,0.031035,0.007699498,0.0016625438526535173,0.007515,0.00761,0.00771125,1000,0.017849,0.05178,0.024122457,0.0030125743944591646,0.02386375,0.024174,0.024543,1000,0.017849,0.05178,0.024122457,0.0030125743944591646,0.02386375,0.024174,0.024543,1000,0.006027,0.032774,0.009406353999999999,0.0018916571356046529,0.00928175,0.009422,0.009692,1000,0.009534,0.039991,0.011972354,0.0021000948304026653,0.011719,0.011822,0.01194125,1000,0.160867,1.801499,0.264654409,0.10676558246884489,0.25766025,0.260111,0.2644525,1000,0.0126,0.085432,0.038617829,0.010172429889154263,0.03941875,0.0398785,0.0409225,1000,0.001915,0.023094,0.002997966,0.0009444495364200249,0.00288975,0.0029785,0.00306225,1000,0.007187,0.048038,0.016864207,0.004183823791240616,0.01717475,0.0173525,0.01754725,1000,0.001888,0.059654,0.016212209999999998,0.006349415736892647,0.0174295,0.017658,0.0177745,1000,0.000876,0.015475,0.001313074,0.0006693036773572964,0.001219,0.001262,0.00130325,1000,0.0,3.6,0.72,1.44,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040099,1.457628,0.09425620900000001,0.09678219918872125,0.0736785,0.0986675,0.10298275,1000,0.058864,0.140714,0.077193069,0.008839935734282179,0.075498,0.076435,0.07975025,1000,0.002917,0.018731,0.004090155,0.0009257567925621717,0.004027,0.004093,0.00415525,1000,0.005775,0.027631,0.007680349,0.0016939544507450605,0.00747075,0.0075945,0.00771625,1000,0.017759,0.062466,0.024051062,0.0032207298443296976,0.02380575,0.024105,0.02451,1000,0.017759,0.062466,0.024051062,0.0032207298443296976,0.02380575,0.024105,0.02451,1000,0.006125,0.037054,0.009216443999999999,0.0016624619108009662,0.0091825,0.0093395,0.009548,1000,0.009607,0.035801,0.011803122,0.0016821399279239523,0.01167275,0.011777,0.01188225,1000,0.161476,1.732517,0.268215279,0.10769129518257804,0.246038,0.275868,0.281422,1000,0.01253,0.064238,0.028555901,0.006453650605447974,0.0264765,0.0301385,0.03108175,1000,0.00194,0.012689,0.0029426350000000003,0.0004693536617253561,0.002899,0.002975,0.003052,1000,0.007178,0.043312,0.015553969999999999,0.0036036792378207026,0.01550375,0.016163,0.01649725,1000,0.001894,0.026491,0.007597329,0.002702379438339294,0.0062205,0.00898,0.009489,1000,0.00091,0.008649,0.001259138,0.0003843627075510839,0.00116375,0.001231,0.001286,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008717,0.237124,0.010734843,0.010357180563278359,0.00916,0.009317,0.00972975,1000,1.12048,1.616803,1.1565171939999999,0.03493887678824784,1.13147875,1.148109,1.17055625,1000,0.066916,0.190893,0.069487461,0.006851571951638471,0.067388,0.0676285,0.0681905,1000,0.037526,0.122445,0.039396953,0.00558794935291928,0.03795775,0.038223,0.0384265,1000,0.014409,0.053289,0.015479478,0.002395698286829124,0.014807,0.014952,0.01515225,1000,0.992818,1.222678,1.023473618,0.028833459265202224,1.00173275,1.0170035,1.03962775,1000,0.00271,0.023966,0.003155914,0.0010773252631420096,0.002909,0.002967,0.0030435,1000,0.011048,0.031758,0.011951319,0.0021899294968649105,0.011346,0.011453,0.01157825,1000,1.160122,1.950727,1.198501866,0.043366100762116534,1.171269,1.1884785,1.21141425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,8.4,1.92,3.2731636072766057,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000296,0.013282,0.000357999,0.00041150734987239297,0.000323,0.0003355,0.00035,1000,2.460893,4.97734,2.5290328730000002,0.18770837734946424,2.4732935,2.506649,2.53398675,1000,0.051494,0.091818,0.05331675,0.004273015222942694,0.0519615,0.0523045,0.0526605,1000,0.044249,0.080339,0.045626958,0.003973322744534605,0.04457175,0.044708,0.04491575,1000,0.688783,2.151589,0.710093275,0.0975345837005489,0.69430575,0.696806,0.71261825,1000,1.660941,2.702518,1.712401167,0.10658937396316347,1.67099875,1.6900685,1.7218175,1000,0.00116,0.012457,0.001383556,0.0005702273676911693,0.001291,0.0013315,0.001378,1000,0.0117,0.039135,0.012454031999999999,0.0015684557988595023,0.01205175,0.012186,0.012392,1000,2.484533,5.035984,2.5547006150000002,0.18988257286396446,2.4986415,2.5318975,2.55953975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000301,0.001043,0.00037417200000000004,8.243766381939752e-05,0.000331,0.000347,0.000391,1000,2.618591,5.026478,2.716706742,0.1929404108563197,2.6510455,2.68007,2.716417,1000,0.051657,0.100218,0.055390470000000004,0.007196587909217812,0.05256975,0.053209,0.054068,1000,0.04422,0.100804,0.046883839999999996,0.005899533654993418,0.04470875,0.044985,0.04567775,1000,0.689255,2.018133,0.723441204,0.09267667882855095,0.69809775,0.709213,0.7258955,1000,1.819572,2.87265,1.8827656910000001,0.11134184535655728,1.8357395,1.8642075,1.88464525,1000,0.001154,0.019902,0.0014515609999999999,0.0007336987067448054,0.001277,0.001342,0.00146525,1000,0.011903,0.054033,0.013272138000000001,0.003226310720460136,0.01223975,0.0124675,0.01279975,1000,2.644535,5.085851,2.743983511,0.1963777625226234,2.676264,2.705781,2.7432555,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.1,1.6599999999999997,2.7594202289611487,0.0,0.0,1.2,5
