SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.33145,0.451588,0.3487709843137255,0.015605225958989714,0.3377885,0.346218,0.3552745,255,11.840295,14.871842,12.36786231372549,0.32150563951442596,12.2299325,12.351823,12.565671,255,0.282542,0.383578,0.30119463137254904,0.01639089999913857,0.2875235,0.298482,0.30867,255,0.136617,0.210244,0.15334762352941175,0.01783899286085519,0.13883,0.140271,0.1713455,255,3.882456,4.331695,4.00407594117647,0.07991642042436334,3.936017,3.991151,4.061004,255,3.882456,4.331695,4.00407594117647,0.07991642042436334,3.936017,3.991151,4.061004,255,0.022733,0.034639,0.025428823529411764,0.002166589452372701,0.0236815,0.024317,0.027302,255,0.053649,0.079551,0.05703738039215686,0.0023787083033774254,0.055354,0.056541,0.058372,255,39.858643,57.186209,47.45380520392157,1.9811386775665698,47.594166,47.959273,48.268823,255,27.139994,43.110818,34.543395984313726,1.9593888022152874,34.997552,35.168074,35.251813,255,0.020666,0.052688,0.022497807843137256,0.003216348722426132,0.021407,0.022049,0.022512,255,21.813126,28.730695,22.042737898039213,0.6548305181304799,21.8918255,21.947359,22.022049,255,4.891445,13.918533,12.075183588235294,1.7906419599343144,12.6922825,12.787033,12.858225,255,0.383876,0.44584,0.40060280784313723,0.01253934200131015,0.391849,0.398672,0.405084,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.397633,35.902423,13.535288071225072,0.9593669918300542,13.2426945,13.373429,13.5526795,1755,12.078003,31.207561,13.188743920797721,0.8453230723279737,12.911631,13.032845,13.21057,1755,0.008242,3.4957,0.25548153713200383,0.23023615335027559,0.05142525,0.295432,0.41010925,10530,0.009404,2.634237,0.09989326163342829,0.0830117976822303,0.02607775,0.090191,0.159403,10530,0.082278,14.283736,1.896138148148148,1.9414633443508524,0.16596125,1.8808945,2.72752575,10530,0.082278,14.283736,1.896138148148148,1.9414633443508524,0.16596125,1.8808945,2.72752575,10530,0.092671,0.268061,0.10922459487179488,0.01550786801151763,0.099172,0.102177,0.1169905,1755,0.134934,0.316894,0.14789288319088317,0.015725512916180316,0.1391775,0.141277,0.1488395,1755,23.912122,64.099763,29.30333170997151,2.8839958843954863,27.389215,29.088133,30.999867,1755,10.239268,35.885044,15.175530098575498,2.522799421889948,13.400922,15.091965,16.859208,1755,0.075285,0.257407,0.08647245185185184,0.012207989581547828,0.0812445,0.082916,0.0857095,1755,9.293249,34.460107,14.336095425641027,2.433195634973991,12.6165125,14.267271,16.0183875,1755,0.103878,0.939261,0.26514485527065523,0.10621421982866294,0.2034785,0.240611,0.2899795,1755,0.409734,1.142893,0.48572936467236466,0.04117068747110803,0.461736,0.482689,0.502958,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034479,1.796457,0.101530608,0.1342419627740236,0.043313,0.082116,0.11265725,1000,0.196079,1.443214,0.228530889,0.08407911660110778,0.20250075,0.2080875,0.23488525,1000,0.002048,0.023089,0.002903921,0.0014284808771065154,0.002252,0.002404,0.003167,4000,0.004305,0.040088,0.00562725175,0.00236716092331551,0.004579,0.004769,0.006038,4000,0.015023,0.12292,0.018468429499999998,0.00702241319280842,0.015758,0.0166885,0.01883025,4000,0.015023,0.12292,0.018468429499999998,0.00702241319280842,0.015758,0.0166885,0.01883025,4000,0.020843,0.160884,0.024695824,0.010511540561260467,0.02132875,0.021625,0.025236,1000,0.025995,0.169258,0.029563086,0.010892287668557236,0.02651175,0.026878,0.02964925,1000,0.494593,4.626293,0.6324484570000001,0.29251372917234875,0.51463075,0.5622375,0.66524175,1000,0.091317,0.827693,0.11245358800000001,0.049134031637086906,0.095111,0.098887,0.118354,1000,0.025493,0.25621,0.031463067,0.014197361601245177,0.0267005,0.0275525,0.0325525,1000,0.041557,0.359916,0.051453051,0.023235267302452085,0.04282725,0.0447605,0.0542235,1000,0.006292,0.062593,0.008049256999999999,0.003574686570729104,0.006545,0.006713,0.00840275,1000,0.016616,0.161149,0.020894329000000003,0.009159555034976261,0.01764275,0.0182775,0.0215025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036624,1.716408,0.095476969,0.11929386175117326,0.04340675,0.0818505,0.1124505,1000,0.195461,0.35249,0.219041611,0.020781117121456173,0.2036905,0.209293,0.2340455,1000,0.00202,0.015707,0.0027700760000000002,0.0008670195719959268,0.00227875,0.00242,0.00310925,4000,0.004228,0.022275,0.005368286,0.0012533364425420656,0.00458275,0.0047845,0.00598125,4000,0.014978,0.053181,0.01770693475,0.0027150004986173457,0.01585325,0.0166235,0.01887825,4000,0.014978,0.053181,0.01770693475,0.0027150004986173457,0.01585325,0.0166235,0.01887825,4000,0.020719,0.053818,0.023429419000000003,0.0034726059041358262,0.021215,0.0214755,0.02533775,1000,0.02582,0.056882,0.027833446,0.002393845440516994,0.026345,0.0266775,0.02902925,1000,0.491631,2.439788,0.600160518,0.15317523473119823,0.5132285,0.558634,0.65920225,1000,0.091098,0.217826,0.105982447,0.016115001883189185,0.09432775,0.098074,0.11707275,1000,0.025419,0.064133,0.029514927,0.004823621009746828,0.0264145,0.0271565,0.03214825,1000,0.041292,0.129575,0.048514627,0.008875277551709072,0.04250725,0.044495,0.05290275,1000,0.006067,0.021201,0.007691358000000001,0.0018677922715966033,0.006415,0.0069745,0.0082395,1000,0.016852,0.059086,0.019700807,0.003288818147868775,0.0174745,0.018054,0.02138425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.023772,1.622549,0.0662413,0.1131181437934428,0.041858,0.053659,0.0663915,1000,0.194659,0.314956,0.204612347,0.013018514297207304,0.198322,0.2012995,0.20453875,1000,0.001999,0.021721,0.0025254445,0.0008896154500230704,0.002152,0.002245,0.00296025,4000,0.004185,0.025659,0.004992115,0.0010730060674455668,0.00443075,0.004545,0.00579,4000,0.014982,0.04625,0.0169169285,0.002174974066141422,0.01563975,0.016103,0.018347,4000,0.014982,0.04625,0.0169169285,0.002174974066141422,0.01563975,0.016103,0.018347,4000,0.020763,0.058618,0.021890174,0.0025162895083284836,0.02115925,0.0213375,0.02158825,1000,0.02585,0.061699,0.026872463,0.0024138742342199606,0.026238,0.0263775,0.02654725,1000,0.508483,2.349447,0.567564366,0.13574760803281968,0.5244595,0.5527915,0.5677715,1000,0.102669,0.254325,0.12667948299999998,0.017028286902143475,0.11505025,0.125271,0.13157375,1000,0.025571,0.060745,0.027331351,0.0032124287562215292,0.02623675,0.026607,0.026974,1000,0.046619,0.111256,0.050169241999999996,0.006787420428663308,0.047894,0.0483555,0.04924425,1000,0.00931,0.104889,0.029549290000000002,0.01069779416533614,0.02080375,0.0305415,0.03547475,1000,0.017255,0.054706,0.019047626,0.0029167675156110745,0.017872,0.0181565,0.01857325,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.032034,1.428439,0.079831692,0.09624914548363084,0.07087975,0.0720455,0.077027,1000,0.060458,0.138121,0.07907744800000001,0.008324894939595094,0.07812125,0.0791235,0.07987725,1000,0.003279,0.015841,0.004644140000000001,0.000951777694842656,0.004537,0.004599,0.00466,1000,0.006009,0.021737,0.007913055,0.001174644965074554,0.007778,0.0079165,0.008026,1000,0.018513,0.061345,0.024957473,0.0031595093269795867,0.02468775,0.0250105,0.02530925,1000,0.018513,0.061345,0.024957473,0.0031595093269795867,0.02468775,0.0250105,0.02530925,1000,0.006565,0.020395,0.009679690000000001,0.001382069907747072,0.009641,0.0097755,0.00995625,1000,0.010142,0.031161,0.012405754000000001,0.0014395719132728314,0.0122415,0.012355,0.01247425,1000,0.162007,1.695627,0.267521402,0.10601679508628997,0.2612665,0.264116,0.27079575,1000,0.013061,0.104315,0.039093481,0.009985043138696949,0.04001275,0.040547,0.04168375,1000,0.002217,0.009185,0.003240435,0.0006331822216194955,0.003106,0.003196,0.00329,1000,0.007251,0.054351,0.017413848000000003,0.004375175415785749,0.01739975,0.0175825,0.017989,1000,0.001914,0.065244,0.01647568,0.006069957081199174,0.017647,0.0179065,0.01816325,1000,0.000954,0.007212,0.00146401,0.0006340069147099265,0.001318,0.001363,0.00140725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036649,1.490967,0.093193245,0.096385737608699,0.07178975,0.0989925,0.1007825,1000,0.06007,0.142515,0.078273532,0.008520412389607443,0.077005,0.0779915,0.07895575,1000,0.003055,0.011986,0.004328884,0.0008092176916899433,0.00422675,0.004308,0.00438025,1000,0.005894,0.024775,0.007868940999999999,0.001394624445332506,0.007701,0.0078135,0.0079,1000,0.018195,0.065059,0.024902776999999997,0.0034149366423509237,0.024609,0.0248995,0.02515,1000,0.018195,0.065059,0.024902776999999997,0.0034149366423509237,0.024609,0.0248995,0.02515,1000,0.006676,0.035378,0.009695538,0.0016777863131388336,0.00965975,0.00979,0.00990625,1000,0.01027,0.039673,0.012442517,0.001802487923319044,0.01224675,0.0123405,0.01243525,1000,0.162123,1.76292,0.26983924699999995,0.10688193507291115,0.248071,0.2789255,0.283404,1000,0.012903,0.066879,0.029218922999999997,0.006725420551985653,0.02705775,0.0310635,0.03178525,1000,0.002171,0.013595,0.0032174250000000003,0.000915632951774345,0.003057,0.003119,0.00319,1000,0.0071,0.047275,0.016075621999999998,0.0038601346928722577,0.015654,0.016446,0.0167455,1000,0.001931,0.026028,0.007974297,0.0028502288979643372,0.0063865,0.0095705,0.0098985,1000,0.000935,0.014682,0.001457221,0.0007936655442684911,0.00126975,0.0013385,0.001407,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.006034,0.133468,0.007764013,0.008931303248173303,0.006398,0.0066255,0.00692825,1000,1.12013,1.365631,1.143280216,0.024737083886087786,1.1287155,1.135989,1.1434115,1000,0.067178,0.100942,0.068738449,0.003612616189328587,0.06770675,0.0679075,0.06819625,1000,0.037544,0.070821,0.038841879999999995,0.002764486861535066,0.038007,0.038289,0.03861,1000,0.015398,0.043936,0.016273921,0.0020926530201538424,0.01574175,0.015875,0.01603025,1000,0.990691,1.158183,1.011362398,0.021804571197104425,0.99914175,1.0043265,1.01122075,1000,0.002811,0.01729,0.003190085,0.0008668564747263529,0.002965,0.003021,0.00309125,1000,0.011189,0.032777,0.011690509,0.0012070433943810804,0.011415,0.01148,0.0115655,1000,1.155648,1.568485,1.181814872,0.030838012087383584,1.166179,1.173476,1.1818015,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000298,0.002853,0.000378315,9.232059236703368e-05,0.000347,0.000364,0.000392,1000,2.503654,4.980942,2.564013933,0.1847366627667895,2.5155055,2.541222,2.56303825,1000,0.052322,0.078299,0.054091133,0.00260587266099305,0.053047,0.0534985,0.054088,1000,0.044343,0.095655,0.046025206,0.003345037813174016,0.04475375,0.045048,0.04676025,1000,0.691633,2.120903,0.718770503,0.09646239723295284,0.69783175,0.70213,0.7294145,1000,1.69967,2.720023,1.736748885,0.10407050851781101,1.706329,1.711326,1.741406,1000,0.001195,0.012354,0.001438505,0.0005363768768086484,0.00133575,0.0014005,0.00145825,1000,0.012618,0.029867,0.013362209,0.0012741502247847387,0.01299175,0.013163,0.01335025,1000,2.528782,5.041557,2.5911276979999998,0.18713314559499816,2.541762,2.5671045,2.589766,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000322,0.000857,0.000375665,4.31389241289117e-05,0.000353,0.000365,0.00038725,1000,2.592136,4.887452,2.661164636,0.1795468839277683,2.6067295,2.631162,2.66420475,1000,0.051958,0.104706,0.053453457,0.0034093687732703543,0.052539,0.052754,0.0530535,1000,0.044367,0.083004,0.045805697,0.0032085786144632642,0.044836,0.0451335,0.045642,1000,0.691222,1.945565,0.715406094,0.08716916842297605,0.6974095,0.6996775,0.719392,1000,1.789506,2.816431,1.838060917,0.10771616008630326,1.8005135,1.806955,1.841622,1000,0.001278,0.010325,0.001459829,0.0003033605969123215,0.001393,0.001438,0.00148325,1000,0.012792,0.042535,0.013395006,0.0014017466589808588,0.0130735,0.013207,0.013367,1000,2.618497,4.946347,2.688306633,0.18178521506646328,2.633152,2.6569305,2.6914985,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
