SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341497,0.437028,0.3606873058823529,0.015420771763721456,0.3477125,0.357153,0.3687575,255,11.447472,13.202406,11.981987854901961,0.24444586241008523,11.8348,12.020992,12.127704,255,0.282921,0.464485,0.2952180588235294,0.01822060630253104,0.285739,0.287946,0.2964225,255,0.135781,0.204967,0.14205434509803921,0.010314427254233175,0.137334,0.13815,0.139368,255,3.582505,3.984166,3.688792329411765,0.07265679305170408,3.635681,3.667515,3.727682,255,3.582505,3.984166,3.688792329411765,0.07265679305170408,3.635681,3.667515,3.727682,255,0.022872,0.049469,0.024354623529411767,0.0028541226939967986,0.023556,0.023871,0.0241935,255,0.052271,0.097911,0.055314850980392155,0.005418656005978464,0.053821,0.054369,0.054887,255,39.73743,54.479617,48.944466399999996,3.363258150739851,47.4926525,47.824128,53.219449,255,27.263633,41.814845,36.42927670196079,3.354899331796648,35.1325835,35.310902,40.9263875,255,0.020715,0.050121,0.02263030980392157,0.0035837754506235623,0.021665,0.021965,0.0224185,255,21.77224,28.415148,23.854660705882353,2.8394489345496705,21.8755385,21.920895,27.8123635,255,4.855325,13.787991,12.126927984313724,1.795056148212378,12.7011905,12.848046,12.9627075,255,0.402963,0.516389,0.4222776941176471,0.017856402049612804,0.4104885,0.414774,0.4326765,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.988574,13.593144,9.343124658689458,0.255897038840439,9.154679,9.297083,9.4866125,1755,8.698594,13.236911,9.036329543589742,0.2530246899166599,8.8526325,8.987277,9.177296,1755,0.004972,0.59016,0.1750690014245014,0.17090426781924714,0.0297715,0.1541055,0.28020575,10530,0.006236,0.307553,0.07627498727445395,0.0730565624922763,0.01354175,0.0612715,0.10603575,10530,0.035274,5.460076,1.1595269520417855,1.1959910421567503,0.085709,0.8967395,1.7298855,10530,0.035274,5.460076,1.1595269520417855,1.1959910421567503,0.085709,0.8967395,1.7298855,10530,0.097325,0.205358,0.11068658974358975,0.011674194360329272,0.102939,0.10626,0.118796,1755,0.132574,0.229502,0.1432933606837607,0.010279532891953061,0.137224,0.139716,0.146874,1755,24.163615,43.922988,30.874817342450143,3.65825868649725,28.4245035,30.39199,32.7963815,1755,14.533257,31.024774,21.021120145868945,3.6494711637128505,18.615948,20.528796,22.907686,1755,0.071713,0.158442,0.08119895156695157,0.007487592995066071,0.077503,0.080201,0.0823165,1755,13.706841,30.164859,20.19629056068376,3.5627041674696573,17.8435475,19.71516,22.0734475,1755,0.100242,0.636601,0.25263568945868947,0.10138291170958375,0.195627,0.226969,0.280016,1755,0.43038,0.665778,0.4887760871794872,0.02687918206310552,0.4711525,0.484308,0.5022,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033905,1.833501,0.10938719599999999,0.12304353942532531,0.05403575,0.0944765,0.126431,1000,0.125453,0.264266,0.145812996,0.018093159256746292,0.132479,0.137703,0.15772325,1000,0.001917,0.032747,0.0026728495,0.001355969214012527,0.00211,0.002238,0.003002,4000,0.004073,0.026307,0.00521021675,0.0017086363995213955,0.004365,0.00454,0.005729,4000,0.000355,0.020588,0.00073175325,0.0007688614445167853,0.000456,0.000505,0.000911,4000,0.000355,0.020588,0.00073175325,0.0007688614445167853,0.000456,0.000505,0.000911,4000,0.020044,0.058106,0.023175117,0.004421245814395644,0.020585,0.0210685,0.024715,1000,0.02746,0.068684,0.030535092,0.004867126230491253,0.02820075,0.0286425,0.03170125,1000,0.419803,2.506538,0.5283440620000001,0.15217370712444434,0.45632325,0.489036,0.5820635,1000,0.08527,0.201907,0.100699576,0.017274769874942586,0.08772275,0.0917055,0.11110975,1000,0.024998,0.070983,0.029479,0.00598471155311599,0.02598725,0.0266085,0.0318175,1000,0.037449,0.108605,0.04465786,0.008900355809426946,0.0385285,0.040872,0.04986025,1000,0.005295,0.020896,0.006457055999999999,0.0016586031251821516,0.005476,0.0056155,0.007,1000,0.016025,0.104264,0.019549568,0.006068388064006455,0.01665225,0.017385,0.02074125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.039408,1.734045,0.108635455,0.12072729901437361,0.053082,0.095197,0.1260125,1000,0.126843,0.273318,0.14490946700000001,0.01754210491517227,0.13182875,0.1377305,0.15616,1000,0.001919,0.01767,0.0026312600000000003,0.0009816850441460336,0.002139,0.002251,0.003037,4000,0.004081,0.086803,0.00528812525,0.0020572687404815243,0.004375,0.004546,0.005779,4000,0.00034,0.018812,0.0007256455,0.0008494342139505273,0.00045,0.000496,0.00088,4000,0.00034,0.018812,0.0007256455,0.0008494342139505273,0.00045,0.000496,0.00088,4000,0.019993,0.060814,0.023142758000000003,0.004493836214798666,0.020578,0.020906,0.02472725,1000,0.02762,0.09258,0.030662585,0.005344972604305377,0.0281485,0.0286245,0.03180525,1000,0.422208,2.362384,0.5277621800000001,0.14898652309715668,0.4544825,0.4880855,0.58075225,1000,0.085671,0.186433,0.100825517,0.016364662388626015,0.08827875,0.0924355,0.111259,1000,0.025059,0.063897,0.029203920999999997,0.005330107820181408,0.0258925,0.0266135,0.0314555,1000,0.037936,0.091176,0.04499503,0.008847573698314133,0.03877275,0.041495,0.050127,1000,0.005304,0.028429,0.0067253519999999995,0.001994631105266335,0.005599,0.0060365,0.00709625,1000,0.016205,0.052242,0.019373045,0.003927777964317102,0.016816,0.0174815,0.0208005,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034841,1.637966,0.07965219,0.11476461343853296,0.0531465,0.0675325,0.07989625,1000,0.129103,0.260954,0.14031753700000002,0.01340192558555042,0.13317725,0.1364515,0.14106,1000,0.001962,0.024501,0.002559863,0.0011009514175162316,0.002148,0.00226,0.00296025,4000,0.00411,0.027353,0.00505902025,0.0015643496769712126,0.004396,0.00454,0.005743,4000,0.000365,0.017332,0.000745902,0.000827501234377327,0.000463,0.000514,0.000941,4000,0.000365,0.017332,0.000745902,0.000827501234377327,0.000463,0.000514,0.000941,4000,0.020252,0.047233,0.021715474,0.0030473081572633906,0.020821,0.020973,0.021179,1000,0.027761,0.064521,0.029415448,0.0036145125996869896,0.028373,0.0285995,0.02885425,1000,0.44401,2.291275,0.505241366,0.13514944295347298,0.4668125,0.4889515,0.50643575,1000,0.098283,0.227275,0.121426713,0.015959609883472434,0.11013025,0.119615,0.12633125,1000,0.025328,0.057365,0.027482673,0.004152568940074445,0.02603075,0.0263375,0.0267715,1000,0.042697,0.121625,0.046793243000000005,0.007565362884088971,0.04396825,0.0443175,0.0452885,1000,0.008819,0.07171,0.027997324,0.01004275262351035,0.01951825,0.0291195,0.033575,1000,0.016639,0.048673,0.018593095,0.0033381411249339054,0.01714475,0.01735,0.01806,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040101,1.568081,0.08358644400000001,0.09773132040832594,0.0752655,0.0759715,0.077776,1000,0.040615,0.152699,0.054240739999999996,0.009773891808711615,0.05164625,0.052297,0.053121,1000,0.002873,0.02191,0.004310646,0.001608985116986481,0.004113,0.00419,0.00426125,1000,0.005736,0.034933,0.007934947,0.0024452580678102263,0.00753175,0.0076805,0.007768,1000,0.000731,0.02006,0.001078039,0.001005073775142402,0.00094275,0.000974,0.001003,1000,0.000731,0.02006,0.001078039,0.001005073775142402,0.00094275,0.000974,0.001003,1000,0.005995,0.029605,0.009674993,0.0024725792235944636,0.00924675,0.0095225,0.00968025,1000,0.011065,0.043939,0.014477735,0.00336526712651091,0.013768,0.013946,0.01414925,1000,0.142037,1.802653,0.245487775,0.10799539594823648,0.233961,0.237051,0.25465425,1000,0.012049,0.141917,0.037883981,0.011308701507186356,0.03774875,0.0382185,0.04079025,1000,0.002036,0.017633,0.003091,0.0011960178117402767,0.002926,0.0029835,0.003046,1000,0.006832,0.109844,0.016245727999999997,0.005296884447485711,0.0158775,0.016056,0.01625275,1000,0.001536,0.091467,0.016276831,0.0070494965834759435,0.01707075,0.0172615,0.0174855,1000,0.00098,0.015247,0.001440473,0.0009859707568031619,0.00127575,0.001316,0.001362,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040012,1.464325,0.098418614,0.09759255563653922,0.07549325,0.10322,0.10500725,1000,0.040451,0.106522,0.053228278,0.008260657282608693,0.051164,0.051686,0.05237,1000,0.002861,0.0237,0.004181562,0.0013062105780294385,0.004047,0.004128,0.004209,1000,0.005753,0.025423,0.007689513,0.0020276202434950682,0.007409,0.007491,0.007579,1000,0.000721,0.015188,0.001027461,0.0005797204347605836,0.000943,0.000975,0.001005,1000,0.000721,0.015188,0.001027461,0.0005797204347605836,0.000943,0.000975,0.001005,1000,0.00602,0.039625,0.009712724,0.002854954693480091,0.0092815,0.009453,0.00961925,1000,0.011062,0.044172,0.014284529,0.0031329810709863856,0.013683,0.013861,0.0140085,1000,0.142613,1.698188,0.247949292,0.10704600748517779,0.22166275,0.2522515,0.2565055,1000,0.012037,0.092284,0.027828276000000002,0.00758718197658551,0.02491975,0.028766,0.02938325,1000,0.001909,0.017202,0.0030628229999999997,0.0011781014369191645,0.00290075,0.002974,0.003051,1000,0.006817,0.070083,0.015093183000000001,0.004639715238191995,0.0142025,0.014941,0.0152755,1000,0.001571,0.033763,0.007475552,0.003147178218229149,0.00588125,0.0089605,0.009188,1000,0.001008,0.022124,0.00142299,0.0010490478320362708,0.001241,0.0013075,0.001355,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008324,0.146336,0.010181401,0.008948221815768705,0.008813,0.008947,0.0093185,1000,1.096201,1.292624,1.1341957900000001,0.03667501959513997,1.10327675,1.1282465,1.14326,1000,0.066952,0.134665,0.069425994,0.0060814888829927175,0.067438,0.067678,0.068312,1000,0.037143,0.072156,0.038716216,0.004145350842732615,0.037428,0.0376225,0.03795,1000,0.000635,0.003674,0.000900009,0.0004837317220515934,0.000766,0.000803,0.000847,1000,0.982399,1.166708,1.017299747,0.033699057259113215,0.98875925,1.012312,1.02677875,1000,0.002731,0.020188,0.0030861779999999998,0.0011579091502859798,0.002882,0.002944,0.003019,1000,0.008392,0.042448,0.009025257,0.0018695216781174269,0.008656,0.0087355,0.008843,1000,1.128951,1.469705,1.170638031,0.040602442827593996,1.13850625,1.1639735,1.1798055,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000272,0.000853,0.000325752,4.188408404155449e-05,0.000307,0.000321,0.000335,1000,2.511504,5.196528,2.608488181,0.19992582654856836,2.56273925,2.5811755,2.60436125,1000,0.051571,0.103044,0.05455317,0.0061741156230750984,0.05190975,0.052498,0.0543365,1000,0.043805,0.083414,0.047103594,0.006429039371878508,0.0443125,0.0447265,0.0472995,1000,0.688495,2.155779,0.7195961439999999,0.1000838469960426,0.6949465,0.71476,0.7248635,1000,1.711972,2.867709,1.7798012890000001,0.11478971028053639,1.7442285,1.7626675,1.7807295,1000,0.001216,0.018933,0.0014043060000000001,0.0008652467418973619,0.001294,0.001321,0.001357,1000,0.005821,0.042408,0.006517517,0.0015187616816706303,0.00616175,0.006326,0.00653725,1000,2.527405,5.248537,2.62661822,0.202366339015187,2.57998725,2.5995895,2.622921,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000285,0.010562,0.000353019,0.00044499661194103487,0.000313,0.000326,0.000343,1000,2.610586,5.05001,2.691685296,0.1860969948865709,2.638393,2.674739,2.69688975,1000,0.050708,0.106076,0.053374281,0.00509300975986096,0.0519575,0.0521995,0.05254425,1000,0.042898,0.086416,0.0456245,0.0047205099879144416,0.04431675,0.044579,0.04491325,1000,0.689132,1.993879,0.717299052,0.08940405600769628,0.69492425,0.7058965,0.72592075,1000,1.810243,2.943086,1.867876399,0.11153001100775432,1.8227035,1.850702,1.875026,1000,0.001204,0.010399,0.001365396,0.0004248096246367306,0.001288,0.001323,0.001364,1000,0.005927,0.036251,0.006587799,0.0017686714122750443,0.00621375,0.00634,0.00652325,1000,2.628163,5.107643,2.709808652,0.18888102890285963,2.65583725,2.6930585,2.71426075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSparseLU,0.000302,0.011622,0.000459079,0.00037488119285848415,0.000374,0.000451,0.00049,1000,3.359051,6.149283,3.467286652,0.20318922000913558,3.4198165,3.440338,3.46852975,1000,0.052524,0.094288,0.056749321000000005,0.006752124290766499,0.0541405,0.0549345,0.055855,1000,0.04352,0.082124,0.046574581,0.0053315102824095725,0.04509975,0.0454025,0.04577625,1000,0.693149,2.104489,0.725195083,0.09170371161873497,0.70229175,0.7195575,0.73203725,1000,2.546378,3.891622,2.628639419,0.12439523923108729,2.591048,2.610224,2.63151375,1000,0.001349,0.012882,0.0016609770000000001,0.0005117159920023996,0.001513,0.001598,0.00172925,1000,0.006678,0.029124,0.00794216,0.0016500618316899521,0.00742175,0.0076675,0.00799075,1000,3.377811,6.234729,3.4890148190000003,0.20619002213457913,3.4411435,3.462702,3.48994175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseQR,0.000316,0.010117,0.000442187,0.00033902312905021684,0.000378,0.000422,0.00046,1000,10.980109,14.75055,11.209242683,0.2852279916086086,11.074195,11.179362,11.2880515,1000,0.054268,0.102035,0.058933127,0.005758874594126095,0.056526,0.0575235,0.05951125,1000,0.045079,0.101138,0.04776352,0.005267071243641955,0.0460265,0.0464835,0.04730125,1000,0.694855,2.06214,0.73058825,0.09310162746516036,0.70344325,0.708046,0.7424335,1000,10.158448,12.54189,10.361794977,0.20537835516187794,10.2417785,10.3280035,10.43792525,1000,0.001493,0.012882,0.001862621,0.00042068623623669934,0.001714,0.001826,0.00193425,1000,0.0072,0.025958,0.008591769,0.0015097444120244327,0.00804175,0.0083495,0.00871225,1000,11.002757,14.810419,11.233184994999998,0.2878115087963804,11.096552,11.201447,11.31286125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_PrecomputedLinearSolver,0.000279,0.009474,0.000463629,0.00030097386158768006,0.000382,0.00044,0.000501,1000,0.740682,108.183251,1.322124024,7.477599331604948,0.7603385,0.789858,0.813359,1000,0.053622,0.119854,0.058180217,0.006779549896852371,0.0550905,0.0560695,0.05849875,1000,0.043555,0.088213,0.04680597,0.006182503988280153,0.044269,0.044664,0.04730725,1000,0.000118,107.278935,0.530018342,7.471466289669803,0.00017975,0.0002075,0.000244,1000,0.634237,0.827203,0.6785666360000001,0.03399411365415348,0.643424,0.679121,0.698686,1000,0.001269,0.018917,0.00170319,0.0009523881970604215,0.00150375,0.001601,0.001709,1000,0.006748,0.022522,0.008090415,0.0012864617276759538,0.007587,0.007877,0.008211,1000,0.759316,108.249624,1.344430003,7.480559005889642,0.78438825,0.8112545,0.835809,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_SparseLDLSolver,0.000253,0.003057,0.000324181,0.00010160049330096779,0.00029,0.000309,0.00034125,1000,0.072062,4.702645,1.2835804199999998,1.2152299181853266,0.072369,1.268411,2.4735955,2000,0.051448,0.101607,0.053793584000000005,0.005939785702779521,0.05181425,0.052301,0.0527565,1000,0.043848,0.086505,0.045693961000000005,0.004813777525341092,0.04429275,0.044473,0.04470025,1000,0.688323,2.009599,0.718346138,0.0905981367765748,0.694899,0.7063925,0.72533575,1000,1.614663,2.548943,1.667757061,0.08541253308034648,1.640937,1.65184,1.67900125,1000,0.001169,0.002603,0.001331448,0.00012876175401104164,0.001262,0.001299,0.00135925,1000,0.005732,0.023762,0.0064702579999999996,0.0013399279157611428,0.006036,0.006209,0.00656125,1000,2.428765,4.752404,2.51098885,0.16870929772256033,2.4657805,2.491356,2.51878325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
