SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.33865,0.442918,0.3550820274509804,0.01398160092895307,0.346461,0.350615,0.356564,255,11.759352,12.920487,12.208893400000001,0.21866526395712693,12.08642,12.225067,12.34852,255,0.280095,0.361348,0.2908196039215686,0.014286446639123868,0.2826585,0.284592,0.2923945,255,0.135873,0.183494,0.14150074901960785,0.00848123970311621,0.1376275,0.138599,0.140133,255,3.57617,3.919472,3.6524656039215686,0.05688015452617506,3.6028475,3.644725,3.6818805,255,3.57617,3.919472,3.6524656039215686,0.05688015452617506,3.6028475,3.644725,3.6818805,255,0.022451,0.034,0.024094223529411762,0.0014520873390504719,0.0234025,0.023796,0.0243165,255,0.046958,0.095552,0.049729729411764706,0.004573337297058282,0.048377,0.04885,0.049319,255,39.981811,54.66971,48.51083142352941,2.5143380577881684,47.761586,48.320914,49.277707,255,27.219356,41.962867,35.780452490196076,2.501845059743733,35.1310835,35.501816,36.570186,255,0.020639,0.035988,0.022243101960784314,0.0017500944079285614,0.021569,0.02186,0.0223285,255,21.763487,28.429604,22.703544466666663,1.998764461368723,21.8689585,21.905492,21.955685,255,4.911844,14.785124,12.632377705882353,1.9813902376685932,12.7773795,12.943878,14.1450905,255,0.398443,0.503289,0.4193277137254902,0.017929693265543566,0.407758,0.412464,0.424211,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.965024,13.254505,9.298634236467237,0.27455893394319003,9.115649,9.208298,9.416961,1755,8.686229,12.947407,8.991068182336184,0.27093381006597095,8.8109705,8.90052,9.104748,1755,0.004758,0.614413,0.17614442412155745,0.17193828265834749,0.02947025,0.117083,0.2829685,10530,0.00633,0.305282,0.07812831737891737,0.07464130278734266,0.01498475,0.062118,0.1076355,10530,0.03548,5.529795,1.1621893440645774,1.1947752867498205,0.087134,0.9158735,1.747345,10530,0.03548,5.529795,1.1621893440645774,1.1947752867498205,0.087134,0.9158735,1.747345,10530,0.098039,0.192608,0.11324699259259259,0.01310195072718162,0.1039885,0.108153,0.1203975,1755,0.118221,0.227608,0.13048276296296296,0.01123321523302428,0.123962,0.126823,0.1330355,1755,24.038715,45.962603,30.745794882621084,3.683255071199902,28.3461025,30.273974,32.533584,1755,14.381366,36.079177,20.943907462678062,3.663641760650926,18.556317,20.443782,22.750954,1755,0.073247,0.163113,0.08295104444444444,0.008543991297616776,0.0789525,0.080914,0.083951,1755,13.592233,34.924383,20.1095479988604,3.574845668416963,17.771816,19.610151,21.90837,1755,0.100889,0.632898,0.2555691242165242,0.10273885734845713,0.197873,0.230587,0.2810425,1755,0.433188,0.641766,0.49360992478632476,0.02992488919258758,0.474087,0.487308,0.509283,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.034008,1.824298,0.107796868,0.12538523429690027,0.05412825,0.0928855,0.123499,1000,0.124931,0.290812,0.142078644,0.017629328778069345,0.12919825,0.133738,0.15394675,1000,0.001821,0.027713,0.00258834775,0.0011405081441269666,0.00202875,0.0021405,0.00301525,4000,0.004041,0.029234,0.00514863875,0.0015303176470094168,0.00431075,0.004481,0.005722,4000,0.000347,0.153539,0.000773695,0.0025148868531158614,0.000456,0.000512,0.00093,4000,0.000347,0.153539,0.000773695,0.0025148868531158614,0.000456,0.000512,0.00093,4000,0.020012,0.065562,0.022867191999999998,0.004203033218895135,0.02041875,0.0207015,0.02453375,1000,0.024939,0.056344,0.027461794999999997,0.0028663296476460973,0.025739,0.0261655,0.0287935,1000,0.416739,2.457132,0.521352782,0.1559094705730299,0.44905625,0.482996,0.57578625,1000,0.086818,0.215065,0.102562234,0.016839268171664826,0.08992,0.0941785,0.11287625,1000,0.024906,0.075258,0.029389560000000002,0.005541910858034438,0.02608875,0.0268795,0.0316465,1000,0.039299,0.126583,0.046817781,0.009482937031692186,0.040345,0.04303,0.0523455,1000,0.005296,0.032521,0.006583281,0.0021026397618324924,0.00550675,0.005642,0.0070005,1000,0.015918,0.059225,0.019194517,0.004205326953247631,0.0166455,0.017377,0.02056475,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.040452,1.738212,0.109166259,0.12125725083012528,0.0567605,0.095169,0.12654075,1000,0.126647,0.27197,0.144495526,0.01758372982632877,0.13140725,0.136642,0.15531075,1000,0.001875,0.022816,0.00258140775,0.0010042130961553616,0.002068,0.0021875,0.003028,4000,0.004064,0.024808,0.0052876285,0.001594917642540752,0.004409,0.004608,0.00577025,4000,0.000363,0.018153,0.0007386609999999999,0.0007209356643133976,0.000475,0.000529,0.0008665,4000,0.000363,0.018153,0.0007386609999999999,0.0007209356643133976,0.000475,0.000529,0.0008665,4000,0.020046,0.058211,0.022952942,0.0037866360097896924,0.0206455,0.0209825,0.02473,1000,0.025192,0.061491,0.027916483,0.004021712425536042,0.025892,0.0262955,0.0291995,1000,0.425608,2.379712,0.5273301,0.15231066439606913,0.4533995,0.4868225,0.5811045,1000,0.087441,0.212689,0.103345801,0.016542949739553673,0.09075075,0.095538,0.11444875,1000,0.025033,0.068628,0.029603034,0.005358441868196762,0.026243,0.027215,0.0319635,1000,0.039321,0.128408,0.047026271999999994,0.009055286470455587,0.04060325,0.043541,0.052745,1000,0.005249,0.028327,0.006761906,0.0020793355403022377,0.00558275,0.0060315,0.00714825,1000,0.015955,0.050265,0.019404039,0.004188569784243662,0.0168365,0.017436,0.0208285,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.046581,1.818511,0.080277318,0.12281756071267201,0.0529095,0.067453,0.079762,1000,0.126144,0.263715,0.137645179,0.014095680044572486,0.1305395,0.133087,0.13707925,1000,0.001876,0.038111,0.0024816102500000003,0.001171261273518824,0.002061,0.0021365,0.002969,4000,0.00408,0.027062,0.0050159027500000005,0.0015179871663793597,0.004366,0.004509,0.0057405,4000,0.000355,0.023763,0.00075418125,0.0008612967705143434,0.000476,0.000538,0.000919,4000,0.000355,0.023763,0.00075418125,0.0008612967705143434,0.000476,0.000538,0.000919,4000,0.020157,0.055297,0.021760138,0.003813398447442386,0.02062375,0.0207875,0.02100525,1000,0.025347,0.064138,0.026936777,0.0039889344227839844,0.02584875,0.0260255,0.026234,1000,0.440874,2.474307,0.502552543,0.1451973242134515,0.4599065,0.485373,0.506275,1000,0.099581,0.216233,0.123266371,0.01698365589675436,0.11095125,0.121171,0.128466,1000,0.025273,0.061722,0.027530399,0.004598360771601006,0.025969,0.0262685,0.026653,1000,0.044816,0.11733,0.048831349,0.008216082751968787,0.0456745,0.0461395,0.0470455,1000,0.009031,0.084493,0.028020691,0.010022900793359126,0.01956925,0.0293305,0.033791,1000,0.016354,0.054439,0.018334969,0.0033269589763083945,0.016955,0.0171555,0.017646,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.030263,1.575562,0.08318956699999999,0.10001795985905486,0.0745865,0.075264,0.0767495,1000,0.040381,0.151732,0.05356507,0.00894134708335942,0.05112475,0.0516505,0.05255725,1000,0.002865,0.024711,0.0042192539999999995,0.001606711738764611,0.00403,0.004098,0.004159,1000,0.005662,0.029764,0.0076205069999999995,0.0018637249196034806,0.00733275,0.007469,0.007575,1000,0.00074,0.015057,0.001093189,0.0008779398995825398,0.000954,0.000992,0.001025,1000,0.00074,0.015057,0.001093189,0.0008779398995825398,0.000954,0.000992,0.001025,1000,0.00596,0.037672,0.009608492,0.002657865460841839,0.009217,0.009431,0.0096055,1000,0.009843,0.045851,0.012636129000000001,0.002667883396319824,0.01220175,0.012324,0.012444,1000,0.139413,1.810197,0.242442491,0.11011361141925152,0.23125475,0.2341815,0.2493485,1000,0.011904,0.164695,0.038420394000000004,0.01149103266894512,0.0385085,0.038853,0.04146475,1000,0.001958,0.029214,0.0030768139999999998,0.0013097872122615948,0.002907,0.002999,0.003078,1000,0.006811,0.050752,0.016907733,0.004830248126308937,0.0166435,0.0167655,0.016958,1000,0.001597,0.055204,0.016080572,0.006388089385787899,0.01703475,0.0172225,0.017356,1000,0.000908,0.018609,0.001440989,0.0009387136511625897,0.001255,0.0013295,0.001381,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039579,1.667035,0.098588202,0.10186001466266927,0.07521325,0.102994,0.10476075,1000,0.039944,0.112461,0.05342567,0.009049972908197017,0.05099125,0.051448,0.05239475,1000,0.002802,0.018827,0.004202375,0.001502567724388821,0.004008,0.004069,0.004131,1000,0.005724,0.024683,0.0076857290000000005,0.002087534100214653,0.007348,0.007428,0.007517,1000,0.000763,0.013808,0.001072605,0.0008423831165063792,0.00093675,0.000967,0.001,1000,0.000763,0.013808,0.001072605,0.0008423831165063792,0.00093675,0.000967,0.001,1000,0.006012,0.038046,0.009603924000000002,0.003110041286900224,0.009133,0.009272,0.009411,1000,0.00994,0.034285,0.012627299000000002,0.002492492880551317,0.012147,0.0122955,0.01245025,1000,0.140303,1.898437,0.24740756,0.11159501942259072,0.22000125,0.2507205,0.25537225,1000,0.011993,0.079008,0.028424493999999998,0.007464434248753485,0.025642,0.02947,0.0300635,1000,0.002013,0.018337,0.00305135,0.0011167790352169045,0.002892,0.002965,0.00304425,1000,0.00679,0.053262,0.01571013,0.004443235366835747,0.015062,0.015746,0.0160215,1000,0.001563,0.038323,0.007521001,0.0033980784506834156,0.005844,0.0088535,0.00915925,1000,0.000968,0.017461,0.0013781449999999999,0.0009832359767497321,0.001181,0.0012485,0.001313,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008372,0.159055,0.010256687,0.00990109421857155,0.008718,0.0088595,0.0092155,1000,1.100038,1.255602,1.136542292,0.026730776132853604,1.11859,1.134181,1.14783675,1000,0.066751,0.112168,0.069582669,0.006363843907532538,0.067001,0.0672385,0.06998025,1000,0.037421,0.079086,0.038837728,0.004736947147268586,0.03769875,0.0377965,0.03792,1000,0.000684,0.013224,0.000968013,0.0008818582203682176,0.000789,0.000823,0.00085925,1000,0.984855,1.134411,1.019374455,0.023661665833114437,1.00223825,1.0183195,1.0302415,1000,0.002732,0.02118,0.003086328,0.0013034648190173757,0.002878,0.002928,0.00299,1000,0.008105,0.025806,0.008645635,0.001547782507258368,0.00831,0.008395,0.008514,1000,1.132982,1.455377,1.172706669,0.0330130060454276,1.153021,1.169107,1.1834265,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.010741,0.000359169,0.00034034099435566086,0.000327,0.000339,0.000354,1000,2.499035,5.139866,2.5551911150000004,0.20226862907782261,2.51042275,2.5167875,2.54594925,1000,0.05181,0.140291,0.053589531,0.004827541048923251,0.05221475,0.052485,0.05311,1000,0.043819,0.108158,0.045394815000000005,0.00429528697955969,0.044298,0.044625,0.04508825,1000,0.687973,2.173103,0.707256973,0.10109650398128647,0.69339525,0.695395,0.6981625,1000,1.70269,2.875896,1.7415657109999998,0.11605022544676714,1.71061525,1.7148745,1.73757125,1000,0.001132,0.01374,0.0013576089999999999,0.0007637172134494546,0.001245,0.001278,0.001321,1000,0.005968,0.017176,0.006474616,0.0005889228409087222,0.00623775,0.006372,0.006543,1000,2.51523,5.193332,2.572993334,0.20488113298488578,2.52749625,2.5345815,2.562841,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000291,0.000836,0.000370207,5.937385073414053e-05,0.000335,0.000354,0.000388,1000,2.61,5.104492,2.6867491919999997,0.1929536111066728,2.62813125,2.659921,2.69168275,1000,0.051792,0.11774,0.053876355,0.005258543367604284,0.05245975,0.0527225,0.0530895,1000,0.043988,0.088634,0.045615523,0.004380737378737854,0.044478,0.0446925,0.044942,1000,0.687851,2.063309,0.711625778,0.09199636821204801,0.6933125,0.6960165,0.7174595,1000,1.8142,2.932537,1.8680770930000001,0.11580513167002728,1.82666225,1.84491,1.87559725,1000,0.001152,0.014073,0.001359023,0.0005861626808924295,0.00124475,0.001302,0.0013755,1000,0.005992,0.019344,0.006649613,0.0011055914440836635,0.00628,0.0064315,0.00669425,1000,2.627064,5.155313,2.704936462,0.1954580058615675,2.6457295,2.6777785,2.709967,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
