SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328058,0.409771,0.3454242274509804,0.014036404873044622,0.335165,0.342487,0.3486305,255,11.885169,15.118978,12.39582517647059,0.31921546734068756,12.2473925,12.378204,12.5410025,255,0.286716,0.421062,0.3006170431372549,0.01598851235038868,0.2897515,0.29817,0.305902,255,0.136186,0.242411,0.15326881176470586,0.018802806680664717,0.1378345,0.139327,0.1697415,255,3.911766,4.583087,4.003516243137255,0.07464877300156328,3.9537335,3.989137,4.044125,255,3.911766,4.583087,4.003516243137255,0.07464877300156328,3.9537335,3.989137,4.044125,255,0.025866,0.046357,0.028516976470588234,0.0024354362300866993,0.0268985,0.027482,0.02993,255,0.05274,0.087615,0.05589801176470588,0.0030409648861960373,0.0544925,0.055197,0.056684,255,40.179604,58.470461,47.540766756862745,2.101939836275066,47.5786105,47.971074,48.3327145,255,27.240072,42.655626,34.59902376470588,2.0254502152570697,35.020586,35.119711,35.3256875,255,0.020716,0.033918,0.02245281568627451,0.0015882175905863967,0.0217645,0.022131,0.0227185,255,21.796375,28.563318,22.08487225490196,0.823593981552662,21.8780695,21.936001,22.069143,255,4.87217,13.669097,12.073846592156864,1.7811359414055452,12.7016205,12.787815,12.842445,255,0.397058,0.539209,0.4158743372549019,0.014883587155773774,0.408196,0.412382,0.418552,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.833677,18.795631,13.14935904957265,0.4662442278285476,12.8918865,13.013624,13.210642,1755,11.480869,18.463793,12.815400249002849,0.4569277012758608,12.563343,12.684595,12.877607,1755,0.008209,0.791884,0.25328181054131055,0.22480089605757111,0.05117175,0.245118,0.40747175,10530,0.009914,0.396564,0.09871092307692307,0.07786537365348196,0.0265535,0.11211,0.15649475,10530,0.074273,8.607814,1.8473760822412155,1.8856406633287528,0.165201,1.0909805,2.6564575,10530,0.074273,8.607814,1.8473760822412155,1.8856406633287528,0.165201,1.0909805,2.6564575,10530,0.093357,0.304128,0.10624291794871794,0.014777666280490336,0.09816,0.100358,0.110163,1755,0.130508,0.211908,0.14254886153846152,0.013649464578529941,0.1347215,0.136447,0.143882,1755,23.639563,42.058644,28.80059771282051,2.5132587000881976,27.00061,28.690237,30.5116675,1755,10.247714,26.438568,15.073418406267807,2.4067909984852704,13.3501555,14.917369,16.7613285,1755,0.073371,0.18698,0.08444191965811966,0.010603475225936515,0.0796605,0.081763,0.083642,1755,9.406596,25.418689,14.215289492307694,2.319371742952662,12.559442,14.074795,15.8686835,1755,0.104296,0.761142,0.2629161316239316,0.10769790584213838,0.201132,0.239372,0.288324,1755,0.435706,1.699713,0.5086002683760684,0.04322065781814083,0.4852835,0.50647,0.5281585,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.03803,1.693807,0.093809722,0.1180577838289823,0.04296475,0.0809295,0.10869225,1000,0.192656,0.382935,0.21422876300000002,0.022278806691805354,0.19864125,0.203667,0.229819,1000,0.002069,0.023046,0.00273962125,0.0008565602487848928,0.002247,0.0023725,0.003097,4000,0.00425,0.022625,0.00532817475,0.0012472894262008467,0.004541,0.004719,0.005976,4000,0.014744,0.044304,0.01741994725,0.002619619909255432,0.0155265,0.0163555,0.01863825,4000,0.014744,0.044304,0.01741994725,0.002619619909255432,0.0155265,0.0163555,0.01863825,4000,0.020446,0.058232,0.02323304,0.0035505428236257057,0.02108975,0.0213885,0.02500575,1000,0.02565,0.066544,0.028094387,0.003671401716951034,0.02619675,0.026587,0.02951025,1000,0.485618,2.410313,0.591180868,0.15181366465846402,0.50474775,0.55302,0.6534655,1000,0.08992,0.200276,0.104738864,0.016115092108315857,0.093466,0.0971,0.115431,1000,0.02506,0.066053,0.029228613,0.004639416090116406,0.02628125,0.027013,0.03162375,1000,0.040788,0.11618,0.047788814,0.008739123477752447,0.04204775,0.04319,0.0527545,1000,0.006294,0.018218,0.007620345000000001,0.0017292212836924603,0.006547,0.006693,0.0081695,1000,0.016677,0.098808,0.019574508999999997,0.0038821758406747888,0.01744525,0.018055,0.02117375,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.023643,1.77098,0.094705918,0.12318165117745124,0.04316225,0.081531,0.110459,1000,0.193685,0.327841,0.215506109,0.01986575653080242,0.200331,0.2059525,0.23052775,1000,0.002067,0.019573,0.0027142635,0.0007580654329065204,0.002246,0.002361,0.00307025,4000,0.004266,0.020118,0.00530583975,0.0012134638758817412,0.004513,0.004686,0.00596125,4000,0.01476,0.045756,0.017624929499999997,0.0026315914857799926,0.01576375,0.0164355,0.018891,4000,0.01476,0.045756,0.017624929499999997,0.0026315914857799926,0.01576375,0.0164355,0.018891,4000,0.020715,0.056055,0.023288622,0.0032324496437092414,0.021152,0.0214125,0.025209,1000,0.025719,0.06065,0.028044017,0.002842981396828161,0.02627675,0.0266615,0.0295995,1000,0.489177,2.505021,0.595486084,0.1567630843840888,0.50799,0.5561115,0.65463775,1000,0.090549,0.280205,0.105979376,0.016738523201723147,0.09423075,0.0976205,0.11686875,1000,0.024964,0.074625,0.029548375,0.005079728639639621,0.0263655,0.027268,0.03196125,1000,0.041031,0.191284,0.048503835,0.009928446289111657,0.042247,0.044267,0.0541705,1000,0.006151,0.025083,0.007642159,0.0018891313140486027,0.0064265,0.006983,0.00818075,1000,0.016898,0.041254,0.019728334,0.0028884446542116744,0.01765575,0.0183205,0.0214445,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,-0.005231,1.674043,0.066330739,0.11779654897965762,0.04203925,0.053916,0.066305,1000,0.194423,0.318852,0.206069634,0.013991941090786653,0.1996125,0.202537,0.2064085,1000,0.002116,0.022701,0.0026210972499999996,0.0009482687832531647,0.002269,0.00236,0.002987,4000,0.004207,0.025979,0.0050559444999999995,0.0011951244840683961,0.004487,0.004607,0.00584125,4000,0.014799,0.053507,0.0168782815,0.002286376518808254,0.01549775,0.016056,0.018406,4000,0.014799,0.053507,0.0168782815,0.002286376518808254,0.01549775,0.016056,0.018406,4000,0.020604,0.059195,0.021721835,0.0024797291101600195,0.021046,0.021184,0.02133825,1000,0.025657,0.055014,0.026624202,0.0020192590099330993,0.026034,0.026198,0.02639925,1000,0.508844,2.414679,0.56827065,0.141352128815471,0.526166,0.5523495,0.56751375,1000,0.103096,0.239515,0.126683954,0.016086672615176947,0.1159265,0.1256185,0.1317995,1000,0.025797,0.063235,0.027765319,0.0032095675090639546,0.026746,0.027016,0.0273575,1000,0.046618,0.136174,0.049896742,0.006949772901285047,0.04762075,0.0481245,0.049127,1000,0.009419,0.076802,0.02950045,0.010165197031218823,0.02103475,0.0309925,0.035849,1000,0.017265,0.041144,0.018978503,0.0025603298205487124,0.01777375,0.018175,0.0186645,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036806,1.521656,0.08081792,0.09994494218526319,0.07123025,0.072508,0.0777125,1000,0.060047,0.134125,0.078550826,0.008116695702176102,0.07772075,0.0782865,0.07920925,1000,0.003026,0.014327,0.004242093,0.0005480763070513083,0.00421575,0.00431,0.004382,1000,0.005976,0.023644,0.008054588,0.001403748253874604,0.00789675,0.008007,0.00813925,1000,0.018385,0.057918,0.024874852,0.003037835487332387,0.024681,0.024889,0.02514,1000,0.018385,0.057918,0.024874852,0.003037835487332387,0.024681,0.024889,0.02514,1000,0.006567,0.026259,0.009742255,0.00150461279735851,0.00974475,0.0098485,0.009988,1000,0.010115,0.040304,0.01236917,0.0019722032945667647,0.0121465,0.012268,0.01238,1000,0.161348,1.792552,0.268030605,0.11032418394688889,0.26070525,0.2637355,0.270088,1000,0.012989,0.094979,0.039233338000000006,0.010230120403678345,0.04006375,0.040635,0.04129475,1000,0.002121,0.020888,0.003261534,0.0008874562991178777,0.003102,0.003215,0.00333225,1000,0.007263,0.043836,0.017312841,0.004365779915401027,0.0173345,0.017565,0.017777,1000,0.001961,0.065994,0.016421497,0.006040075200193371,0.0177145,0.01792,0.018071,1000,0.00102,0.019267,0.001481483,0.0008706004753680071,0.00132375,0.0013735,0.00143,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036693,1.63427,0.094501858,0.10257043797270166,0.07254625,0.099288,0.1024745,1000,0.060646,0.183939,0.079360599,0.009691604287743025,0.0776205,0.078178,0.08040025,1000,0.003016,0.019351,0.004327397,0.0010133462534548594,0.00423975,0.0043075,0.004374,1000,0.006107,0.028798,0.008132127000000001,0.0019692202250817456,0.00783775,0.0079575,0.008084,1000,0.018666,0.061103,0.025257016,0.0037270369702679363,0.024805,0.0250545,0.025369,1000,0.018666,0.061103,0.025257016,0.0037270369702679363,0.024805,0.0250545,0.025369,1000,0.006619,0.029824,0.009829559,0.0018540733864976866,0.0096335,0.009763,0.0100505,1000,0.010197,0.030942,0.012262169,0.0015968914817353743,0.012056,0.012185,0.01232025,1000,0.163008,1.996089,0.273232785,0.11472633015501182,0.24937425,0.280192,0.28486975,1000,0.013084,0.095158,0.029733158,0.007372788632467093,0.02713325,0.0311905,0.0319185,1000,0.002123,0.04119,0.003229133,0.0013923347748695354,0.003088,0.003164,0.003247,1000,0.007259,0.072141,0.016202188,0.004361041044367273,0.01567675,0.01642,0.01677325,1000,0.001973,0.027491,0.008050389,0.0029933366799742055,0.00640975,0.0096565,0.009954,1000,0.001036,0.011888,0.0014877529999999999,0.0007571434844142821,0.00130875,0.0013755,0.00144,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006143,0.137976,0.007920975,0.008861487439384821,0.006519,0.00667,0.00691675,1000,1.12407,1.321928,1.170616442,0.043183293770144904,1.130904,1.1489365,1.209793,1000,0.067444,0.110317,0.069819881,0.004234306858842306,0.06792975,0.0683515,0.07024525,1000,0.037599,0.079735,0.040024469,0.0036552455018834234,0.038194,0.038493,0.04113,1000,0.015086,0.039015,0.01619835,0.0019916855056710133,0.015541,0.015776,0.01604275,1000,0.993184,1.180688,1.036380003,0.039977196638921436,1.0009535,1.007709,1.07419,1000,0.002808,0.010823,0.003178882,0.0006146397400721825,0.00298475,0.0030415,0.003128,1000,0.010978,0.02176,0.011510935,0.0008258351377696399,0.011275,0.011354,0.01146,1000,1.159815,1.490718,1.209209844,0.04566734746448128,1.16885125,1.1892415,1.246842,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000309,0.001107,0.000352512,4.632752805838015e-05,0.000336,0.000346,0.000357,1000,2.506778,4.998994,2.57420729,0.18641093226954772,2.51889475,2.553591,2.57141,1000,0.052156,0.10317,0.055207093,0.004176478428335409,0.0524925,0.0534105,0.05703375,1000,0.044466,0.082327,0.046614373,0.0028809258192239178,0.04501075,0.0452705,0.047809,1000,0.691408,2.051014,0.713415473,0.09520235695219563,0.697347,0.700907,0.710275,1000,1.707152,2.797124,1.751503161,0.10653444237242282,1.714628,1.738642,1.7506345,1000,0.001259,0.011678,0.001422056,0.00036938983048264877,0.001356,0.001386,0.001424,1000,0.012012,0.022727,0.012456845999999999,0.0005691123301106733,0.012247,0.012361,0.012499,1000,2.532479,5.058878,2.599930887,0.1885908768233772,2.5444575,2.578802,2.59741,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000309,0.000921,0.000355591,4.131168985892492e-05,0.000339,0.00035,0.000363,1000,2.617307,4.879819,2.67310969,0.1743874742690194,2.629081,2.636781,2.6680855,1000,0.052268,0.109057,0.053483777,0.0038156189620127167,0.052568,0.0527395,0.0530355,1000,0.044741,0.078267,0.045803468,0.00279564544264397,0.045067,0.0452365,0.0455075,1000,0.692382,1.903292,0.708551893,0.08340307087397651,0.6964695,0.6982595,0.70072425,1000,1.815266,2.874736,1.857849098,0.10604921205941323,1.825167,1.8303585,1.851577,1000,0.001273,0.011894,0.001443884,0.00036685396896312837,0.001361,0.0014,0.00146425,1000,0.012053,0.034587,0.012621951,0.0009774989118147396,0.012361,0.01248,0.012636,1000,2.642263,4.933638,2.698957264,0.17643634038882214,2.654605,2.66202,2.69383425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000349,0.00093,0.000447353,6.053417539704328e-05,0.000413,0.000438,0.00047,1000,3.33072,5.7849,3.414029665,0.1953090054246828,3.3459905,3.368505,3.4110655,1000,0.052746,0.113474,0.05601175,0.004543983310213628,0.05393925,0.054965,0.05588425,1000,0.04486,0.092344,0.046901824,0.0032059433876823217,0.0458975,0.046108,0.04647575,1000,0.696514,1.923612,0.7257577430000001,0.08524175039077361,0.70337425,0.7118765,0.721927,1000,2.515571,3.769718,2.576204245,0.12261346798769285,2.52713675,2.535809,2.57959925,1000,0.001497,0.012333,0.001757924,0.000416343658801236,0.001628,0.001696,0.001794,1000,0.013053,0.032173,0.014043060999999999,0.001453896724419929,0.013557,0.0137915,0.014058,1000,3.357981,5.844725,3.4438719929999997,0.19777243161984673,3.37549525,3.3988705,3.44096675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
