SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3
fallingBeamLagrangianCollision,0.3391,0.414907,0.355318031372549,0.013640330577005682,0.3460495,0.350252,0.3609945,11.850481,13.315619,12.397270956862746,0.23277925382072903,12.28739,12.378778,12.554499,0.280747,0.365795,0.29903905098039213,0.016649088019578595,0.2859355,0.294476,0.305529,0.135824,0.208427,0.1502766705882353,0.016415442316800172,0.1375815,0.138987,0.167874,3.619943,3.999048,3.7104250862745096,0.05815902640330899,3.668131,3.69762,3.7446835,3.619943,3.999048,3.7104250862745096,0.05815902640330899,3.668131,3.69762,3.7446835,0.024916,0.042866,0.02715547450980392,0.002212914854944176,0.0257825,0.026371,0.0282545,0.055361,0.08426,0.05918049411764706,0.004040903195361048,0.057174,0.057798,0.060578,40.04756,49.98044,47.40391223137255,1.7935326085676047,47.673499,47.999859,48.302241,27.146399,36.53156,34.46546985098039,1.8100079851225248,34.970787,35.140011,35.3192215,0.020183,0.042442,0.02200350588235294,0.002032453833970233,0.0212725,0.021656,0.0220885,21.797182,22.431946,21.91085649019608,0.08147441169165251,21.8625555,21.893931,21.938193,4.849563,13.813444,12.113135607843136,1.796934064903231,12.6777065,12.800396,12.950067,0.398565,0.474931,0.4157179843137255,0.014407482597858554,0.4059635,0.41078,0.4201135,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_NNCG,0.039722,1.610652,0.10860981,0.11508035120399095,0.05390575,0.0924935,0.12603725,0.130546,0.2892,0.154011807,0.02237062899463828,0.13578425,0.1460055,0.166773,0.001942,0.022197,0.0027391675,0.0010889827507558373,0.002137,0.002434,0.003116,0.004137,0.027928,0.00546251225,0.0016239850091210625,0.004434,0.0054765,0.005944,0.00039,0.013714,0.0007867635000000001,0.0007977797440821307,0.000487,0.00055,0.000995,0.00039,0.013714,0.0007867635000000001,0.0007977797440821307,0.000487,0.00055,0.000995,0.022659,0.063339,0.025806919,0.0037827032530240857,0.023337,0.0240625,0.027502,0.029255,0.071587,0.031921889,0.004218514640567104,0.02991325,0.0303705,0.03322325,0.437128,2.287818,0.547044643,0.14726559436444597,0.471672,0.5124135,0.6000975,0.087928,0.20364,0.103117722,0.016501133544720978,0.091055,0.094731,0.11384475,0.025855,0.080994,0.030027489,0.005434760715788599,0.0267555,0.0277375,0.03255975,0.039211,0.105312,0.046411293,0.00913368231236181,0.040191,0.0426165,0.05110375,0.005432,0.032746,0.0066294610000000006,0.0021310076852228852,0.005598,0.0057375,0.0070195,0.016483,0.060456,0.019478777,0.00402587036816525,0.017029,0.017736,0.02084075,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_PGS,0.039154,1.708034,0.107963747,0.11718377666269761,0.05362275,0.0943285,0.12535425,0.129796,0.26423,0.146200193,0.016963167405993226,0.13427725,0.13866,0.15734525,0.001896,0.022729,0.002565581,0.0008616665137621399,0.00208375,0.002203,0.003023,0.004095,0.026004,0.0052099979999999995,0.0014362471853744396,0.004343,0.004563,0.005816,0.00037,0.01748,0.0007638055000000001,0.0006697656576518013,0.000477,0.000544,0.00100225,0.00037,0.01748,0.0007638055000000001,0.0006697656576518013,0.000477,0.000544,0.00100225,0.022592,0.061833,0.025457035,0.0038899801762701824,0.02314175,0.0234925,0.0273265,0.029027,0.082081,0.031741617,0.004533178038452825,0.0296925,0.030075,0.03308325,0.43604,2.365981,0.5358970940000001,0.14873440810376448,0.45182825,0.498915,0.5934915,0.087548,0.220887,0.102206362,0.015970262936688174,0.09072625,0.0944955,0.11265725,0.025697,0.079226,0.030040584,0.005111313425622029,0.02673275,0.0276725,0.0326915,0.039096,0.15049,0.04570115,0.009126424378336787,0.039953,0.0413785,0.0504145,0.005304,0.026472,0.00671712,0.0018254029395177384,0.00564475,0.0061205,0.00718825,0.016261,0.051531,0.019168967000000002,0.0034735085910230596,0.016886,0.017454,0.020794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BilateralLagrangianConstraint_UGS,0.034844,1.658163,0.080346185,0.11457418854272008,0.0537165,0.0681285,0.07971025,0.130062,0.314776,0.140331226,0.014515634986142494,0.1332365,0.13676,0.14022125,0.001893,0.020108,0.0024616372500000003,0.0008657758983492423,0.002061,0.002156,0.00295725,0.004116,0.046411,0.00493836575,0.0014252186262033405,0.004307,0.004449,0.005759,0.000389,0.036834,0.00078202375,0.0009319747524401815,0.00048,0.000538,0.001019,0.000389,0.036834,0.00078202375,0.0009319747524401815,0.00048,0.000538,0.001019,0.02287,0.067527,0.024223464,0.003565522444846477,0.02327775,0.023422,0.02361625,0.029157,0.073826,0.030814205999999997,0.0037889680222408847,0.02972775,0.0299375,0.03018475,0.454354,2.35664,0.514811052,0.13903428529343145,0.4709035,0.4983685,0.52008475,0.09948,0.232431,0.122476446,0.016184136181801114,0.111418,0.1209435,0.1271485,0.025997,0.078744,0.028037514,0.004297673512472068,0.02679575,0.0271155,0.0274645,0.044051,0.141111,0.047730938,0.007710057671519455,0.0451135,0.0455,0.04623,0.008333,0.071965,0.027486497999999998,0.009785223907504416,0.0193915,0.0287725,0.03325425,0.016699,0.057047,0.018671940999999997,0.00361241821824647,0.0173075,0.017513,0.01802925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FrictionContact_LCP_with_friction,0.040607,1.474592,0.082826672,0.09786031945384409,0.075343,0.0759445,0.076992,0.042561,0.154608,0.055099713,0.00897164285862021,0.0533335,0.0539075,0.055172,0.00297,0.025389,0.004206468,0.0013332161973873555,0.004038,0.0041025,0.004192,0.00586,0.031325,0.007827956,0.0019158694715621938,0.00753275,0.0076435,0.0077685,0.000813,0.009919,0.0011614210000000002,0.0007540422042293122,0.000989,0.001022,0.00105,0.000813,0.009919,0.0011614210000000002,0.0007540422042293122,0.000989,0.001022,0.00105,0.007214,0.041605,0.010610295,0.0028481278075211092,0.01034075,0.010444,0.01056825,0.011836,0.041557,0.014980151,0.0024331023320442154,0.014648,0.0147895,0.0149825,0.147748,1.763415,0.246367062,0.10921582117560696,0.2381945,0.2412515,0.2446885,0.01231,0.099863,0.037989066,0.010633359768842773,0.038321,0.038893,0.03990575,0.00196,0.02174,0.00314957,0.0011788812557251048,0.00295375,0.0030375,0.003112,0.0071,0.085982,0.016693472,0.005184049076273874,0.0163855,0.0165505,0.016727,0.001603,0.055537,0.016154155,0.0064311108873176025,0.01712625,0.017351,0.0175135,0.001017,0.005665,0.0014619000000000001,0.0005379856038966098,0.001321,0.00137,0.001436,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_without_friction,0.040681,1.446851,0.09735602800000001,0.09775706204734887,0.0754515,0.1025625,0.1048725,0.042122,0.130994,0.054784533,0.009205745994481436,0.05285675,0.0533325,0.0539135,0.002837,0.019868,0.004172709,0.0012995159530836855,0.004007,0.004072,0.004134,0.005733,0.025671,0.0077997330000000005,0.002013958055598726,0.0075,0.007592,0.007682,0.000867,0.019007,0.0011584000000000002,0.000853995670949215,0.000985,0.001013,0.00104725,0.000867,0.019007,0.0011584000000000002,0.000853995670949215,0.000985,0.001013,0.00104725,0.007081,0.033581,0.010361439,0.001857924809640853,0.010221,0.0103675,0.01052525,0.011943,0.042503,0.01500642,0.00296208838348892,0.014469,0.014682,0.014853,0.147676,1.704403,0.250176557,0.108926018029802,0.22512775,0.255804,0.26118975,0.012273,0.069538,0.027806663,0.0070420046254905996,0.02529575,0.0291105,0.02983525,0.001926,0.016695,0.003131309,0.0011104826191881618,0.00292675,0.003009,0.00308925,0.007081,0.055469,0.015205986999999999,0.0042148573609116355,0.01458125,0.0152655,0.01559675,0.0016,0.027224,0.007472392,0.002956415965715244,0.005851,0.008901,0.00926825,0.001,0.02249,0.001489179,0.001011675311035611,0.001275,0.0013515,0.001417,0.0,1.2,0.24,0.48,0.0,0.0,0.0
FixedProjectiveConstraint,0.008911,0.148984,0.010809421,0.00988541064649107,0.009285,0.0094765,0.00980825,1.095448,1.337958,1.144638438,0.03724783894955728,1.117405,1.128336,1.1719715,0.066834,0.121723,0.069366347,0.006207244558787015,0.067266,0.0673975,0.06930725,0.037292,0.081517,0.039451773999999995,0.004778391211163439,0.037852,0.038125,0.039489,0.000675,0.011079,0.000900338,0.000549370859944355,0.000817,0.000851,0.00089,0.980887,1.155784,1.025279695,0.03379343426258975,1.000773,1.010326,1.0517365,0.012408,0.043544,0.013752286,0.002549844967484102,0.012717,0.012823,0.013454,0.013413,0.040194,0.014169163,0.0018393245544033278,0.01378775,0.013927,0.01408625,1.143891,1.561347,1.197511437,0.04273411692442036,1.168027,1.180401,1.22406975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FEMBAR_EigenSimplicialLDLT,0.000268,0.000813,0.000338198,4.960377804159679e-05,0.000316,0.000331,0.000348,2.507342,5.130884,2.57706362,0.19302670250069445,2.5190675,2.552202,2.58074325,0.051655,0.096469,0.054249035,0.005370852107792115,0.052434,0.052711,0.05324025,0.043057,0.086889,0.045618724,0.0045501949406397965,0.04426725,0.044494,0.04475525,0.691468,2.195734,0.7159620130000001,0.09966519643122583,0.6970425,0.6998725,0.7207555,1.70425,2.808656,1.752026503,0.10712911059637334,1.7128115,1.7324285,1.75756975,0.001202,0.010252,0.001348522,0.0003171952041188517,0.001283,0.001316,0.001362,0.006002,0.025014,0.006670451,0.0012871185157548623,0.00634975,0.0064865,0.006641,2.524436,5.177133,2.595263742,0.19499456586173225,2.53672575,2.570192,2.6002435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FEMBAR_EigenSimplicialLLT,0.000285,0.000962,0.000337013,5.038425181542344e-05,0.000316,0.0003295,0.000345,2.629589,5.09857,2.7101204649999997,0.18652631953467258,2.6560775,2.684727,2.71121475,0.051803,0.104734,0.053918438,0.0055315571923424955,0.052232,0.0524765,0.052981,0.044096,0.090554,0.045710109,0.005067857778304261,0.04442375,0.044649,0.044838,0.691234,1.988781,0.719062611,0.08975110260293005,0.69738575,0.707777,0.72380475,1.827878,2.96162,1.882193407,0.11006126090130601,1.8405695,1.861875,1.88316025,0.001183,0.018229,0.0013488859999999999,0.000556130690579112,0.001276,0.001307,0.001351,0.006135,0.02359,0.006676395999999999,0.001069658379663339,0.00642675,0.006542,0.006689,2.645734,5.146133,2.728151361,0.1887739461834675,2.67346825,2.70267,2.72897825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSparseLU,0.000328,0.011874,0.000442788,0.00048774760179420666,0.00038,0.000412,0.000447,3.346742,5.967857,3.466455783,0.19502072588917801,3.403458,3.4442885,3.4788045,0.053508,0.097427,0.05632198,0.005544439916312558,0.0543635,0.0548435,0.0555415,0.045181,0.107917,0.047834659,0.004878905452734148,0.045857,0.0464205,0.04847975,0.694693,1.980591,0.725417973,0.08857651095193506,0.7030715,0.7088415,0.73376475,2.533907,3.862668,2.625437223,0.11763522540776326,2.57860775,2.608768,2.638996,0.001386,0.021291,0.001759008,0.001031720707331204,0.00154875,0.001635,0.00177425,0.006678,0.028748,0.008224475,0.002247267084566274,0.007641,0.0078855,0.008137,3.364557,6.017247,3.488352817,0.19730599540782714,3.42432225,3.4666405,3.50231725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
