SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.316064,0.406449,0.3363903725490196,0.012895839404075914,0.3272795,0.332096,0.343658,255,11.445241,13.308398,11.910658792156863,0.29593474175137147,11.7396675,11.926968,12.0350485,255,0.286051,0.411409,0.2970384392156863,0.01576257305943888,0.289573,0.291309,0.298248,255,0.135514,0.24788,0.14246442745098037,0.011916439698988897,0.137861,0.13899,0.142918,255,3.550718,3.817955,3.6472187725490195,0.054573373441375195,3.590826,3.658548,3.6838665,255,3.550718,3.817955,3.6472187725490195,0.054573373441375195,3.590826,3.658548,3.6838665,255,0.02513,0.051805,0.027246254901960785,0.0028450323175609393,0.026281,0.026683,0.027038,255,0.05218,0.082735,0.05426646274509804,0.003027713019915364,0.053063,0.053529,0.054162,255,39.636338,48.850035,46.866413682352935,1.7703236648599836,47.1865405,47.46793,47.7222635,255,27.201943,36.276825,34.43751012941176,1.7866784745014255,35.0069185,35.123029,35.220393,255,0.021263,0.028468,0.022399611764705882,0.0010062378827714333,0.021927,0.022181,0.0225925,255,21.80909,22.783151,21.932246007843137,0.08373901293648264,21.886139,21.922069,21.961213,255,4.86237,13.361492,12.059842843137256,1.7855607171202472,12.700631,12.767156,12.8483885,255,0.397067,0.519353,0.42101926274509804,0.01956762735237855,0.4090835,0.416172,0.4258485,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,11.649529,26.434502,12.906376740170941,0.6446981227909979,12.6193005,12.846741,12.9754515,1755,11.320537,26.042134,12.5638366,0.6354558875955336,12.2945365,12.50333,12.62555,1755,0.008735,0.850016,0.26027336932573597,0.23077875500214046,0.053818,0.3091435,0.41580825,10530,0.008861,3.411367,0.106695081671415,0.09047951256509858,0.02638325,0.1117955,0.18945875,10530,0.078614,8.969544,1.7016756723646724,1.718803670458681,0.169341,1.752933,2.44563,10530,0.078614,8.969544,1.7016756723646724,1.718803670458681,0.169341,1.752933,2.44563,10530,0.092769,0.52556,0.11216043133903134,0.018582290794542017,0.0997325,0.110631,0.117347,1755,0.130626,0.500257,0.14613914643874645,0.01741301295073401,0.1354415,0.142985,0.147011,1755,23.485303,51.218341,28.627859205128203,2.523763855221501,26.840501,28.466176,30.285754,1755,10.204183,24.435991,15.124828830769232,2.371269596029236,13.4775845,15.03864,16.835477,1755,0.073299,0.18325,0.08623679886039887,0.012269311787830941,0.0796615,0.082136,0.08836,1755,9.371004,22.481705,14.243736862678062,2.277816632642063,12.6842915,14.208951,15.9244235,1755,0.103339,0.755696,0.27559546894586895,0.10964925510057058,0.212309,0.250078,0.307043,1755,0.435665,1.215144,0.5167523247863248,0.044063176158284964,0.493385,0.51384,0.5352175,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.027503,1.651876,0.090346496,0.11682932551132863,0.0378825,0.076641,0.1069175,1000,0.195007,0.34367,0.21820588800000001,0.020939799428252793,0.20289825,0.2078825,0.2335115,1000,0.002051,0.019768,0.002760985,0.0009013623970274109,0.00225,0.002359,0.003176,4000,0.004222,0.020947,0.0053211512499999995,0.0012395476987084595,0.004559,0.004737,0.005899,4000,0.014861,0.052885,0.017813064,0.0028282942338809093,0.0158505,0.016774,0.0190525,4000,0.014861,0.052885,0.017813064,0.0028282942338809093,0.0158505,0.016774,0.0190525,4000,0.020591,0.045724,0.023217766,0.0029819769333856356,0.0212225,0.0215775,0.02497975,1000,0.026017,0.052742,0.028128802,0.0026623669034894497,0.02653075,0.026876,0.02937675,1000,0.488277,2.393074,0.593082664,0.1507963197922254,0.50759625,0.553753,0.655513,1000,0.091358,0.260725,0.106118678,0.016711885809695928,0.09437975,0.0981595,0.116772,1000,0.025358,0.060911,0.029352865000000002,0.004501127632579973,0.0265235,0.0270365,0.03177675,1000,0.041424,0.178111,0.048913168,0.009911655952149268,0.0426615,0.045449,0.054339,1000,0.006316,0.023917,0.0076318670000000005,0.0018553136029553063,0.006533,0.0067165,0.0081055,1000,0.016748,0.050651,0.019697476,0.0033733082517647273,0.017437,0.018016,0.02125725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.028392,1.669604,0.0907323,0.1185364778241871,0.03761725,0.078075,0.10723675,1000,0.195922,0.373082,0.219297249,0.020937034279883075,0.2037965,0.2094,0.2344035,1000,0.002048,0.020027,0.0027824965000000004,0.0008980826445755145,0.002257,0.002372,0.00319,4000,0.004217,0.022341,0.00539970975,0.0012264324532989732,0.004619,0.0048225,0.006044,4000,0.014941,0.052662,0.017762229749999997,0.002606887881932197,0.015875,0.0167035,0.019045,4000,0.014941,0.052662,0.017762229749999997,0.002606887881932197,0.015875,0.0167035,0.019045,4000,0.020523,0.058232,0.02313954,0.00327028565363945,0.02102375,0.02132,0.02497175,1000,0.02585,0.060319,0.028108881000000002,0.002452028117057184,0.02652475,0.0269075,0.0296515,1000,0.490287,2.427148,0.5945877169999999,0.15336821685803387,0.50662775,0.5531235,0.657715,1000,0.091211,0.238567,0.106041631,0.016552444105473945,0.09422925,0.09792,0.1173495,1000,0.025541,0.068604,0.029391611,0.004698571456483236,0.0263845,0.027089,0.03210025,1000,0.041342,0.134988,0.048570466,0.009054067391225006,0.0423695,0.0448745,0.05453225,1000,0.006159,0.042244,0.007715261,0.0021646703238320146,0.00646675,0.006978,0.00817575,1000,0.01679,0.055454,0.019825145,0.003503365933780683,0.017462,0.018113,0.021409,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.025088,1.730282,0.063510117,0.11727167768322967,0.03761725,0.051332,0.063246,1000,0.196726,0.373388,0.209327071,0.01658565861911908,0.20118175,0.2043285,0.20821675,1000,0.002013,0.018434,0.00260327325,0.0009771440633726623,0.002192,0.00227,0.003061,4000,0.004275,0.02492,0.0050768845,0.0012229230794124993,0.004509,0.004617,0.00575925,4000,0.014968,0.055655,0.01722111175,0.002747849271295996,0.015601,0.0162685,0.01865425,4000,0.014968,0.055655,0.01722111175,0.002747849271295996,0.015601,0.0162685,0.01865425,4000,0.020711,0.05541,0.021886382000000003,0.002649091456721719,0.02120575,0.0213775,0.021572,1000,0.025896,0.063258,0.027400481,0.0031638138800566323,0.02644,0.0266315,0.02689575,1000,0.504811,2.524361,0.570150734,0.14136512668820145,0.524854,0.553595,0.5740775,1000,0.102656,0.274697,0.128031497,0.01745607222344107,0.11606,0.126167,0.133728,1000,0.025686,0.06385,0.027652919,0.004034516942638735,0.02640575,0.026669,0.02702,1000,0.046843,0.183217,0.05042077,0.008244744194279166,0.04775,0.0481795,0.049355,1000,0.009261,0.061857,0.030491304,0.010528377894983823,0.02169225,0.031434,0.03657825,1000,0.016982,0.045388,0.018903451,0.00303634409011874,0.01762075,0.0178685,0.01840725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031821,1.442813,0.07562039999999999,0.09605191085201795,0.06903,0.069592,0.07065575,1000,0.06119,0.14144,0.080070466,0.00796168056624002,0.07880175,0.0795505,0.08240775,1000,0.003148,0.019632,0.00442492,0.0007435848570270914,0.004377,0.00445,0.004537,1000,0.006126,0.026186,0.007934937,0.0011379968932431232,0.007804,0.00789,0.0080605,1000,0.018734,0.04737,0.025180574,0.0027106788884934344,0.02506125,0.025314,0.02562325,1000,0.018734,0.04737,0.025180574,0.0027106788884934344,0.02506125,0.025314,0.02562325,1000,0.006401,0.029318,0.009713158,0.0015208089541543343,0.009586,0.009744,0.010015,1000,0.010162,0.034895,0.012343721,0.0013617390363645306,0.01223775,0.012351,0.012458,1000,0.159151,1.71188,0.264061569,0.10578045735528487,0.25809625,0.2612345,0.266552,1000,0.012451,0.118829,0.039101392,0.010389433605463582,0.0399445,0.0403725,0.0417395,1000,0.001931,0.013441,0.00298944,0.000587760034708043,0.002921,0.003,0.003075,1000,0.007229,0.095833,0.017424825,0.005021210018150505,0.01727275,0.0174925,0.01796775,1000,0.001834,0.05666,0.016516199000000002,0.0060969724273116895,0.01779875,0.0180655,0.01820025,1000,0.00094,0.010441,0.001454763,0.00068732412356253,0.001321,0.00136,0.001398,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031343,1.47117,0.090848168,0.09664490923437082,0.069539,0.0964315,0.099472,1000,0.061017,0.169924,0.07902920399999999,0.008119433542334341,0.078146,0.07882,0.0797585,1000,0.003103,0.013504,0.00432995,0.0006790303730320169,0.0043,0.004374,0.00445925,1000,0.006064,0.02943,0.007831890000000001,0.0012940833396269346,0.007741,0.007825,0.00790625,1000,0.018544,0.057933,0.025375065999999998,0.0031613822694580925,0.02503975,0.025389,0.0259695,1000,0.018544,0.057933,0.025375065999999998,0.0031613822694580925,0.02503975,0.025389,0.0259695,1000,0.006443,0.027964,0.009518054,0.0015249821353327388,0.0094295,0.009631,0.009811,1000,0.010149,0.041236,0.012303903,0.0014612545957467507,0.01210075,0.0122725,0.01244725,1000,0.159109,1.734494,0.267385215,0.1071777679523173,0.24575075,0.2753875,0.28199075,1000,0.012486,0.104119,0.029022118,0.007223924005142634,0.02668,0.0307605,0.03135725,1000,0.001933,0.020771,0.002996634,0.0008289687425011875,0.002911,0.002984,0.003047,1000,0.007168,0.046452,0.016039017,0.003932405365003842,0.01565075,0.0163305,0.01667625,1000,0.001832,0.083793,0.007875969,0.0037504752701543044,0.00625475,0.009479,0.00981625,1000,0.000915,0.010057,0.001394586,0.0006694689735932502,0.001237,0.001304,0.00135925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00515,0.136401,0.0062832700000000005,0.008743461309064046,0.00543575,0.005552,0.00568025,1000,1.116558,1.324806,1.155939845,0.04023493463381014,1.125148,1.1296225,1.20117475,1000,0.066822,0.110235,0.069391087,0.004812274606195183,0.0673645,0.0683855,0.07002825,1000,0.037175,0.068901,0.038963098,0.002803476646308294,0.037693,0.037877,0.040527,1000,0.015364,0.049001,0.016250256,0.0022591636528733372,0.015725,0.0158425,0.0160485,1000,0.98595,1.189903,1.023447736,0.03697075257005602,0.99606075,0.999545,1.0662745,1000,0.002718,0.023109,0.0029957779999999997,0.0007547729544147698,0.002866,0.002936,0.002999,1000,0.011067,0.024707,0.011527275,0.0009496932743654657,0.011302,0.0113965,0.01149525,1000,1.151726,1.508999,1.193133639,0.04415319307425771,1.16076825,1.166252,1.23692375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.00085,0.00032752499999999995,4.2498580858659266e-05,0.00031,0.00032,0.000332,1000,2.508337,4.899422,2.5668203309999997,0.18436999826705386,2.52172175,2.5308975,2.56310675,1000,0.051771,0.107858,0.053826077,0.003726790117926015,0.0528,0.0532485,0.05375825,1000,0.044047,0.08775,0.045799587,0.0034515453307802577,0.0446685,0.0450995,0.0458355,1000,0.692021,2.094111,0.717145445,0.09692249724050127,0.69798025,0.7038845,0.71333925,1000,1.705556,2.720144,1.7425602720000002,0.1029254525772222,1.7121555,1.7173125,1.7435465,1000,0.001232,0.002942,0.001403354,0.00012852904218113508,0.001341,0.00138,0.001434,1000,0.011842,0.040041,0.012506093000000001,0.0013986033406048336,0.01215975,0.0122935,0.01253225,1000,2.532099,4.957236,2.5921813879999998,0.18670146819175112,2.546516,2.556209,2.588497,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000281,0.002682,0.000345623,9.216491127864226e-05,0.000313,0.000328,0.00035725,1000,2.62193,4.8782,2.676204022,0.17144365937939354,2.63312375,2.6499995,2.67191975,1000,0.052122,0.09374,0.053369432999999994,0.003150071148642678,0.052514,0.052706,0.05296425,1000,0.044439,0.088407,0.045509012,0.003067695272326767,0.044834,0.0449515,0.0451345,1000,0.690307,1.927357,0.710188076,0.0847562421957004,0.6966065,0.6994135,0.70320075,1000,1.819241,2.82728,1.8598028100000001,0.10193197652156019,1.82801125,1.833047,1.85461875,1000,0.001225,0.012164,0.00144763,0.0004730458044418109,0.00133,0.001373,0.001463,1000,0.011739,0.033511,0.012412312,0.0013959638722603105,0.012097,0.012219,0.012355,1000,2.64567,4.934,2.70127288,0.1737730397169987,2.6575795,2.6743935,2.6967215,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
