SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332388,0.597301,0.3495658470588235,0.0252495786223846,0.3383165,0.342708,0.34949,255,7.910492,10.598733,8.324408631372549,0.3219989016118847,8.1628025,8.298989,8.431327,255,0.282072,0.381844,0.2915117215686275,0.013105695264786846,0.284954,0.286099,0.293619,255,0.136866,0.213739,0.14275341960784313,0.01018059980283568,0.138475,0.139202,0.1416895,255,3.550975,5.567002,3.6508031568627453,0.14446974709964094,3.584909,3.624601,3.680878,255,3.550975,5.567002,3.6508031568627453,0.14446974709964094,3.584909,3.624601,3.680878,255,0.02492,0.052169,0.02687016862745098,0.0028668163908111737,0.0259145,0.026241,0.0265715,255,0.054139,0.10151,0.057552756862745094,0.005832101100190656,0.055545,0.056107,0.057016,255,33.679312,51.209449,41.705281937254895,2.588130734911071,41.2373875,41.520611,41.889991,255,24.781552,40.286361,32.8541896627451,2.5139536139935648,32.63478,32.775937,32.960169,255,0.018722,0.038142,0.02088445882352941,0.0019457140786239581,0.020187,0.020605,0.0209995,255,19.4865,26.175574,20.37386697254902,1.9497452751726703,19.563336,19.596591,19.6542625,255,4.88273,16.967351,12.15531754117647,1.8514451368933926,12.7255305,12.79859,12.9493495,255,0.286462,0.40512,0.3009847333333333,0.015388255366957386,0.2921775,0.295289,0.3029015,255,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
BilateralLagrangianConstraint_NNCG,0.043286,1.63948,0.10924248299999999,0.11731510402963342,0.05463825,0.0954245,0.12621225,1000,0.127255,0.228474,0.145307459,0.017643073156633424,0.13138,0.136431,0.157416,1000,0.00189,0.023838,0.0026136567500000003,0.0010699017517648234,0.002064,0.002201,0.00311,4000,0.004059,0.025792,0.005165019,0.0015246941087113178,0.00433,0.004548,0.005837,4000,0.000371,0.015397,0.00073812075,0.0006725740581299859,0.00048,0.000535,0.000995,4000,0.000371,0.015397,0.00073812075,0.0006725740581299859,0.00048,0.000535,0.000995,4000,0.022252,0.067426,0.025985768,0.005352186638391453,0.02307575,0.023511,0.02757225,1000,0.029027,0.075935,0.032271153999999996,0.005364800959801211,0.0297145,0.030128,0.033367,1000,0.433825,2.298771,0.538782485,0.14721960034689602,0.46514125,0.5028495,0.5939875,1000,0.087229,0.211682,0.103088369,0.01687253517562903,0.09053025,0.094598,0.11390275,1000,0.02563,0.091147,0.030184008999999998,0.00611616451388605,0.02657425,0.027523,0.032872,1000,0.038719,0.123035,0.046017564,0.009511509962876767,0.039732,0.0420015,0.051445,1000,0.005368,0.024547,0.006506121,0.0018019240489984588,0.005584,0.0057165,0.00696325,1000,0.016257,0.053397,0.019570154,0.004106721797527075,0.016927,0.017845,0.0209695,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037939,1.604837,0.109257214,0.11615935538508383,0.05423175,0.0957345,0.12657625,1000,0.12707,0.239374,0.145441486,0.018079061578904033,0.1315985,0.136722,0.15623625,1000,0.001935,0.024953,0.0026267725,0.001156068667616137,0.002073,0.0021845,0.003098,4000,0.004043,0.025787,0.0052015985,0.0015882287499909293,0.004345,0.0046125,0.005864,4000,0.000366,0.01656,0.00069114375,0.0005710251777163048,0.000481,0.000533,0.0009555,4000,0.000366,0.01656,0.00069114375,0.0005710251777163048,0.000481,0.000533,0.0009555,4000,0.022372,0.060746,0.025795175,0.004810838626099923,0.023,0.0233805,0.0275785,1000,0.02883,0.069894,0.032078643,0.005179166568237694,0.02965875,0.030073,0.0333055,1000,0.430969,2.303738,0.539329066,0.14737621071745483,0.46244775,0.4985385,0.596067,1000,0.086526,0.200805,0.103815538,0.018265593322051053,0.0903105,0.0948435,0.1140435,1000,0.025159,0.072696,0.029858095,0.006347340655737252,0.02624375,0.0270075,0.032141,1000,0.038624,0.120065,0.046035146,0.009911975064268674,0.0396345,0.04039,0.05086775,1000,0.005314,0.03219,0.0068108280000000005,0.002215921826332328,0.00560925,0.0060925,0.0071765,1000,0.016225,0.061012,0.019738514999999998,0.0048568566985010995,0.01700175,0.017728,0.02096875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.047974,1.652662,0.080667909,0.1152286096074526,0.05367175,0.068212,0.08046725,1000,0.128668,0.262921,0.14000194800000001,0.01557427502387498,0.13150975,0.134549,0.13895675,1000,0.00191,0.023314,0.002503054,0.0012759697251831644,0.002056,0.002146,0.002999,4000,0.004069,0.026908,0.004975051499999999,0.0016902428436019925,0.00429,0.004445,0.00571825,4000,0.000375,0.018367,0.0007523595,0.0007842539854917857,0.000489,0.000549,0.001013,4000,0.000375,0.018367,0.0007523595,0.0007842539854917857,0.000489,0.000549,0.001013,4000,0.022512,0.064483,0.024575819999999998,0.0046135331781184796,0.0231565,0.023409,0.023954,1000,0.029172,0.072487,0.031125905,0.004992925913527558,0.02969125,0.0299315,0.03020625,1000,0.448702,2.361034,0.518486189,0.13815241008249288,0.4758685,0.500089,0.525009,1000,0.09877,0.23676,0.12396171,0.018003087187254855,0.11111075,0.1214445,0.12901475,1000,0.025399,0.06548,0.028080083,0.0052657456467352275,0.02632075,0.0268,0.02734925,1000,0.044433,0.120837,0.04857233800000001,0.008772403876575453,0.04523975,0.045804,0.04683275,1000,0.008435,0.074992,0.027799623,0.01007939777570421,0.0193975,0.0289035,0.03349725,1000,0.016782,0.053624,0.018764704,0.0038583263397986437,0.01725975,0.017489,0.0179695,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03957,1.508394,0.08522737,0.09747638284971953,0.075704,0.076368,0.07880725,1000,0.041235,0.127034,0.053391624000000006,0.007663457133345498,0.05176775,0.0522415,0.05289525,1000,0.002968,0.016045,0.004188488999999999,0.0009510240122515308,0.004099,0.00417,0.00425425,1000,0.005749,0.025758,0.007645463,0.001608422272486613,0.007478,0.007569,0.00767025,1000,0.000762,0.014615,0.001144201,0.000993094695685663,0.00097975,0.001008,0.001038,1000,0.000762,0.014615,0.001144201,0.000993094695685663,0.00097975,0.001008,0.001038,1000,0.007182,0.040494,0.010704866,0.0025981998710730473,0.01041275,0.0105635,0.0107535,1000,0.011869,0.044437,0.015103638999999999,0.002842897420006392,0.014681,0.0148095,0.014936,1000,0.146378,1.780637,0.248086528,0.10834612578841578,0.237417,0.239829,0.2518135,1000,0.012467,0.116032,0.038208105000000006,0.011000111139073778,0.0384895,0.0389075,0.040651,1000,0.002063,0.017915,0.0032148339999999997,0.0012284763133426709,0.003022,0.0030885,0.003171,1000,0.007154,0.061716,0.01651894,0.004679990546187032,0.01630775,0.0164675,0.01669,1000,0.001671,0.080925,0.016319152,0.006782555576837981,0.017264,0.017527,0.01766525,1000,0.000942,0.014519,0.0014333969999999999,0.0008344079106713934,0.001272,0.001324,0.001381,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.03949,1.411585,0.098895198,0.09559528096121062,0.07600725,0.1042245,0.10570275,1000,0.041192,0.128781,0.0536468,0.008531310794831003,0.0515925,0.052256,0.053019,1000,0.002899,0.03085,0.004200737,0.0015354851721299688,0.004031,0.0041085,0.004193,1000,0.005814,0.028152,0.007914454,0.0022943668193826376,0.007525,0.00769,0.0078125,1000,0.000807,0.006702,0.001088571,0.0005486500058862663,0.000976,0.001006,0.001039,1000,0.000807,0.006702,0.001088571,0.0005486500058862663,0.000976,0.001006,0.001039,1000,0.00729,0.043162,0.010826386,0.003197572490031149,0.010375,0.010556,0.010691,1000,0.011967,0.046995,0.015092233,0.003174508395438733,0.01455,0.014689,0.014842,1000,0.147341,1.659253,0.251922046,0.10573299303819922,0.2255,0.257339,0.26090175,1000,0.012159,0.108633,0.028155865000000002,0.007975131481848747,0.025182,0.029228,0.029724,1000,0.002049,0.025578,0.003242323,0.0017272492196180027,0.002985,0.003046,0.003123,1000,0.006975,0.046125,0.015313333,0.004408250130846819,0.014598,0.0153305,0.015603,1000,0.0016,0.034785,0.00742594,0.0031795996770662815,0.00577875,0.00895,0.00913025,1000,0.000916,0.010013,0.001380667,0.0005336936762891238,0.00123675,0.001311,0.001374,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008994,0.165833,0.010838927,0.010199205227255259,0.0093365,0.009642,0.00992825,1000,1.100887,1.261776,1.128914105,0.02405263365392603,1.11375875,1.118845,1.14265975,1000,0.067245,0.129669,0.068889174,0.0053252744464228315,0.0676375,0.067831,0.06804625,1000,0.037424,0.078804,0.038840874000000004,0.0034394267871440437,0.03791675,0.0381165,0.0383845,1000,0.00074,0.006753,0.0010186309999999999,0.000691120976992451,0.000842,0.000887,0.000928,1000,0.983865,1.122558,1.01214232,0.02137843813021896,0.9991055,1.0019605,1.0264505,1000,0.012525,0.037877,0.013095813,0.0017021690392058598,0.012757,0.01287,0.0129595,1000,0.013579,0.036589,0.014285766,0.0016085746383814462,0.013915,0.014042,0.0142,1000,1.149767,1.496236,1.18171874,0.031204927030877672,1.16423775,1.171108,1.195495,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.000805,0.000345645,4.760017830848956e-05,0.000321,0.000338,0.000359,1000,2.499884,5.11557,2.585383261,0.19717174615960795,2.53186975,2.560767,2.5842335,1000,0.052034,0.103463,0.054408443,0.005120907274570689,0.052627,0.052967,0.05451625,1000,0.044073,0.079759,0.045999262,0.004791275126243118,0.044436,0.0448995,0.04529575,1000,0.694632,2.158015,0.7240755,0.10134396835384925,0.7029485,0.712577,0.7286755,1000,1.695137,2.817731,1.7531750460000002,0.11191660957716636,1.716782,1.7353815,1.75877925,1000,0.001169,0.019264,0.001447089,0.0008225628797113325,0.00129275,0.0013655,0.00147025,1000,0.005987,0.027914,0.006882135,0.0013935052474874287,0.0063855,0.006683,0.0069835,1000,2.516106,5.162969,2.604072177,0.19926105990934523,2.550416,2.5790295,2.602791,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000286,0.00116,0.000341204,5.339925452663175e-05,0.000321,0.000332,0.000349,1000,2.622167,5.04885,2.697923198,0.1930680725988344,2.6502485,2.668161,2.69834425,1000,0.051958,0.089946,0.053640445,0.004118206078740475,0.05241775,0.0526555,0.053093,1000,0.044,0.081712,0.045747,0.004367413730573279,0.044629,0.044828,0.045255,1000,0.692286,1.998481,0.723686939,0.09091771431956083,0.698654,0.7157875,0.730235,1000,1.818449,2.940555,1.8672428570000001,0.11666183045801463,1.82750025,1.843498,1.8730405,1000,0.001157,0.010642,0.001423464,0.0003744279673101356,0.00129175,0.001393,0.001482,1000,0.005952,0.025457,0.006685929,0.0011707755591739179,0.00634075,0.006527,0.0067345,1000,2.638902,5.096355,2.716194503,0.19535155360549347,2.66777375,2.6865245,2.71627575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000333,0.000843,0.00041862299999999997,5.900932867776077e-05,0.00038,0.00041,0.000439,1000,3.354222,6.131073,3.462867687,0.20366480000012527,3.40064725,3.44036,3.47240775,1000,0.053078,0.117135,0.057181103999999996,0.006466252921219831,0.05456975,0.0553415,0.058022,1000,0.044923,0.093959,0.047709572,0.005505398008574494,0.0457635,0.0462275,0.04808525,1000,0.695989,2.006503,0.723153453,0.0884331526007175,0.7022135,0.7066125,0.732261,1000,2.540841,3.966642,2.6257282940000004,0.12648439749392637,2.5795865,2.6093365,2.6343725,1000,0.001358,0.018225,0.001640761,0.0008001514568373916,0.001466,0.001541,0.00166,1000,0.006841,0.025178,0.008064175,0.0014816494492203612,0.0075415,0.0078195,0.00813625,1000,3.37716,6.18388,3.48470392,0.20609705341202625,3.420621,3.461419,3.494532,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
