SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.325045,0.384716,0.3364756705882353,0.009798237659531655,0.3294985,0.333811,0.340557,255,11.828154,12.806523,12.238939396078433,0.19552968982574725,12.0704805,12.312615,12.3621315,255,0.285546,0.377737,0.29468628627450977,0.00954352175882594,0.2894105,0.291499,0.2977585,255,0.135783,0.210885,0.13958437647058825,0.0071920027252112715,0.136934,0.137611,0.138771,255,3.869895,4.149181,3.950160188235294,0.055066213253022155,3.907296,3.947251,3.984881,255,3.869895,4.149181,3.950160188235294,0.055066213253022155,3.907296,3.947251,3.984881,255,0.025025,0.036514,0.026455603921568628,0.0012049161373406188,0.025904,0.026269,0.02666,255,0.051215,0.066763,0.053333890196078426,0.0014846491087723028,0.05263,0.053181,0.053557,255,40.022442,54.535883,47.194953043137254,1.8690773034997699,47.5008175,47.834186,47.9899675,255,27.135001,41.506746,34.441468698039216,1.897342760141425,35.0313085,35.09427,35.14538,255,0.020809,0.056632,0.022432345098039215,0.002738924070729429,0.021658,0.021959,0.022358,255,21.768441,28.258435,21.95507268627451,0.5877693460310435,21.8652275,21.888248,21.915239,255,4.876805,13.094211,12.047488364705883,1.7716747044236292,12.705919,12.769087,12.8136415,255,0.395443,0.49703,0.41455191764705884,0.013459063596666015,0.406965,0.412042,0.418694,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.939895,35.618883,13.49304538062678,1.0133705838136455,13.173273,13.332861,13.4830815,1755,12.625086,35.066053,13.156866562393162,0.99955140043811,12.841403,12.996563,13.1469265,1755,0.008523,1.13512,0.2549846500474834,0.2262351546506488,0.050749,0.2983535,0.40998175,10530,0.009796,0.398338,0.10056208176638178,0.0797969175739309,0.0257835,0.1118825,0.1629335,10530,0.068726,17.395469,1.8896754930674264,1.938335527785308,0.1653265,1.9060915,2.7219075,10530,0.068726,17.395469,1.8896754930674264,1.938335527785308,0.1653265,1.9060915,2.7219075,10530,0.094407,0.253962,0.10878851396011396,0.014470066416314065,0.0995715,0.102021,0.1144275,1755,0.130107,0.218961,0.1437103692307692,0.014007786316744607,0.135232,0.137325,0.14465,1755,24.242147,62.277817,29.286695604558403,3.0206121372736763,27.351903,29.005483,30.8640455,1755,10.301524,35.176155,15.207411492877492,2.5738713477687947,13.4605205,15.005637,16.882543,1755,0.072068,0.292728,0.08458858575498576,0.012655049649610194,0.0792335,0.081251,0.0839705,1755,9.442866,33.790703,14.33814624045584,2.486048093918634,12.6691815,14.148206,15.9843695,1755,0.104773,0.747152,0.2659544091168091,0.10564245630105798,0.2038445,0.241058,0.291124,1755,0.438672,0.815759,0.516256354985755,0.03493162161469733,0.491544,0.514839,0.534372,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.027273,1.701924,0.089780817,0.11905611204247143,0.03710425,0.0762145,0.1060085,1000,0.191969,0.336275,0.213717099,0.02140258997432785,0.19798625,0.202659,0.23002475,1000,0.002018,0.020675,0.002725707,0.0008703581459094871,0.00220275,0.0023265,0.00317625,4000,0.004086,0.026763,0.00515901325,0.0013470986103750675,0.00436,0.004543,0.00576125,4000,0.014691,0.078505,0.01751132775,0.002839345783596978,0.0156375,0.0164335,0.01864725,4000,0.014691,0.078505,0.01751132775,0.002839345783596978,0.0156375,0.0164335,0.01864725,4000,0.020375,0.05083,0.023137422999999997,0.00358113387351981,0.020901,0.0211525,0.02496775,1000,0.025759,0.059595,0.028035177,0.0028257453536493695,0.02637675,0.026734,0.02942775,1000,0.485108,2.485993,0.5873638959999999,0.1534656466377123,0.5004365,0.546595,0.65263975,1000,0.09029,0.271485,0.105369952,0.01708708309968954,0.09342025,0.0972165,0.1163505,1000,0.025067,0.076466,0.029395689,0.005051874578241131,0.026124,0.0275375,0.031656,1000,0.0407,0.175817,0.048090283000000004,0.009896673055573324,0.04192375,0.044593,0.053597,1000,0.006235,0.028489,0.007576877,0.001836511592087292,0.00650075,0.0066755,0.00808025,1000,0.016687,0.054458,0.019783356,0.0034986723946754433,0.01744775,0.0180765,0.021326,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032336,1.757781,0.091003133,0.12289347467293499,0.0375135,0.076889,0.10805625,1000,0.190939,0.319427,0.212867549,0.02035206468743648,0.197427,0.202612,0.22831125,1000,0.001996,0.02089,0.0027312865,0.0008938448581368861,0.002181,0.002325,0.003188,4000,0.004086,0.023465,0.005132453499999999,0.0011841402925066567,0.00435075,0.004526,0.005769,4000,0.014624,0.05251,0.01741813175,0.0026278513815267287,0.0155455,0.016317,0.018639,4000,0.014624,0.05251,0.01741813175,0.0026278513815267287,0.0155455,0.016317,0.018639,4000,0.020464,0.047558,0.023002337,0.003169099381753592,0.020868,0.02113,0.02490325,1000,0.025802,0.055158,0.028105197,0.0029849810706587404,0.02635575,0.0267015,0.0296525,1000,0.481996,2.480282,0.587153453,0.15587081745931725,0.4999525,0.54467,0.652116,1000,0.090538,0.207609,0.10505028200000001,0.01588838589707828,0.09329975,0.096974,0.11630725,1000,0.025117,0.052582,0.028960848,0.004368212462197324,0.025982,0.0267045,0.031979,1000,0.041121,0.118074,0.048177832999999996,0.00891385012366211,0.042092,0.043314,0.05355875,1000,0.00606,0.016618,0.0075242799999999995,0.001616766947831381,0.00639075,0.0068705,0.008033,1000,0.016885,0.05522,0.019844467,0.0032293036699745353,0.017515,0.0181635,0.02148525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031422,1.684547,0.06266651000000001,0.11656044344206958,0.037288,0.050766,0.06263625,1000,0.192324,0.307214,0.204543704,0.013026200044310082,0.198015,0.2012095,0.204781,1000,0.002025,0.023534,0.0025733917499999996,0.0008166619822680235,0.002202,0.002285,0.00301525,4000,0.004122,0.024353,0.00491025325,0.0010602643909018343,0.004351,0.004481,0.005684,4000,0.014767,0.05035,0.016853089,0.0024400661269889795,0.01543,0.01606,0.0181735,4000,0.014767,0.05035,0.016853089,0.0024400661269889795,0.01543,0.01606,0.0181735,4000,0.020577,0.055201,0.0214442,0.0019251227695915917,0.020907,0.021023,0.0211805,1000,0.025833,0.0699,0.027083797,0.002606439869974176,0.0262235,0.0263985,0.026634,1000,0.503243,2.402431,0.561184465,0.13897731729648105,0.51796625,0.546665,0.5638125,1000,0.101431,0.225161,0.12553102,0.016330430966438086,0.11441025,0.1242805,0.130607,1000,0.025126,0.061125,0.027113981,0.003394449948760329,0.0259955,0.0263285,0.02670825,1000,0.046179,0.108391,0.049672126,0.006722894643985134,0.04717275,0.0476625,0.0486105,1000,0.009392,0.06409,0.029458431,0.010072122355255569,0.020945,0.030895,0.035485,1000,0.016908,0.102074,0.018743356,0.00388548790131484,0.01745775,0.017689,0.0182145,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03173,1.504615,0.07535942600000001,0.09756727213549903,0.068572,0.0691135,0.069975,1000,0.059254,0.1556,0.07721073699999999,0.008322327538004678,0.076396,0.0769905,0.07788125,1000,0.003032,0.028912,0.0042759,0.0011264119832459169,0.004203,0.004285,0.004359,1000,0.005824,0.023902,0.007648198,0.0012231650415197453,0.007571,0.0076805,0.00775525,1000,0.018467,0.047355,0.02478685,0.0027944817990997904,0.02468075,0.0248905,0.025112,1000,0.018467,0.047355,0.02478685,0.0027944817990997904,0.02468075,0.0248905,0.025112,1000,0.006461,0.037021,0.009661967,0.0021137632894699917,0.00952575,0.009646,0.00981,1000,0.010137,0.037422,0.012243727999999999,0.0016271167290689379,0.01211275,0.012199,0.0122855,1000,0.158024,1.765343,0.260437058,0.10798745029822047,0.25527625,0.2579305,0.2609325,1000,0.012538,0.10219,0.038612398,0.009896091787043813,0.039683,0.0401955,0.04100075,1000,0.002022,0.023034,0.003021141,0.0008753754469477654,0.00293075,0.002994,0.00306,1000,0.007101,0.046918,0.017017103999999998,0.004009481810307162,0.01720775,0.017357,0.01753425,1000,0.001826,0.073484,0.016407329000000002,0.006140328497300368,0.017646,0.017928,0.018099,1000,0.000975,0.010211,0.001452157,0.0006918556123578099,0.0013,0.001352,0.00140425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031036,1.494046,0.091904015,0.0993224300816929,0.06921175,0.096715,0.09887075,1000,0.059546,0.136458,0.07701299800000001,0.0076536140309004345,0.076292,0.076898,0.07803975,1000,0.003061,0.016575,0.004297257,0.0008643556761837108,0.004235,0.004313,0.00437925,1000,0.00585,0.026449,0.0076302290000000005,0.0012560313628882838,0.00754,0.007626,0.00771,1000,0.018501,0.058199,0.024619407,0.002774022410390911,0.02451575,0.024772,0.02501325,1000,0.018501,0.058199,0.024619407,0.002774022410390911,0.02451575,0.024772,0.02501325,1000,0.00644,0.024591,0.009540768,0.0013434660137777955,0.00950775,0.009641,0.00977425,1000,0.009998,0.033485,0.012205571,0.0013945391629348386,0.01208775,0.012194,0.01231625,1000,0.158094,1.757856,0.266881264,0.10978196576935716,0.24396125,0.2741705,0.28008175,1000,0.012667,0.072098,0.029230908,0.006987061797747033,0.026735,0.030857,0.031674,1000,0.001991,0.015749,0.00305091,0.0009001079034760221,0.0028915,0.00297,0.003089,1000,0.007141,0.051378,0.016114909,0.0041316981035306784,0.0156065,0.0163395,0.0166915,1000,0.001838,0.020044,0.007840714,0.0028193653041427608,0.0062665,0.0095205,0.00982,1000,0.000985,0.016698,0.001483755,0.0007981293347415567,0.001304,0.001386,0.001451,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.005323,0.131766,0.00639592,0.008403164866025182,0.005595,0.005695,0.00588725,1000,1.12367,1.252608,1.1447154979999998,0.019164025059470048,1.130172,1.14457,1.149432,1000,0.067457,0.110404,0.06906654300000001,0.0040217385183712534,0.067945,0.068136,0.06838725,1000,0.037695,0.069825,0.038685432,0.0027018585613195964,0.038069,0.038177,0.038297,1000,0.015231,0.035079,0.016055781,0.0016403830909391256,0.01561775,0.0157815,0.0159585,1000,0.990847,1.117259,1.013068738,0.016897729718851468,1.0001175,1.014222,1.018475,1000,0.002798,0.019932,0.003060893,0.000784601868179652,0.00293,0.002977,0.00304125,1000,0.010921,0.025197,0.011675452,0.0011911019552061865,0.01129175,0.0114705,0.0116725,1000,1.158573,1.446906,1.182525837,0.025407625167819817,1.1673225,1.1803455,1.18823475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.000898,0.000353426,6.696182885793967e-05,0.000319,0.000338,0.000365,1000,2.502447,4.91325,2.567568727,0.1918883651713112,2.513369,2.5248995,2.559306,1000,0.051474,0.114029,0.054312150999999996,0.005546407506864149,0.05226175,0.0526165,0.05342575,1000,0.043573,0.082592,0.046139604,0.0035849359120051225,0.044911,0.045049,0.045492,1000,0.688074,2.118224,0.711021015,0.09716727274193082,0.6943845,0.6970745,0.70314825,1000,1.702005,2.745217,1.7483962290000001,0.10900553820358191,1.711465,1.719277,1.74556825,1000,0.001293,0.018532,0.001548926,0.0007479510201370141,0.001412,0.0014675,0.001527,1000,0.011945,0.036036,0.012654183000000001,0.0015656573167558091,0.01224375,0.012349,0.012503,1000,2.526623,4.971163,2.593477767,0.19468368952417847,2.53854525,2.550574,2.58467925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000295,0.000805,0.000359744,5.2234303517899035e-05,0.000332,0.000349,0.000375,1000,2.61836,4.949053,2.678907567,0.17489140603009487,2.629548,2.6415425,2.6776385,1000,0.052082,0.127602,0.053642323,0.0033626245455999097,0.05280775,0.0530275,0.0534035,1000,0.044568,0.07933,0.04596379,0.0032585511062280426,0.04508675,0.045299,0.0455325,1000,0.688763,1.944766,0.7072293860000001,0.08463937721970197,0.69363525,0.695776,0.69848575,1000,1.818645,2.862942,1.864450792,0.1063057999276838,1.82819825,1.8347625,1.86716325,1000,0.001284,0.010974,0.001512314,0.00034511168540633336,0.001412,0.001461,0.001538,1000,0.011942,0.035999,0.012621385,0.0010524560241525532,0.01232475,0.0124755,0.0126725,1000,2.643995,5.005999,2.704696416,0.1769756654582571,2.65497725,2.667534,2.70331875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
