SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343994,0.677849,0.36359143529411764,0.032240021688717126,0.349087,0.354652,0.3635775,255,11.783101,26.286422,12.446224925490197,1.1196513798464998,12.193362,12.300725,12.4242135,255,0.284263,0.615792,0.3013949254901961,0.031191773542393168,0.2878445,0.289935,0.299372,255,0.137014,0.30874,0.14615301960784313,0.021514893600817955,0.138394,0.13939,0.1439255,255,3.550885,8.122109,3.6850054823529415,0.3373978499614636,3.5833635,3.626527,3.681855,255,3.550885,8.122109,3.6850054823529415,0.3373978499614636,3.5833635,3.626527,3.681855,255,0.025275,0.054208,0.028164933333333333,0.004365257101278393,0.0262275,0.026685,0.027333,255,0.05042,0.121271,0.05416005098039216,0.007492178252942971,0.051794,0.052306,0.05294,255,40.215375,90.148747,48.22079057254902,3.9602729266069434,47.630403,47.971405,48.154895,255,27.230989,62.930028,35.226220756862745,3.2554281905868403,35.106021,35.205138,35.3238145,255,0.020554,0.054418,0.022529117647058824,0.004361251311924941,0.0212515,0.021617,0.0219845,255,21.788244,32.282411,22.403714552941178,1.6932055967421353,21.8742985,21.905309,21.9451455,255,4.936376,30.140206,12.369606223529411,2.395634056934052,12.7705825,12.863596,12.955283,255,0.39801,0.746732,0.42837776862745097,0.03904814045500151,0.409809,0.415258,0.429938,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.659565,17.905808,9.207787190883192,0.8788461892731366,8.824296,8.98204,9.240992,1755,8.366273,17.607238,8.912513134472935,0.8738793584902509,8.5348875,8.686759,8.928316,1755,0.004773,0.673843,0.1743411311490978,0.17045172125989003,0.02829725,0.1160625,0.28027375,10530,0.006204,0.333044,0.0798602480531814,0.07712337399568227,0.01480625,0.061984,0.122506,10530,0.037207,7.235609,1.1883336762583094,1.24337721135145,0.08977175,0.896951,1.71073975,10530,0.037207,7.235609,1.1883336762583094,1.24337721135145,0.08977175,0.896951,1.71073975,10530,0.09371,0.227421,0.1106261356125356,0.01593331128063639,0.1006035,0.103707,0.1160045,1755,0.127025,0.23393,0.1409396017094017,0.013969864746240715,0.1327375,0.135072,0.1417085,1755,23.556685,54.666248,30.93015547122507,4.36686700661787,28.0510195,30.100956,32.947047,1755,14.236491,40.060498,21.134854374358973,4.063881566967448,18.415302,20.434385,22.9633095,1755,0.073354,0.164866,0.08565838347578347,0.010291995110269554,0.080493,0.082875,0.085732,1755,13.451151,38.470985,20.271258486609685,3.955929490492859,17.6231625,19.589559,22.1183605,1755,0.106035,1.042512,0.2698642393162393,0.11762280301640811,0.2036205,0.239606,0.2965615,1755,0.43242,0.988438,0.505841313960114,0.04986120137209843,0.477789,0.496063,0.521633,1755,0.0,3.7,1.22,1.5497096502248415,0.0,0.0,2.4,5
BilateralLagrangianConstraint_NNCG,0.036628,1.67947,0.106516116,0.11755958462788368,0.05320125,0.09278,0.12295575,1000,0.192267,0.410623,0.216572646,0.023671297558112103,0.199664,0.2054055,0.231163,1000,0.001954,0.021916,0.002678284,0.001030995221785242,0.00214675,0.002251,0.003071,4000,0.004145,0.050806,0.00531891425,0.0016332416612053887,0.004495,0.0047015,0.005924,4000,0.014295,0.092209,0.017485629250000002,0.0035035398241342196,0.01540775,0.016256,0.01858525,4000,0.014295,0.092209,0.017485629250000002,0.0035035398241342196,0.01540775,0.016256,0.01858525,4000,0.020352,0.050739,0.023150367999999998,0.003980830811096598,0.02084975,0.021139,0.024828,1000,0.02561,0.067684,0.028121984,0.003228485567529147,0.02624975,0.026635,0.0296185,1000,0.496915,2.390561,0.607522346,0.15172041639405123,0.5246315,0.566476,0.67218575,1000,0.089705,0.20521,0.105703869,0.017308353520997858,0.093238,0.097184,0.116459,1000,0.025136,0.0897,0.029300076,0.005428102913009664,0.0261205,0.0268385,0.03159425,1000,0.041132,0.117088,0.048706184,0.009607995274777355,0.04215875,0.045045,0.05421825,1000,0.0061,0.033054,0.007545665,0.0022389175439874957,0.006337,0.006556,0.00805325,1000,0.016233,0.050159,0.019597441,0.0036671695958216876,0.0172525,0.0178985,0.0211,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035893,1.604237,0.109168114,0.11843823019004042,0.0536885,0.093425,0.126345,1000,0.191499,0.412775,0.22060276199999998,0.028393130344809746,0.19978325,0.209612,0.2362135,1000,0.001932,0.021834,0.00270153625,0.0012326642029303592,0.00211,0.0022425,0.00304325,4000,0.004256,0.027891,0.0054777015,0.0016696733335888642,0.00457775,0.0048125,0.005979,4000,0.014504,0.059186,0.01779910925,0.003682262633872608,0.0154495,0.016495,0.01877025,4000,0.014504,0.059186,0.01779910925,0.003682262633872608,0.0154495,0.016495,0.01877025,4000,0.020326,0.072037,0.023511663000000002,0.004782771755941423,0.02078875,0.021085,0.0255995,1000,0.025457,0.089583,0.029302215,0.005797897674569205,0.02621775,0.027042,0.02990425,1000,0.495864,2.359662,0.62033122,0.15987098974037034,0.53221875,0.572111,0.67696075,1000,0.0902,0.224548,0.107923603,0.0190293940705791,0.09337725,0.0981855,0.11842525,1000,0.02515,0.067631,0.029820091,0.005994583926071851,0.02602425,0.0270125,0.03212675,1000,0.041185,0.10936,0.049676024,0.010515868758092411,0.042235,0.045487,0.05455775,1000,0.006007,0.040803,0.007801136,0.002649589550761401,0.0063465,0.006901,0.0082605,1000,0.016553,0.058394,0.02005664,0.004408766513708795,0.01720875,0.0182455,0.0212185,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.027586,1.673282,0.077820636,0.11499663317394779,0.05206975,0.0658,0.077175,1000,0.19393,0.348811,0.206121783,0.015955188188357762,0.1977005,0.200847,0.205702,1000,0.0019,0.019344,0.0025009715,0.001010775175886186,0.002094,0.002178,0.00293,4000,0.004128,0.022952,0.004996520000000001,0.0012449221128648972,0.0044,0.004519,0.005779,4000,0.014474,0.054038,0.016902384750000003,0.003281627817824172,0.01515775,0.0158585,0.018412,4000,0.014474,0.054038,0.016902384750000003,0.003281627817824172,0.01515775,0.0158585,0.018412,4000,0.020498,0.058279,0.021845225,0.0031627249093740357,0.02093175,0.0210915,0.021289,1000,0.025593,0.063958,0.027019547999999997,0.0032326081488012123,0.026079,0.026253,0.026469,1000,0.514166,2.435548,0.579528497,0.13984798997698894,0.533628,0.5608725,0.585175,1000,0.102124,0.246935,0.125565797,0.016976275451870797,0.113855,0.1236035,0.13051275,1000,0.025022,0.07315,0.027260234,0.004199330875418607,0.02587175,0.0262,0.02667675,1000,0.046319,0.105378,0.050180727,0.0073622587292536115,0.0472615,0.0477405,0.04888525,1000,0.009373,0.08024,0.028590121,0.009923047507412177,0.02035325,0.029793,0.0343075,1000,0.016996,0.047531,0.019015736000000002,0.00318099580262282,0.01756375,0.0178405,0.0185695,1000,0.0,4.8,1.2,1.85903200617956,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039892,1.432143,0.079691531,0.0944893161371752,0.07128725,0.073986,0.07488425,1000,0.059316,0.150192,0.07852384600000001,0.010168345769508627,0.0763185,0.0771085,0.08035975,1000,0.00286,0.020843,0.004168828,0.0011766457727013682,0.00407,0.004136,0.0042,1000,0.005793,0.024868,0.007741988,0.0015219831069548703,0.007559,0.007674,0.00779525,1000,0.018399,0.056898,0.02517959,0.003953887583113612,0.024795,0.0249955,0.0253525,1000,0.018399,0.056898,0.02517959,0.003953887583113612,0.024795,0.0249955,0.0253525,1000,0.006253,0.039966,0.009473511,0.002239017157566909,0.009311,0.009454,0.009656,1000,0.009617,0.04176,0.012082679,0.0019370812791307957,0.01193,0.012034,0.01213425,1000,0.162426,1.696798,0.266306472,0.10476183211556207,0.2594655,0.262055,0.2663185,1000,0.012711,0.099838,0.038743125999999996,0.010264515566168917,0.039495,0.0399065,0.04085675,1000,0.001981,0.018253,0.002944397,0.0008381850579621423,0.002852,0.002917,0.002995,1000,0.007192,0.049116,0.016968088,0.004373120836457186,0.01722275,0.0173625,0.0175125,1000,0.001936,0.071425,0.016216645000000002,0.006296466899537788,0.0174975,0.017684,0.01781125,1000,0.00097,0.003712,0.0013445640000000001,0.00023280758128548993,0.00129,0.001333,0.00137,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.038319,1.555406,0.098655601,0.10153787448896988,0.07441975,0.099202,0.10442975,1000,0.059472,0.178201,0.08139596,0.013393441088473118,0.076457,0.0781885,0.08256325,1000,0.00288,0.022318,0.004294994,0.001390636401783011,0.004088,0.004162,0.004246,1000,0.005762,0.026646,0.007974121,0.0019196213372326847,0.007609,0.0077185,0.00788,1000,0.018396,0.058108,0.025900455000000003,0.004878688441986739,0.0247685,0.025118,0.02563325,1000,0.018396,0.058108,0.025900455000000003,0.004878688441986739,0.0247685,0.025118,0.02563325,1000,0.00617,0.025654,0.009670479,0.002096587247304295,0.00924675,0.0094815,0.009771,1000,0.009705,0.039424,0.012547285,0.002678104614046098,0.01194275,0.012091,0.01228325,1000,0.162496,1.915922,0.282497368,0.11641655772677947,0.249782,0.2800805,0.29308725,1000,0.012682,0.097454,0.030244592,0.008668608326457945,0.026748,0.030528,0.032406,1000,0.002035,0.030852,0.003150652,0.0014963019651447365,0.00289,0.0029695,0.0030805,1000,0.007131,0.053012,0.01652302,0.004989996509377537,0.01565975,0.016383,0.01672825,1000,0.001897,0.041993,0.007926843,0.0034118084463156777,0.00623275,0.0091925,0.009492,1000,0.00099,0.01058,0.0013704680000000001,0.0005780046184728977,0.00123,0.001292,0.001359,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00872,0.12711,0.010419242,0.008237079191402496,0.009051,0.009185,0.0095165,1000,1.124277,1.386429,1.1994224480000002,0.0544603056582801,1.14880975,1.1918945,1.24570475,1000,0.067085,0.13642,0.06990831600000001,0.006683726605580452,0.06741675,0.067586,0.06995525,1000,0.037716,0.078583,0.040144793,0.004843841848177023,0.0383265,0.038525,0.0409025,1000,0.014651,0.051693,0.015839002,0.0027326430769487623,0.01504775,0.015213,0.015453,1000,0.996135,1.246285,1.065091759,0.05212516566986544,1.0183705,1.05309,1.112879,1000,0.002861,0.018381,0.0032646100000000003,0.0011664064651312595,0.002998,0.003044,0.00311325,1000,0.010921,0.034293,0.011740513999999999,0.001912789663764419,0.011251,0.0113565,0.011483,1000,1.162866,1.569958,1.241147398,0.05689727761084528,1.1889415,1.2349945,1.28509475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,12.0,2.88,4.591470352730158,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.0003,0.017639,0.000399656,0.0006349395574887424,0.000333,0.000349,0.00037,1000,2.56575,4.971739,2.672601999,0.22541134183358874,2.60240925,2.630912,2.66457725,1000,0.051779,0.123454,0.055493526,0.008385771370322708,0.05225775,0.052559,0.05523675,1000,0.044146,0.105106,0.04705814,0.006905457050941668,0.044574,0.0447625,0.0466985,1000,0.689876,2.06001,0.723888188,0.10079833792584407,0.697992,0.710525,0.72735025,1000,1.765899,3.285655,1.837912943,0.14067073971463911,1.78739075,1.8108945,1.83512975,1000,0.001238,0.011453,0.001504055,0.00047571738456251525,0.001354,0.001416,0.001491,1000,0.011847,0.035046,0.0130505,0.002586798725065404,0.01220975,0.012349,0.01256325,1000,2.59065,5.079723,2.699601484,0.2300118973315462,2.6281345,2.656418,2.69194125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.0003,0.004223,0.000380382,0.00015542062950586708,0.000344,0.000364,0.000388,1000,2.603145,4.966239,2.683168992,0.17845037298556127,2.633518,2.659462,2.6894565,1000,0.051717,0.120966,0.053972319000000005,0.00552643635620994,0.0523,0.0525615,0.05293,1000,0.044233,0.086809,0.046205805999999995,0.004443108699814129,0.044645,0.044921,0.04603,1000,0.688128,1.923194,0.714790449,0.08559644025364256,0.6954825,0.7059665,0.71813075,1000,1.806241,2.894514,1.8604874210000002,0.10775426521772472,1.820413,1.8425405,1.86636425,1000,0.00129,0.010948,0.0015183,0.00034214781893211017,0.001422,0.0014835,0.00155725,1000,0.011726,0.029166,0.012463681,0.0013864555128957439,0.012107,0.012247,0.01244275,1000,2.626845,5.023164,2.7092534109999997,0.18066502450995342,2.6596585,2.6856495,2.71536525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
