SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.336071,0.598768,0.3575846235294117,0.021178784954673607,0.3467965,0.350685,0.361855,255,11.525622,15.398554,12.052997317647058,0.36895506973625314,11.8513275,12.052333,12.1855465,255,0.28174,0.385517,0.2948592431372549,0.016525360357249785,0.2853075,0.287253,0.296132,255,0.135859,0.20986,0.14238081568627453,0.010852457584568204,0.13776,0.138693,0.1401545,255,3.576076,5.556186,3.6666322352941174,0.13912762057289005,3.6101605,3.652161,3.6870195,255,3.576076,5.556186,3.6666322352941174,0.13912762057289005,3.6101605,3.652161,3.6870195,255,0.022989,0.056659,0.024654745098039218,0.0030781731075628332,0.0237505,0.024088,0.0244885,255,0.052404,0.088387,0.05552527843137255,0.004849188328778968,0.053887,0.05434,0.0549815,255,39.767739,55.102455,47.235738705882355,2.1733325767711404,47.290037,47.62227,47.917158,255,27.211633,42.044624,34.65028391372549,2.123896087419027,35.0228145,35.16257,35.290213,255,0.021003,0.050872,0.022755317647058824,0.002635514154749441,0.021839,0.02224,0.022713,255,21.744288,28.52013,22.03217097647059,0.911314691750924,21.8396415,21.869157,21.905253,255,4.908903,16.204754,12.172853478431373,1.8248110762736838,12.709912,12.86239,12.954059,255,0.395365,0.507991,0.41959667843137255,0.017824482282351107,0.4082095,0.414224,0.4252555,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,9.000032,13.531844,9.354389,0.27913076055739616,9.1654995,9.267636,9.4747605,1755,8.722052,13.236884,9.042727778347578,0.2740139471630298,8.8603435,8.950982,9.157025,1755,0.00496,0.670394,0.17624793447293446,0.17128879593653107,0.0304135,0.119585,0.2839185,10530,0.006231,0.295685,0.07718638698955366,0.07327542904700977,0.01456125,0.0598235,0.10811475,10530,0.034855,5.132082,1.1587819051282051,1.1936856256813724,0.0872105,0.8792275,1.730568,10530,0.034855,5.132082,1.1587819051282051,1.1936856256813724,0.0872105,0.8792275,1.730568,10530,0.09726,0.199046,0.113784445014245,0.013396546685385013,0.1040995,0.110312,0.120813,1755,0.132355,0.28344,0.14572840113960114,0.013043161539330918,0.1375545,0.140913,0.149427,1755,24.254325,41.375819,30.93088041709402,3.6916787436022487,28.458473,30.494506,32.6699205,1755,14.52407,31.588618,21.052904846723646,3.65480896235637,18.669724,20.613566,22.862665,1755,0.072834,0.158713,0.08442691737891737,0.010303135496612176,0.07915,0.081949,0.085869,1755,13.715616,30.773646,20.210611028490028,3.5649654939899804,17.861102,19.740214,22.016044,1755,0.100148,0.648772,0.2559107715099715,0.10367594298087124,0.198089,0.229946,0.2816505,1755,0.438503,0.641802,0.49975091908831903,0.030649493163468447,0.478466,0.493383,0.516772,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.041476,1.843688,0.108118565,0.12319605904353344,0.055078,0.0930345,0.12358525,1000,0.126135,0.272918,0.146068952,0.018053998727863476,0.1320025,0.1386895,0.1583635,1000,0.001891,0.023055,0.0026612345,0.0013299557975774044,0.002068,0.002197,0.00302525,4000,0.004074,0.027284,0.00527967775,0.0017563187949244687,0.004373,0.004666,0.005775,4000,0.000334,0.041245,0.000759316,0.0010169880322029358,0.000446,0.000513,0.000974,4000,0.000334,0.041245,0.000759316,0.0010169880322029358,0.000446,0.000513,0.000974,4000,0.020202,0.070474,0.023032664,0.00368516305108797,0.020773,0.0211545,0.02468825,1000,0.027529,0.068333,0.030361975,0.004491819849056171,0.02815475,0.0285715,0.03151475,1000,0.422538,2.440248,0.5264648710000001,0.1509254692621307,0.45462025,0.4887865,0.57906625,1000,0.085322,0.198448,0.100122199,0.015878589386321414,0.088047,0.0923155,0.11059,1000,0.024944,0.06912,0.029194647,0.0054946776158743835,0.025973,0.0265665,0.03163925,1000,0.037718,0.11038,0.044705615,0.008841276985751267,0.038698,0.040971,0.04990875,1000,0.005256,0.025101,0.006492401,0.0018440341895417775,0.005469,0.0056695,0.00698225,1000,0.016247,0.04503,0.019196623,0.003440319446631519,0.01678875,0.0174485,0.02072475,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036567,1.708142,0.108677044,0.1224184572260003,0.05357425,0.0938365,0.12583625,1000,0.125606,0.239832,0.14534118299999998,0.017688686773571154,0.13107675,0.139277,0.15659025,1000,0.00189,0.017983,0.00255705725,0.0009543110640521975,0.002064,0.00218,0.002991,4000,0.003992,0.028781,0.00530770525,0.0016905242270882832,0.004359,0.004704,0.00582,4000,0.000335,0.014404,0.00073011275,0.0007519292310699442,0.000454,0.000511,0.000902,4000,0.000335,0.014404,0.00073011275,0.0007519292310699442,0.000454,0.000511,0.000902,4000,0.020337,0.06967,0.024114044,0.005327673614633689,0.020888,0.0229555,0.0262975,1000,0.027587,0.063812,0.030474234,0.004367767220588113,0.028203,0.0286495,0.03186325,1000,0.420996,2.344687,0.529178812,0.1506451170773373,0.45403875,0.490712,0.581496,1000,0.085138,0.195322,0.100158183,0.01586893652408727,0.0878305,0.092135,0.11146775,1000,0.024939,0.072874,0.028900428,0.004958810642766671,0.02580975,0.0265505,0.031558,1000,0.037611,0.114538,0.044808467,0.009086162016655382,0.03849475,0.0413795,0.05003225,1000,0.005275,0.028251,0.006616065,0.001906214955553282,0.00551375,0.0059035,0.00702575,1000,0.016023,0.055984,0.019281068,0.004018205448875904,0.01674,0.0174215,0.02079725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038138,1.715064,0.079811704,0.117604353705075,0.052936,0.0674885,0.07898575,1000,0.126861,0.269782,0.13771291500000002,0.013636478073893381,0.131636,0.1329655,0.1368395,1000,0.001915,0.025885,0.0024655149999999997,0.0011031667495329074,0.002069,0.002147,0.0029,4000,0.004094,0.026531,0.0050071385,0.0016019101692410064,0.004378,0.004499,0.005673,4000,0.000373,0.078797,0.00077357625,0.001511128020118063,0.000466,0.000521,0.000984,4000,0.000373,0.078797,0.00077357625,0.001511128020118063,0.000466,0.000521,0.000984,4000,0.02025,0.051699,0.021429766,0.0026900338951849657,0.020616,0.0207925,0.021137,1000,0.027613,0.069458,0.02959223,0.004814212944511284,0.028287,0.0285245,0.02877425,1000,0.439297,2.385582,0.502527195,0.13923356087802602,0.462286,0.485375,0.507574,1000,0.097844,0.232752,0.121481568,0.017053964391700132,0.108898,0.1193455,0.1263605,1000,0.025017,0.061771,0.027209771,0.004531975393419408,0.02574,0.0260315,0.02639275,1000,0.043168,0.116386,0.046974891000000005,0.008094465583540336,0.0439545,0.0443405,0.04520275,1000,0.008823,0.093521,0.028104303,0.010346045267501538,0.01954175,0.0291825,0.033613,1000,0.016656,0.060039,0.018656147,0.0036914383407272294,0.01721,0.01739,0.01789775,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040192,1.637715,0.08492649199999999,0.09924264429434523,0.07570675,0.076333,0.07933725,1000,0.040189,0.152014,0.054338568,0.009498715343738648,0.05137925,0.051993,0.05470425,1000,0.00288,0.019958,0.004169142,0.0013109665319282564,0.003995,0.0040855,0.004188,1000,0.005727,0.029534,0.007905994,0.0023916858510189,0.0074495,0.007569,0.00775325,1000,0.000775,0.011734,0.0010650809999999998,0.0008447654600177494,0.000938,0.000962,0.000987,1000,0.000775,0.011734,0.0010650809999999998,0.0008447654600177494,0.000938,0.000962,0.000987,1000,0.006239,0.03705,0.009732771000000001,0.0028455322090180247,0.0092965,0.0094655,0.00963625,1000,0.011139,0.037856,0.014384066999999999,0.002815801550271432,0.013899,0.014043,0.014207,1000,0.141981,1.873559,0.246615929,0.10854642361459893,0.2346485,0.2378585,0.2560145,1000,0.011972,0.162718,0.038039276,0.01123107946191389,0.03788625,0.038477,0.04081925,1000,0.002031,0.02399,0.003122347,0.001338647687254193,0.002928,0.003004,0.00309,1000,0.006859,0.130304,0.01628452,0.005657652353017106,0.01582375,0.016091,0.01655625,1000,0.001584,0.056495,0.016407612000000002,0.006669150810819619,0.01715175,0.017495,0.017755,1000,0.000959,0.022876,0.0014542650000000002,0.0011471337553986456,0.001275,0.001324,0.00136525,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.03338,1.495675,0.098754244,0.1002026842081711,0.0756125,0.1036695,0.105206,1000,0.040114,0.127426,0.053123790000000004,0.008721866992330254,0.05086875,0.0512985,0.052035,1000,0.002848,0.02194,0.004178471,0.0014664243318899886,0.00400375,0.0040715,0.004134,1000,0.005602,0.023206,0.007721082999999999,0.0019639960529774492,0.00741975,0.00751,0.00759725,1000,0.000758,0.02109,0.001050144,0.0008790713504966476,0.000943,0.000971,0.000999,1000,0.000758,0.02109,0.001050144,0.0008790713504966476,0.000943,0.000971,0.000999,1000,0.006114,0.038436,0.009377677,0.002285390419309357,0.0091475,0.009292,0.009435,1000,0.011133,0.043104,0.014273914,0.002886523668810634,0.013739,0.013906,0.014105,1000,0.142604,1.722003,0.24797679,0.10991184537617363,0.22058975,0.252529,0.25586575,1000,0.012016,0.105443,0.027586153999999998,0.0072477947178630825,0.024677,0.028627,0.0292455,1000,0.001971,0.019078,0.003035326,0.0013335657350592057,0.002825,0.002893,0.002973,1000,0.006851,0.075167,0.015006437,0.004511222170324911,0.01422425,0.0148835,0.015224,1000,0.00153,0.026731,0.007378725,0.002964481360267762,0.00577175,0.0088255,0.00907725,1000,0.000947,0.01536,0.001401696,0.0010397893313474611,0.001205,0.001265,0.00131725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008512,0.160441,0.010345093000000001,0.008950394773659484,0.00891,0.009126,0.009435,1000,1.096525,1.271657,1.131959675,0.02845567235778088,1.1084665,1.1253995,1.148742,1000,0.066805,0.120298,0.069295127,0.006421667809134245,0.06738,0.0675605,0.06780425,1000,0.037425,0.075755,0.039151254,0.004937069745657235,0.037765,0.03793,0.03818225,1000,0.000693,0.019308,0.000972866,0.0009683332009406679,0.00077975,0.000823,0.00087,1000,0.983344,1.156473,1.014666886,0.025570276827226648,0.993381,1.01075,1.0292175,1000,0.002768,0.020439,0.003062937,0.0007189225695657357,0.00292175,0.0030025,0.003095,1000,0.00847,0.025593,0.009026454,0.0012322275641633732,0.00874175,0.008835,0.0089725,1000,1.129614,1.456685,1.168802524,0.03330726722622893,1.1447645,1.1606605,1.1856655,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.002789,0.000349638,9.439890336227428e-05,0.00032,0.000339,0.00036,1000,2.509121,5.226092,2.604813894,0.19943434813385771,2.54946575,2.579707,2.615549,1000,0.051752,0.110874,0.054762871,0.005809735399513389,0.052155,0.052739,0.056527,1000,0.044164,0.092609,0.046684186999999995,0.005955351672909921,0.044547,0.0448015,0.047146,1000,0.689575,2.192662,0.722054359,0.10112620841269644,0.695594,0.715857,0.7259025,1000,1.706742,2.878719,1.7738199369999998,0.11304959074361583,1.737918,1.7593835,1.77799475,1000,0.001201,0.002509,0.001338633,0.00010931398954845625,0.001287,0.00132,0.001363,1000,0.005934,0.027361,0.006584273,0.0014823560673707919,0.00624675,0.0063795,0.00657425,1000,2.525689,5.27726,2.6231219670000003,0.20160939976577955,2.56771475,2.598297,2.63417475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000281,0.000959,0.00033757,5.08894399654781e-05,0.000312,0.000328,0.00035,1000,2.617156,5.059677,2.698628796,0.18983382502998875,2.63866575,2.6762595,2.7049295,1000,0.051816,0.113784,0.053798074999999994,0.005646148709994716,0.0521875,0.052453,0.05277275,1000,0.044153,0.096209,0.045588387,0.004331698785376357,0.044519,0.0446845,0.04489625,1000,0.688502,1.994314,0.718712245,0.09012083764309436,0.695217,0.7056285,0.729026,1000,1.816583,2.928453,1.87309902,0.11387751764901446,1.835749,1.8538085,1.878086,1000,0.001183,0.01185,0.001359971,0.00045665016386617016,0.001283,0.0013205,0.00136,1000,0.005876,0.021629,0.006517129,0.0011972930110708071,0.00614075,0.006305,0.0065175,1000,2.633278,5.10937,2.716637826,0.19254446089724242,2.65646975,2.694136,2.7229145,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
