SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328399,0.404692,0.34169171372549023,0.01169088499008438,0.3340705,0.338985,0.3451985,255,12.110743,13.899217,12.621088270588237,0.2548544181104518,12.5208255,12.668977,12.740244,255,0.283947,0.395343,0.29648535294117645,0.01515633147478214,0.2875735,0.291086,0.298362,255,0.135849,0.214296,0.1477789333333333,0.015054375795092579,0.1371805,0.138424,0.162803,255,3.86215,4.198503,3.963900156862745,0.054566542422836706,3.936403,3.962745,3.9958235,255,3.86215,4.198503,3.963900156862745,0.054566542422836706,3.936403,3.962745,3.9958235,255,0.022869,0.053499,0.024745435294117647,0.0028555760221647348,0.0238265,0.02421,0.0246805,255,0.053987,0.091163,0.05629654117647059,0.0034779457703704685,0.054893,0.055384,0.0559935,255,40.323629,56.882799,47.89894841568627,2.345780459239365,47.8493855,48.225333,48.4410495,255,27.192824,42.68472,34.754955580392156,2.3001786134209903,35.0357535,35.125915,35.2356145,255,0.020265,0.04845,0.021810258823529414,0.0018529331881309288,0.0211965,0.021529,0.022083,255,21.802698,28.531891,22.21076954117647,1.2244783770567156,21.8809325,21.916289,21.971238,255,4.876816,13.973317,12.109297690196078,1.794452156434445,12.704253,12.800872,12.8633645,255,0.383447,0.532447,0.4107809803921569,0.017764414880614445,0.4011555,0.406064,0.414002,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.860177,35.454925,13.046748997150997,0.874226969851808,12.795854,12.874147,13.105284,1755,11.567879,34.967435,12.715336708831908,0.8649466258536038,12.474202,12.54678,12.76274,1755,0.007804,3.561269,0.24424202317188984,0.21896361171320067,0.05043675,0.2700145,0.39148825,10530,0.00838,0.409332,0.0950429972459639,0.07876234169987312,0.022215,0.1023455,0.152715,10530,0.073957,12.479054,1.8304039062678061,1.8721363150773536,0.16777775,1.1540805,2.64832775,10530,0.073957,12.479054,1.8304039062678061,1.8721363150773536,0.16777775,1.1540805,2.64832775,10530,0.092421,0.181528,0.10903561994301995,0.01507829219420201,0.0983505,0.101547,0.1183165,1755,0.131457,0.204015,0.14551123076923078,0.014037368878946356,0.1368205,0.138963,0.147136,1755,23.708373,62.975296,28.672055298575497,2.5995093152955793,26.941121,28.472392,30.3210315,1755,10.323829,26.864238,15.035270413675214,2.372669635383387,13.3075715,14.835656,16.759231,1755,0.073083,0.147842,0.08578385128205128,0.011759600654260481,0.07956,0.0819,0.0872845,1755,9.511009,25.827967,14.198376484900285,2.292284570927696,12.5184525,13.985631,15.9091065,1755,0.103461,0.667312,0.2653163715099715,0.10259497278929576,0.204922,0.240553,0.2913215,1755,0.414421,0.788834,0.4837148769230769,0.030400543769272835,0.460622,0.483127,0.502462,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.02097,1.715155,0.095325459,0.1221333056260835,0.04295375,0.081095,0.1102945,1000,0.274868,0.53155,0.303365101,0.027667126196278483,0.28447325,0.290046,0.32077575,1000,0.001297,0.013902,0.002002182,0.0007318128325439504,0.001579,0.0017575,0.002388,4000,0.00303,0.02538,0.00392289125,0.0009776450789644661,0.00335,0.0035655,0.004411,4000,0.021014,0.06025,0.024317973750000003,0.003365046907631592,0.02203375,0.023559,0.025604,4000,0.021014,0.06025,0.024317973750000003,0.003365046907631592,0.02203375,0.023559,0.025604,4000,0.020936,0.0636,0.023503616999999997,0.004219674324673765,0.021329,0.021512,0.02504075,1000,0.025839,0.073303,0.027879907,0.0029750805179609846,0.02633175,0.026645,0.02904425,1000,0.574885,2.582547,0.685570936,0.15911856213878978,0.59627375,0.6408985,0.75198325,1000,0.092202,0.231209,0.106453263,0.01649585801823691,0.09525725,0.098878,0.116084,1000,0.025592,0.068707,0.029572305,0.0047870827105842865,0.02661575,0.027471,0.0316155,1000,0.04193,0.116694,0.048966938,0.00890875029340008,0.04311275,0.0445295,0.0535075,1000,0.006199,0.142725,0.007676891,0.004580782767946871,0.00649075,0.006661,0.00803825,1000,0.016935,0.049068,0.019656533,0.0030549223209291264,0.01757175,0.018133,0.02130025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.031772,1.678308,0.095239063,0.11962153556086391,0.043156,0.081924,0.110751,1000,0.273643,0.446379,0.306496269,0.02721400030415666,0.28659025,0.2937135,0.32580425,1000,0.001286,0.019923,0.00202518375,0.0007328173715093942,0.001591,0.0017965,0.002425,4000,0.003036,0.043201,0.00398800975,0.0011778170406115448,0.003401,0.00363,0.00443425,4000,0.020931,0.109263,0.02459332775,0.0036909403677558837,0.022219,0.023604,0.0257845,4000,0.020931,0.109263,0.02459332775,0.0036909403677558837,0.022219,0.023604,0.0257845,4000,0.020774,0.06729,0.023284568999999998,0.0033159286296962124,0.021202,0.0214575,0.02502475,1000,0.025784,0.061955,0.027879928,0.002606673985909247,0.0263365,0.026648,0.02907775,1000,0.574308,2.493202,0.689373828,0.15610058583475084,0.60046825,0.645135,0.7568255,1000,0.092097,0.204781,0.106862357,0.01584843830115608,0.0955815,0.0992085,0.11776725,1000,0.025702,0.092725,0.029619916,0.005094950139986063,0.02652975,0.0272745,0.032039,1000,0.04186,0.120848,0.049099469,0.008800857358066827,0.04324675,0.0448655,0.0536565,1000,0.00611,0.022543,0.007691808,0.0017335867400092792,0.0065205,0.0070585,0.00829425,1000,0.0171,0.065937,0.019875861,0.0032879202803107925,0.017743,0.018206,0.02144575,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031438,1.669318,0.067144629,0.11676411364840379,0.04226075,0.054611,0.06778775,1000,0.272466,0.481298,0.291887675,0.0168529241090493,0.2848985,0.287649,0.292093,1000,0.001275,0.014124,0.001891871,0.0007261249616002744,0.001536,0.001649,0.002345,4000,0.003009,0.024746,0.003767003,0.0008990567812941516,0.003318,0.003447,0.00434925,4000,0.020843,0.065039,0.02346053025,0.0027969792887300644,0.021787,0.023241,0.02394925,4000,0.020843,0.065039,0.02346053025,0.0027969792887300644,0.021787,0.023241,0.02394925,4000,0.020868,0.0471,0.021860186,0.001964132600769103,0.02129875,0.021435,0.02157925,1000,0.02575,0.060433,0.026783689,0.0020825306096859657,0.026182,0.0263255,0.026487,1000,0.593674,2.551856,0.6556340979999999,0.14216546685638676,0.613373,0.6403035,0.65665225,1000,0.104127,0.223605,0.126688825,0.015668850194394453,0.1157395,0.1258145,0.131843,1000,0.025765,0.073444,0.027498429,0.0033118593292830244,0.02657675,0.026865,0.02715425,1000,0.047527,0.108423,0.050588633,0.0061985756541572505,0.04851625,0.0489495,0.04949,1000,0.009329,0.060487,0.029168033,0.009927878932677965,0.02073425,0.030703,0.0350435,1000,0.017203,0.053915,0.018871302,0.0028815422094420205,0.017754,0.017977,0.018319,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036996,1.532494,0.07960063499999999,0.10100418986513271,0.0717625,0.072416,0.07517925,1000,0.080986,0.21301,0.107891397,0.01045616731500558,0.10583875,0.1088275,0.1102135,1000,0.002303,0.013567,0.0032106329999999996,0.0009079763787186318,0.003069,0.003135,0.0032135,1000,0.0044,0.023219,0.005866557,0.0013321113860150734,0.005664,0.005755,0.00586025,1000,0.024937,0.138425,0.03425457,0.005004311299779422,0.03308925,0.0337,0.03612075,1000,0.024937,0.138425,0.03425457,0.005004311299779422,0.03308925,0.0337,0.03612075,1000,0.006509,0.019504,0.009805040999999999,0.0012977355791219565,0.009836,0.0099565,0.01013825,1000,0.010223,0.027373,0.012418296,0.0011974164139446227,0.01230375,0.0124235,0.012532,1000,0.183384,1.823288,0.29627873200000004,0.11086337634378711,0.2912295,0.2940855,0.29789175,1000,0.013036,0.087963,0.039647371,0.010297988187377134,0.04079775,0.0412055,0.0418945,1000,0.002203,0.014815,0.00327583,0.0009471284945032537,0.00311475,0.00318,0.003243,1000,0.007369,0.048592,0.017425996,0.004296184884520684,0.0175725,0.0177135,0.017881,1000,0.001859,0.059141,0.01695027,0.006383235375975101,0.0180915,0.018366,0.01864025,1000,0.000965,0.010962,0.001486636,0.0006364923986223245,0.001333,0.001383,0.001444,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.037253,1.43297,0.093911796,0.09547151213893275,0.0732915,0.100178,0.1025935,1000,0.081363,0.170102,0.10734792600000001,0.010181643915425642,0.105454,0.1080865,0.10993,1000,0.002272,0.021041,0.003269893,0.0010400043747749333,0.00310775,0.0031815,0.00326125,1000,0.004471,0.023848,0.005862473,0.0010500566628858653,0.00574,0.0058305,0.00592325,1000,0.025193,0.068865,0.033855860999999994,0.0036566462445359682,0.0329345,0.033491,0.035743,1000,0.025193,0.068865,0.033855860999999994,0.0036566462445359682,0.0329345,0.033491,0.035743,1000,0.006573,0.027497,0.009822493,0.0015452143527520704,0.00974675,0.009902,0.0100885,1000,0.01029,0.03882,0.012429795,0.001538868195452424,0.012279,0.0123745,0.01246825,1000,0.183509,1.734028,0.300044871,0.10634269050802861,0.27911,0.3093625,0.3153425,1000,0.013122,0.106345,0.029487931000000002,0.007034302036750981,0.0272775,0.031354,0.03200725,1000,0.002213,0.019894,0.003252576,0.0009394462444568077,0.003106,0.003168,0.003229,1000,0.007355,0.044149,0.016177672,0.003772572118385015,0.015813,0.01659,0.01686525,1000,0.001872,0.085401,0.008100171,0.00373465701741927,0.00644,0.0096815,0.00995125,1000,0.001003,0.005899,0.001439435,0.0005255540540943433,0.00128475,0.001362,0.001423,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006375,0.154835,0.008058846,0.009243562643931396,0.00670175,0.006869,0.007131,1000,1.139537,1.327662,1.1706618359999998,0.03425251734823448,1.146876,1.15265,1.19071,1000,0.066588,0.132822,0.06866098699999999,0.005386460556694999,0.06699,0.0672795,0.06917075,1000,0.0368,0.078997,0.038316128,0.002908962697185373,0.03718,0.0374295,0.0382115,1000,0.021558,0.161645,0.023347395,0.004811851903059259,0.021993,0.022219,0.0244255,1000,0.989609,1.164907,1.0170410749999999,0.030177120004688567,0.995618,1.0018085,1.0340525,1000,0.002887,0.014596,0.003222664,0.000692889865060819,0.003016,0.00309,0.00316625,1000,0.011094,0.032216,0.011613164,0.0011767852595541803,0.01135675,0.0114305,0.01151725,1000,1.174821,1.505097,1.2094662479999998,0.03843885405857589,1.18451475,1.1908745,1.23033525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.003243,0.000370794,0.00010580828683992573,0.000346,0.000361,0.000379,1000,2.517715,5.035112,2.597275716,0.19069775791232405,2.542237,2.572136,2.596689,1000,0.051633,0.137122,0.055757213,0.005608042480369688,0.0523665,0.055397,0.05726525,1000,0.044061,0.08018,0.04605695,0.0026415390126780258,0.044502,0.044915,0.04740825,1000,0.696899,2.104956,0.723085481,0.09613723805391768,0.7047145,0.7115445,0.71747125,1000,1.695725,2.828759,1.748191143,0.10820577534728242,1.71104875,1.730889,1.7506655,1000,0.001282,0.011996,0.001556873,0.0004960221253845437,0.00141875,0.001488,0.001601,1000,0.012767,0.032985,0.013437582,0.0013175845222512291,0.01309375,0.013249,0.01341325,1000,2.542709,5.09799,2.624390171,0.19315103684392113,2.56833075,2.599081,2.62337925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000297,0.000944,0.000365382,7.406992693394533e-05,0.000328,0.000345,0.000373,1000,2.621101,4.967467,2.69055265,0.18461546160306155,2.6353995,2.644052,2.6769335,1000,0.051113,0.107821,0.053750253,0.0061388576216582025,0.05173375,0.052048,0.053003,1000,0.042858,0.087365,0.045193884,0.004383026121134119,0.043584,0.044418,0.04469825,1000,0.697456,1.896911,0.717350757,0.0855007903900423,0.70241675,0.704171,0.707453,1000,1.797227,2.900418,1.849445647,0.10965233924433346,1.8112445,1.8172475,1.84202375,1000,0.001236,0.010484,0.0015585920000000001,0.0004662780045595116,0.00138475,0.001464,0.0015645,1000,0.012643,0.043238,0.013864038,0.002814315167239803,0.013051,0.013248,0.01345725,1000,2.647133,5.026275,2.718362408,0.18809327168472437,2.6617345,2.6705355,2.70414,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
