SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343641,0.467512,0.35856199607843137,0.0166590118525063,0.348333,0.353003,0.360683,255,11.862286,13.765244,12.355162470588235,0.2958609692352502,12.1238585,12.38313,12.4822215,255,0.282542,0.392884,0.29699630980392155,0.017993460126382244,0.2857725,0.291127,0.2994495,255,0.136713,0.209748,0.1464087254901961,0.015314041916065049,0.1382795,0.139091,0.144499,255,3.599766,3.916012,3.6944151686274513,0.05917926569423466,3.6565245,3.679924,3.720077,255,3.599766,3.916012,3.6944151686274513,0.05917926569423466,3.6565245,3.679924,3.720077,255,0.02241,0.053913,0.025099725490196078,0.003332285343562114,0.02376,0.024234,0.025003,255,0.047708,0.09086,0.05118120784313726,0.004751476864312332,0.0494525,0.049943,0.0507795,255,40.204503,54.128841,47.81962381568628,2.0168557231234985,47.6764865,47.967504,48.2643825,255,27.229085,41.217152,34.93285250588235,2.0770221089668093,35.099166,35.188459,35.3038425,255,0.020425,0.049632,0.02248292156862745,0.003203685293613464,0.021568,0.021869,0.022271,255,21.757426,28.253397,22.334952525490195,1.5231857038802017,21.86487,21.892185,21.950462,255,4.888328,13.379696,12.154563325490196,1.7825072107112434,12.7687455,12.852206,12.9126375,255,0.395747,0.508644,0.41786882745098036,0.017127116961742486,0.4078925,0.412819,0.422487,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.943668,27.828574,9.386783122507124,0.6094982030181507,9.1368325,9.299159,9.5309245,1755,8.65084,27.217113,9.076621304273505,0.5977677278015554,8.8314335,8.99473,9.21678,1755,0.004941,1.435046,0.17656113770180437,0.17350661305551615,0.0288635,0.1277455,0.2838355,10530,0.006235,0.747761,0.07993511633428299,0.07719683190270984,0.01458975,0.0787255,0.11868725,10530,0.036621,13.200414,1.1861335578347578,1.2224236577979262,0.08797475,0.982579,1.769336,10530,0.036621,13.200414,1.1861335578347578,1.2224236577979262,0.08797475,0.982579,1.769336,10530,0.098099,0.469122,0.11447518803418803,0.01713824006954776,0.105014,0.110543,0.1207715,1755,0.119821,0.446833,0.13371713903133903,0.014235261572465423,0.1267675,0.131511,0.1359525,1755,24.109913,63.548965,31.00624483988604,4.025793658626841,28.361643,30.402175,32.7245255,1755,14.446918,53.191853,21.10548707806268,3.917924408299138,18.555118,20.480458,22.8218515,1755,0.07162,0.331767,0.08336918803418804,0.011096019742523286,0.0789495,0.081415,0.0846335,1755,13.618593,51.949773,20.26007894017094,3.8261272353042712,17.769895,19.646543,21.9732085,1755,0.100266,2.018533,0.25843940683760686,0.11251957559992479,0.1985355,0.232793,0.2839865,1755,0.437914,2.160756,0.5013732518518519,0.06441354813220931,0.478728,0.495554,0.5156915,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.042017,1.791443,0.109144182,0.12383204842207399,0.056002,0.09457,0.12506875,1000,0.12278,0.292115,0.140430386,0.018293152048376025,0.12739225,0.1314385,0.15230925,1000,0.001835,0.020497,0.0025612444999999996,0.0009603270274858195,0.002017,0.002146,0.002991,4000,0.00396,0.025616,0.00507622775,0.0016627648958526691,0.00419,0.004361,0.005704,4000,0.000339,0.018181,0.0007234555000000001,0.0007618819469049979,0.000441,0.000495,0.00089625,4000,0.000339,0.018181,0.0007234555000000001,0.0007618819469049979,0.000441,0.000495,0.00089625,4000,0.019884,0.059704,0.022722677,0.0038981064137182044,0.020401,0.020706,0.02437125,1000,0.025517,0.083417,0.028292771,0.004464011657753483,0.02615575,0.0265505,0.02944725,1000,0.418073,2.395798,0.523516773,0.15199631461809024,0.451885,0.484087,0.5780395,1000,0.086772,0.19413,0.10297672599999999,0.0169670359556678,0.090005,0.0943755,0.11385175,1000,0.024722,0.074529,0.029574124,0.00603076089814743,0.0259945,0.0268465,0.03215875,1000,0.039656,0.104555,0.046980884,0.009291863161849942,0.04055825,0.0431985,0.052527,1000,0.005246,0.023062,0.006520158999999999,0.0018665526383466928,0.00550075,0.0056335,0.00699925,1000,0.015935,0.096684,0.019346089,0.005302795267128365,0.0166,0.017396,0.02060825,1000,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
BilateralLagrangianConstraint_PGS,0.037026,1.780137,0.108279826,0.12494513018185113,0.05365875,0.094987,0.125245,1000,0.12361,0.252529,0.14159998999999998,0.017668859641128513,0.1284205,0.1341045,0.15219775,1000,0.001833,0.030465,0.00255470775,0.0011623590677324873,0.002027,0.0021655,0.002988,4000,0.00394,0.028323,0.00517401175,0.0016477984969685878,0.004273,0.004473,0.005722,4000,0.000345,0.018431,0.0007278495,0.0007768529145531669,0.000449,0.000503,0.0008935,4000,0.000345,0.018431,0.0007278495,0.0007768529145531669,0.000449,0.000503,0.0008935,4000,0.020043,0.060993,0.022816347,0.003971820231907658,0.020475,0.020724,0.024555,1000,0.02554,0.065153,0.028200272000000002,0.004141450198905693,0.026125,0.026516,0.02947175,1000,0.417832,2.410558,0.522713599,0.15378682548503364,0.45110375,0.482251,0.57470825,1000,0.086834,0.230108,0.102492145,0.01644823264822014,0.0897335,0.0943815,0.113813,1000,0.024621,0.07875,0.028886681,0.005369866480019685,0.02557875,0.026404,0.0317315,1000,0.039649,0.10347,0.047169756,0.009258392879137501,0.04052775,0.0435165,0.05278225,1000,0.005332,0.024636,0.0066636130000000005,0.001812980278224504,0.0055445,0.0059735,0.00706175,1000,0.016029,0.060693,0.019210440999999998,0.0041674998704881805,0.0166775,0.017409,0.0205775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.026618,1.762322,0.079567124,0.11768319470254292,0.05297125,0.067435,0.07880225,1000,0.123176,0.269086,0.13572679099999999,0.014367102982763051,0.12713675,0.130902,0.135954,1000,0.00184,0.023268,0.002448129,0.0012281471238654593,0.001985,0.002091,0.002922,4000,0.003957,0.025348,0.004892003,0.0016766308654533948,0.004198,0.004342,0.00562325,4000,0.00035,0.017701,0.000731769,0.0007007757641635447,0.000448,0.000521,0.000932,4000,0.00035,0.017701,0.000731769,0.0007007757641635447,0.000448,0.000521,0.000932,4000,0.019982,0.058202,0.021581623,0.003711731036978703,0.020494,0.0206435,0.020849,1000,0.025561,0.061116,0.027310583,0.004200967104978448,0.02609875,0.0263,0.026582,1000,0.434824,2.453539,0.500319067,0.14009434119043676,0.4632865,0.4830115,0.503727,1000,0.09889,0.241952,0.12290965300000001,0.01756872441916575,0.1103785,0.121127,0.12780825,1000,0.024789,0.064368,0.027503795999999997,0.004912882872650639,0.025803,0.0262145,0.026692,1000,0.044557,0.142449,0.048287008,0.008371296544498707,0.045422,0.0458385,0.04681925,1000,0.008874,0.08598,0.028117511999999997,0.010192690032756612,0.01957525,0.0292775,0.0337075,1000,0.016285,0.045932,0.018477667,0.0038857215911733823,0.01690575,0.0171615,0.017732,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.033643,1.483479,0.084158356,0.10052986941678212,0.07501375,0.0755845,0.078101,1000,0.040008,0.103975,0.053328076999999995,0.008963085554487974,0.051193,0.051587,0.0521935,1000,0.002799,0.020957,0.004184433,0.00139105129506823,0.004042,0.004112,0.004186,1000,0.005622,0.024808,0.007686367,0.0018393626782967519,0.00741375,0.007535,0.00764625,1000,0.000698,0.018179,0.0010321120000000002,0.0007842554644093977,0.000927,0.0009575,0.00099,1000,0.000698,0.018179,0.0010321120000000002,0.0007842554644093977,0.000927,0.0009575,0.00099,1000,0.006108,0.04233,0.009548017,0.0028633934778005974,0.009218,0.0093585,0.00949925,1000,0.009782,0.041247,0.013116332,0.0035906672552293117,0.012389,0.012535,0.01267725,1000,0.139286,1.715401,0.24362777,0.10996371018147351,0.232043,0.2343685,0.25195325,1000,0.011879,0.111621,0.038496278,0.010968689273323225,0.03859325,0.038968,0.04181075,1000,0.002005,0.022204,0.003164324,0.0014368688802476027,0.00291175,0.0030195,0.003146,1000,0.00671,0.04533,0.016923885,0.004710736325435228,0.0167345,0.0168865,0.0171095,1000,0.001562,0.08421,0.016195074,0.006896813832961131,0.017004,0.017185,0.017348,1000,0.001009,0.011605,0.001414648,0.0007649694674272955,0.001266,0.001307,0.001346,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040261,1.614957,0.09947768700000001,0.1004544859380358,0.07525425,0.103185,0.105407,1000,0.040168,0.117984,0.052796633999999995,0.00836421558797022,0.05069375,0.051217,0.0519755,1000,0.002839,0.020227,0.004156609,0.0014129334669824335,0.00401,0.004071,0.00413,1000,0.005769,0.023499,0.0077000820000000005,0.0019445741408534673,0.007408,0.007497,0.00759025,1000,0.00066,0.015398,0.000991554,0.0006432657017780444,0.000905,0.00093,0.00095725,1000,0.00066,0.015398,0.000991554,0.0006432657017780444,0.000905,0.00093,0.00095725,1000,0.006054,0.038518,0.009556258,0.0028189912950266445,0.0091095,0.0092665,0.00943325,1000,0.009918,0.040546,0.012765253,0.002557786292673999,0.012302,0.012487,0.01264025,1000,0.140435,1.849984,0.24769444000000002,0.11045133608068487,0.21949275,0.250369,0.255686,1000,0.011823,0.069015,0.028368354,0.00741211768678048,0.02547975,0.0292865,0.03002675,1000,0.001983,0.018317,0.0030278,0.0011792717786837776,0.00286375,0.002936,0.003002,1000,0.006596,0.041205,0.01581551,0.0045617847621188794,0.01496,0.015607,0.0160895,1000,0.001564,0.035817,0.0074297650000000005,0.003166141320878618,0.005792,0.008848,0.00908325,1000,0.00099,0.011444,0.001358077,0.0006048900074153978,0.00120575,0.001274,0.001335,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008461,0.152592,0.010179037,0.009082563761275282,0.008746,0.0088915,0.00923425,1000,1.103467,1.317141,1.131845733,0.02456227725610374,1.11375075,1.1290715,1.13868525,1000,0.066936,0.114663,0.06948375500000001,0.006859059662882006,0.067255,0.067419,0.067625,1000,0.037378,0.072042,0.038634190000000006,0.0037278238576815828,0.03770975,0.0378925,0.03812125,1000,0.000681,0.012391,0.000897576,0.0005963852934336996,0.000767,0.000794,0.000825,1000,0.989478,1.129607,1.015110166,0.021620521697601192,0.998476,1.0128305,1.023005,1000,0.002716,0.011762,0.002917329,0.00032317052582034767,0.00283575,0.002882,0.00293925,1000,0.008181,0.02269,0.008758379,0.0016278247606419435,0.008369,0.008459,0.00859825,1000,1.135584,1.499257,1.167636198,0.031335550550338126,1.14801275,1.163591,1.17487825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000286,0.00087,0.000361086,5.6930910795454524e-05,0.000331,0.000345,0.000378,1000,2.503753,5.201977,2.587868508,0.199960953413345,2.5426645,2.566907,2.5847825,1000,0.051485,0.093771,0.053859705,0.005333924438720049,0.05229075,0.0525635,0.05293925,1000,0.044258,0.078397,0.045941881000000004,0.00460728858406319,0.044615,0.044819,0.04503025,1000,0.688419,2.132247,0.716695971,0.10050350883521512,0.69416075,0.701014,0.72383475,1000,1.707431,2.949313,1.763939428,0.11409898417445624,1.734205,1.746207,1.767754,1000,0.001128,0.019932,0.001366797,0.0008495951540533879,0.001241,0.001287,0.00134425,1000,0.006138,0.024034,0.006795788,0.0012588954925076186,0.00643775,0.0065965,0.006783,1000,2.519873,5.256,2.6062758980000003,0.20235052311771667,2.56054325,2.584919,2.60327575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000279,0.001032,0.00034956099999999997,5.37542024310658e-05,0.000326,0.000344,0.000359,1000,2.616142,5.286509,2.717789792,0.19435595869694025,2.67052675,2.6889895,2.71968625,1000,0.051835,0.112583,0.054449199000000004,0.00646865398915408,0.05220475,0.052456,0.052991,1000,0.044156,0.093678,0.04610493,0.0053329680551359015,0.044452,0.0446015,0.0449955,1000,0.687863,2.09635,0.717134152,0.09358038293675065,0.694391,0.70943,0.7240235,1000,1.815674,3.019507,1.892625303,0.11632060188229423,1.85191225,1.8719905,1.89788425,1000,0.001109,0.002681,0.001284185,0.00012668083823135997,0.00121975,0.001258,0.001316,1000,0.006055,0.024724,0.006766263,0.0015108781591614197,0.006327,0.006501,0.00674275,1000,2.634728,5.337256,2.7361139679999997,0.19706302126214087,2.688167,2.7074515,2.737403,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
