SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.324619,0.407708,0.3380160039215686,0.012248353568908936,0.330644,0.335625,0.3403215,255,11.875372,13.858812,12.335611227450979,0.2335421013372763,12.1961765,12.383064,12.448646,255,0.285724,0.351713,0.2962334901960784,0.010336647887203159,0.2900415,0.293115,0.2993305,255,0.136195,0.204357,0.14120233333333335,0.007730657445259603,0.137738,0.138857,0.142309,255,3.89176,4.458656,4.031513650980392,0.08422078635530326,3.970461,4.009447,4.10358,255,3.89176,4.458656,4.031513650980392,0.08422078635530326,3.970461,4.009447,4.10358,255,0.025482,0.035988,0.02680804705882353,0.0012636868398294002,0.026252,0.026541,0.0268295,255,0.052295,0.082076,0.054417741176470594,0.002985365811931529,0.0534205,0.053919,0.0543785,255,40.053908,53.686758,47.31664878431372,1.8543171499075881,47.61981,47.981039,48.091001,255,27.15868,40.625607,34.46115124705882,1.8755228447386179,35.0530815,35.131148,35.1902465,255,0.020531,0.03367,0.022379807843137256,0.0014720829627946415,0.021704,0.022144,0.022513,255,21.795522,27.45188,21.94641527843137,0.46306064500615735,21.8668695,21.896156,21.9234365,255,4.879616,14.241449,12.075426011764705,1.7877171345509837,12.741633,12.789777,12.840142,255,0.39469,0.487904,0.41492154117647057,0.013730138616799897,0.406833,0.411764,0.417275,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,12.714307,20.723976,13.269673386894587,0.5272017334946092,12.9876415,13.150455,13.3120735,1755,12.40817,20.349489,12.93148244102564,0.5215417978684078,12.65323,12.820993,12.969614,1755,0.00553,4.239127,0.2595652873694207,0.23326238559963766,0.05324825,0.2860405,0.4177665,10530,0.006931,0.481226,0.10266323437796772,0.08071399421181341,0.02733825,0.1088225,0.17062025,10530,0.042538,10.692065,1.8646276041785377,1.9041536319933892,0.169144,1.137568,2.6743835,10530,0.042538,10.692065,1.8646276041785377,1.9041536319933892,0.169144,1.137568,2.6743835,10530,0.093809,0.202255,0.11064686780626781,0.014430386106139656,0.0997085,0.108642,0.116261,1755,0.130087,0.303295,0.14546766096866096,0.01498976948750302,0.135452,0.141676,0.1464865,1755,23.712912,46.889544,28.978243213675213,2.536938149191947,27.1544475,28.894851,30.679236,1755,10.284529,29.611189,15.113497531623931,2.438919475484381,13.3419255,15.06636,16.815015,1755,0.075056,0.195831,0.08704854131054132,0.011337407161931512,0.0814715,0.083788,0.087426,1755,9.428203,28.369515,14.236947460398861,2.353342536726806,12.553485,14.186573,15.923943,1755,0.104999,0.920868,0.27066920284900287,0.10810599598426152,0.208681,0.246915,0.2969725,1755,0.438638,1.175913,0.5163372262108262,0.03525256057796716,0.4924655,0.515264,0.536394,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.026908,2.004868,0.091657768,0.1276360979767016,0.038205,0.0773525,0.10760175,1000,0.193262,0.37868,0.218519234,0.02262408454499859,0.202279,0.2091145,0.23340725,1000,0.00209,0.017081,0.0028168200000000003,0.0009358329656514565,0.002296,0.002471,0.00317225,4000,0.004259,0.025574,0.0053888935,0.0013066530657208707,0.004564,0.004808,0.006005,4000,0.015032,0.158742,0.01780298975,0.003477574019146816,0.01597525,0.0167585,0.018859,4000,0.015032,0.158742,0.01780298975,0.003477574019146816,0.01597525,0.0167585,0.018859,4000,0.020674,0.046644,0.023151803,0.0030292671952455758,0.021129,0.0214105,0.0249755,1000,0.0259,0.062862,0.028252777,0.003208718659725561,0.026471,0.0268,0.0296885,1000,0.48671,2.772975,0.596667086,0.16282761860750958,0.51276775,0.5550995,0.660481,1000,0.091461,0.212317,0.106280039,0.016174452819105782,0.0945705,0.0984115,0.1171815,1000,0.025282,0.068678,0.029820341,0.0050003115315667085,0.026678,0.0275865,0.0322145,1000,0.041434,0.116668,0.048365751,0.008664034009570772,0.042464,0.045264,0.05377,1000,0.006333,0.030272,0.007682576,0.001967588171397663,0.00656675,0.0067365,0.00820325,1000,0.016838,0.050621,0.019848268,0.0032534517156669156,0.017541,0.0181095,0.021488,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.030914,1.717809,0.090708677,0.1194889811514546,0.03749075,0.076894,0.10798425,1000,0.195367,0.361264,0.217264185,0.021842938265919605,0.20120975,0.206794,0.23331675,1000,0.002054,0.019804,0.00278811975,0.0009222463840590201,0.002256,0.002384,0.003176,4000,0.004242,0.016929,0.00529584775,0.0011734545257784544,0.004502,0.0046865,0.00593125,4000,0.01508,0.058191,0.017830198499999998,0.002854718817606692,0.01590775,0.016703,0.0189555,4000,0.01508,0.058191,0.017830198499999998,0.002854718817606692,0.01590775,0.016703,0.0189555,4000,0.020663,0.053051,0.023291723,0.003657609194852698,0.021127,0.021363,0.02489375,1000,0.025993,0.060311,0.028086285,0.0027924470529940223,0.0264635,0.026758,0.02940275,1000,0.489998,2.455635,0.594475823,0.15443817060970283,0.505913,0.5508095,0.65758225,1000,0.091232,0.241527,0.1059093,0.016203695197083905,0.09441875,0.0981455,0.11664875,1000,0.025276,0.060344,0.029587678,0.0044829670472038945,0.02670375,0.027418,0.03223775,1000,0.041628,0.12071,0.048253677,0.008731238533717368,0.04242475,0.0434495,0.05343525,1000,0.006095,0.04126,0.007635902,0.0020826427486239692,0.00643875,0.006872,0.00812725,1000,0.016758,0.058973,0.019867773000000002,0.0036258059177886235,0.017503,0.0181975,0.02134075,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.026145,1.717715,0.063138983,0.11941549387098273,0.0372315,0.050781,0.06242775,1000,0.196275,0.314709,0.205985983,0.013307194345492627,0.19942525,0.2026695,0.205781,1000,0.002052,0.022624,0.0025959625,0.0008595693239022376,0.002221,0.0022855,0.003081,4000,0.004197,0.017828,0.00504276275,0.001081052833335373,0.004459,0.004593,0.00585425,4000,0.015015,0.043037,0.016922527750000003,0.002202007917726441,0.015534,0.016217,0.0183075,4000,0.015015,0.043037,0.016922527750000003,0.002202007917726441,0.015534,0.016217,0.0183075,4000,0.020647,0.044287,0.021531512,0.0016947130818684324,0.02105175,0.021187,0.02133925,1000,0.025823,0.076277,0.027151241000000003,0.002820233027059821,0.026272,0.0264755,0.026699,1000,0.505437,2.480661,0.5638350089999999,0.14265574361982386,0.52076025,0.548859,0.564615,1000,0.102729,0.233567,0.125744032,0.015991857466253756,0.11477175,0.1247005,0.13117125,1000,0.025399,0.059366,0.027434991000000002,0.0030529451496741637,0.02635175,0.0267375,0.027389,1000,0.046652,0.141316,0.049700190000000005,0.006835476303952783,0.047399,0.0478545,0.0487535,1000,0.009383,0.062393,0.02936984,0.010043307150057693,0.02096875,0.0308395,0.0355405,1000,0.017207,0.044611,0.018692285,0.002334021370033916,0.01766075,0.0178415,0.01826975,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031748,1.451159,0.075608296,0.09727601005067171,0.06903575,0.0696235,0.0704935,1000,0.060522,0.187798,0.077952562,0.008006014338867749,0.07741,0.0778785,0.07856725,1000,0.003095,0.015031,0.004275697,0.0007360038554185704,0.004235,0.004299,0.00435525,1000,0.006097,0.025629,0.007871956,0.0011449501692492997,0.007775,0.007876,0.007998,1000,0.018647,0.049369,0.024612422,0.002467120663428524,0.0246335,0.024824,0.02502625,1000,0.018647,0.049369,0.024612422,0.002467120663428524,0.0246335,0.024824,0.02502625,1000,0.006507,0.020348,0.0097013,0.0014839737315734398,0.00965375,0.009772,0.00992125,1000,0.010179,0.044253,0.012218033,0.0014916282338139756,0.01212,0.012233,0.012318,1000,0.160854,1.753963,0.261684075,0.10805930051118864,0.25719975,0.259855,0.2631125,1000,0.012774,0.084852,0.038914479,0.009985638910933993,0.03995425,0.040345,0.04119875,1000,0.002043,0.013445,0.0030967950000000003,0.0007525824359995388,0.00299575,0.003066,0.00315225,1000,0.007176,0.044167,0.017116863,0.0041586619999984375,0.01723075,0.017366,0.01753325,1000,0.001896,0.056386,0.016475188999999998,0.006185352971761516,0.01771275,0.017971,0.0181285,1000,0.000916,0.010687,0.001492628,0.0007152989386375461,0.001365,0.001403,0.001445,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031729,1.508539,0.09123798200000001,0.10052296702575823,0.0697915,0.096756,0.09920025,1000,0.059424,0.146146,0.07809189500000001,0.00887223401562284,0.076835,0.0776115,0.07887325,1000,0.003033,0.014964,0.004276238999999999,0.0007301952998198496,0.004205,0.004292,0.00437,1000,0.006061,0.023044,0.007961224,0.0013520444259801526,0.00778075,0.0079085,0.008028,1000,0.018289,0.059523,0.024860955,0.003506796281647253,0.02443275,0.024832,0.025117,1000,0.018289,0.059523,0.024860955,0.003506796281647253,0.02443275,0.024832,0.025117,1000,0.006442,0.039135,0.009739552,0.0016547225396712285,0.009643,0.009796,0.010051,1000,0.010099,0.027409,0.012189074000000001,0.001074760359579753,0.01211075,0.0122225,0.01236,1000,0.158806,1.798839,0.26795205099999997,0.1113868141476737,0.246087,0.275524,0.28233775,1000,0.01268,0.065387,0.029380665,0.006703488834537953,0.02713725,0.0311485,0.0317185,1000,0.002044,0.012008,0.003155865,0.0006301612291905937,0.00303075,0.003132,0.0032575,1000,0.00723,0.045399,0.016129613,0.003933440852387513,0.01573,0.016423,0.0167335,1000,0.001927,0.024901,0.007897803,0.002804058935220692,0.0063675,0.0095625,0.00985925,1000,0.000907,0.015387,0.001485628,0.0008106351223676407,0.001308,0.0013795,0.00144,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005119,0.132703,0.006165571,0.008660146164410795,0.005376,0.005463,0.0055705,1000,1.117121,1.666427,1.142602298,0.03223192095512143,1.1251355,1.1342995,1.14531125,1000,0.067003,0.123638,0.06841569800000001,0.0039493975913797285,0.06746275,0.0675855,0.067728,1000,0.037278,0.090157,0.040075786999999995,0.00435570597212794,0.03780425,0.038065,0.041118,1000,0.015012,0.043917,0.016015223,0.0020052656650107487,0.015493,0.0156905,0.01587025,1000,0.987756,1.458222,1.0101981260000001,0.028090577293607265,0.9958715,0.997943,1.01416425,1000,0.002752,0.014826,0.0030347440000000002,0.00062250043089463,0.00291475,0.002967,0.003032,1000,0.010952,0.02198,0.011471404000000001,0.0008727919126481408,0.011217,0.011329,0.01147725,1000,1.152143,1.716778,1.180121291,0.03712616826674036,1.1611585,1.1707535,1.18184075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000309,0.010491,0.000375464,0.00032376948698727,0.000339,0.000356,0.000378,1000,2.502621,4.923952,2.55778058,0.18508679915904755,2.5148025,2.521197,2.5556435,1000,0.051875,0.137028,0.053315416,0.003803801546735055,0.052407,0.0526055,0.05295625,1000,0.044456,0.096565,0.045689733,0.0030905961185038397,0.04487375,0.0451285,0.0454095,1000,0.688083,2.077167,0.70662911,0.0958529094586174,0.692867,0.694623,0.69778775,1000,1.704579,2.729741,1.7445302779999998,0.10493476968347869,1.7144445,1.7183565,1.74510875,1000,0.001252,0.012061,0.001444053,0.0003617775396441852,0.00137,0.001413,0.00146625,1000,0.011745,0.039811,0.012439073,0.001469262462486196,0.01212275,0.012229,0.012374,1000,2.526516,4.983165,2.583731684,0.1873519736987154,2.5399325,2.547048,2.5817965,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.96,0.8979977728257458,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000314,0.009122,0.000384953,0.0002915010099313551,0.00035,0.000368,0.000387,1000,2.608312,4.91568,2.673385921,0.17505699562917432,2.62391475,2.6539695,2.672087,1000,0.05111,0.090642,0.054130506,0.0038579309879732166,0.052287,0.0527125,0.056206,1000,0.043227,0.084068,0.046212679,0.0035568605702162403,0.04497675,0.045224,0.04775975,1000,0.686346,1.910889,0.7117778,0.08486671365493069,0.692961,0.697431,0.72403425,1000,1.814451,2.877038,1.85355293,0.10423417798278596,1.82365925,1.832472,1.84426525,1000,0.001282,0.00532,0.0015100699999999999,0.0002526892935998674,0.001404,0.001458,0.00156125,1000,0.011893,0.041715,0.012501611999999999,0.0011764310950735702,0.012206,0.0123465,0.01253,1000,2.632597,4.972123,2.699319562,0.1771304366781953,2.64928575,2.6793845,2.69860025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
