SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.337541,0.506776,0.3554189254901961,0.018795275443222563,0.3449755,0.349039,0.3613485,255,11.844204,15.211067,12.329491486274511,0.37870188329055166,12.223001,12.311341,12.4202685,255,0.281482,0.368327,0.2942446823529412,0.012677271716331104,0.2861155,0.29197,0.2954515,255,0.135805,0.216685,0.14354476470588234,0.010469125873932577,0.137766,0.139853,0.1476715,255,3.852959,4.796982,3.9527591294117648,0.12126913851133475,3.8774415,3.934385,3.987618,255,3.852959,4.796982,3.9527591294117648,0.12126913851133475,3.8774415,3.934385,3.987618,255,0.022712,0.043527,0.02471950588235294,0.0020894719548166705,0.0237275,0.024217,0.0249575,255,0.054338,0.095707,0.0568914,0.00407756057658084,0.0556045,0.056119,0.0566645,255,39.888802,57.965732,47.46148988235294,2.1368861433345727,47.59113,47.901041,48.067854,255,27.104287,42.246493,34.59506198431372,1.9964886654241898,35.0287255,35.098711,35.2072635,255,0.02032,0.046358,0.022491101960784316,0.0027455280868857465,0.0215745,0.02193,0.0223725,255,21.784301,29.645172,22.03811814117647,0.8708809459311175,21.8753335,21.90723,21.9549865,255,4.843725,14.09439,12.124278329411766,1.8139545497526974,12.717752,12.775013,12.8328615,255,0.380048,0.732702,0.40769850196078433,0.029078375930709117,0.396313,0.403403,0.410822,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.98912,37.610814,13.292924840455841,0.8875641767937741,12.9661225,13.195466,13.3199435,1755,11.685907,36.957517,12.942363597150996,0.8758182701278152,12.623779,12.854664,12.9637225,1755,0.008724,2.22828,0.25596695973409306,0.2305012987241173,0.05024425,0.2560655,0.40912375,10530,0.00888,1.127049,0.10772374662867996,0.08813784564376433,0.02291625,0.112994,0.18103975,10530,0.096839,19.693757,1.8817081851851851,1.9245697753497002,0.17564125,1.810725,2.69755225,10530,0.096839,19.693757,1.8817081851851851,1.9245697753497002,0.17564125,1.810725,2.69755225,10530,0.09214,0.456707,0.11848531908831908,0.017899654000369407,0.11109,0.117525,0.1213675,1755,0.136198,0.551264,0.15649498518518518,0.01937189305390901,0.149391,0.152573,0.155219,1755,23.925261,62.802238,29.170930755555556,2.9144813835422316,27.356905,28.948888,30.7937365,1755,10.340701,43.780838,15.242375952706553,2.631551262097329,13.5513225,15.036787,16.883077,1755,0.075385,0.382045,0.0886472319088319,0.015012531305159149,0.08198,0.08517,0.0891765,1755,9.508589,42.523484,14.379119017663818,2.538643477125101,12.748669,14.162193,15.996578,1755,0.105496,1.100563,0.2792451498575499,0.1125761734394684,0.21384,0.252555,0.308796,1755,0.409117,2.004599,0.4932100005698006,0.04965294946236004,0.4713725,0.489031,0.5129105,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.024182,1.61914,0.095224625,0.11771582224618056,0.043316,0.0812995,0.1126475,1000,0.286212,0.435236,0.313421799,0.026926491030741434,0.29361475,0.2996,0.334742,1000,0.001299,0.020648,0.00190347625,0.0007754681182588601,0.001502,0.001659,0.00225,4000,0.003075,0.023576,0.0039628475,0.0009657209528345907,0.00335275,0.003557,0.00449525,4000,0.023434,0.060511,0.026216444,0.0034032100455105613,0.02420875,0.024777,0.0265755,4000,0.023434,0.060511,0.026216444,0.0034032100455105613,0.02420875,0.024777,0.0265755,4000,0.020183,0.04924,0.022685542000000003,0.0031866850312253954,0.020604,0.020853,0.02453975,1000,0.027302,0.061703,0.029592,0.0029787911387003955,0.02795675,0.0283245,0.03089475,1000,0.587208,2.491584,0.697178063,0.15588853677643852,0.60587275,0.6525095,0.767948,1000,0.092358,0.219319,0.106173821,0.01589720818996087,0.09495425,0.098545,0.11598475,1000,0.025852,0.062335,0.029658883999999996,0.00462394828393917,0.0267545,0.027322,0.031829,1000,0.041716,0.135634,0.048703285000000006,0.009005567697473325,0.0427955,0.044605,0.05307075,1000,0.006328,0.01682,0.007656303,0.0015760712988919631,0.006587,0.0067955,0.0082765,1000,0.016962,0.060413,0.019579494,0.0030808528082276183,0.017559,0.0179965,0.021251,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.02622,1.734061,0.096269936,0.12171198785947876,0.04388,0.082452,0.11362075,1000,0.286124,0.420283,0.31329643,0.026178176002752754,0.293365,0.300244,0.33470275,1000,0.001283,0.018227,0.0019135472500000001,0.0007748494642622124,0.001503,0.001667,0.00224525,4000,0.003057,0.014977,0.003967434000000001,0.0009365635299561904,0.003347,0.0035645,0.00453025,4000,0.023334,0.068799,0.0261597065,0.003593292367712061,0.024146,0.024678,0.02637925,4000,0.023334,0.068799,0.0261597065,0.003593292367712061,0.024146,0.024678,0.02637925,4000,0.02016,0.048654,0.022751412,0.0031656280587358965,0.02059475,0.0208155,0.02472475,1000,0.027208,0.060818,0.029681124,0.0030111091449205227,0.02795075,0.028296,0.03111375,1000,0.584457,2.562715,0.698123945,0.15783893919718284,0.60711475,0.653221,0.76847975,1000,0.092247,0.203297,0.106651744,0.015522984362308171,0.095361,0.098851,0.1180135,1000,0.025977,0.067859,0.029720699,0.00453878184454805,0.02678275,0.0273365,0.032722,1000,0.041892,0.114756,0.048744614,0.008603542676421383,0.04287025,0.0441255,0.053199,1000,0.006114,0.019764,0.007701309,0.0016507842183395747,0.00654625,0.0070495,0.008272,1000,0.017001,0.042337,0.019890687,0.002949892828058504,0.0177765,0.018421,0.0216215,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.0382,1.723851,0.06641125599999999,0.11667171243860468,0.04206375,0.053993,0.06676525,1000,0.286004,0.453301,0.299925377,0.01638984700016663,0.29164225,0.2953975,0.300722,1000,0.001268,0.044838,0.0017871995,0.0009668361767640628,0.001436,0.0015375,0.002207,4000,0.003067,0.019894,0.0037520214999999997,0.0009497614677053129,0.00326,0.003371,0.004419,4000,0.023346,0.061608,0.025269557,0.0025794196673381785,0.024079,0.02435,0.025791,4000,0.023346,0.061608,0.025269557,0.0025794196673381785,0.024079,0.02435,0.025791,4000,0.020262,0.039028,0.02124773,0.001843917512553097,0.02061975,0.0207435,0.020894,1000,0.027337,0.062855,0.02851497,0.0021416962854475885,0.027842,0.028006,0.0281955,1000,0.602957,2.562043,0.6666556260000001,0.13987625303350862,0.62360925,0.6502435,0.66906075,1000,0.104693,0.217663,0.127728818,0.015845649765436443,0.11648625,0.1265455,0.13312925,1000,0.025823,0.056593,0.027820195,0.003158659156505336,0.02668675,0.026987,0.0273925,1000,0.047323,0.113482,0.050473495,0.006336247933594059,0.0482135,0.048676,0.04961875,1000,0.00949,0.067675,0.029772198,0.010270193978440523,0.0211105,0.0308745,0.035803,1000,0.01717,0.049189,0.01911292,0.0028824646057844317,0.0179425,0.018164,0.01856275,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036964,1.497473,0.080559207,0.09833626389841213,0.07329875,0.0741435,0.077022,1000,0.087212,0.225903,0.111291708,0.011232304863861913,0.110611,0.1110765,0.11209275,1000,0.00197,0.01229,0.0029986080000000003,0.0008840613125434231,0.002867,0.002918,0.002973,1000,0.004371,0.014989,0.0058787150000000005,0.0009884658839712174,0.00576675,0.005847,0.005927,1000,0.029121,0.073035,0.036988065,0.0040205845329721645,0.03688975,0.0370545,0.03724875,1000,0.029121,0.073035,0.036988065,0.0040205845329721645,0.03688975,0.0370545,0.03724875,1000,0.006301,0.025341,0.009698922,0.001538420706411611,0.0096865,0.009818,0.010006,1000,0.010736,0.034233,0.012973382,0.0013862607136018823,0.012837,0.0129375,0.013025,1000,0.190465,1.843548,0.301809902,0.10953909781604192,0.29760475,0.299593,0.30412025,1000,0.012878,0.089949,0.039321297,0.010267416050535353,0.0403845,0.0409,0.04174625,1000,0.002186,0.014851,0.003283949,0.0008480183255089479,0.003141,0.0032105,0.00328225,1000,0.00727,0.047239,0.01742507,0.004406032170910693,0.01739675,0.017643,0.01791325,1000,0.001858,0.061254,0.016625557,0.006180167229189758,0.01789175,0.0181225,0.01827825,1000,0.000929,0.007061,0.0014602929999999999,0.000564947281744943,0.001339,0.00138,0.00142725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036916,1.555244,0.095891163,0.10111032347430421,0.07435775,0.1023945,0.10446525,1000,0.088047,0.191091,0.111884676,0.01071496126670666,0.1111545,0.111738,0.11270925,1000,0.002039,0.011966,0.003066254,0.0008805504093940336,0.00289,0.002979,0.003079,1000,0.004352,0.026207,0.005886105,0.0012196561039797243,0.005742,0.005826,0.00592025,1000,0.029336,0.077243,0.037372762999999996,0.004351704227177095,0.03717775,0.0373945,0.03762125,1000,0.029336,0.077243,0.037372762999999996,0.004351704227177095,0.03717775,0.0373945,0.03762125,1000,0.006269,0.025689,0.009605113,0.0015198781267690513,0.009636,0.009759,0.00988325,1000,0.010698,0.035271,0.01295424,0.0017547375024202338,0.012743,0.0128335,0.01292025,1000,0.189811,1.849056,0.307651301,0.11143608238829288,0.286201,0.318159,0.322211,1000,0.01288,0.063845,0.029254948,0.006519142690515065,0.0272775,0.0313015,0.031852,1000,0.002167,0.013619,0.003280443,0.0008157264889354764,0.003119,0.003208,0.003301,1000,0.007251,0.03965,0.016048514,0.00369681855083584,0.01576875,0.0164665,0.01673425,1000,0.001829,0.020542,0.008015819,0.002843657206879725,0.0064555,0.0095925,0.01001225,1000,0.000899,0.00585,0.001401829,0.0005612527289546129,0.00124675,0.00132,0.001373,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006397,0.140843,0.008030239,0.009061849177396357,0.006703,0.0068595,0.0071625,1000,1.142263,1.293076,1.165815486,0.020428738651904185,1.15400525,1.1595065,1.17052175,1000,0.066159,0.115423,0.068684013,0.003626463492554558,0.06677325,0.067166,0.07013525,1000,0.037191,0.071065,0.038381712,0.0030810093117444484,0.037509,0.037678,0.03819025,1000,0.022682,0.054212,0.023660001,0.002363268177545452,0.02302875,0.0231825,0.023395,1000,0.990461,1.138638,1.011581793,0.01762366772468634,1.00327175,1.005237,1.0163405,1000,0.002801,0.011821,0.0031673499999999998,0.0006941349202424555,0.00294175,0.0029995,0.00311825,1000,0.011321,0.025,0.011824023999999999,0.0009259334487013632,0.011552,0.011639,0.01177125,1000,1.17851,1.474584,1.2048599480000002,0.02672328078150765,1.1916845,1.198033,1.20985925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.003301,0.00032632,0.00010396825284672239,0.000307,0.000317,0.000329,1000,2.586413,4.94315,2.645404067,0.18079173075839644,2.594072,2.612497,2.64958525,1000,0.052011,0.088732,0.053365178,0.00324152880448655,0.052358,0.0526155,0.053043,1000,0.04421,0.096389,0.045425763,0.003456235017881597,0.044532,0.044716,0.044926,1000,0.697617,2.012854,0.715856568,0.09115854905916052,0.703229,0.7054855,0.7075035,1000,1.76122,2.790809,1.806615194,0.1047633679709199,1.76742925,1.7829225,1.82166075,1000,0.001179,0.00351,0.00134723,0.00015126332371067348,0.00128875,0.001327,0.001372,1000,0.012684,0.023459,0.013285129000000001,0.0009329168743028502,0.01298575,0.0131145,0.013275,1000,2.610889,5.001485,2.671789424,0.1830438965788923,2.62010775,2.6391215,2.6754885,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000287,0.000944,0.000340357,4.925362474985978e-05,0.000315,0.000333,0.000355,1000,2.632297,4.893109,2.684623732,0.17294873927350896,2.64237275,2.6527045,2.67947425,1000,0.050891,0.099696,0.053268458,0.004113293635304438,0.052121,0.0523365,0.05271725,1000,0.042574,0.086876,0.045065453,0.0030703850624621987,0.04432675,0.0444925,0.044804,1000,0.697733,1.95796,0.718278556,0.08381008531108214,0.70394475,0.706216,0.71641075,1000,1.808126,2.804213,1.843850921,0.10335941384533272,1.81559375,1.818895,1.83566425,1000,0.001206,0.00282,0.0014020270000000001,0.0001442912896574149,0.001309,0.001367,0.001468,1000,0.012754,0.036389,0.01328356,0.0011247730306155107,0.01300775,0.013119,0.013276,1000,2.656933,4.95011,2.711142636,0.17507647995832423,2.6686775,2.6789935,2.7059715,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000318,0.010822,0.000440577,0.0003363619509858391,0.000376,0.00042,0.000467,1000,3.385922,5.895535,3.4540549300000003,0.19006530278089975,3.4034545,3.4226055,3.44937775,1000,0.053014,0.124523,0.057050547,0.004894033417110165,0.05444675,0.0552125,0.05869825,1000,0.045089,0.088067,0.04715385,0.003240155104234981,0.04581975,0.046326,0.04774875,1000,0.703715,1.903014,0.722729372,0.08123388192157024,0.709897,0.7124215,0.717906,1000,2.551208,3.81912,2.599351345,0.11944945997361384,2.5623245,2.5770255,2.59658075,1000,0.0014,0.003991,0.0017122049999999998,0.00020119626978400967,0.00158675,0.001682,0.0018075,1000,0.013905,0.034228,0.015170078,0.001290670650443404,0.01462475,0.014993,0.01536025,1000,3.412993,5.95905,3.484796313,0.1925453664844289,3.43349975,3.453488,3.479926,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseQR,0.000297,0.001101,0.000389116,7.377966212988509e-05,0.000344,0.000374,0.000413,1000,10.991716,13.963521,11.182654295,0.2405256516464595,11.07192,11.14131,11.22801725,1000,0.054658,0.108762,0.05773865,0.004236770710281594,0.05627825,0.056878,0.05768775,1000,0.04409,0.088499,0.048080948,0.0033145134700730966,0.04623,0.0479155,0.04872075,1000,0.704033,1.882694,0.742533322,0.08564159036300245,0.71230525,0.7169895,0.753045,1000,10.150179,12.091868,10.305404063,0.17010122075788,10.2109855,10.271004,10.34977925,1000,0.001322,0.015382,0.00182499,0.0007388752410928385,0.00163,0.0017495,0.001886,1000,0.014303,0.077425,0.016276974,0.0025597013781540998,0.01557075,0.0160865,0.0164635,1000,11.020515,14.032149,11.215482055999999,0.2439867878922891,11.1060605,11.174598,11.25970925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
