SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341735,0.430188,0.35675228235294115,0.014228721695532043,0.3487445,0.351736,0.358018,255,11.829655,12.896216,12.320284921568627,0.21708982087633527,12.1789835,12.33449,12.4923265,255,0.28337,0.390282,0.2953453529411764,0.016142131255431836,0.285445,0.288224,0.2962135,255,0.136301,0.180832,0.1424445843137255,0.009079491900774214,0.1380555,0.138697,0.1422885,255,3.578132,3.955109,3.6816942627450984,0.06214400041154876,3.6304365,3.681998,3.7219915,255,3.578132,3.955109,3.6816942627450984,0.06214400041154876,3.6304365,3.681998,3.7219915,255,0.022578,0.046691,0.024414035294117648,0.0026859395586051106,0.0235025,0.02392,0.024421,255,0.047503,0.080675,0.0500414,0.0036634949011811646,0.0488765,0.049592,0.050224,255,40.029704,55.912748,47.806166980392156,2.476608898085781,47.639217,47.962112,48.3071755,255,27.205067,42.457296,34.9611386,2.494537454361023,35.0245495,35.198089,35.381852,255,0.020489,0.055401,0.02248381176470588,0.003902313104373799,0.021291,0.021633,0.022017,255,21.763466,28.94177,22.356469027450977,1.6217790442735758,21.854027,21.882655,21.9228065,255,4.948197,13.307574,12.163256180392157,1.7971480256470322,12.732315,12.83264,13.0172285,255,0.393803,0.483713,0.4162528901960785,0.015475714280949689,0.4043055,0.411208,0.427425,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.968676,13.620601,9.350848306552706,0.29568502956436665,9.1285445,9.286351,9.5149115,1755,8.66496,13.291705,9.039961986324787,0.2916974802684949,8.818908,8.97818,9.1983515,1755,0.004798,0.578912,0.17631979515669516,0.1718009953372832,0.0291185,0.122096,0.281201,10530,0.006104,0.301838,0.08120294444444444,0.0780565850147136,0.01450025,0.0611015,0.127851,10530,0.035804,5.295127,1.1804315514719848,1.2072364026820102,0.087042,0.898148,1.7739865,10530,0.035804,5.295127,1.1804315514719848,1.2072364026820102,0.087042,0.898148,1.7739865,10530,0.0972,0.212784,0.11101881538461539,0.012573215154482282,0.102824,0.105725,0.1184555,1755,0.11714,0.198156,0.1315346074074074,0.011119464266197296,0.1247555,0.127603,0.134647,1755,24.026718,42.201344,30.818063976068377,3.724746295892438,28.360087,30.304714,32.5913165,1755,14.486987,31.808502,20.96738667407407,3.6806455204600517,18.593885,20.42519,22.7775115,1755,0.073579,0.248859,0.08325509173789174,0.009552364914867828,0.0788755,0.081103,0.084166,1755,13.683649,31.011797,20.13442795954416,3.5909087712162386,17.812236,19.607005,21.9312895,1755,0.100761,0.969699,0.25462985698005697,0.10643669298057988,0.196591,0.226337,0.280184,1755,0.431812,0.688105,0.4928333527065527,0.028977259725797726,0.473,0.487944,0.508808,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036061,1.851899,0.108392361,0.13040455052962943,0.054611,0.0923605,0.12421075,1000,0.12358,0.231973,0.140819216,0.017514303341307755,0.12716275,0.132253,0.152609,1000,0.001865,0.023777,0.00256199125,0.001062050586212087,0.002009,0.0021585,0.002963,4000,0.003949,0.029424,0.0051422055,0.0017904737640551313,0.004246,0.004432,0.00568825,4000,0.000347,0.018223,0.000725591,0.0008033711904960248,0.000439,0.000493,0.00090725,4000,0.000347,0.018223,0.000725591,0.0008033711904960248,0.000439,0.000493,0.00090725,4000,0.019846,0.061238,0.022766453000000002,0.003971002905286144,0.02048175,0.020827,0.0244025,1000,0.025356,0.066465,0.028363265999999998,0.004640363826387324,0.026138,0.026601,0.029431,1000,0.415878,2.458975,0.5219621170000001,0.15744603062133164,0.4508775,0.4821375,0.573793,1000,0.086527,0.182709,0.10233555400000001,0.01626137118951179,0.090212,0.094451,0.11294875,1000,0.024772,0.078561,0.02939597,0.005759347613323925,0.0259475,0.0268285,0.03187025,1000,0.039484,0.101109,0.046771720999999995,0.008986160273618482,0.04055075,0.0429685,0.05245025,1000,0.005279,0.022877,0.006520845,0.0017915972089102505,0.005525,0.0057015,0.00698125,1000,0.015962,0.054031,0.019116699,0.003800714002184195,0.01672275,0.017498,0.020583,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037917,1.709528,0.108859788,0.1215655435425559,0.0530525,0.095078,0.12623975,1000,0.12355,0.262753,0.14102029000000002,0.016892813299977598,0.12780075,0.133662,0.1522815,1000,0.001843,0.019266,0.0025251045,0.0009241791731475829,0.002033,0.002172,0.002946,4000,0.003989,0.024223,0.00509019375,0.0014864208067404525,0.004214,0.004393,0.005646,4000,0.000351,0.078536,0.0007429555000000001,0.0014523422284433343,0.000455,0.000509,0.00084775,4000,0.000351,0.078536,0.0007429555000000001,0.0014523422284433343,0.000455,0.000509,0.00084775,4000,0.019925,0.057191,0.022845426999999998,0.0037472021942605393,0.0204955,0.020748,0.0245935,1000,0.025522,0.062906,0.028444658,0.004555827229937062,0.026186,0.0265795,0.02961975,1000,0.417927,2.350594,0.524002979,0.15137759913630733,0.44947675,0.484482,0.57674875,1000,0.08666,0.20831,0.10241310499999999,0.016536766696847817,0.08988525,0.0939665,0.11334675,1000,0.024894,0.078722,0.029189758000000003,0.005613649151259455,0.0257655,0.0265215,0.031663,1000,0.039423,0.124621,0.046862082,0.009599317157552197,0.040402,0.0429455,0.05238775,1000,0.005257,0.040803,0.006693278,0.0021380064772390187,0.005599,0.0060165,0.00707325,1000,0.015983,0.056032,0.019130986,0.004134567015759208,0.01665075,0.017259,0.02050125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037115,1.920438,0.080582017,0.12327636235581707,0.0530275,0.0673235,0.07977825,1000,0.124979,0.258476,0.13571040299999998,0.015482988697489609,0.12753125,0.130405,0.134108,1000,0.001871,0.023154,0.00244232975,0.0011778462295711342,0.002015,0.002099,0.002881,4000,0.003955,0.026862,0.004930509,0.0017731983865092481,0.004219,0.004348,0.00559425,4000,0.000355,0.022079,0.0007441520000000001,0.0007591424262916675,0.000462,0.000516,0.000952,4000,0.000355,0.022079,0.0007441520000000001,0.0007591424262916675,0.000462,0.000516,0.000952,4000,0.020031,0.051038,0.021509092,0.003228197146324245,0.0206085,0.0207865,0.0209995,1000,0.025658,0.064474,0.027529483,0.004383574081695324,0.02627375,0.0264365,0.0266625,1000,0.436198,2.585848,0.503009181,0.14524798822902932,0.460775,0.484176,0.50827175,1000,0.098559,0.322837,0.12339882799999999,0.018574259625363698,0.11053575,0.120813,0.127793,1000,0.025249,0.081367,0.02755095,0.00489792041498226,0.02592775,0.026322,0.02678,1000,0.044857,0.125051,0.048933195,0.008792131573911698,0.04558075,0.0460635,0.0470155,1000,0.008951,0.083543,0.027881505,0.010274020168851868,0.019427,0.0289815,0.03326475,1000,0.016333,0.202999,0.018514558,0.0066990415389543605,0.016976,0.0172275,0.017744,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031513,1.518318,0.08368577499999999,0.09974027092152085,0.0747055,0.075531,0.07734825,1000,0.039867,0.218252,0.053779503,0.01138516150557343,0.050592,0.0513495,0.05232875,1000,0.002787,0.025739,0.004148453999999999,0.00170515239608781,0.003957,0.0040225,0.00408225,1000,0.005551,0.029448,0.007754136,0.0024612376796043084,0.007316,0.0074135,0.00752425,1000,0.000677,0.015772,0.001075295,0.0009410862765841396,0.000926,0.000966,0.00099625,1000,0.000677,0.015772,0.001075295,0.0009410862765841396,0.000926,0.000966,0.00099625,1000,0.006132,0.038653,0.009570641,0.002746388326533413,0.009224,0.009354,0.009514,1000,0.009966,0.039801,0.012958929,0.0030195671149949627,0.01235875,0.012526,0.01269125,1000,0.140284,1.756809,0.243164592,0.1097623599078734,0.2309255,0.23378,0.25158725,1000,0.011682,0.130106,0.03804029,0.010597201119158775,0.03818325,0.0388805,0.04034475,1000,0.00193,0.014706,0.003038032,0.0010853532885544688,0.002879,0.0029425,0.003016,1000,0.006685,0.060115,0.016865845,0.004865114015619264,0.0166255,0.0168315,0.01707025,1000,0.001559,0.064498,0.016013984000000002,0.006276919397900853,0.01693125,0.017201,0.01741675,1000,0.000939,0.011444,0.0013851030000000002,0.0007050255473321517,0.001251,0.00129,0.001331,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040079,1.551984,0.099293035,0.10158854592289318,0.075355,0.1032185,0.105266,1000,0.040319,0.146676,0.054060464999999995,0.00958758021331634,0.05102325,0.051524,0.055669,1000,0.002843,0.023113,0.004247354,0.0017357285141069729,0.004024,0.0040915,0.00420325,1000,0.005696,0.023551,0.007770099,0.0018720886921294623,0.00739,0.007506,0.007711,1000,0.000747,0.012467,0.00102535,0.0005588209082523667,0.00092675,0.000956,0.00099,1000,0.000747,0.012467,0.00102535,0.0005588209082523667,0.00092675,0.000956,0.00099,1000,0.006117,0.02994,0.009572675999999999,0.0022452118873335764,0.00925775,0.009407,0.00972325,1000,0.010014,0.041355,0.012688866,0.0022223035436330476,0.012315,0.012499,0.012691,1000,0.140922,1.784842,0.249267883,0.11218407610721456,0.22106075,0.251251,0.25940625,1000,0.012011,0.067472,0.028713047,0.007317735807392271,0.02579875,0.029563,0.03084675,1000,0.001987,0.018846,0.003148533,0.001156375116003021,0.00289575,0.003033,0.00323125,1000,0.006806,0.048874,0.015933632,0.004580906613169057,0.015049,0.015828,0.016337,1000,0.001575,0.036352,0.007489600000000001,0.003300063193334334,0.0058425,0.0089065,0.009107,1000,0.000914,0.010138,0.001385586,0.0006316932757311891,0.00123275,0.001305,0.001362,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008584,0.156314,0.01038918,0.009047610758183623,0.00887175,0.0090765,0.0094775,1000,1.096242,1.386481,1.134076701,0.030988707806063793,1.10942775,1.128646,1.14062325,1000,0.066815,0.126011,0.069381782,0.007230387710384278,0.06722975,0.0673665,0.067604,1000,0.03716,0.07743,0.039081947,0.004751139550064911,0.0376255,0.038084,0.03832925,1000,0.000676,0.021903,0.00088508,0.0008970024468194052,0.00078175,0.000822,0.000869,1000,0.981053,1.189857,1.016362462,0.026324318294431784,0.99356375,1.0136415,1.024267,1000,0.002684,0.015663,0.003131274,0.000960695725463583,0.00287975,0.0029465,0.00303425,1000,0.008058,0.028373,0.008853258,0.0019591053752761743,0.00838175,0.0085005,0.008661,1000,1.129237,1.518636,1.1704239909999998,0.03690575029033984,1.14493725,1.163832,1.17770175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000274,0.002586,0.000343241,8.664111563801564e-05,0.000313,0.000335,0.000356,1000,2.509495,5.153276,2.610510036,0.20045515043384818,2.56177725,2.580576,2.611691,1000,0.051625,0.106169,0.054684295,0.005421998708038854,0.05257975,0.0530215,0.05476325,1000,0.043879,0.085318,0.046203775,0.004842722787066693,0.04433425,0.044718,0.04615475,1000,0.688208,2.221923,0.724824076,0.10489747884707348,0.6950275,0.7189435,0.72810025,1000,1.708894,2.835268,1.777474293,0.11295796832812262,1.74347325,1.7596375,1.77960375,1000,0.001152,0.022269,0.001383465,0.0010331045207407623,0.00125375,0.0012985,0.001338,1000,0.00605,0.026591,0.006756316,0.0017925883247817947,0.006337,0.006459,0.006615,1000,2.525744,5.216215,2.6288973110000002,0.20301245445360314,2.58020025,2.5987205,2.63005825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000283,0.013285,0.00037522,0.0004133440668498823,0.00033,0.000353,0.000376,1000,2.611034,5.068728,2.6865398220000003,0.18892559419870117,2.63686675,2.659425,2.68171775,1000,0.051621,0.094169,0.053653911,0.004892781759804845,0.052145,0.0524555,0.05280875,1000,0.044209,0.092956,0.045933194000000004,0.004314209131737125,0.04454675,0.0448395,0.0458245,1000,0.690205,2.04356,0.717688093,0.09157090411034693,0.7007965,0.70509,0.719506,1000,1.804501,2.887392,1.861747408,0.1139852420829185,1.8263215,1.8399185,1.8643295,1000,0.001153,0.012464,0.0013396389999999999,0.0004653318307176074,0.00125875,0.0013,0.001343,1000,0.006064,0.024679,0.0067164899999999994,0.0010037112602237757,0.006408,0.006576,0.00675625,1000,2.628604,5.118272,2.704841815,0.1910663609244934,2.655437,2.676811,2.7007055,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
