SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.32927,0.423338,0.3441512196078431,0.013038213302909435,0.3363255,0.341443,0.3469985,255,11.985176,14.811591,12.484845023529413,0.2892008836519862,12.249767,12.539571,12.597282,255,0.285647,0.422949,0.29668159215686274,0.012689919182298672,0.290247,0.293349,0.298982,255,0.137159,0.223203,0.14209366274509802,0.009084433706113382,0.1383795,0.13925,0.1432675,255,3.886864,4.653048,3.9551416274509803,0.08179644661853026,3.919152,3.942003,3.9641,255,3.886864,4.653048,3.9551416274509803,0.08179644661853026,3.919152,3.942003,3.9641,255,0.02297,0.043981,0.02476769411764706,0.0022132756897831336,0.0240005,0.024331,0.0248045,255,0.053661,0.093075,0.05620730980392157,0.0035672434354205407,0.054975,0.055408,0.0559295,255,40.194765,53.673759,47.59586902745098,1.8491937723137497,47.7902445,48.111228,48.308922,255,27.1697,40.790172,34.585889941176475,1.869821617045144,35.06597,35.147518,35.2270905,255,0.020774,0.055167,0.022363811764705883,0.0024913055990979684,0.021577,0.021928,0.0223455,255,21.818605,28.356312,22.064030176470588,0.8353489197283973,21.893711,21.920405,21.9605605,255,4.857851,13.533375,12.092402211764707,1.7722399854762385,12.7274965,12.799642,12.8648105,255,0.388108,0.531592,0.40455956470588234,0.014216784901517263,0.3968805,0.400595,0.407768,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.226238,30.867274,13.522874129914529,0.789282212249689,13.2437605,13.351076,13.5722955,1755,11.934707,30.488332,13.19003504102564,0.7650128256774121,12.922405,13.027961,13.236859,1755,0.008845,0.809489,0.25752304938271603,0.22857319370919196,0.0521225,0.2819625,0.41581,10530,0.010064,0.432394,0.10068260854700856,0.08035430131911447,0.0265075,0.1127255,0.16455975,10530,0.076869,13.054238,1.8970946862298197,1.941875265144368,0.1677665,1.207342,2.7380315,10530,0.076869,13.054238,1.8970946862298197,1.941875265144368,0.1677665,1.207342,2.7380315,10530,0.093131,0.173542,0.11085251509971511,0.014638193836017685,0.0991375,0.108627,0.1177065,1755,0.133134,0.20466,0.1477165207977208,0.014008624631859761,0.1380485,0.144583,0.1488745,1755,24.087012,52.704573,29.194319772079773,2.5012310564182534,27.4138555,29.091556,30.8803285,1755,10.277319,27.161941,15.06796426153846,2.3439429404818677,13.402884,14.955629,16.780684,1755,0.073488,0.258902,0.08687245868945868,0.012611841838683316,0.0804255,0.082611,0.0873775,1755,9.439152,25.983968,14.223184932763534,2.2632928678458097,12.646768,14.169269,15.9115065,1755,0.10449,0.650303,0.26946434643874645,0.10372515508717964,0.2082035,0.243112,0.2977575,1755,0.415373,0.723583,0.4862291282051282,0.030350798512859243,0.4633835,0.484193,0.505988,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033586,1.760629,0.096505071,0.12024269790164373,0.04664575,0.082678,0.1110545,1000,0.193321,0.349578,0.216015288,0.019806203470606278,0.201722,0.207247,0.23079875,1000,0.002076,0.014887,0.00277028725,0.0008585796903825745,0.002275,0.002381,0.00315325,4000,0.004099,0.026163,0.005246978,0.001215166722929821,0.004439,0.004676,0.00595525,4000,0.014829,0.049243,0.01742631175,0.002434904763242689,0.01569675,0.016455,0.01857625,4000,0.014829,0.049243,0.01742631175,0.002434904763242689,0.01569675,0.016455,0.01857625,4000,0.020707,0.048471,0.023065918,0.003036748475471092,0.02108575,0.021353,0.0249965,1000,0.02563,0.062259,0.027629862,0.002363989386811201,0.02620175,0.0265385,0.02887,1000,0.491761,2.496542,0.596366618,0.15301380993581618,0.51445825,0.5587425,0.6545865,1000,0.091379,0.202832,0.105653985,0.01595972591684378,0.09436,0.0981035,0.11609575,1000,0.025569,0.086518,0.029825232,0.0052019863833132046,0.0268685,0.027554,0.03218325,1000,0.041348,0.119383,0.048386866,0.008756284146945209,0.0425895,0.0437335,0.05303575,1000,0.006155,0.018632,0.007539126,0.0016788542200334132,0.006455,0.006622,0.0081645,1000,0.016617,0.048598,0.019360395,0.003159639308366542,0.01728225,0.0178135,0.02104375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.029737,1.702403,0.093822345,0.11788524626970916,0.043361,0.0806775,0.1091735,1000,0.194023,0.320046,0.215684603,0.01980813204200212,0.200927,0.2062075,0.2309595,1000,0.002093,0.018633,0.00277435075,0.0008933620748187365,0.002275,0.002383,0.003154,4000,0.004069,0.024933,0.00520744975,0.0012071781312113542,0.004429,0.004627,0.00586025,4000,0.014797,0.060965,0.01747873025,0.0026496840200267158,0.015681,0.0164095,0.01859425,4000,0.014797,0.060965,0.01747873025,0.0026496840200267158,0.015681,0.0164095,0.01859425,4000,0.020537,0.047046,0.022954615,0.0029799610005459805,0.020961,0.021202,0.0247215,1000,0.025776,0.058486,0.027821561,0.0026789775184347855,0.026261,0.026579,0.02891675,1000,0.489524,2.453654,0.593025646,0.1506310894563957,0.50717975,0.5534885,0.6534615,1000,0.090797,0.217228,0.105411238,0.01588597533144742,0.09412075,0.0976845,0.1151055,1000,0.025659,0.070167,0.029573334,0.004681404128725056,0.026735,0.0273085,0.031862,1000,0.041172,0.125989,0.048397004,0.009018351705826514,0.0423675,0.044646,0.0524315,1000,0.006094,0.026721,0.007557368,0.001812649490269975,0.00632375,0.0069035,0.00809725,1000,0.016547,0.040333,0.019323497,0.0028540290128152165,0.017212,0.0177525,0.0210935,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.027303,1.704523,0.06722183400000001,0.11685275503844332,0.04242675,0.0536925,0.06709425,1000,0.195151,0.323748,0.20555211499999998,0.013700505839339475,0.198899,0.202012,0.20564525,1000,0.002059,0.036735,0.002610729,0.0009701107663864989,0.002257,0.002331,0.003027,4000,0.004102,0.024809,0.004955945,0.0011798931061647068,0.00435975,0.0045,0.005775,4000,0.014699,0.056137,0.0166832005,0.002286460381309886,0.015385,0.0159665,0.018037,4000,0.014699,0.056137,0.0166832005,0.002286460381309886,0.015385,0.0159665,0.018037,4000,0.020514,0.055487,0.02162616,0.0023518776019172427,0.02097775,0.0211175,0.02127625,1000,0.025598,0.061439,0.026700698000000002,0.002350735826245901,0.02602075,0.026205,0.02645025,1000,0.507581,2.445127,0.567732563,0.14002654616966037,0.524788,0.552313,0.567296,1000,0.103306,0.212552,0.125930849,0.015767595033365077,0.115075,0.1247855,0.13110925,1000,0.025774,0.055607,0.027667090000000002,0.0032849908556798145,0.026551,0.0268265,0.0272,1000,0.046724,0.116423,0.049938343,0.006681075569199243,0.0476075,0.0480335,0.04886175,1000,0.009406,0.060554,0.029210393,0.009904799872009075,0.02088925,0.030604,0.035346,1000,0.016839,0.046915,0.018585891,0.002742325006471516,0.017468,0.017688,0.01809775,1000,0.0,3.6,0.72,1.44,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036648,1.535114,0.079630589,0.09982741410748894,0.07080775,0.0719725,0.076955,1000,0.060191,0.167639,0.07874041999999999,0.009097422667635049,0.077325,0.0782195,0.07925225,1000,0.003043,0.031368,0.004329131999999999,0.0013034401400049027,0.004189,0.004257,0.00432525,1000,0.005983,0.024123,0.008088752999999999,0.0014938777506847741,0.00786,0.0079995,0.0081885,1000,0.01841,0.063161,0.024909845,0.0038343802989498836,0.02453475,0.024703,0.02491125,1000,0.01841,0.063161,0.024909845,0.0038343802989498836,0.02453475,0.024703,0.02491125,1000,0.006468,0.033568,0.009819528000000001,0.0018448596128746492,0.0097385,0.009874,0.010011,1000,0.010123,0.028802,0.012392176999999999,0.0014928258048650552,0.01216975,0.012309,0.012444,1000,0.161029,1.797982,0.267127881,0.1098007838718961,0.26030075,0.2637065,0.27004625,1000,0.012956,0.091048,0.039411975,0.010442587610663126,0.04038575,0.04085,0.041687,1000,0.00215,0.024298,0.003256437,0.0011385870594868889,0.00309475,0.0031685,0.003249,1000,0.007162,0.048177,0.017582754000000003,0.0044324496296612335,0.01756175,0.0177395,0.01800825,1000,0.001873,0.060689,0.016555138,0.006209571182533945,0.01775225,0.018003,0.01813825,1000,0.000955,0.011187,0.0015180950000000001,0.000733816235834967,0.001355,0.001398,0.00144825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.035972,1.520222,0.094342568,0.09742148430606759,0.072747,0.098325,0.10266175,1000,0.060404,0.159735,0.078605852,0.00831996621832661,0.0774545,0.0781605,0.07936175,1000,0.003092,0.016766,0.004352562,0.0009428852783642345,0.004247,0.004312,0.00437225,1000,0.005873,0.018782,0.008039016999999999,0.0012628465309415075,0.00782825,0.008006,0.00818825,1000,0.018619,0.051585,0.024816400000000002,0.002904719461152832,0.02460075,0.0248235,0.02504825,1000,0.018619,0.051585,0.024816400000000002,0.002904719461152832,0.02460075,0.0248235,0.02504825,1000,0.006523,0.024915,0.009697647,0.0014766402704758529,0.009689,0.009808,0.00993625,1000,0.010091,0.03852,0.012277185,0.001616741406278382,0.01204275,0.012181,0.01229,1000,0.161361,1.776951,0.271574722,0.10767776731747698,0.250083,0.278234,0.28650475,1000,0.012967,0.067668,0.029408055,0.006821311688229398,0.02721825,0.0312855,0.0318685,1000,0.002091,0.016336,0.003255262,0.0008181321234103938,0.003113,0.003208,0.003308,1000,0.007228,0.044022,0.016237195,0.0039423286363487004,0.0158425,0.0166115,0.0169035,1000,0.001865,0.026231,0.007934092,0.002869233735256854,0.00631925,0.009597,0.00981725,1000,0.001034,0.007172,0.001473404,0.0006761389478383862,0.001289,0.001354,0.001422,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006175,0.134893,0.007765190999999999,0.008808821965650061,0.006477,0.006584,0.00685475,1000,1.123326,1.260616,1.142048894,0.02054814855423145,1.12990075,1.134312,1.14291625,1000,0.067734,0.113113,0.069059094,0.004027843191729788,0.06812675,0.0682705,0.068562,1000,0.03775,0.074131,0.038713271,0.0027432151672005245,0.038059,0.038176,0.038428,1000,0.015228,0.045052,0.016158518,0.0020096987793388342,0.015579,0.015792,0.016017,1000,0.993737,1.12009,1.009906032,0.018494577261915886,0.998877,1.0033125,1.00944775,1000,0.002825,0.016155,0.0031647890000000003,0.0007041825902981413,0.002983,0.003035,0.003088,1000,0.010922,0.021285,0.011480513000000001,0.0009166765110064729,0.011211,0.0113265,0.01142,1000,1.158405,1.449131,1.1800159069999998,0.026438982565150856,1.16685,1.1717935,1.18159375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.01102,0.000387177,0.0003515148697722473,0.00034,0.00036,0.000388,1000,2.504296,5.146086,2.5570156639999997,0.18545601166471015,2.5147665,2.5226665,2.554209,1000,0.052365,0.093547,0.054143548,0.004028951356084607,0.052907,0.053335,0.0538775,1000,0.044359,0.082553,0.045968288999999996,0.002824941697359257,0.04497875,0.045419,0.0460195,1000,0.692463,2.201699,0.712380385,0.09723997335662314,0.698026,0.700377,0.70464575,1000,1.700032,2.747307,1.73576904,0.1020936104932057,1.707793,1.710738,1.73478525,1000,0.001236,0.003446,0.001497781,0.00017244226001476555,0.001405,0.00146,0.00155425,1000,0.012555,0.037011,0.013379737999999999,0.0011601051639209266,0.013022,0.013225,0.01344125,1000,2.529538,5.20855,2.5840690079999997,0.18793812587539002,2.54112875,2.5499295,2.58095975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000298,0.001124,0.00034421800000000003,5.1766943854162374e-05,0.000322,0.000334,0.000352,1000,2.59912,4.994212,2.6541997289999997,0.17338390816840982,2.61170325,2.626905,2.6485105,1000,0.052103,0.091987,0.054588167,0.0038678827393175976,0.05261875,0.0528575,0.05616175,1000,0.044529,0.075084,0.046040777000000005,0.0026005384379529945,0.04497075,0.04516,0.04691675,1000,0.690346,1.980764,0.709109463,0.0856427833928734,0.69671275,0.699185,0.70456725,1000,1.79555,2.852199,1.835969172,0.10122248869308843,1.8072385,1.814659,1.8299415,1000,0.001245,0.014968,0.001472703,0.00052655194310818,0.001382,0.0014245,0.00149,1000,0.012656,0.033477,0.013251727000000001,0.0011602583171307155,0.01292575,0.0130635,0.013242,1000,2.62389,5.055642,2.680851332,0.17567612770803487,2.63792425,2.6529715,2.67483,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
