SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.321839,0.429911,0.340285137254902,0.013788711240976926,0.330067,0.33795,0.347154,255,11.778877,13.347705,12.289334207843138,0.2588178308927713,12.170082,12.289838,12.477607,255,0.284666,0.391733,0.30069552549019607,0.014575098567397419,0.289299,0.298195,0.306217,255,0.137878,0.246134,0.1555498,0.02000671870037859,0.139338,0.144801,0.1721745,255,3.57541,3.908203,3.676433423529412,0.0446187929716185,3.639507,3.668247,3.7021725,255,3.57541,3.908203,3.676433423529412,0.0446187929716185,3.639507,3.668247,3.7021725,255,0.025874,0.061171,0.02813104705882353,0.002893318573267195,0.0268525,0.027432,0.0288545,255,0.051774,0.086992,0.05492343137254902,0.003282151388264465,0.052705,0.053531,0.056633,255,40.154611,55.736874,47.451941674509804,2.0044265802735803,47.555822,47.977579,48.1916,255,27.268622,42.272448,34.62879252941176,2.000255611948468,35.0831665,35.220981,35.3378645,255,0.020886,0.0412,0.022450364705882353,0.0016861344642985926,0.0218275,0.022203,0.022665,255,21.824344,28.320174,22.086296403921565,0.7749896782789379,21.9115205,21.961149,22.0467045,255,4.884456,13.470484,12.100600843137254,1.7921170174491918,12.7158375,12.83318,12.893273,255,0.399832,0.498085,0.41757113725490197,0.016576915294799724,0.406973,0.41376,0.4225265,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.817761,15.253409,9.262961072364673,0.37263727117270384,9.069578,9.145419,9.375151,1755,8.550329,14.984465,8.973302494017094,0.370515301183519,8.779929,8.852228,9.082873,1755,0.004649,0.588696,0.1693938623931624,0.16463304292817776,0.030539,0.1230605,0.2649835,10530,0.006273,0.290498,0.07616727198480533,0.07276929345404329,0.0152975,0.0581135,0.10485775,10530,0.036228,5.767495,1.146174880151947,1.1846384763623263,0.09395025,0.910047,1.693356,10530,0.036228,5.767495,1.146174880151947,1.1846384763623263,0.09395025,0.910047,1.693356,10530,0.094211,0.187303,0.10639016068376068,0.01163865575599946,0.0993005,0.101947,0.109231,1755,0.128913,0.252058,0.13983895213675213,0.011723489753821833,0.133506,0.13539,0.141556,1755,24.041113,41.525117,30.588306467236468,3.62876024018357,28.168487,30.001156,32.1490565,1755,14.396189,31.518376,20.753909307692307,3.574199042809923,18.441396,20.152908,22.379749,1755,0.074923,0.164096,0.08549883190883191,0.010637894608799605,0.0800555,0.082592,0.085433,1755,13.608235,30.685161,19.912959403988605,3.4838151456069806,17.6795625,19.329014,21.5476665,1755,0.105848,0.672545,0.2606210267806268,0.10504153869516167,0.2004245,0.235785,0.286421,1755,0.430486,0.694824,0.49247832022792026,0.031274776131988556,0.4713565,0.485269,0.5106595,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.034973,1.708303,0.089859629,0.11921390418203473,0.03741125,0.075889,0.1059555,1000,0.192278,0.310888,0.214564045,0.020328308822697844,0.19965325,0.2045785,0.23062475,1000,0.001919,0.012524,0.002598372,0.0007724397656879143,0.002096,0.002212,0.00301925,4000,0.004161,0.022413,0.00518766175,0.0012155869262775647,0.004439,0.00462,0.00575,4000,0.015021,0.053699,0.0177749105,0.002630744094926329,0.01584575,0.016816,0.018996,4000,0.015021,0.053699,0.0177749105,0.002630744094926329,0.01584575,0.016816,0.018996,4000,0.020131,0.059184,0.022870063,0.0035298742412486882,0.020714,0.020991,0.02477,1000,0.025599,0.057732,0.027714487,0.002699616333820604,0.02610975,0.026435,0.02905575,1000,0.483605,2.416833,0.58665941,0.15111186736532606,0.5042715,0.546897,0.650955,1000,0.089851,0.184613,0.104030583,0.015522255959592697,0.0927745,0.0964235,0.11486875,1000,0.025151,0.076461,0.028799609,0.004443109784837529,0.0260325,0.0266075,0.031135,1000,0.040935,0.101419,0.047780139000000006,0.008304699517723625,0.04198575,0.0442555,0.0525705,1000,0.006218,0.022603,0.007565102,0.0018628284466359216,0.006499,0.006674,0.00805325,1000,0.01643,0.051378,0.019349257,0.003106652029267359,0.0171055,0.0177255,0.0211055,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.028651,1.692334,0.090325179,0.11744832497545872,0.03829075,0.076595,0.10693025,1000,0.193965,0.311005,0.21592848199999998,0.02106121732008091,0.200492,0.2054895,0.23254425,1000,0.001966,0.013719,0.0026671019999999998,0.0008481863987921523,0.002147,0.002291,0.003075,4000,0.004231,0.020518,0.00523204925,0.0011807079127897965,0.00447475,0.0046605,0.005794,4000,0.014914,0.096942,0.017758379499999997,0.002818473454634574,0.015906,0.016828,0.01897325,4000,0.014914,0.096942,0.017758379499999997,0.002818473454634574,0.015906,0.016828,0.01897325,4000,0.020284,0.055285,0.022995400000000003,0.003182191824827661,0.02079125,0.0211245,0.0250475,1000,0.025782,0.060433,0.027831073,0.0026565925208189155,0.02623875,0.0265475,0.029276,1000,0.487185,2.398871,0.591120423,0.15133263200741626,0.505376,0.5484075,0.6546325,1000,0.091104,0.231233,0.106417099,0.016941647678404805,0.093985,0.097896,0.11754,1000,0.025683,0.078645,0.029615877,0.005201768029802079,0.0265465,0.0271205,0.0321095,1000,0.041257,0.128243,0.04883663,0.00955931276447737,0.04233475,0.0449865,0.054269,1000,0.006079,0.030034,0.007607017,0.0019097026791390851,0.0064,0.0068875,0.0081245,1000,0.016832,0.055819,0.019825821,0.0035094540015448276,0.01739775,0.0180025,0.021443,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.011325,1.672519,0.062658319,0.11756231053217371,0.0372375,0.0506135,0.06228525,1000,0.194631,0.326151,0.207508174,0.014296960406524319,0.19979075,0.2034595,0.208768,1000,0.001957,0.023366,0.002529569,0.0009348889705408873,0.002144,0.002241,0.00293225,4000,0.004138,0.022016,0.00506548425,0.001153554145565754,0.004497,0.004667,0.00568325,4000,0.014883,0.054148,0.017064674999999998,0.0024386101121079196,0.01553275,0.016304,0.01861025,4000,0.014883,0.054148,0.017064674999999998,0.0024386101121079196,0.01553275,0.016304,0.01861025,4000,0.020368,0.043697,0.021409334999999998,0.002036070233753001,0.020723,0.020965,0.021217,1000,0.025715,0.067128,0.027135969,0.0030108348114831875,0.02619175,0.0263435,0.026564,1000,0.502759,2.399073,0.564937759,0.1403105105425567,0.5220075,0.548971,0.56642425,1000,0.101446,0.223281,0.12600764,0.01607427519561613,0.11484025,0.124408,0.13139275,1000,0.025289,0.058252,0.027156265,0.0032835187958613855,0.026016,0.0263025,0.026727,1000,0.046171,0.133334,0.049992972000000004,0.006846327017986798,0.04742425,0.048019,0.049765,1000,0.009368,0.07877,0.029733464,0.01044409586430075,0.0209535,0.0308855,0.03591125,1000,0.016913,0.048713,0.018597307,0.0024439378688401636,0.01750475,0.017737,0.01831525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031548,1.474988,0.075290158,0.09544445975609604,0.06882025,0.069582,0.07077975,1000,0.05932,0.135232,0.07806500699999999,0.00773214376333957,0.07708025,0.077798,0.08019025,1000,0.002921,0.020733,0.004163282,0.0007574139228163158,0.004115,0.004204,0.004292,1000,0.005872,0.026063,0.007748824,0.0011610959869984908,0.0076165,0.0077165,0.00788225,1000,0.018576,0.050836,0.025212937999999997,0.0030264878741134912,0.02504575,0.025333,0.02569125,1000,0.018576,0.050836,0.025212937999999997,0.0030264878741134912,0.02504575,0.025333,0.02569125,1000,0.006215,0.035911,0.009597294,0.0016337400391629017,0.00957375,0.009697,0.00987525,1000,0.01012,0.041703,0.012229701999999999,0.001671556046082811,0.012057,0.012171,0.01229925,1000,0.15771,1.731318,0.261598076,0.10522765145400816,0.25670075,0.259851,0.2638255,1000,0.01282,0.092772,0.039303497,0.010263896795953815,0.04003475,0.0405955,0.0416965,1000,0.002051,0.023755,0.00307497,0.001018186692655134,0.002947,0.0030275,0.003119,1000,0.007289,0.055734,0.017417810000000002,0.004517289829300307,0.017338,0.017574,0.017866,1000,0.00192,0.060598,0.016582510999999998,0.006301507604524412,0.017807,0.018012,0.018164,1000,0.000972,0.010937,0.001489721,0.000603123620130235,0.001367,0.001403,0.00144225,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031283,1.491899,0.090296487,0.0977829217607238,0.0691235,0.096282,0.09843375,1000,0.059546,0.130347,0.077106504,0.007390399508415225,0.07663375,0.077198,0.07817175,1000,0.002916,0.013833,0.00412258,0.0006741652049757537,0.00409575,0.00416,0.004228,1000,0.005848,0.018356,0.007696253,0.0010348999676253739,0.007604,0.00774,0.007842,1000,0.018604,0.052641,0.024843488,0.002558740402201052,0.024843,0.025072,0.02530625,1000,0.018604,0.052641,0.024843488,0.002558740402201052,0.024843,0.025072,0.02530625,1000,0.006206,0.018792,0.009397549000000002,0.0012836362037582925,0.009466,0.0095715,0.009697,1000,0.010072,0.028087,0.012205348,0.001070095047599044,0.01212575,0.0122425,0.01236525,1000,0.15694,1.755226,0.26456231300000005,0.10738120333137932,0.24370025,0.2740715,0.27879275,1000,0.012848,0.067714,0.029095604,0.006603426430966276,0.02674975,0.0309005,0.03141625,1000,0.002103,0.01373,0.0030221,0.0007688751055925793,0.00289275,0.002995,0.003062,1000,0.007227,0.043431,0.016020786,0.0037829788318471994,0.0156405,0.016308,0.0166105,1000,0.00189,0.024886,0.00789364,0.0028852198676010813,0.006309,0.00957,0.00985525,1000,0.001011,0.01168,0.001451182,0.0006245392260506942,0.001286,0.001362,0.00142,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005069,0.156271,0.006259957,0.008884633119220567,0.00538375,0.005535,0.005763,1000,1.117618,1.360794,1.135961976,0.02206701593744437,1.12321375,1.1254085,1.1429525,1000,0.06677,0.123026,0.067920251,0.0032138114505986504,0.06711375,0.067267,0.0675105,1000,0.037481,0.069177,0.038576439,0.0026928357859845446,0.037803,0.0379615,0.038543,1000,0.015324,0.03467,0.016119143,0.0015696189201685228,0.01567675,0.0158185,0.016019,1000,0.989607,1.227633,1.005328262,0.02033898870793128,0.99416825,0.9960115,1.0122475,1000,0.002723,0.013528,0.00303141,0.00044802252610778403,0.00291,0.002968,0.003075,1000,0.010897,0.021913,0.011550546,0.0009144506218949168,0.011274,0.011387,0.011588,1000,1.153333,1.45348,1.173511262,0.02765604750938492,1.15905775,1.161742,1.181143,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000291,0.010517,0.00037806900000000003,0.00032523583480145604,0.00034,0.000362,0.000383,1000,2.562932,5.01613,2.620441237,0.18674272516568038,2.577768,2.582533,2.6188105,1000,0.050705,0.092582,0.05346913,0.003578363396177085,0.052097,0.052553,0.05496725,1000,0.04326,0.077951,0.045446076,0.0030262617335954267,0.04465875,0.044989,0.045188,1000,0.690101,2.125165,0.709787446,0.0962395684276955,0.696137,0.6987245,0.701403,1000,1.764627,2.805884,1.804152362,0.10643293216347541,1.77248775,1.777715,1.80222975,1000,0.001235,0.004754,0.001435979,0.00018211646976317106,0.001361,0.001408,0.001467,1000,0.011722,0.021181,0.01229744,0.0006718801845567407,0.012068,0.012168,0.012314,1000,2.586579,5.075677,2.6460474190000003,0.1891893620290619,2.60270325,2.607738,2.6446435,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000299,0.016106,0.000389271,0.0005060127247006738,0.000343,0.000362,0.000387,1000,2.615468,4.920355,2.6768161609999996,0.1773976902975884,2.6267295,2.6379825,2.67346125,1000,0.051817,0.09832,0.054126744,0.0035643251185131807,0.052644,0.0529785,0.05457975,1000,0.044695,0.085968,0.046352945,0.0031224114776843555,0.045175,0.0454855,0.04655925,1000,0.69159,1.971744,0.712451693,0.08725498434396027,0.6979465,0.700697,0.7054635,1000,1.812132,2.813085,1.8561717379999998,0.10428278831038877,1.8217925,1.8260455,1.85231175,1000,0.001195,0.003641,0.001441844,0.00016313627942306393,0.001355,0.001413,0.001493,1000,0.011616,0.032186,0.012274671000000001,0.0009720797635785861,0.011956,0.012105,0.01235625,1000,2.639581,4.975933,2.702558141,0.17942509563228085,2.65204,2.664357,2.699463,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
